question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"The term ""sociology"" was coined in the early 1800s by which of the following?",(A) Auguste Comte,(B) Robert K. Merton,(C) Karl Marx,(D) Emile Durkheim,A,A,True,20.0,0,-6.092100143432617,-17.695255279541016,-15.512177467346191,-15.445255279541016,0.7606529494126635,-7.942892773283852,-5.129768055346277,-6.831634392340979,-6.852753092845281,-9.752362506257164,-10.382409411999914,-8.613620887200037,A,A,True,True
Goldthorpe identified the 'service class' as:,"(A) those in non-manual occupations, exercising authority on behalf of the state",(B) people working in consultancy firms who were recruited by big businesses,(C) the young men and women employed in domestic service in the nineteenth century,(D) those who had worked in the armed services,A,C,False,20.0,0,-8.31057071685791,-13.361560821533203,-3.654003858566284,-11.138912200927734,-1.4578176240126295,-3.609198315276039,6.72840555343363,-2.5252913137276973,-6.852753092845281,-9.752362506257164,-10.382409411999914,-8.613620887200037,C,C,False,False
Durkheim defined social facts as:,"(A) ways of acting, thinking, and feeling that are collective and social in origin",(B) the way scientists construct knowledge in a social context,(C) data collected about social phenomena that are proven to be correct,"(D) ideas and theories that have no basis in the external, physical world",A,A,True,20.0,0,-2.170485496520996,-12.54858684539795,-12.37307071685791,-8.600274085998535,4.682267596324285,-2.7962243391407853,-1.990661304857996,0.01334680120150189,-6.852753092845281,-9.752362506257164,-10.382409411999914,-8.613620887200037,A,A,True,True
Giselle graduated from college with high honors in management. She was recruited immediately following college by a large corporation and accepted a position in junior management. She quickly advanced to middle management. Ten years later Giselle was still in a middle-management position and had witnessed junior male colleagues promoted over her. Which of the following is a phenomenon that is most likely to explain Giselle's lack of promotion?,(A) Glass ceiling,(B) Gender constancy,(C) Underemployment,(D) Glass elevator,A,A,True,20.0,0,-1.2889846563339233,-13.851754188537598,-11.623071670532227,-10.622815132141113,5.563768436511357,-4.099391682280434,-1.2406622585323124,-2.0091942449410762,-6.852753092845281,-9.752362506257164,-10.382409411999914,-8.613620887200037,A,A,True,True
The terms 'crisis of the 1970s' is used to refer to:,(A) declining profits and rising unemployment,(B) the eradication of the welfare state,(C) rising divorce rates and the decline of the traditional family,(D) an unfortunate twist in fashion sensibility,A,A,True,20.0,0,-4.685024261474609,-13.748071670532227,-13.343850135803223,-12.418190956115723,2.1677288313706713,-3.9957091642750626,-2.9614407238033085,-3.8045700689156856,-6.852753092845281,-9.752362506257164,-10.382409411999914,-8.613620887200037,A,A,True,True
Which of the following sociological perspectives views society as a system of interdependent and coordinated parts?,(A) Functionalism,(B) Conflict theory,(C) Symbolic interactionism,(D) Role theory,A,A,True,20.0,0,-4.404260158538818,-16.113128662109375,-15.699155807495117,-14.464776039123535,2.4484929343064623,-6.360766155852211,-5.316746395495203,-5.851155151923498,-6.852753092845281,-9.752362506257164,-10.382409411999914,-8.613620887200037,A,A,True,True
The trend of decarceration involves:,(A) community alternatives to imprisonment and institutional care,(B) the increased use of imprisonment as the main form of punishment,(C) transferring the management of prisons to private companies,(D) decentralized organization due to the mobility of capital,A,A,True,20.0,0,-1.749290108680725,-13.763444900512695,-13.521214485168457,-11.059165000915527,5.103462984164556,-4.011082394255531,-3.138805073168543,-2.4455441137154903,-6.852753092845281,-9.752362506257164,-10.382409411999914,-8.613620887200037,A,A,True,True
"Leroy visits his parents, who live in a primarily African American working-class neighborhood. During his visit, he notices that the community is changing. Several developments have been built to accommodate single-family homes, and upscale shopping centers have been added. While Leroy appreciates these changes, he is worried that his parents will not be able to afford to continue living in their neighborhood because property values are rising. Which of the following best explains what is happening to Leroy's old neighborhood?",(A) Gentrification,(B) Urbanization,(C) White flight,(D) The demographic transition,A,A,True,20.0,0,-4.5604472160339355,-16.274587631225586,-15.351754188537598,-15.14979362487793,2.292305876811345,-6.522225124968422,-4.9693447765376835,-6.536172737677893,-6.852753092845281,-9.752362506257164,-10.382409411999914,-8.613620887200037,A,A,True,True
Booth's (1901) study revealed that the percentage of people in London who were living in poverty was:,(A) 30.70%,(B) 27.50%,(C) 18.60%,(D) 33.20%,A,C,False,20.0,0,-5.93451452255249,-7.720249652862549,-4.187203884124756,-6.4354472160339355,0.9182385702927904,2.032112853394615,6.195205527875158,2.1781736711661015,-6.852753092845281,-9.752362506257164,-10.382409411999914,-8.613620887200037,C,C,False,False
The 'new man' of the 1980s was alleged to be:,"(A) sensitive, caring, and emotional","(B) laddish, aggressive, and violent",(C) a strong and dependable breadwinner,(D) openly bisexual and proud of it,A,A,True,20.0,0,-3.937011957168579,-13.382755279541016,-13.233610153198242,-11.799188613891602,2.9157411356767016,-3.6303927732838517,-2.851200741198328,-3.1855677266915645,-6.852753092845281,-9.752362506257164,-10.382409411999914,-8.613620887200037,A,A,True,True
The 'third age' of the life course is said to involve:,(A) active non-work and independence after retirement,"(B) full time employment, family-building and adult responsibility","(C) illness, isolation and increasing dependence on others","(D) the transition from education to work, and distinctive youth cultures",A,A,True,20.0,0,-1.9995955228805542,-13.004179954528809,-11.938032150268555,-10.54195785522461,4.8531575699647265,-3.2518174482716447,-1.5556227382686405,-1.9283369680245723,-6.852753092845281,-9.752362506257164,-10.382409411999914,-8.613620887200037,A,A,True,True
The term 'emotion work' (Hochschild 1983) refers to:,(A) the techniques used to consciously manage and present emotions that are deemed appropriate for public settings of interaction,"(B) the work done by psychologists, counselors and therapists to help clients with mental and emotional problems","(C) experiences such as grieving and falling in love, which demand a lot of emotional energy from a person",(D) the way in which increasing levels of risk and anxiety have made us think more reflexively about our self-identities,A,A,True,20.0,0,-3.3730714321136475,-14.046110153198242,-14.675628662109375,-12.371665000915527,3.479681660731633,-4.293747646941078,-4.293219250109461,-3.7580441137154903,-6.852753092845281,-9.752362506257164,-10.382409411999914,-8.613620887200037,A,A,True,True
World-affirming religions:,(A) embrace conventional cultural values but offer new means of achieving them,(B) react against the loss of any meaningful religious content in the teachings of churches,(C) adopt an attitude of mild disapproval towards mainstream social values,(D) reject both the goals and means of conventional society and provide utopian alternatives,A,A,True,20.0,1,-5.2488298416137695,-5.374195575714111,-12.108610153198242,-6.061400890350342,1.4768081001109543,4.611481653319466,-1.795236522124874,2.5403683202134246,-6.725637941724724,-9.985677229033577,-10.313373631073368,-8.601769210563766,A,B,True,False
"After slavery was abolished in the USA and British Empire, policy makers claimed that former slaves migrating to these cities would experience:",(A) assimilation,(B) adaptation,(C) discrimination,(D) compensation,A,A,True,20.0,1,-5.311173915863037,-13.399587631225586,-6.747673988342285,-11.961958885192871,1.4144640258616867,-3.413910402192009,3.565699642731083,-3.3601896746291047,-6.725637941724724,-9.985677229033577,-10.313373631073368,-8.601769210563766,A,C,True,False
"In contemporary societies, social institutions are:","(A) highly specialized, interrelated sets of social practices",(B) disorganized social relations in a postmodern world,(C) virtual communities in cyberspace,(D) no longer relevant to sociology,A,A,True,20.0,1,-3.637948513031006,-14.78014850616455,-14.849390029907227,-11.90172290802002,3.087689428693718,-4.794471277130974,-4.536016398833858,-3.299953697456253,-6.725637941724724,-9.985677229033577,-10.313373631073368,-8.601769210563766,A,A,True,True
"The four ideal types of social action that Weber identified were as follows: instrumentally-rational, value-rational, traditional, and...",(A) affectual,(B) affective,(C) effective,(D) infected,A,B,False,20.0,1,-6.622815132141113,-3.5623090267181396,-10.293190956115723,-10.490243911743164,0.10282280958361056,6.423368202315437,0.020182674957645474,-1.8884747011793976,-6.725637941724724,-9.985677229033577,-10.313373631073368,-8.601769210563766,B,B,False,False
"Walt Disney, Sony and Time Warner are examples of:",(A) transnational corporations,(B) multi-media empires,(C) ownership concentrated within one medium,(D) government-owned companies,A,B,False,20.0,1,-6.247815132141113,-4.18366813659668,-13.871665000915527,-11.805353164672852,0.47782280958361056,5.802009092436897,-3.558291369842159,-3.203583954109085,-6.725637941724724,-9.985677229033577,-10.313373631073368,-8.601769210563766,B,B,False,False
Which of the following best describes the definition of poverty used by the United States government?,(A) It specifies the poverty line at a level set in the 1960s and adjusted since to reflect inflation.,"(B) It includes the value of government services, such as Medicaid or public housing, when setting the poverty line.","(C) It is based on the concept of relative deprivation, and the poverty line changes as the distribution of income changes.","(D) It is based on the concept of lifestyle, and the poverty line varies according to the needs of the individual.",A,A,True,20.0,1,-5.17574405670166,-15.851877212524414,-16.056852340698242,-14.070117950439453,1.5498938850230637,-5.866199983490837,-5.743478709624874,-5.468348739875687,-6.725637941724724,-9.985677229033577,-10.313373631073368,-8.601769210563766,A,A,True,True
