question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
The Barkhausen criterion for an oscillator,(A) Loop gain should be unity,(B) Loop gain should be less than unity,(C) The phase of a feedback signal with respect to input should be 0° or 360°,(D) Both A and C,D,-2.104682207107544,-1.9136533737182617,-2.4775543212890625,-2.161966323852539,B,False
Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because,(A) It loads the circuit moderately.,(B) It loads the circuit to maximum extent.,(C) It uses centre zero galvanometer instead of voltmeter.,(D) It does not load the circuit at all.,D,-2.1458680629730225,-2.7006001472473145,-3.0777158737182617,-2.6994407176971436,A,False
Which of these sets of logic gates are designated as universal gates?,"(A) NOR, NAND.","(B) XOR, NOR, NAND.","(C) OR, NOT, AND.","(D) NOR, NAND, XNOR.",A,-2.745659112930298,-2.4940714836120605,-2.8065714836120605,-3.0565714836120605,B,False
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is",(A) 30° to 150°.,(B) 30° to 180°.,(C) 60° to 120°.,(D) 60° to 180°.,A,-2.2853002548217773,-2.407036781311035,-2.347058057785034,-2.658768892288208,A,True
A box which tells the effect of inputs on control sub system is known as,(A) Data Box.,(B) Logical box.,(C) Decision box.,(D) State box.,C,-3.2224349975585938,-3.533355712890625,-1.9091696739196777,-2.6591696739196777,C,True
Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is,(A) same as that produced by one plate.,(B) double the field produced by one plate.,(C) dependent on coordinates of field points.,(D) zero.,D,-2.084582567214966,-1.8304389715194702,-3.3929390907287598,-2.5795865058898926,B,False
The resistance in the circuit of the moving coil of a dynamometer wattmeter should be,(A) Low.,(B) Very low.,(C) High.,(D) Almost zero.,C,-2.666217088699341,-2.9116532802581787,-2.41438627243042,-2.4728002548217773,C,True
The following are the necessary requirements of an oscillator,(A) Amplitude stability,(B) Frequency stability,(C) Power stability,(D) Both A and B,D,-2.2923262119293213,-2.038393497467041,-2.854222059249878,-2.4777634143829346,B,False
The normal voltage used in directional heating is,(A) 1.5 KV.,(B) 15 KV.,(C) 33 KV.,(D) 66 KV.,A,-2.1495347023010254,-2.5208680629730225,-2.336143970489502,-3.0851354598999023,A,True
LC oscillators are used for produce a waveform with frequency ranging from,(A) 1MHz to 500 MHz,(B) 100 KHz to 500 MHz,(C) 1 KHz to 1 MHz,(D) 1MHz to 100 GHz,A,-2.3991031646728516,-2.7708680629730225,-1.890405535697937,-2.959582567214966,C,False
A working diode must have,(A) High resistance when forward or reverse biased,"(B) Low resistance when forward biased, while high resistance when reverse bias","(C) High resistance when forward biased, while low resistance when reverse bias",(D) Low resistance when forward or reverse biased,B,-2.073432207107544,-2.5074033737182617,-2.2574033737182617,-2.944375514984131,A,False
What is the name of the fluorescent material that gives red colour fluorescence?,(A) Zinc silicate.,(B) Calcium silicate.,(C) Zinc sulphide.,(D) Magnesium silicate.,D,-3.0372695922851562,-3.286330461502075,-2.2250638008117676,-2.408355712890625,C,False
How many bits are required to store one BCD digit ?,(A) 1,(B) 2,(C) 3,(D) 4,D,-2.8072662353515625,-1.994429588317871,-2.620379686355591,-3.369429588317871,B,False
Commutator in DC generator is used for,(A) collecting of current,(B) reduce losses,(C) increase efficiency,(D) convert AC armature current in to DC,D,-2.3669052124023438,-2.675743818283081,-2.302744150161743,-2.175743818283081,D,True
1 F is theoretically equal to,(A) 1 ohm of resistance,(B) ratio of 1 V to 1 C,(C) ratio of 1 C to 1 V,(D) none of these,C,-2.730602502822876,-2.9163906574249268,-1.9709484577178955,-3.1660380363464355,C,True
How many entries will be in the truth table of a 3 input NAND gate ?,(A) 3,(B) 6,(C) 8,(D) 9,C,-2.745379686355591,-2.1807847023010254,-2.369429588317871,-3.1807847023010254,B,False
In decimal number system what is MSD,(A) First digit from left to right,(B) First digit from right to left,(C) Middle digit,(D) Mean of all digits,A,-1.6568597555160522,-3.0375638008117676,-2.9775543212890625,-3.60188627243042,A,True
"In Digital Logic Designs, GAL is abbreviated as",(A) General Advance Logic,(B) General Array Logic,(C) Generic Advance Logic,(D) Generic Array Logic,D,-3.275503158569336,-2.6491031646728516,-2.3370347023010254,-2.5856552124023438,C,False
Inintel 8085A microprocessor ALE signal is made high to,(A) Enable the data bus to be used as low order address bus,(B) To latch data D0-D7 from data bus,(C) To disable data bus,(D) To achieve all the functions listed above,A,-2.3021180629730225,-3.045440435409546,-2.6771180629730225,-2.4806907176971436,A,True
For an SCR gate cathode characteristic is a straight line of 130. For triggered source volume of 15 V and allowable gate power dissipation of 0.5 W compute the gate source resistance?,(A) 111.9 ohm,(B) 11.19 ohm,(C) 108 ohm,(D) 115 ohm,A,-2.2926011085510254,-2.2906627655029297,-2.2301011085510254,-3.1031627655029297,C,False
The concept of V/f control of inverters driving induction motors resuls in,(A) constant torque operation,(B) speed reversal,(C) reduced magnetic loss,(D) hormonic elimination,A,-2.181929588317871,-2.240244150161743,-2.3053531646728516,-2.8036134243011475,A,True
"The energy stored in the magnetic field in a solenoid 30 cm long and 3 cm diameter wound with 1000 turns of wire carrying a current at 10 amp, is",(A) 0.015 joule.,(B) 0.15 joule.,(C) 0.015 joule.,(D) 1.15 joule.,B,-2.193216323852539,-2.186840295791626,-2.1279196739196777,-2.8137402534484863,C,False
"While operating on variable frequency supplies, the AC motor requires variable voltage in order to",(A) protect the insulation.,(B) avoid effect of saturation.,(C) improve the capabilities of the inverter.,(D) protect thyristor from dV / dt.,B,-2.8981552124023438,-2.9554390907287598,-2.2083680629730225,-2.2661800384521484,C,False
Which of the following windings are necessary in case of all dc machines?,(A) closed winding,(B) lap winding,(C) wave winding,(D) open type winding,A,-2.2731552124023438,-2.7717928886413574,-2.8378214836120605,-3.0856552124023438,A,True
Relaxation Voltage controlled oscillators are used to generate,(A) Sinusoidal wave,(B) Triangular wave,(C) Sawtooth wave,(D) Both B and C,D,-2.8075826168060303,-2.3038854598999023,-2.369429588317871,-2.367393970489502,B,False
