question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
Which of the following countries has sent landers to Venus?,(A) The U.S.S.R.,(B) The U.S.,(C) France,(D) A and B,A,A,True,20.0,0,-0.7419145703315735,-1.9476619958877563,-2.7499001026153564,-1.4122456312179565,1.2122234035179846,0.13929080492299484,-0.6832080610717335,1.163937100674957,-1.9541379738495581,-2.086952800810751,-2.066692041543623,-2.5761827318929136,A,A,True,True
How do scientists know that the majority of meteorites come from the asteroid belt?,(A) The spectra of some meteorites are similar to the spectra of asteroids in the asteroid belt.,(B) The asteroid belt is the only possible source of meteorites therefore they must originate there.,(C) Collisions are common in the asteroid belt and we can track the fragments from their source asteroid to the Earth where they become meteorites.,(D) High levels of Iridum have been detected in both asteroids and meteorites therefore meteorites come from the asteroid belt.,A,A,True,20.0,0,-0.5980996489524841,-3.820267677307129,-0.973466694355011,-3.718287706375122,1.356038324897074,-1.7333148764963777,1.093225347188612,-1.1421049744822085,-1.9541379738495581,-2.086952800810751,-2.066692041543623,-2.5761827318929136,A,A,True,True
Which of the following most likely explains why Venus does not have a strong magnetic field?,(A) Its rotation is too slow.,(B) It has too thick an atmosphere.,(C) It is too large.,(D) It does not have a metallic core.,A,B,False,20.0,0,-1.777740240097046,-0.6438194513320923,-2.5441935062408447,-1.6372473239898682,0.17639773375251222,1.443133349478659,-0.47750146469722177,0.9389354079030454,-1.9541379738495581,-2.086952800810751,-2.066692041543623,-2.5761827318929136,B,B,False,False
Which of the following methods has led to the most discoveries of massive planets orbiting near their parent stars?,(A) detecting the gravitational effect of an orbiting planet by looking for the Doppler shifts in the star's spectrum,(B) detecting the shift of the star's position against the sky due to the planet's gravitational pull,(C) detecting a planet ejected from a binary star system,(D) detecting the starlight reflected off the planet,A,A,True,20.0,0,-0.2503493130207062,-2.3842060565948486,-3.2470548152923584,-3.0271077156066895,1.703788660828852,-0.29725325578409745,-1.1803627737487354,-0.4509249837137759,-1.9541379738495581,-2.086952800810751,-2.066692041543623,-2.5761827318929136,A,A,True,True
"What is true for a type-Ia (""type one-a"") supernova?",(A) This type occurs in binary systems.,(B) This type occurs in young galaxies.,(C) This type produces gamma-ray bursts.,(D) This type produces high amounts of X-rays.,A,C,False,20.0,0,-1.582884430885315,-1.7753074169158936,-1.1533540487289429,-1.2684249877929688,0.3712535429642432,0.31164538389485763,0.9133379928146801,1.3077577440999448,-1.9541379738495581,-2.086952800810751,-2.066692041543623,-2.5761827318929136,C,D,False,False
Our current best observations show that Pluto has,(A) one medium sized satellite and two small satellites.,(B) no satellites.,(C) one large satellite and three small satellites.,(D) one large satellite.,A,A,True,20.0,0,-0.8443282842636108,-1.5575705766677856,-1.4975579977035522,-2.1925289630889893,1.1098096895859473,0.5293822241429655,0.5691340438400707,0.3836537688039243,-1.9541379738495581,-2.086952800810751,-2.066692041543623,-2.5761827318929136,A,A,True,True
Mars has an atmosphere that is almost entirely carbon dioxide.Why isn't there a strong greenhouse effect keeping the planet warm?,(A) the atmosphere on Mars is too thin to trap a significant amount of heat,(B) There actually is a strong greenhouse effect and Mars would be 35oC colder than it is now without it.,(C) Mars does not have enough internal heat to drive the greenhouse effect,(D) the greenhouse effect requires an ozone layer which Mars does not have,A,A,True,20.0,1,-0.8753801584243774,-2.831989288330078,-1.2311155796051025,-1.663296103477478,1.0537141678440902,-0.8160644940928452,0.8327329326421022,0.8687507955150471,-1.9290943262684677,-2.015924794237233,-2.063848512247205,-2.532046898992525,A,A,True,True
Kirkwood gaps are observed in the main asteroid belt including at the position(s) where:,(A) asteroids would orbit with a period half that of Jupiter,(B) asteroids would orbit with a period twice that of Jupiter,(C) asteroids would orbit with a period twice that of Mars,(D) A and B,A,A,True,20.0,1,-1.0619382858276367,-1.3794903755187988,-3.0287957191467285,-1.1166412830352783,0.8671560404408309,0.6364344187184341,-0.9649472068995237,1.4154056159572468,-1.9290943262684677,-2.015924794237233,-2.063848512247205,-2.532046898992525,A,D,True,False
Earth has been gradually warming over the past few decades. Based on a great deal of evidence scientists conclude that this warming is caused by ________.,(A) human activities that are increasing the concentration of greenhouse gases in Earth's atmosphere,(B) the fact that our politicians spout a lot of hot air,(C) the human release of chemicals called CFCs into the stratosphere,(D) the increase in forest fires during recent years,A,A,True,20.0,1,-0.04441818222403526,-4.816778182983398,-4.810727596282959,-5.841521739959717,1.8846761440444324,-2.8008533887461655,-2.746879084035754,-3.3094748409671917,-1.9290943262684677,-2.015924794237233,-2.063848512247205,-2.532046898992525,A,A,True,True
What defines the habitable zone around a star?,(A) the region around a star where liquid water can potentially exist on planetary surfaces,(B) the region around a star where humans can survive,(C) the region around a star where the ultraviolet radiation does not destroy organisms on a planetary surface,(D) the region around a star where life exists,A,A,True,20.0,1,-0.10962431877851486,-4.362273693084717,-2.808464765548706,-4.071812629699707,1.8194700074899528,-2.346348898847484,-0.7446162533015013,-1.539765730707182,-1.9290943262684677,-2.015924794237233,-2.063848512247205,-2.532046898992525,A,A,True,True
The Large Magellanic Cloud is ...,(A) a dwarf galaxy orbiting the Milky Way.,(B) the closest planetary nebula to the Earth.,(C) a bright star cluster discovered by Magellan.,(D) the outer arm of the Milky Way named after Magellan.,A,A,True,20.0,1,-0.1372946798801422,-3.4052300453186035,-3.3400094509124756,-3.2562122344970703,1.7917996463883255,-1.3893052510813706,-1.2761609386652708,-0.7241653355045452,-1.9290943262684677,-2.015924794237233,-2.063848512247205,-2.532046898992525,A,A,True,True
Why is Saturn almost as big as Jupiter despite its smaller mass?,(A) Jupiter's greater mass compresses it more thus increasing its density.,(B) Saturn has a larger proportion of hydrogen and helium than Jupiter and is therefore less dense.,(C) Jupiter's strong magnetic field constrains its size.,(D) Saturn is further from the Sun thus cooler and therefore less compact.,A,B,False,20.0,1,-4.134222030639648,-0.044976331293582916,-4.487321376800537,-5.007547378540039,-2.205127704371181,1.97094846294365,-2.4234728645533323,-2.475500479547514,-1.9290943262684677,-2.015924794237233,-2.063848512247205,-2.532046898992525,B,B,False,False
Which of these has NOT been one of the main hypotheses considered for the origin of the Moon?,(A) The Moon split from the Earth due to tidal forces.,(B) The Moon was captured into Earth orbit.,(C) The Earth and Moon co-accreted in the solar nebula.,(D) Earth was rotating so rapidly that the Moon split from it.,A,A,True,20.0,2,-1.0118423700332642,-1.652353048324585,-1.7766746282577515,-1.5094356536865234,0.9631110395097897,0.44112129162790037,0.34142153906739425,1.0471637879705264,-1.9749534095430539,-2.0934743399524853,-2.1180961673251457,-2.55659944165705,A,D,True,False
Which of the following is not true?,(A) The Earth and Venus are in a 1:1 orbital resonance (for every 1 Earth orbit there is exactly 1 Venus orbit),(B) Neptune and Pluto are in a 3:2 orbital resonance (for every 3 Neptune orbits there are exactly 2 Pluto orbits),(C) The Kirkwood Gaps in the asteroid belt are due to resonances with Jupiter,(D) Neptune and Pluto won't collide because of their orbital resonance,A,A,True,20.0,2,-1.0585954189300537,-1.5753413438796997,-1.9660022258758545,-1.3059295415878296,0.9163579906130002,0.5181329960727856,0.15209394144929123,1.2506699000692203,-1.9749534095430539,-2.0934743399524853,-2.1180961673251457,-2.55659944165705,A,D,True,False
The astronomical unit parsec (pc) plays a crucial role in astronomy. One parsec is equal to about 3.26 light-years. How is one parsec defined in astronomy?,(A) Distance at which one astronomical unit measures one arcsecond from Earth.,(B) Orbital distance of the solar system around the center of the Milky Way in one year.,(C) Effective distance of the solar wind (i.e. the radius of the heliosphere).,(D) Historical distance to the brightest star Sirius.,A,A,True,20.0,2,-0.10007958114147186,-4.0011749267578125,-3.708735704421997,-3.9950413703918457,1.874873828401582,-1.9077005868053272,-1.5906395370968514,-1.4384419287347958,-1.9749534095430539,-2.0934743399524853,-2.1180961673251457,-2.55659944165705,A,A,True,True
Why do Uranus and Neptune have blue methane clouds but Jupiter and Saturn do not?,(A) Methane does not condense into ice in the warmer atmospheric temperatures of Jupiter and Saturn.,(B) Methane did not exist in the solar nebula at the radii of Jupiter and Saturn when the planets formed.,(C) The relatively slow rotation of Uranus and Neptune allows methane to migrate to higher levels in the atmosphere and condense into clouds.,(D) Methane reacts with the abundant ammonia clouds in Jupiter and Saturn and is removed from the atmosphere.,A,C,False,20.0,2,-2.454655647277832,-4.206575393676758,-0.1721595674753189,-3.1869726181030273,-0.47970223773477816,-2.1131010537242725,1.9459365998498268,-0.6303731764459775,-1.9749534095430539,-2.0934743399524853,-2.1180961673251457,-2.55659944165705,C,C,False,False
What does the astronomical term ecliptic describe?,(A) The path of the Sun in the sky throughout a year.,(B) The axial tilt of the Earth throughout a year.,(C) The movement of the stars due to Earth’s rotation.,(D) The central line through the axis of rotation.,A,A,True,20.0,2,-0.0805087611079216,-3.8446285724639893,-3.898444652557373,-3.8410451412200928,1.8944446484351323,-1.751154232511504,-1.7803484852322273,-1.2844456995630429,-1.9749534095430539,-2.0934743399524853,-2.1180961673251457,-2.55659944165705,A,A,True,True
Find the best approximation for the surface temperature of the Sun:,(A) 6000 K,(B) 7000 K,(C) 9000 K,(D) 13000 K,A,B,False,20.0,2,-1.0106383562088013,-0.9332758188247681,-1.9683382511138916,-2.6048009395599365,0.9643150533342526,1.1601985211277173,0.14975791621125412,-0.048201497902886636,-1.9749534095430539,-2.0934743399524853,-2.1180961673251457,-2.55659944165705,B,B,False,False
Approximately how old is the surface of Venus?,(A) 750 million years.,(B) 2 billion years.,(C) 3 billion years.,(D) 4.5 billion years.,A,D,False,20.0,3,-3.1196579933166504,-2.4947619438171387,-0.8910874724388123,-0.8233555555343628,-1.2538171075801883,-0.3102576890960336,1.2223836465014353,1.5580980475060642,-1.8658408857364621,-2.184504254721105,-2.1134711189402475,-2.381453603040427,D,D,False,False
The so-called “bigfoot” on Mars was actually a rock that was about 5 cm tall. It had an angular size of about 0.5 degrees (~30 pixels). How far away was this rock from the rover?,(A) About 6 meters,(B) About 6 feet,(C) About 10 meters,(D) About 10 feet,A,A,True,20.0,3,-0.7879275679588318,-1.5043343305587769,-1.6553590297698975,-2.411628007888794,1.0779133177776303,0.6801699241623282,0.45811208917035007,-0.030174404848366976,-1.8658408857364621,-2.184504254721105,-2.1134711189402475,-2.381453603040427,A,A,True,True
How are planetary rings made?,(A) From the dismantling of small moons by impacts,(B) From fragments of planets ejected by impacts,(C) From dust grains that escape from passing comets,(D) From accretion within the solar nebula at the same time the planets formed,A,A,True,20.0,3,-0.6290151476860046,-3.0602869987487793,-1.6812435388565063,-1.5353519916534424,1.2368257380504575,-0.8757827440276742,0.4322275800837412,0.8461016113869846,-1.8658408857364621,-2.184504254721105,-2.1134711189402475,-2.381453603040427,A,A,True,True
Why are there no impact craters on the surface of Io?,(A) Io did have impact craters but they have all been buried in lava flows.,(B) It is too small to have been hit during the Late Heavy Bombardment,(C) Jupiter's strong gravity attracted the planetesimals more strongly than Io and thus none landed on its surface.,(D) Any craters that existed have been eroded through the strong winds on Io's surface.,A,C,False,20.0,3,-1.6453503370285034,-1.164428949356079,-1.1331969499588013,-2.025904417037964,0.2204905487079587,1.020075305365026,0.9802741689814463,0.3555491860024631,-1.8658408857364621,-2.184504254721105,-2.1134711189402475,-2.381453603040427,C,B,False,False
Why is Saturn almost as big as Jupiter despite its smaller mass?,(A) Jupiter's greater mass compresses it more thus increasing its density.,(B) Saturn has a larger proportion of hydrogen and helium than Jupiter and is therefore less dense.,(C) Saturn is further from the Sun thus cooler and therefore less compact.,(D) Saturn's rings make the planet look bigger.,A,B,False,20.0,3,-3.717089891433716,-0.07219196110963821,-3.8708324432373047,-4.698807239532471,-1.8512490056972537,2.112312293611467,-1.7573613242970572,-2.3173536364920437,-1.8658408857364621,-2.184504254721105,-2.1134711189402475,-2.381453603040427,B,B,False,False
