Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,social-interactions,1.0,antonym,1.0,Chao is making Yan's job easier.,Is Chao helping Yan?,Yes,0,-0.0023818016052246094,-6.062496185302734,-0.22326952715714743,-5.8416084597508116,0.22088772555192282,Yes,True
2.0,1.0,social-interactions,1.0,antonym,1.0,Chao is making Yan's job easier.,Is Chao hindering Yan?,No,0,-8.374995231628418,-0.0002658367156982422,-8.59588295718034,0.22062188883622458,0.22088772555192282,No,True
3.0,1.0,social-interactions,1.0,antonym,2.0,Chao is making Yan's job harder.,Is Chao helping Yan?,No,0,-8.312438011169434,-0.0002963543520309031,-8.533325736721356,0.22059137119989192,0.22088772555192282,No,True
4.0,1.0,social-interactions,1.0,antonym,2.0,Chao is making Yan's job harder.,Is Chao hindering Yan?,Yes,0,-0.0002963542938232422,-8.312499046325684,-0.22118407984574606,-8.091611320773762,0.22088772555192282,Yes,True
5.0,2.0,social-interactions,2.0,antonym,1.0,Chao is assisting Yan.,Is Chao helping Yan?,Yes,0,-0.00010716920223785564,-9.499996185302734,-0.22099489475416068,-9.279108459750812,0.22088772555192282,Yes,True
6.0,2.0,social-interactions,2.0,antonym,1.0,Chao is assisting Yan.,Is Chao hindering Yan?,No,0,-9.937487602233887,-0.00014650821685791016,-10.158375327785809,0.2207412173350649,0.22088772555192282,No,True
7.0,2.0,social-interactions,2.0,antonym,2.0,Chao is obstructing Yan.,Is Chao helping Yan?,No,0,-8.999664306640625,-0.0015043048188090324,-9.220552032192547,0.2193834207331138,0.22088772555192282,No,True
8.0,2.0,social-interactions,2.0,antonym,2.0,Chao is obstructing Yan.,Is Chao hindering Yan?,Yes,0,-0.0006852151127532125,-7.656242847442627,-0.22157294066467603,-7.435355121890704,0.22088772555192282,Yes,True
9.0,3.0,social-interactions,3.0,antonym,1.0,Chao is removing obstacles in the path of Yan.,Is Chao helping Yan?,Yes,0,-0.001669764518737793,-6.406249523162842,-0.2225574900706606,-6.185361797610919,0.22088772555192282,Yes,True
10.0,3.0,social-interactions,3.0,antonym,1.0,Chao is removing obstacles in the path of Yan.,Is Chao hindering Yan?,No,0,-9.937491416931152,-0.0001424551010131836,-10.158379142483074,0.22074527045090964,0.22088772555192282,No,True
11.0,3.0,social-interactions,3.0,antonym,2.0,Chao is introducing obstacles in the path of Yan.,Is Chao helping Yan?,No,0,-11.687457084655762,-0.0002727509126998484,-11.908344810207684,0.22061497463922297,0.22088772555192282,No,True
12.0,3.0,social-interactions,3.0,antonym,2.0,Chao is introducing obstacles in the path of Yan.,Is Chao hindering Yan?,Yes,0,-0.00011360645294189453,-9.125,-0.22100133200486471,-8.904112274448078,0.22088772555192282,Yes,True
13.0,4.0,social-interactions,4.0,antonym,1.0,Chao and Yan are working with each other.,Is Chao cooperating with Yan?,Yes,0,-0.0007343292236328125,-7.374998092651367,-0.22162205477555563,-7.154110367099444,0.22088772555192282,Yes,True
14.0,4.0,social-interactions,4.0,antonym,1.0,Chao and Yan are working with each other.,Is Chao competing with Yan?,No,0,-8.312451362609863,-0.0010339024011045694,-8.533339088161785,0.21985382315081825,0.22088772555192282,No,True
15.0,4.0,social-interactions,4.0,antonym,2.0,Chao and Yan are working against each other.,Is Chao cooperating with Yan?,No,0,-13.187457084655762,-8.440022065769881e-05,-13.408344810207684,0.22080332533126512,0.22088772555192282,No,True
16.0,4.0,social-interactions,4.0,antonym,2.0,Chao and Yan are working against each other.,Is Chao competing with Yan?,Yes,0,-0.0007468461990356445,-7.25,-0.22163457175095846,-7.029112274448077,0.22088772555192282,Yes,True
17.0,5.0,social-interactions,5.0,antonym,1.0,Chao and Yan are helping each other.,Is Chao cooperating with Yan?,Yes,0,-0.00019872188568115234,-8.812499046325684,-0.22108644743760397,-8.591611320773762,0.22088772555192282,Yes,True
18.0,5.0,social-interactions,5.0,antonym,1.0,Chao and Yan are helping each other.,Is Chao competing with Yan?,No,0,-7.937445163726807,-0.0012933018151670694,-8.158332889278729,0.21959442373675575,0.22088772555192282,No,True
