question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
The best type of laser with which to do spectroscopy over a range of visible wavelengths is,(A) a dye laser,(B) a helium-neon laser,(C) an excimer laser,(D) a ruby laser,A,C,False,20.0,0,-4.468526363372803,-0.8588305711746216,-0.6089236736297607,-4.780603408813477,-0.916165292301836,1.0030103143304587,0.8304328073437015,0.12782578766345942,-3.5523610710709668,-1.8618408855050803,-1.4393564809734622,-4.908429196476936,C,B,False,False
"At the present time, the temperature of the universe (i.e., the microwave radiation background) is about 3 K. When the temperature was 12 K, typical objects in the universe, such as galaxies, were",(A) one-quarter as distant as they are today,(B) one-half as distant as they are today,(C) separated by about the same distances as they are today,(D) two times as distant as they are today,A,C,False,20.0,0,-3.9216983318328857,-1.1793748140335083,-0.42751994729042053,-4.874664783477783,-0.369337260761919,0.682466071471572,1.0118365336830417,0.03376441299915278,-3.5523610710709668,-1.8618408855050803,-1.4393564809734622,-4.908429196476936,C,C,False,False
The best type of laser with which to do spectroscopy over a range of visible wavelengths is,(A) a dye laser,(B) a helium-neon laser,(C) an excimer laser,(D) a ruby laser,A,C,False,20.0,0,-4.468526363372803,-0.8588305711746216,-0.6089236736297607,-4.780603408813477,-0.916165292301836,1.0030103143304587,0.8304328073437015,0.12782578766345942,-3.5523610710709668,-1.8618408855050803,-1.4393564809734622,-4.908429196476936,C,B,False,False
"Protons used in cancer therapy are typically accelerated to about 0.6c. How much work must be done on a particle of mass m in order for it to reach this speed, assuming it starts at rest?",(A) 0.25mc^2,(B) 0.60mc^2,(C) 0.67mc^2,(D) 1.25mc^2,A,C,False,20.0,0,-4.374820709228516,-0.8276876211166382,-0.7029640674591064,-4.062012195587158,-0.8224596381575489,1.0341532643884421,0.7363924135143558,0.8464170008897778,-3.5523610710709668,-1.8618408855050803,-1.4393564809734622,-4.908429196476936,C,B,False,False
"The surface of the Sun has a temperature close to 6,000 K and it emits a blackbody (Planck) spectrum that reaches a maximum near 500 nm. For a body with a surface temperature close to 300 K, at what wavelength would the thermal spectrum reach a maximum?",(A) 10:00 PM,(B) 100 Pm,(C) 10 mm,(D) 100 mm,A,C,False,20.0,0,-6.281012058258057,-3.0934250354766846,-0.08815660327672958,-3.843463182449341,-2.72865098718709,-1.2315841499716043,1.3511998776967327,1.0649660140275952,-3.5523610710709668,-1.8618408855050803,-1.4393564809734622,-4.908429196476936,C,C,False,False
"Protons used in cancer therapy are typically accelerated to about 0.6c . How much work must be done on a particle of mass m in order for it to reach this speed, assuming it starts at rest?",(A) 0.25mc^2,(B) 0.60mc^2,(C) 0.67mc^2,(D) 1.25mc^2,A,C,False,20.0,1,-4.28094482421875,-0.8351393342018127,-0.710594117641449,-4.03036642074585,-0.654163280168238,1.2270274605602025,0.4854528698449334,0.6685684432586037,-3.626781544050512,-2.0621667947620153,-1.1960469874863824,-4.698934864004453,C,B,False,False
"A nonrelativistic particle with a charge twice that of an electron moves through a uniform magnetic field. The field has a strength of π/4 tesla and is perpendicular to the velocity of the particle. What is the particle’s mass if it has a cyclotron frequency of 1,600 hertz?",(A) 2.5 * 10^-23 kg,(B) 1.2 * 10^-22 kg,(C) 3.3 * 10^-22 kg,(D) 5.0 * 10^-21 kg,A,C,False,20.0,1,-3.546686887741089,-1.5543333292007446,-0.30249133706092834,-4.624480724334717,0.08009465630942314,0.5078334655612706,0.893555650425454,0.07445413966973646,-3.626781544050512,-2.0621667947620153,-1.1960469874863824,-4.698934864004453,C,C,False,False
"Two simple pendulums A and B consist of identical masses suspended from strings of length L_A and L_B, respectively. The two pendulums oscillate in equal gravitational fields. If the period of pendulum B is twice the period of pendulum A, which of the following is true of the lengths of the two pendulums?",(A) L_B = 4L_A,(B) L_B = 2L_A,(C) L_B = L_A,(D) L_B = 1/2 L_A,A,B,False,20.0,1,-6.0934038162231445,-0.08395804464817047,-3.2029309272766113,-5.0932464599609375,-2.4666222721726325,1.9782087501138448,-2.006883939790229,-0.39431159595648424,-3.626781544050512,-2.0621667947620153,-1.1960469874863824,-4.698934864004453,B,B,False,False
Electromagnetic radiation provides a means to probe aspects of the physical universe. Which of the following statements regarding radiation spectra is NOT correct?,"(A) Lines in the infrared, visible, and ultraviolet regions of the spectrum reveal primarily the nuclear structure of the sample.",(B) The wavelengths identified in an absorption spectrum of an element are among those in its emission spectrum.,(C) Absorption spectra can be used to determine which elements are present in distant stars.,(D) Spectral analysis can be used to identify the composition of galactic dust.,A,A,True,20.0,1,-0.9643099308013916,-2.5931036472320557,-1.718061923980713,-1.0926506519317627,2.6624716132491204,-0.5309368524700404,-0.5220149364943305,3.6062842120726906,-3.626781544050512,-2.0621667947620153,-1.1960469874863824,-4.698934864004453,A,D,True,False
"One end of a horizontal, massless spring is attached to a wall. A mass of 0.30 kg is attached to the other end of the spring and rests on a table. The mass is displaced 0.030 m from its equilibrium position and released. It has a speed of 0.040 m/s as it passes through its equilibrium position. In the absence of friction, what is the total mechanical energy of the system?",(A) 0.24 mJ,(B) 0.38 mJ,(C) 0.48 mJ,(D) 0.75 mJ,A,C,False,20.0,1,-3.1872386932373047,-1.3824294805526733,-0.3805796205997467,-4.499541759490967,0.4395428508132073,0.6797373142093419,0.8154673668866357,0.19939310451348646,-3.626781544050512,-2.0621667947620153,-1.1960469874863824,-4.698934864004453,C,C,False,False
"The emission spectrum of the doubly ionized lithium atom Li++ (Z = 3, A = 7) is identical to that of a hydrogen atom in which all the wavelengths are",(A) decreased by a factor of 9,(B) decreased by a factor of 49,(C) decreased by a factor of 81,(D) increased by a factor of 9,A,C,False,20.0,2,-4.249820709228516,-1.374619960784912,-0.37278619408607483,-3.499642848968506,-0.5841532230842859,0.38916564161578804,0.9946026291077337,1.1489120314518608,-3.6656674861442298,-1.7637856024007001,-1.3673888231938085,-4.648554880420367,C,D,False,False
"The energy required to remove both electrons from the helium atom in its ground state is 79.0 eV. How much energy is required to ionize helium (i.e., to remove one electron)?",(A) 24.6 eV,(B) 39.5 eV,(C) 51.8 eV,(D) 54.4 eV,A,A,True,20.0,2,-0.7927126288414001,-1.4136418104171753,-1.2888072729110718,-5.655642509460449,2.8729548573028296,0.35014379198352485,0.07858155028273672,-1.0070876290400825,-3.6656674861442298,-1.7637856024007001,-1.3673888231938085,-4.648554880420367,A,A,True,True
"The emission spectrum of the doubly ionized lithium atom Li++ (Z = 3, A = 7) is identical to that of a hydrogen atom in which all the wavelengths are",(A) decreased by a factor of 9,(B) decreased by a factor of 49,(C) decreased by a factor of 81,(D) increased by a factor of 9,A,C,False,20.0,2,-4.249820709228516,-1.374619960784912,-0.37278619408607483,-3.499642848968506,-0.5841532230842859,0.38916564161578804,0.9946026291077337,1.1489120314518608,-3.6656674861442298,-1.7637856024007001,-1.3673888231938085,-4.648554880420367,C,D,False,False
A single-electron atom has the electron in the l = 2 state. The number of allowed values of the quantum number m_l is,(A) 5,(B) 4,(C) 3,(D) 2,A,C,False,20.0,2,-4.437222003936768,-1.4292327165603638,-0.30444398522377014,-5.249411582946777,-0.7715545177925378,0.3345528858403364,1.0629448379700384,-0.6008567025264107,-3.6656674861442298,-1.7637856024007001,-1.3673888231938085,-4.648554880420367,C,C,False,False
De Broglie hypothesized that the linear momentum and wavelength of a free massive particle are related by which of the following constants?,(A) Planck’s constant,(B) Boltzmann’s constant,(C) The Rydberg constant,(D) The speed of light,A,A,True,20.0,2,-0.004514128435403109,-6.686980724334717,-8.499333381652832,-7.936467170715332,3.6611533577088267,-4.923195121934016,-7.131944558459024,-3.2879122902949653,-3.6656674861442298,-1.7637856024007001,-1.3673888231938085,-4.648554880420367,A,A,True,True
The eigenvalues of a Hermitian operator are always,(A) real,(B) imaginary,(C) degenerate,(D) linear,A,C,False,20.0,3,-1.1014938354492188,-3.2342915534973145,-0.47646260261535645,-6.468596458435059,2.7401986479836826,-1.6781254402051369,0.7049321672568718,-1.8712620496749874,-3.8416924834329014,-1.5561661132921776,-1.1813947698722282,-4.597334408760071,C,A,False,True
"Positronium is an atom formed by an electron and a positron (antielectron). It is similar to the hydrogen atom, with the positron replacing the proton. If a positronium atom makes a transition from the state with n=3 to a state with n=1, the energy of the photon emitted in this transition is closest to",(A) 6.0 e,(B) 6.8 eV,(C) 12.2 eV,(D) 13.6 eV,A,B,False,20.0,3,-4.780832767486572,-0.6083894968032837,-0.8588305711746216,-5.217615604400635,-0.9391402840536709,0.9477766164888939,0.32256419869760666,-0.6202811956405636,-3.8416924834329014,-1.5561661132921776,-1.1813947698722282,-4.597334408760071,B,B,False,False
"The negative muon, mu^-, has properties most similar to which of the following?",(A) Electron,(B) Meson,(C) Photon,(D) Boson,A,A,True,20.0,3,-0.1678227335214615,-2.7966983318328857,-3.2967610359191895,-3.296661853790283,3.67386974991144,-1.2405322185407082,-2.115366266046961,1.300672554969788,-3.8416924834329014,-1.5561661132921776,-1.1813947698722282,-4.597334408760071,A,A,True,True
Electromagnetic radiation emitted from a nucleus is most likely to be in the form of,(A) gamma rays,(B) microwaves,(C) ultraviolet radiation,(D) visible light,A,A,True,20.0,3,-0.003965504467487335,-6.937254428863525,-7.0623087882995605,-9.061980247497559,3.837726978965414,-5.381088315571348,-5.880914018427332,-4.464645838737487,-3.8416924834329014,-1.5561661132921776,-1.1813947698722282,-4.597334408760071,A,A,True,True
