question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
In recent years social media has had a major impact on the practice of public relations. In which of the following areas has the impact been greatest and experienced most immediately?,(A) Politics,(B) Retail business,(C) Automotive sales,(D) Nonprofits,A,A,True,20.0,0,-0.15685780346393585,-3.077404022216797,-4.5307769775390625,-2.5772552490234375,2.187351815837125,-0.4989593954756857,-2.1810083805272975,-0.4772862115564447,-2.344209619301061,-2.578444626741111,-2.349768597011765,-2.099969037466993,A,A,True,True
The 'internal factors' portion of a firm's public relations situation analysis often includes,(A) a communication audit,(B) strategy suggestions,(C) community focus groups,(D) a listing of media contacts,A,A,True,20.0,0,-0.1375134140253067,-4.530858039855957,-3.827784299850464,-2.6714236736297607,2.206696205275754,-1.9524134131148458,-1.4780157028386989,-0.5714546361627679,-2.344209619301061,-2.578444626741111,-2.349768597011765,-2.099969037466993,A,A,True,True
Which of these definitions best describes the 'spiral of silence'?,(A) When victims of abuse remain silent about the abuse,(B) When people hide their opinions if they do not agree with the majority,(C) When people hide their opinions if they are in disagreement with their close peers or family members,(D) When public relations uses opinion poll results to generate support for a particular issue,A,B,False,20.0,0,-4.03071403503418,-0.5383470058441162,-1.1400270462036133,-2.9056427478790283,-1.6865044157331188,2.040097620896995,1.2097415508081517,-0.8056737104120355,-2.344209619301061,-2.578444626741111,-2.349768597011765,-2.099969037466993,B,B,False,False
Which type of writing employs the pyramid structure?,(A) Media writing,(B) Personal writing,(C) Business writing,(D) Promotional writing,A,A,True,20.0,0,-0.8044978380203247,-3.671686887741089,-1.9060759544372559,-1.0075491666793823,1.5397117812807362,-1.0932422609999777,0.44369264257450913,1.0924198707876105,-2.344209619301061,-2.578444626741111,-2.349768597011765,-2.099969037466993,A,A,True,True
"In the public relations field, what is the most common threat to a client-firm relationship?",(A) Clients' questions about costs,(B) Resistance to outside advice,(C) Superficial grasp of the client's unique problems,(D) Personality conflicts,A,C,False,20.0,0,-2.6088945865631104,-2.905517578125,-0.6636672616004944,-1.1166034936904907,-0.2646849672620495,-0.3270729513838888,1.6861013354112706,0.9833655437765021,-2.344209619301061,-2.578444626741111,-2.349768597011765,-2.099969037466993,C,C,False,False
"Leslie is a disgruntled employee who walks into her place of employment and shoots three people, killing two and critically injuring the other. What is Leslie's behavior an example of?",(A) workplace violence,(B) organizational misdeeds,(C) megadamage,(D) crisis management,A,A,True,20.0,1,-0.10467164218425751,-4.874480724334717,-3.4682769775390625,-3.2337183952331543,2.359417821156482,-2.171472118794918,-1.0419625878954926,-1.0729295828379692,-2.4640894633407395,-2.703008605539799,-2.42631438964357,-2.160788812395185,A,A,True,True
Which law restricts corporate communications for publicly traded companies before and during the period that new securities are being registered?,(A) Securities Act of 1933,(B) Sarbanes-Oxley Act of 2002,(C) Investment Advisers Act of 1940,(D) Investment Company Act of 1934,A,A,True,20.0,1,-0.055984750390052795,-3.7653424739837646,-5.812269687652588,-3.8903050422668457,2.4081047129506867,-1.0623338684439658,-3.385955298009018,-1.7295162298716606,-2.4640894633407395,-2.703008605539799,-2.42631438964357,-2.160788812395185,A,A,True,True
"What two elements do the planning models of Hendrix (2002), Kendall (1999), Merston (1963) and Parkinson and Ekachai (2006) have in common?",(A) Research and evaluation,(B) Strategy and evaluation,(C) Strategy and implementation,(D) Objectives and implementation,A,C,False,20.0,1,-2.5776875019073486,-2.2808055877685547,-0.5192477107048035,-1.6245955228805542,-0.1135980385666091,0.42220301777124414,1.9070666789387665,0.5361932895146309,-2.4640894633407395,-2.703008605539799,-2.42631438964357,-2.160788812395185,C,C,False,False
What are two examples of an evaluation of outcome? ,(A) Change in attitude,(B) Placement of message,(C) Distribution of message,(D) Size of attentive audience,A,A,True,20.0,1,-0.5817961692810059,-2.9682466983795166,-3.0932466983795166,-2.9837582111358643,1.8822932940597337,-0.2652380928397178,-0.6669323087359467,-0.8229693987406792,-2.4640894633407395,-2.703008605539799,-2.42631438964357,-2.160788812395185,A,A,True,True
"No-Wait Weight Loss, a diet pill brand, promises its potential consumers that if they take one pill once a day they will lose weight without having to change their diet or start exercising. However, many people who have used the product have complained that they haven't lost weight, and some have even gained weight. No-Wait Weight Loss has been unsuccessful in the ________ stage of the advertising campaign.",(A) distribution,(B) penetration,(C) participation,(D) identification,A,B,False,20.0,1,-2.4990885257720947,-0.9915658831596375,-1.1556427478790283,-1.7650973796844482,-0.0349990624313552,1.7114427223801614,1.2706716417645416,0.3956914327107368,-2.4640894633407395,-2.703008605539799,-2.42631438964357,-2.160788812395185,B,B,False,False
"You seek the counsel of one of your peers who designed and implemented a communication program that resulted in the successful permitting of an automotive recycling center, despite strong opposition from community organizations. You have to design a program to win approval for a similar project proposed by your company. Your peer gives you a brief piece of advice that succinctly describes the foundation of his successful program. What is most likely your peer's advice for a successful communication program?",(A) Solve their problems,(B) Kill them with kindness,(C) Expose them to ridicule,(D) Overwhelm them with facts,A,A,True,20.0,2,-0.22808071970939636,-3.108631134033203,-4.499411582946777,-2.374333143234253,2.184038965838651,-0.4745788665488364,-2.1374731889615455,-0.13092942666262397,-2.4121196855480473,-2.6340522674843667,-2.361938393985232,-2.243403716571629,A,A,True,True
Which statement is true about an open systems model of public relations in an organization?,(A) It adapts to changing organizational environments.,(B) It adopts the policy of transparency to build public trust.,(C) It focuses on removing communication barriers between its business divisions.,(D) It communicates with its publics frequently to effect change outside the organization.,A,D,False,20.0,2,-0.898094117641449,-2.9526593685150146,-3.1714510917663574,-0.8158153891563416,1.5140255679065984,-0.31860710103064793,-0.8095126977811256,1.4275883274152874,-2.4121196855480473,-2.6340522674843667,-2.361938393985232,-2.243403716571629,D,A,False,True
"Louis owns a chemical company that has been irresponsibly disposing of chemical waste and contaminating the community's water supply. Although he knew the company was cutting costs in its waste disposal, he publicly claims to have had no knowledge of the irresponsible practices, blames it on the company's general manager and fires him. What image restoration strategy is Louis using?",(A) denial,(B) evasion of responsibility,(C) reducing the offensiveness,(D) corrective action,A,B,False,20.0,2,-1.538734793663025,-0.6674264669418335,-2.6402390003204346,-1.9995120763778687,0.8733848918850224,1.9666258005425332,-0.2783006063352027,0.2438916401937603,-2.4121196855480473,-2.6340522674843667,-2.361938393985232,-2.243403716571629,B,B,False,False
