Type,Digits,Context,Question,Correct Answer,yes_logprob,no_logprob,predicted_answer,is_correct
Arithmetic,1_digit_addition,'',Is 8 plus 3 equal to 17?,No,-4.179405212402344,-4.241905212402344,Yes,False
Arithmetic,1_digit_addition,'',Is 1 plus 6 equal to 5?,No,-4.337240695953369,-3.463003158569336,No,True
Arithmetic,1_digit_addition,'',Is 1 plus 8 equal to 4?,No,-4.430353164672852,-3.5565714836120605,No,True
Arithmetic,1_digit_addition,'',Is 7 plus 0 equal to 6?,No,-4.179893970489502,-3.6169052124023438,No,True
Arithmetic,1_digit_addition,'',Is 2 plus 4 equal to 4?,No,-3.964796781539917,-3.777535915374756,No,True
Arithmetic,1_digit_addition,'',Is 5 plus 1 equal to 9?,No,-4.213983535766602,-3.9645423889160156,No,True
Arithmetic,1_digit_addition,'',Is 4 plus 0 equal to 6?,No,-4.118690013885498,-3.759967088699341,No,True
Arithmetic,1_digit_addition,'',Is 6 plus 6 equal to 70?,No,-4.304893970489502,-3.8678531646728516,No,True
Arithmetic,1_digit_addition,'',Is 3 plus 8 equal to 77?,No,-4.428332328796387,-3.242393970489502,No,True
Arithmetic,1_digit_addition,'',Is 8 plus 1 equal to 8?,No,-4.211822032928467,-4.086822032928467,No,True
Arithmetic,1_digit_addition,'',Is 5 plus 7 equal to 76?,No,-4.492393970489502,-3.1178531646728516,No,True
Arithmetic,1_digit_addition,'',Is 2 plus 3 equal to 3?,No,-4.308899879455566,-3.6843223571777344,No,True
Arithmetic,1_digit_addition,'',Is 9 plus 3 equal to 89?,No,-4.242393970489502,-3.4913854598999023,No,True
Arithmetic,1_digit_addition,'',Is 5 plus 4 equal to 7?,No,-4.116905212402344,-3.8833658695220947,No,True
Arithmetic,1_digit_addition,'',Is 1 plus 4 equal to 8?,No,-3.8376338481903076,-3.713350534439087,No,True
Arithmetic,1_digit_addition,'',Is 7 plus 1 equal to 4?,No,-4.179893970489502,-3.867393970489502,No,True
Arithmetic,1_digit_addition,'',Is 9 plus 6 equal to 57?,No,-4.116905212402344,-3.553332567214966,No,True
Arithmetic,1_digit_addition,'',Is 6 plus 0 equal to 1?,No,-4.117853164672852,-3.618690252304077,No,True
