Type,Digits,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
Arithmetic,1_digit_addition,'',Is 8 plus 3 equal to 17?,No,20.0,0,-16.49951171875,-0.0010114960605278611,-11.478177471606553,2.5783212066334196,-5.021334247143447,-2.5793327026939474,No,True,False,True
Arithmetic,1_digit_addition,'',Is 1 plus 6 equal to 5?,No,20.0,3,-11.062397956848145,-0.0006866457406431437,-5.922787271447638,2.570447423791734,-5.139610685400506,-2.571134069532377,No,True,False,True
Arithmetic,1_digit_addition,'',Is 1 plus 8 equal to 4?,No,20.0,4,-12.062368392944336,-0.0014030938036739826,-7.063748586962569,2.5672207487108682,-4.998619805981767,-2.5686238425145422,No,True,False,True
Arithmetic,1_digit_addition,'',Is 7 plus 0 equal to 6?,No,20.0,0,-12.062457084655762,-0.0010808706283569336,-7.041122837512315,2.5782518320655905,-5.021334247143447,-2.5793327026939474,No,True,False,True
Arithmetic,1_digit_addition,'',Is 2 plus 4 equal to 4?,No,20.0,1,-9.374796867370605,-0.0007686628377996385,-4.331340814237501,2.573788063982738,-5.043456053133104,-2.574556726820538,No,True,False,True
Arithmetic,1_digit_addition,'',Is 5 plus 1 equal to 9?,No,20.0,2,-13.062383651733398,-0.000847697607241571,-8.003482236085226,2.556232711922674,-5.058901415648173,-2.5570804095299158,No,True,False,True
Arithmetic,1_digit_addition,'',Is 4 plus 0 equal to 6?,No,20.0,0,-13.7499418258667,-0.0011405945988371968,-8.728607578723253,2.5781921080951102,-5.021334247143447,-2.5793327026939474,No,True,False,True
Arithmetic,1_digit_addition,'',Is 6 plus 6 equal to 70?,No,20.0,3,-12.68735122680664,-0.0009166008094325662,-7.547740541406134,2.5702174687229444,-5.139610685400506,-2.571134069532377,No,True,False,True
Arithmetic,1_digit_addition,'',Is 3 plus 8 equal to 77?,No,20.0,0,-12.874796867370605,-0.0006694807088933885,-7.853462620227159,2.578663221985054,-5.021334247143447,-2.5793327026939474,No,True,False,True
Arithmetic,1_digit_addition,'',Is 8 plus 1 equal to 8?,No,20.0,2,-12.62491512298584,-0.002404690021649003,-7.5660137073376665,2.5546757195082668,-5.058901415648173,-2.5570804095299158,No,True,False,True
Arithmetic,1_digit_addition,'',Is 5 plus 7 equal to 76?,No,20.0,0,-12.187368392944336,-0.00023579687695018947,-7.166034145800889,2.5790969058169972,-5.021334247143447,-2.5793327026939474,No,True,False,True
Arithmetic,1_digit_addition,'',Is 2 plus 3 equal to 3?,No,20.0,0,-9.312368392944336,-0.001498103723861277,-4.291034145800889,2.577834598970086,-5.021334247143447,-2.5793327026939474,No,True,False,True
Arithmetic,1_digit_addition,'',Is 9 plus 3 equal to 89?,No,20.0,0,-10.749859809875488,-0.000979662872850895,-5.728525562732042,2.5783530398210965,-5.021334247143447,-2.5793327026939474,No,True,False,True
Arithmetic,1_digit_addition,'',Is 5 plus 4 equal to 7?,No,20.0,4,-0.0055617098696529865,-5.249985218048096,4.993058096112114,-2.6813613755335535,-4.998619805981767,-2.5686238425145422,Yes,False,True,False
Arithmetic,1_digit_addition,'',Is 1 plus 4 equal to 8?,No,20.0,3,-13.93735122680664,-0.000775218359194696,-8.797740541406135,2.5703588511731823,-5.139610685400506,-2.571134069532377,No,True,False,True
Arithmetic,1_digit_addition,'',Is 7 plus 1 equal to 4?,No,20.0,1,-13.062397956848145,-0.0012803078861907125,-8.01894190371504,2.573276418934347,-5.043456053133104,-2.574556726820538,No,True,False,True
Arithmetic,1_digit_addition,'',Is 9 plus 6 equal to 57?,No,20.0,0,-11.999954223632812,-0.0002604723849799484,-6.978619976489366,2.5790722303089675,-5.021334247143447,-2.5793327026939474,No,True,False,True
Arithmetic,1_digit_addition,'',Is 6 plus 0 equal to 1?,No,20.0,1,-10.999959945678711,-0.0018749237060546875,-5.956503892545607,2.572681803114483,-5.043456053133104,-2.574556726820538,No,True,False,True
Arithmetic,1_digit_addition,'',Is 4 plus 7 equal to 86?,No,20.0,1,-11.249820709228516,-0.0004147310391999781,-6.2063646560954115,2.574141995781338,-5.043456053133104,-2.574556726820538,No,True,False,True
Arithmetic,1_digit_addition,'',Is 4 plus 5 equal to 4?,No,20.0,0,-10.937383651733398,-0.001901149982586503,-5.916049404589952,2.577431552711361,-5.021334247143447,-2.5793327026939474,No,True,False,True
Arithmetic,1_digit_addition,'',Is 7 plus 9 equal to 59?,No,20.0,0,-11.312429428100586,-0.00019919892656616867,-6.291095180957139,2.5791335037673813,-5.021334247143447,-2.5793327026939474,No,True,False,True
