question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)~(M ≡ ~N)M / N",(A) Valid,(B) Invalid. Counterexample when M and N are true,(C) Invalid. Counterexample when M is true and N is false,(D) Invalid. Counterexample when N is true and M is false,A,A,True,20.0,0,-0.39831113815307617,-2.8267781734466553,-1.5232418775558472,-4.030996799468994,3.532117894346205,2.305231248688263,2.802480900990001,0.057410608875215985,-3.930429032499281,-5.132009422134918,-4.325722778545848,-4.08840740834421,A,A,True,True
" Use the following key to translate the given formula of PL to natural, English sentences.A: Marina reads a Percy Jackson book.B: Izzy plays Minecraft.C: Emily stops working.D: Russell makes dinner.E: Ashleigh stops by.~(A ⊃ B) • (B ⊃ ~E)","(A) It's not the case that Marina's reading a Percy Jackson book entails that Izzy plays Minecraft, but Izzy's playing Minecraft does entail that Ashleigh doesn't stop by.","(B) If Marina doesn't read a Percy Jackson book, then Izzy plays Minecraft, which entails that Ashleigh doesn't stop by.","(C) Marina's reading a Percy Jackson book does not entail that Izzy plays Minecraft, but Izzy plays Minecraft provided that Ashleigh doesn't stop by.","(D) It's not true that Marina reads a Percy Jackson book only when Izzy plays Minecraft, but Izzy plays Minecraft only when Ashleigh stops by.",A,A,True,20.0,0,-0.024249615147709846,-8.725274085998535,-3.9038503170013428,-6.779493808746338,3.9061794173515714,-3.593264663863617,0.4218724615445053,-2.6910864004021278,-3.930429032499281,-5.132009422134918,-4.325722778545848,-4.08840740834421,A,A,True,True
 Select the best English interpretation of the given arguments in predicate logic.Wn ∨ Wm(∀x)[Lx ⊃ (Dx ⊃ ~Wx)]Ln • Dn	/ ~(∀x)~Wx,(A) Either Nancy or Marvin are at work. All lawyers are not at work if they are out to dinner. Nancy is a lawyer and out to dinner. So not everything is not at work.,(B) Either Nancy or Marvin are at work. All lawyers are out to dinner if they are not at work. Nancy is a lawyer and out to dinner. So not everything is not at work.,(C) Either Nancy or Marvin are at work. All lawyers are out to dinner if they are not at work. Nancy is a lawyer and out to dinner. So not everything is at work.,(D) Either Nancy or Marvin are at work. All lawyers are not at work if they are out to dinner. Nancy is a lawyer and out to dinner. So not everything is at work.,A,A,True,20.0,0,-0.055157680064439774,-7.09702730178833,-5.4315714836120605,-3.3741955757141113,3.8752713524348414,-1.965017879653412,-1.1058487050662125,0.7142118326300988,-3.930429032499281,-5.132009422134918,-4.325722778545848,-4.08840740834421,A,A,True,True
"Use indirect truth tables to determine whether the following argument is valid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)H ≡ (I · ~J)K ≡ ~H~(K ⊃ J) / I ≡ J",(A) Valid,"(B) Invalid. Counterexample when I, H, and K are true and J is false",(C) Invalid. Counterexample when I and H are true and J and K are false,"(D) Invalid. Counterexample when K is true and I, H, and J are false",A,A,True,20.0,0,-0.12865987420082092,-5.245082378387451,-2.999831438064575,-5.499373435974121,3.8017691582984603,-0.113072956252533,1.3258913404812729,-1.410966027629911,-3.930429032499281,-5.132009422134918,-4.325722778545848,-4.08840740834421,A,A,True,True
"Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)~C ⊃ DD ⊃ C / C",(A) Valid,(B) Invalid. Counterexample when C and D are true,(C) Invalid. Counterexample when C is true and D is false,(D) Invalid. Counterexample when D is true and C is false,A,A,True,20.0,1,-0.49776938557624817,-3.498674154281616,-1.1247965097427368,-4.124703884124756,2.8683938760029073,1.3000552075488185,2.8987023289761664,0.43383599631488323,-3.3661632615791555,-4.798729361830435,-4.023498838718903,-4.558539880439639,A,C,True,False
 Select the best translation into predicate logic: No senior graduates without a major.,(A) (∀x)(Sx ⊃ ~Gx),(B) ~(∀x)(Sx ⊃ Gx),(C) (∀x)( ~Sx ⊃ ~Gx),(D) (∀x) ~(Sx ⊃ ~Gx),A,B,False,20.0,1,-4.998188018798828,-0.0603102371096611,-5.374088764190674,-3.3120954036712646,-1.6320247572196727,4.738419124720774,-1.3505899254717706,1.2464444767683744,-3.3661632615791555,-4.798729361830435,-4.023498838718903,-4.558539880439639,B,B,False,False
"Identify the conclusion of the following argument. Utilitarian theory is embarrassed by the possibility of utility monsters. A utility monster gets enormous gains in utility, greater than the utility lost by the sacrifices of others. The sacrifices of even large numbers of other people are outweighed by the gains of the utility monster. The theory seems to require that we all be sacrificed in the monste's maw in order to increase total utility. (Robert Nozick, Anarchy, State, and Utopia)",(A) Utilitarian theory is embarrassed by the possibility of utility monsters.,(B) A utility monster gets enormous gains in utility.,(C) A utility monster gets gains in utility greater than the utility lost by the sacrifices of others.,(D) The sacrifices of even large numbers of other people are outweighed by the gains of the utility monster.,A,A,True,20.0,1,-0.485782653093338,-5.935173988342285,-4.624373435974121,-1.1093013286590576,2.8803806084858175,-1.1364446265118504,-0.6008745972552179,3.4492385517805815,-3.3661632615791555,-4.798729361830435,-4.023498838718903,-4.558539880439639,A,D,True,False
"Select the best translation into predicate logic: Cecilia breaks my heart if, and only if, Maria is either a problem or a girl.",(A) Bc ≡ (Pm ∨ Gm),(B) Bc ≡ (Pm • Gm),(C) Bc ⊃ (Pm ∨ Gm),(D) Cb ⊃ (Pm • Gm),A,A,True,20.0,1,-0.004169400781393051,-8.55074405670166,-7.122524261474609,-7.746617794036865,3.3619938607977624,-3.7520146948712254,-3.099025422755706,-3.188077913597226,-3.3661632615791555,-4.798729361830435,-4.023498838718903,-4.558539880439639,A,A,True,True
"Identify the conclusion of the following argument. That the world is my idea is a truth valid for every living creature, though only man can contemplate it. In doing so, he attains philosophical wisdom. No truth is more absolutely certain than that all that exists for knowledge and therefore this world is only object in relation to subject, perception of a perceiver. The world is an idea. (Arthur Schopenhauer, The World as Will and Idea)",(A) The world is an idea.,"(B) That the world is my idea is a truth valid for every living creature, though only man can contemplate it.","(C) In doing so, he attains philosophical wisdom.","(D) No truth is more absolutely certain than that all that exists for knowledge and therefore this world is only object in relation to subject, perception of a perceiver.",A,A,True,20.0,2,-0.003995896317064762,-10.225274085998535,-9.745379447937012,-10.061400413513184,3.676150531755411,-5.595138091496968,-5.392121136954908,-5.996446149292751,-3.680146428072476,-4.630135994501567,-4.3532583109821035,-4.064954264220432,A,A,True,True
 Select the best English interpretation of the given arguments in predicate logic.(∃x)(Cx • Ox)(∀x)[(~Cx ⊃ ~Bx) ⊃ ~Og]	/ ~Og,"(A) Some cookies have oatmeal. If something's not being a cookie entails that it doesn't have chocolate chips, then this cookie doesn't have oatmeal. So this cookie doesn't have oatmeal.","(B) Some cookies have oatmeal. If something is not a cookie and does not have chocolate chips, it doesn't have oatmeal. So this cookie doesn't have oatmeal.","(C) Some cookies have oatmeal. If something doesn't have oatmeal, then it is not a cookie and it doesn't have chocolate chips. So this cookie doesn't have oatmeal.","(D) Some cookies have oatmeal. If something's not having chocolate chips entails that it is not a cookie, then it doesn't have oatmeal. So this cookie doesn't have oatmeal.",A,A,True,20.0,2,-0.4798915982246399,-1.475869059562683,-3.170569658279419,-2.35913348197937,3.200254829847836,3.1542669349388843,1.1826886527026845,1.7058207822410623,-3.680146428072476,-4.630135994501567,-4.3532583109821035,-4.064954264220432,A,A,True,True
