property,prefix,Context,Question,Correct Answer,negative_sample_type,yes_logprob,no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-3.60188627243042,-3.7322237491607666,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-3.238952159881592,-4.995921611785889,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-7.216196060180664,-2.577824354171753,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-6.341031551361084,-1.7104681730270386,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-5.867393970489502,-2.498497724533081,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-6.133711814880371,-6.147899627685547,Yes,False
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-5.4155120849609375,-2.1429390907287598,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-4.404131889343262,-4.4057464599609375,Yes,False
can affect urine,hair,'',Can hair affect urine?,No,random,-5.088003158569336,-5.341631889343262,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-4.748673915863037,-4.374619960784912,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-5.559322357177734,-5.061400890350342,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,-4.186695575714111,-2.7028050422668457,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,-2.841031312942505,-4.467293739318848,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,-3.091031312942505,-4.842464923858643,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,-2.6510162353515625,-6.029131889343262,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,-3.2621893882751465,-5.779600143432617,Yes,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,-2.325610399246216,-4.810997486114502,Yes,False
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,-3.6529715061187744,-4.279793739318848,Yes,False
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,-4.740832328796387,-5.49616813659668,Yes,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,-3.4598634243011475,-4.213350296020508,Yes,False
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,-4.1693501472473145,-6.678885459899902,Yes,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,-3.887397289276123,-5.904260158538818,Yes,False
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,-5.72202730178833,-3.0572662353515625,No,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,-3.498400926589966,-2.7495954036712646,No,True
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,-3.4667601585388184,-2.96817946434021,No,True
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,-3.5978002548217773,-8.057879447937012,Yes,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,-4.2751336097717285,-6.339542388916016,Yes,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,-2.9812464714050293,-4.623673915863037,Yes,False
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,-5.017519474029541,-6.024740695953369,Yes,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,-4.248071193695068,-3.8742902278900146,No,False
can be baked,broccoli,'',Can broccoli be baked?,No,random,-3.256875514984131,-8.369071006774902,Yes,False
can be bald,an owl,'',Can an owl be bald?,No,random,-3.794280767440796,-3.546131134033203,No,True
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,-5.277042388916016,-5.278696060180664,Yes,False
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,-2.619429588317871,-5.997673988342285,Yes,True
can be bent,a leg,'',Can a leg be bent?,Yes,random,-5.153696060180664,-3.733830690383911,No,False
can be bent,an owl,'',Can an owl be bent?,No,random,-4.59254264831543,-2.9841012954711914,No,True
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,-3.4109976291656494,-5.933899879455566,Yes,True
can be blonde,hair,'',Can hair be blonde?,Yes,random,-3.825610399246216,-4.061832904815674,Yes,True
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,-3.856780767440796,-4.09286642074585,Yes,False
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,-5.029380798339844,-4.7807769775390625,No,False
can be broken,a sweater,'',Can a sweater be broken?,No,random,-3.9521992206573486,-4.687069416046143,Yes,False
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random,-4.180784702301025,-4.560315132141113,Yes,True
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random,-3.300743818283081,-6.558159351348877,Yes,True
can be claustrophobic,a squirrel,'',Can a squirrel be claustrophobic?,No,random,-6.341760158538818,-5.093179702758789,No,True
can be coated with flavor,a donut,'',Can a donut be coated with flavor?,Yes,random,-2.950610399246216,-4.935024261474609,Yes,True
can be cold,a plow,'',Can a plow be cold?,No,random,-5.498967170715332,-3.9997966289520264,No,True
can be cooked,cheese,'',Can cheese be cooked?,Yes,random,-3.4122695922851562,-5.4315714836120605,Yes,True
can be covered,butter,'',Can butter be covered?,No,random,-3.6981301307678223,-4.8104472160339355,Yes,False
can be covered in chocolate,a seagull,'',Can a seagull be covered in chocolate?,No,random,-4.49537992477417,-3.498497724533081,No,True
can be covered in lip gloss,a lip,'',Can a lip be covered in lip gloss?,Yes,random,-3.6218223571777344,-3.9990885257720947,Yes,True
can be covered in lip gloss,a harpsichord,'',Can a harpsichord be covered in lip gloss?,No,random,-4.838676929473877,-4.092293739318848,No,True
can be crumbly,a bagpipe,'',Can a bagpipe be crumbly?,No,random,-4.749088764190674,-2.7341747283935547,No,True
can be crushed,garlic,'',Can garlic be crushed?,Yes,random,-3.958040237426758,-5.462240695953369,Yes,True
can be crushed,a bikini,'',Can a bikini be crushed?,No,random,-3.9365885257720947,-3.9369471073150635,Yes,False
can be curly,hair,'',Can hair be curly?,Yes,random,-2.747195243835449,-3.7489006519317627,Yes,True
can be cut into slices,mango,'',Can mango be cut into slices?,Yes,random,-4.376499652862549,-7.765705108642578,Yes,True
can be cut into slices,a spider,'',Can a spider be cut into slices?,No,random,-4.466880798339844,-3.3276593685150146,No,True
can be dangerous,a centipede,'',Can a centipede be dangerous?,No,random,-4.2041401863098145,-6.711822032928467,Yes,False
can be decaffeinated,a trombone,'',Can a trombone be decaffeinated?,No,random,-6.183421611785889,-4.061467170715332,No,True
can be decorative,a corkscrew,'',Can a corkscrew be decorative?,No,random,-2.450610399246216,-6.466196060180664,Yes,False
can be deflated,a balloon,'',Can a balloon be deflated?,Yes,random,-4.404881954193115,-4.2807769775390625,No,False
can be deflated,flour,'',Can flour be deflated?,No,random,-5.121617794036865,-6.374244213104248,Yes,False
can be difficult to digest,corn,'',Can corn be difficult to digest?,Yes,random,-3.9734976291656494,-6.619429588317871,Yes,True
can be dressed up,a doll,'',Can a doll be dressed up?,Yes,random,-3.370379686355591,-3.873188018798828,Yes,True
can be driven,a motorcycle,'',Can a motorcycle be driven?,Yes,random,-4.3225626945495605,-4.397899627685547,Yes,True
can be driven,satsuma,'',Can satsuma be driven?,No,random,-5.717376708984375,-6.014710903167725,Yes,False
can be eaten cold,a date,'',Can a date be eaten cold?,Yes,random,-4.935571193695068,-3.796330690383911,No,False
can be eaten dried,an apricot,'',Can an apricot be eaten dried?,Yes,random,-3.7432847023010254,-5.372195243835449,Yes,True
can be eaten raw,tomato,'',Can tomato be eaten raw?,Yes,random,-3.769123077392578,-5.151771545410156,Yes,True
can be eaten raw,a caravan,'',Can a caravan be eaten raw?,No,random,-5.151771545410156,-3.904600143432617,No,True
can be eaten with chips,a deer,'',Can a deer be eaten with chips?,No,random,-4.465669631958008,-4.217293739318848,No,True
can be emptied,a bolt,'',Can a bolt be emptied?,No,random,-4.933899879455566,-3.920858144760132,No,True
can be empty,a barrel,'',Can a barrel be empty?,Yes,random,-4.530115604400635,-4.593305587768555,Yes,True
can be environmentally friendly,a coach,'',Can a coach be environmentally friendly?,Yes,random,-2.6225242614746094,-6.123497486114502,Yes,True
can be environmentally friendly,a trumpet,'',Can a trumpet be environmentally friendly?,No,random,-3.0600242614746094,-5.060997486114502,Yes,False
can be fair,a piano,'',Can a piano be fair?,No,random,-5.6238298416137695,-3.999704122543335,No,True
can be fastened,a caravan,'',Can a caravan be fastened?,No,random,-4.935024261474609,-4.9363298416137695,Yes,False
can be filled,a bathtub,'',Can a bathtub be filled?,Yes,random,-3.3884055614471436,-3.9525270462036133,Yes,True
can be filled with custard,cucumber,'',Can cucumber be filled with custard?,No,random,-3.9975242614746094,-2.7646992206573486,No,True
can be filled with helium,a lorry,'',Can a lorry be filled with helium?,No,random,-6.3916401863098145,-6.087240695953369,No,True
can be filled with jam,a donut,'',Can a donut be filled with jam?,Yes,random,-3.0593223571777344,-4.560997486114502,Yes,True
can be filling,a houseboat,'',Can a houseboat be filling?,No,random,-4.709863185882568,-5.3404717445373535,Yes,False
can be fished,a herring,'',Can a herring be fished?,Yes,random,-3.9987542629241943,-3.890213966369629,No,False
can be flared,a trouser,'',Can a trouser be flared?,Yes,random,-4.652296543121338,-5.530184268951416,Yes,True
can be flavored,a camel,'',Can a camel be flavored?,No,random,-5.154131889343262,-4.03071403503418,No,True
can be flavored with lemon,lettuce,'',Can lettuce be flavored with lemon?,No,random,-3.2447662353515625,-5.123400688171387,Yes,False
can be fluffy,a banjo,'',Can a banjo be fluffy?,No,random,-3.372195243835449,-4.748297691345215,Yes,False
can be folded,a finger,'',Can a finger be folded?,No,random,-5.525503158569336,-3.5300426483154297,No,True
can be found at orchestras,a flute,'',Can a flute be found at orchestras?,Yes,random,-4.209292888641357,-5.403850555419922,Yes,True
can be found by the fire,an onion,'',Can an onion be found by the fire?,No,random,-5.404380798339844,-3.296363592147827,No,True
can be found in a kitchen drawer,a peeler,'',Can a peeler be found in a kitchen drawer?,Yes,random,-3.858069658279419,-3.609083652496338,No,False
can be found in bedrooms,a bed,'',Can a bed be found in bedrooms?,Yes,random,-4.436254501342773,-4.937222003936768,Yes,True
can be found in bedrooms,a squirrel,'',Can a squirrel be found in bedrooms?,No,random,-4.056929588317871,-4.311088562011719,Yes,False
can be found in boats or ships,a deckchair,'',Can a deckchair be found in boats or ships?,Yes,random,-3.9940714836120605,-3.6235885620117188,No,False
can be found in boats or ships,a trout,'',Can a trout be found in boats or ships?,No,random,-5.03036642074585,-1.9060759544372559,No,True
can be found in cars,a clamp,'',Can a clamp be found in cars?,Yes,random,-3.4169580936431885,-5.057582378387451,Yes,True
can be found in cars,a soup,'',Can a soup be found in cars?,No,random,-4.623071193695068,-2.4994471073150635,No,True
can be found in cold climate,a pie,'',Can a pie be found in cold climate?,No,random,-3.9481301307678223,-4.842100143432617,Yes,False
can be found in dark places,a millipede,'',Can a millipede be found in dark places?,Yes,random,-3.6733365058898926,-5.558421611785889,Yes,True
can be found in factories,a spoon,'',Can a spoon be found in factories?,No,random,-3.3348634243011475,-3.966195821762085,Yes,False
can be found in forests,a skunk,'',Can a skunk be found in forests?,Yes,random,-4.014710903167725,-5.277535915374756,Yes,True
can be found in forests,a strainer,'',Can a strainer be found in forests?,No,random,-4.278696060180664,-2.6558055877685547,No,True
can be found in gardens,a bowl,'',Can a bowl be found in gardens?,No,random,-4.279793739318848,-4.4057769775390625,Yes,False
