Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
1.0,1.0,physical-interactions,,variable_swap,1.0,The wheel and the nail are touching. Heat is flowing from the wheel to the nail.,Is the wheel heating the nail?,Yes,-1.2715238332748413,-2.2334775924682617,-10.213422775268555,-9.025922775268555,8.941898941993713,6.792445182800293,Yes,True
2.0,1.0,physical-interactions,,variable_swap,1.0,The wheel and the nail are touching. Heat is flowing from the wheel to the nail.,Is the wheel cooling the nail?,No,-1.5840238332748413,-1.6162830591201782,-10.213422775268555,-9.025922775268555,8.629398941993713,7.4096397161483765,Yes,False
3.0,1.0,physical-interactions,,variable_swap,2.0,The wheel and the nail are touching. Heat is flowing from the nail to the wheel.,Is the wheel heating the nail?,No,-2.074233055114746,-1.4122364521026611,-10.213422775268555,-9.025922775268555,8.139189720153809,7.6136863231658936,Yes,False
4.0,1.0,physical-interactions,,variable_swap,2.0,The wheel and the nail are touching. Heat is flowing from the nail to the wheel.,Is the wheel cooling the nail?,Yes,-2.1221063137054443,-1.2564761638641357,-10.213422775268555,-9.025922775268555,8.09131646156311,7.769446611404419,Yes,True
6.0,1.0,physical-interactions,,variable_swap,1.0,The wheel and the nail are touching. Heat is flowing from the wheel to the nail.,Is the nail heating the wheel?,No,-2.620379686355591,-1.2871187925338745,-10.213422775268555,-9.025922775268555,7.593043088912964,7.73880398273468,No,True
8.0,1.0,physical-interactions,,variable_swap,2.0,The wheel and the nail are touching. Heat is flowing from the nail to the wheel.,Is the nail heating the wheel?,Yes,-1.489490032196045,-2.0612542629241943,-10.213422775268555,-9.025922775268555,8.72393274307251,6.96466851234436,Yes,True
9.0,1.0,physical-interactions,,variable_swap,1.0,The wheel and the nail are touching. Heat is flowing from the wheel to the nail.,Is the nail cooling the wheel?,Yes,-2.5904715061187744,-1.1784124374389648,-10.213422775268555,-9.025922775268555,7.62295126914978,7.84751033782959,No,False
11.0,1.0,physical-interactions,,variable_swap,2.0,The wheel and the nail are touching. Heat is flowing from the nail to the wheel.,Is the nail cooling the wheel?,No,-1.9898797273635864,-1.584944248199463,-10.213422775268555,-9.025922775268555,8.223543047904968,7.440978527069092,Yes,False
13.0,2.0,physical-interactions,,antonym,1.0,The wheel and the nail are touching. The wheel is much hotter than the nail.,Is the wheel heating the nail?,Yes,-2.260472059249878,-1.80215322971344,-10.213422775268555,-9.025922775268555,7.952950716018677,7.223769545555115,Yes,True
14.0,2.0,physical-interactions,,antonym,1.0,The wheel and the nail are touching. The wheel is much hotter than the nail.,Is the wheel cooling the nail?,No,-2.8250925540924072,-1.2720801830291748,-10.213422775268555,-9.025922775268555,7.3883302211761475,7.75384259223938,No,True
