question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
Earth's seasons are caused by which of the following?,(A) The tilt of Earth's axis of rotation relative to the ecliptic as Earth revolves around the Sun,(B) The varying amount of sunspot activity,(C) Earth's orbit about the Sun as an ellipse rather than a circle,(D) The rotation of Earth during a 24-hour day,A,A,True,20.0,0,-3.291897773742676,-4.281841278076172,-4.387829780578613,-4.330273151397705,-0.0363034024834632,-0.5628321677446366,-0.6221189481516678,-0.28043188303709066,-3.2555943712592126,-3.7190091103315353,-3.7657108324269455,-4.049841268360614,A,A,True,True
The atmospheric concentration of which of the following gases is most likely to be directly affected by widespread deforestation?,(A) Carbon dioxide,(B) Ozone,(C) Nitrous oxide,(D) Argon,A,C,False,20.0,0,-4.581162929534912,-4.652276039123535,-3.5872933864593506,-4.976505279541016,-1.3255685582756995,-0.9332669287919999,0.1784174459675949,-0.9266640111804012,-3.2555943712592126,-3.7190091103315353,-3.7657108324269455,-4.049841268360614,C,C,False,False
What was the name of Huey Lewis band?,(A) The News,(B) The Attractions,(C) The Silver Bullet Band,(D) Louie and Dewey,A,A,True,20.0,0,-3.136286735534668,-3.5743215084075928,-3.965231418609619,-4.161285877227783,0.11930763572454461,0.14468760192394248,-0.19952058618267365,-0.11144460886716878,-3.2555943712592126,-3.7190091103315353,-3.7657108324269455,-4.049841268360614,A,B,True,False
Backgammon is a how many player game?,(A) Two,(B) Three,(C) Four,(D) Six,A,B,False,20.0,0,-3.774458646774292,-3.581162691116333,-4.268662929534912,-4.434164524078369,-0.5188642755150794,0.13784641921520224,-0.5029520971079666,-0.3843232557177547,-3.2555943712592126,-3.7190091103315353,-3.7657108324269455,-4.049841268360614,B,B,False,False
In what state is the 1999 movie Magnolia' set?,(A) California,(B) South Carolina,(C) Georgia,(D) Texas,A,A,True,20.0,0,-3.6368215084075928,-4.2369513511657715,-3.9591634273529053,-4.804214954376221,-0.3812271371483802,-0.5179422408342362,-0.1934525949259598,-0.7543736860156063,-3.2555943712592126,-3.7190091103315353,-3.7657108324269455,-4.049841268360614,A,C,True,False
Who wrote 'A Tale of Two Cities'?,(A) Charles Dickens,(B) Nathaniel Hawthorne,(C) Washington Irving,(D) Mark Twain,A,A,True,20.0,0,-2.719282388687134,-4.598696231842041,-3.6999552249908447,-4.234416961669922,0.5363119825720788,-0.8796871215105058,0.06575560743610076,-0.18457569330930745,-3.2555943712592126,-3.7190091103315353,-3.7657108324269455,-4.049841268360614,A,A,True,True
What exercise apparatus is used during a 'Spinning' class?,(A) stationary bicycle,(B) treadmill,(C) rowing machine,(D) barbells,A,A,True,20.0,0,-2.919528007507324,-4.074954986572266,-4.127112865447998,-4.491714954376221,0.33606636375188836,-0.3559458762407304,-0.36140203302105256,-0.4418736860156063,-3.2555943712592126,-3.7190091103315353,-3.7657108324269455,-4.049841268360614,A,A,True,True
When FDR carried states in the presidential election of 1932 how many states did he not carry?,(A) six,(B) seven,(C) eight,(D) ten,A,B,False,20.0,0,-4.022587299346924,-3.7601006031036377,-3.8565797805786133,-4.161196231842041,-0.7669929280877112,-0.041091492772102445,-0.0908689481516678,-0.1113549634814266,-3.2555943712592126,-3.7190091103315353,-3.7657108324269455,-4.049841268360614,B,B,False,False
To ward off bad luck what do many people do to wood?,(A) knock on it,(B) kiss it,(C) thank it,(D) scratch it,A,B,False,20.0,0,-3.2465546131134033,-3.156782388687134,-3.2936582565307617,-3.764860153198242,0.009039758145809262,0.5622267216444015,0.47205257589618377,0.28498111516237223,-3.2555943712592126,-3.7190091103315353,-3.7657108324269455,-4.049841268360614,B,B,False,False
What day of the week is sometimes called 'hump day'?,(A) Wednesday,(B) Thursday,(C) Friday,(D) Saturday,A,B,False,20.0,0,-4.14046573638916,-3.214775800704956,-4.372200965881348,-4.214776039123535,-0.8848713651299476,0.5042333096265792,-0.6064901334544022,-0.16493477076292073,-3.2555943712592126,-3.7190091103315353,-3.7657108324269455,-4.049841268360614,B,B,False,False
