Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
1.0,1.0,spatial-relations,,antonym,1.0,The nail is to the right of the wheel.,Is the wheel to the left of the nail?,Yes,-0.6952370405197144,-0.6952370405197144,-9.223699569702148,-6.845249652862549,8.528462529182434,6.1500126123428345,Yes,True
2.0,1.0,spatial-relations,,antonym,1.0,The nail is to the right of the wheel.,Is the wheel to the right of the nail?,No,-0.6952155828475952,-0.6952370405197144,-9.223699569702148,-6.845249652862549,8.528483986854553,6.1500126123428345,Yes,False
3.0,1.0,spatial-relations,,antonym,2.0,The nail is to the left of the wheel.,Is the wheel to the left of the nail?,No,-0.47648942470550537,-0.9764894247055054,-9.223699569702148,-6.845249652862549,8.747210144996643,5.8687602281570435,Yes,False
4.0,1.0,spatial-relations,,antonym,2.0,The nail is to the left of the wheel.,Is the wheel to the right of the nail?,Yes,-0.8279995918273926,-0.5780273675918579,-9.223699569702148,-6.845249652862549,8.395699977874756,6.267222285270691,Yes,True
5.0,2.0,spatial-relations,,antonym,1.0,The nail is next to the right side of the wheel.,Is the wheel to the left of the nail?,Yes,-0.8279995918273926,-0.5780489444732666,-9.223699569702148,-6.845249652862549,8.395699977874756,6.267200708389282,Yes,True
6.0,2.0,spatial-relations,,antonym,1.0,The nail is next to the right side of the wheel.,Is the wheel to the right of the nail?,No,-0.6990939378738403,-0.6991430521011353,-9.223699569702148,-6.845249652862549,8.524605631828308,6.146106600761414,Yes,False
7.0,2.0,spatial-relations,,antonym,2.0,The nail is next to the left side of the wheel.,Is the wheel to the left of the nail?,No,-0.5819053649902344,-0.8319549560546875,-9.223699569702148,-6.845249652862549,8.641794204711914,6.013294696807861,Yes,False
8.0,2.0,spatial-relations,,antonym,2.0,The nail is next to the left side of the wheel.,Is the wheel to the right of the nail?,Yes,-0.8319053649902344,-0.5819549560546875,-9.223699569702148,-6.845249652862549,8.391794204711914,6.263294696807861,Yes,True
10.0,2.0,spatial-relations,,antonym,1.0,The nail is next to the right side of the wheel.,Is the nail to the left of the wheel?,No,-1.312403917312622,-0.3143947124481201,-9.223699569702148,-6.845249652862549,7.911295652389526,6.530854940414429,Yes,False
12.0,2.0,spatial-relations,,antonym,2.0,The nail is next to the left side of the wheel.,Is the nail to the left of the wheel?,Yes,-0.47839486598968506,-0.9803953170776367,-9.223699569702148,-6.845249652862549,8.745304703712463,5.864854335784912,Yes,True
13.0,2.0,spatial-relations,,antonym,1.0,The nail is next to the right side of the wheel.,Is the nail to the right of the wheel?,Yes,-0.5818697214126587,-0.8319332599639893,-9.223699569702148,-6.845249652862549,8.64182984828949,6.01331639289856,Yes,True
15.0,2.0,spatial-relations,,antonym,2.0,The nail is next to the left side of the wheel.,Is the nail to the right of the wheel?,No,-1.312425136566162,-0.3144075870513916,-9.223699569702148,-6.845249652862549,7.911274433135986,6.530842065811157,Yes,False
17.0,3.0,spatial-relations,,antonym,1.0,The wheel is in front of Chao. Chao turns right.,Is the wheel to the left of Chao?,Yes,-0.6991430521011353,-0.699172854423523,-9.223699569702148,-6.845249652862549,8.524556517601013,6.146076798439026,Yes,True
