question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral,(A) paralysis of the facial muscles.,(B) paralysis of the facial muscles and loss of taste.,"(C) paralysis of the facial muscles, loss of taste and lacrimation.","(D) paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.",A,-3.026176929473877,-3.0307140350341797,-1.8357418775558472,-2.468444585800171,C,False
"A ""dished face"" profile is often associated with",(A) a protruding mandible due to reactivation of the condylar cartilage by acromegaly.,(B) a recessive maxilla due to failure of elongation of the cranial base.,(C) an enlarged frontal bone due to hydrocephaly.,(D) defective development of the maxillary air sinus.,B,-2.402535915374756,-2.156075954437256,-2.7810122966766357,-1.9139342308044434,D,False
Which of the following best describes the structure that collects urine in the body?,(A) Bladder,(B) Kidney,(C) Ureter,(D) Urethra,A,-0.7967678308486938,-5.187119960784912,-6.1863298416137695,-6.749143600463867,A,True
Which of the following structures is derived from ectomesenchyme?,(A) Motor neurons,(B) Skeletal muscles,(C) Melanocytes,(D) Sweat glands,C,-4.183899879455566,-0.9257718324661255,-3.921661853790283,-4.687222003936768,B,False
Which of the following describes the cluster of blood capillaries found in each nephron in the kidney?,(A) Afferent arteriole,(B) Glomerulus,(C) Loop of Henle,(D) Renal pelvis,B,-3.8545336723327637,-0.9843552112579346,-3.609186887741089,-5.249373435974121,B,True
A patient suffers a broken neck with damage to the spinal cord at the level of the sixth cervical vertebra.,(A) They will be unable to breathe without life support.,(B) They will only be able to breathe quietly.,(C) It is impossible to predict an effect on breathing.,(D) Breathing will be unaffected.,B,-2.620659112930298,-2.8744804859161377,-1.624619960784912,-2.437204122543335,C,False
Which of the following anatomical regions of abdomen lies just distal to the sternum?,(A) Epigastric,(B) Hypochondriac,(C) Hypogastric,(D) Lumbar,A,-2.545485496520996,-1.4921565055847168,-2.6717190742492676,-3.92163348197937,B,False
Which of the following best describes the human body's defense mechanism against environmental bacteria?,(A) Hair in the nose,(B) Mucous membranes,(C) Osteoblasts,(D) Saliva,B,-4.708685874938965,-0.765613317489624,-5.217919826507568,-5.530561923980713,B,True
The palatine processes begin to fuse at,(A) six weeks post-fertilization.,(B) eight weeks post-fertilization.,(C) ten weeks post-fertilization.,(D) twelve weeks post-fertilization.,C,-3.2625925540924072,-2.015562057495117,-1.898377776145935,-2.7655489444732666,C,True
Primary motor cortex activity results in,(A) bilateral contraction of antigravity limb muscles.,(B) bilateral contraction of limb musculature.,(C) contraction of ipsilateral limb musculature.,(D) contraction of contralateral limb musculature.,D,-3.663905382156372,-3.171363592147827,-1.5467089414596558,-1.7967609167099,C,False
You notice that your patient's submandibular lymph nodes are enlarged. You would look for potential infection sites in the,(A) hard palate.,(B) hard palate and upper lip.,"(C) hard palate, upper lip and upper central incisor.","(D) hard palate, upper lip, upper central incisor and lower first molar.",D,-4.818248748779297,-2.858069658279419,-1.5387547016143799,-2.6712582111358643,C,False
A patient suffers damage to the orbit in a road traffic incident resulting in damage to the third cranial nerve. Which of the following signs will be present?,(A) Pupillary constriction and a medial strabismus,(B) Pupillary dilatation and a medial strabismus,(C) Pupillary constriction and a lateral strabismus,(D) Pupillary dilatation and a lateral strabismus,D,-1.9281967878341675,-2.0623841285705566,-2.3123416900634766,-2.374868631362915,A,False
Which of the following statements is true of the temporomandibular joint?,(A) It has an articular disc of hyaline cartilage,(B) Its articular surfaces are covered by hyaline cartilage,(C) Proprioceptive information is carried by the chorda tympani and deep temporal nerves,(D) Proprioceptive information is carried by the masseteric and auriculotemporal nerves.,D,-2.2945852279663086,-1.7967678308486938,-2.6716747283935547,-2.2967679500579834,B,False
Laryngoscopic examination of the vocal folds after suspected recurrent laryngeal nerve damage usually shows that the vocal fold on the injured side is tensed and in an intermediate position between adduction and abduction. This is because,(A) cricothyroid muscle is still functional but the interarytenoid muscles are fully active.,(B) cricothyroid muscle is still functional but the interarytenoids are weak.,(C) cricothyroid muscle is paralyzed but the interarytenoids are fully active.,(D) cricothyroid muscle is paralyzed but the interarytenoids are weak.,B,-3.8608365058898926,-1.9370694160461426,-2.1245415210723877,-2.4369471073150635,B,True
Which one of the following statements about the growth of the mandible is correct?,(A) The mental symphysis closes at about 1 year postnatally,(B) The condylar growth cartilage ceases activity at puberty,(C) The ossification centre appears about 8 weeks I.U.L medial to Meckel's cartilage,(D) The functional matrix acting on the angle of the mandible is the lateral pterygoid muscle,A,-2.6994683742523193,-2.2029829025268555,-1.5780657529830933,-2.5779917240142822,C,False
Which of the following statements is true of the pupillary light reflex?,(A) Its efferent limb is carried in the optic nerve,(B) It is mediated by the inferior colliculi in the midbrain,(C) It is a consensual reflex,(D) Its afferent limb is carried in the oculomotor nerve,C,-2.013110399246216,-3.8896992206573486,-2.5152623653411865,-1.640527367591858,D,False
Which muscles are normally active during quiet inspiration?,(A) External and internal intercostal muscles,(B) External intercostal muscles and diaphragm,(C) Internal intercostal muscles and diaphragm,(D) External and internal intercostal muscles and diaphragm,B,-2.935314893722534,-2.187368631362915,-2.1873512268066406,-1.437448501586914,D,False
Male hormones are produced by which of the following?,(A) Glans penis,(B) Prepuce,(C) Prostate,(D) Testes,D,-5.358965873718262,-4.249722003936768,-2.7655210494995117,-1.1328016519546509,D,True
Oxygenated blood is carried to the heart by which of the following structures?,(A) Aorta,(B) Carotid arteries,(C) Inferior vena cava,(D) Pulmonary veins,D,-1.726234793663025,-2.4687111377716064,-3.843575954437256,-1.9765461683273315,A,False
Which of the following allows air to pass into the lungs?,(A) Aorta,(B) Esophagus,(C) Trachea,(D) Pancreas,C,-5.326153755187988,-5.966760158538818,-0.5937278270721436,-7.2779717445373535,C,True
Where is the sinoatrial node located?,(A) Between the left atrium and the left ventricle,(B) Between the right atrium and the right ventricle,(C) In the upper wall of the right atrium,(D) In the upper wall of the left ventricle,C,-1.6478713750839233,-3.8903908729553223,-1.5234125852584839,-3.7654995918273926,C,True
"In relation to the rib, the corresponding intercostal nerve lies",(A) deep to its superior border.,(B) superficial to its superior border.,(C) deep to its inferior border.,(D) superficial to its inferior border.,C,-3.073432207107544,-1.515553593635559,-3.0153908729553223,-2.9529738426208496,B,False
The regional lymphatic drainage of the left side of the tip of the tongue is to the,(A) left submental lymph node.,(B) left and right submental lymph nodes.,(C) left submandibular lymph node.,(D) left and right submandibular lymph nodes.,B,-4.022363185882568,-2.8902390003204346,-2.265453815460205,-1.8905210494995117,D,False
Gastrulation is the process of,(A) mesoderm formation and occurs after neurulation.,(B) ectomesenchyme formation and occurs before neurulation.,(C) mesoderm formation and occurs before neurulation.,(D) ectomesenchyme formation and occurs after neurulation.,B,-4.17418909072876,-3.811744213104248,-0.8787020444869995,-4.061467170715332,C,False
The spheno-occipital synchondrosis,(A) is a secondary growth cartilage.,(B) influences the position of the viscerocranium.,(C) ceases activity at 7 years of age.,(D) can be reactivated in patients affected by acromegaly.,B,-3.3084216117858887,-2.1872966289520264,-2.3122966289520264,-1.81240975856781,D,False
Which of the following substances is found in greater quantity in exhaled air?,(A) Carbon dioxide,(B) Carbon monoxide,(C) Nitrogen,(D) Oxygen,C,-1.4215235710144043,-4.312184810638428,-3.4217536449432373,-4.437238693237305,A,False
Which of the following conditions is characterized by the presence of kidney stones (renal calculi)?,(A) Glomerulonephritis,(B) Interstitial nephritis,(C) Nephrolithiasis,(D) Polycystic kidney,C,-6.563032150268555,-6.620921611785889,-0.613207221031189,-6.497673988342285,C,True
A pulse may be felt on a patient's face where the,(A) facial artery crosses the mandible.,(B) facial artery crosses the maxilla.,(C) superficial temporal artery crosses the maxilla.,(D) superficial temporal artery crosses the orbital rim.,A,-1.919853925704956,-2.2964236736297607,-2.1716177463531494,-2.4214766025543213,A,True
A patient sustains severe blunt trauma to the left upper abdomen and requires surgery. Which one of the following organs is most likely to be involved?,(A) Appendix,(B) Gallbladder,(C) Spleen,(D) Urinary bladder,C,-5.330019474029541,-5.217464923858643,-0.7031044960021973,-6.15504264831543,C,True
Which statement concerning the atrioventricular bundle is correct?,(A) It is formed of autonomic nerve processes and is the only electrical connection between the atria and the ventricles.,(B) It is formed of Purkinje fibres and is the only electrical connection between the atria and the ventricles,(C) It is formed of autonomic nerve processes and forms one of several electrical connections between the atria and ventricles.,(D) It is formed of Purkinje fibres and forms one of several electrical connections between the atria and ventricles.,B,-5.4017229080200195,-2.812331438064575,-3.0620694160461426,-1.3045921325683594,D,False
Which of the following terms describes the motion of bending the forearm toward the body?,(A) Abduction,(B) Eversion,(C) Flexion,(D) Pronation,C,-5.382275581359863,-6.0279717445373535,-0.7851172685623169,-6.6527605056762695,C,True
Food is prevented from entering the larynx during the pharyngeal phase of swallowing by,(A) constriction of the laryngeal entrance.,(B) upward movement of the epiglottis.,(C) downward movement of the larynx.,(D) increase in respiratory rate.,A,-3.2588043212890625,-1.2654995918273926,-2.702875852584839,-4.0307464599609375,B,False
At which of the following locations does bile enter the digestive tract?,(A) Gastroesophageal sphincter,(B) Duodenum,(C) Ileocecum,(D) Jejunum,B,-4.803885459899902,-0.7421709299087524,-3.2498602867126465,-4.124868869781494,B,True
In which of the following positions does a patient lie face down?,(A) Dorsal,(B) Erect,(C) Lateral,(D) Prone,B,-4.458040237426758,-4.093332767486572,-4.093358039855957,-0.9804340600967407,D,False
Complete bilateral cleft palate is due to failure of fusion of the,(A) palatine processes.,(B) palatine and frontonasal processes.,"(C) palatine, frontonasal and secondary nasal processes.","(D) palatine, frontonasal, secondary nasal processes and mandibular processes.",C,-4.109930038452148,-2.7492902278900146,-1.99191153049469,-2.874244213104248,C,True
The auditory tube,(A) connects the inner ear and nasopharynx.,(B) is derived from the second pharyngeal pouch.,(C) is opened by the action of levator veli palatini.,(D) is closed by the action of tensor veli palatini.,C,-1.444334626197815,-2.4373204708099365,-2.3123767375946045,-2.937283515930176,A,False
Which of the following is the lymphoid organ that is a reservoir for red blood cells and filters organisms from the blood?,(A) Appendix,(B) Gallbladder,(C) Pancreas,(D) Spleen,D,-6.19883394241333,-7.028169631958008,-6.778696060180664,-1.1484293937683105,D,True
Which of the following cavities are separated by the diaphragm?,(A) Abdominal and pelvic,(B) Cranial and spinal,(C) Thoracic and abdominal,(D) Pericardial and pleural,C,-1.843246579170227,-1.9687060117721558,-2.0936899185180664,-2.5937001705169678,A,False
