Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,material-dynamics,1.0,material,1.0,Chao sees something that is fabric.,Can Chao fold it?,Yes,0,-0.13758504390716553,-2.0780389308929443,-0.08912324002729016,-2.1265007347728195,-0.048461803879875365,Yes,True
2.0,1.0,material-dynamics,1.0,material,1.0,Chao sees something that is fabric.,Can Chao pour it?,No,0,-0.4822927713394165,-0.9803855419158936,-0.43383096745954114,-1.028847345795769,-0.048461803879875365,Yes,False
3.0,1.0,material-dynamics,1.0,material,2.0,Chao sees something that is liquid.,Can Chao fold it?,No,0,-2.1561057567596436,-0.12446033954620361,-2.1076439528797684,-0.17292214342607898,-0.048461803879875365,No,True
4.0,1.0,material-dynamics,1.0,material,2.0,Chao sees something that is liquid.,Can Chao pour it?,Yes,0,-0.13073529303073883,-2.1249098777770996,-0.08227348915086347,-2.173371681656975,-0.048461803879875365,Yes,True
5.0,2.0,material-dynamics,2.0,material,1.0,Chao sees the denim.,Can Chao fold it?,Yes,0,-0.39831113815307617,-1.1249151229858398,-0.3498493342732008,-1.1733769268657153,-0.048461803879875365,Yes,True
6.0,2.0,material-dynamics,2.0,material,1.0,Chao sees the denim.,Can Chao pour it?,No,0,-1.671718955039978,-0.21184206008911133,-1.6232571511601026,-0.2603038639689867,-0.048461803879875365,No,True
7.0,2.0,material-dynamics,2.0,material,2.0,Chao sees the water.,Can Chao fold it?,No,0,-2.6561057567596436,-0.07416665554046631,-2.6076439528797684,-0.12262845942034167,-0.048461803879875365,No,True
8.0,2.0,material-dynamics,2.0,material,2.0,Chao sees the water.,Can Chao pour it?,Yes,0,-0.49007749557495117,-0.9608391523361206,-0.4416156916950758,-1.009300956215996,-0.048461803879875365,Yes,True
10.0,3.0,material-dynamics,3.0,material,1.0,Chao sees something that is fabric.,Can Chao stir it?,No,0,-0.8709628582000732,-0.550707221031189,-0.8225010543201978,-0.5991690249110644,-0.048461803879875365,No,True
12.0,3.0,material-dynamics,3.0,material,2.0,Chao sees something that is liquid.,Can Chao stir it?,Yes,0,-0.0824214294552803,-2.562429666519165,-0.03395962557540494,-2.6108914703990402,-0.048461803879875365,Yes,True
16.0,4.0,material-dynamics,4.0,material,2.0,Chao sees the water.,Can Chao stir it?,Yes,0,-0.2791846990585327,-1.4218013286590576,-0.23072289517865735,-1.470263132538933,-0.048461803879875365,Yes,True
20.0,5.0,material-dynamics,5.0,material,2.0,Chao sees something that is gas.,Can Chao stir it?,Yes,0,-0.8592535257339478,-0.5546259880065918,-0.8107917218540723,-0.6030877918864672,-0.048461803879875365,No,False
24.0,6.0,material-dynamics,6.0,material,2.0,Chao sees the oxygen.,Can Chao stir it?,Yes,0,-1.374876618385315,-0.2929079532623291,-1.3264148145054395,-0.34136975714220447,-0.048461803879875365,No,False
25.0,7.0,material-dynamics,7.0,material,1.0,Chao sees something that is rigid.,Can it break?,Yes,0,-0.40604010224342346,-1.117057204246521,-0.3575782983635481,-1.1655190081263964,-0.048461803879875365,Yes,True
26.0,7.0,material-dynamics,7.0,material,1.0,Chao sees something that is rigid.,Can it ripple?,No,0,-2.4372386932373047,-0.09363759309053421,-2.3887768893574295,-0.14209939697040957,-0.048461803879875365,No,True
27.0,7.0,material-dynamics,7.0,material,2.0,Chao sees something that is fabric.,Can it break?,No,0,-0.7498313188552856,-0.6561508178710938,-0.7013695149754102,-0.7046126217509692,-0.048461803879875365,Yes,False
28.0,7.0,material-dynamics,7.0,material,2.0,Chao sees something that is fabric.,Can it ripple?,Yes,0,-0.4060964584350586,-1.1092742681503296,-0.35763465455518323,-1.157736072030205,-0.048461803879875365,Yes,True
31.0,8.0,material-dynamics,8.0,material,2.0,Chao sees something that is liquid.,Can it break?,No,0,-1.523264765739441,-0.25187814235687256,-1.4748029618595655,-0.3003399462367479,-0.048461803879875365,No,True
32.0,8.0,material-dynamics,8.0,material,2.0,Chao sees something that is liquid.,Can it ripple?,Yes,0,-0.11069310456514359,-2.281144618988037,-0.06223130068526822,-2.3296064228679123,-0.048461803879875365,Yes,True
33.0,9.0,material-dynamics,9.0,material,1.0,Chao sees something that is non-rigid.,Can it break?,Yes,0,-0.5076315402984619,-0.9334918260574341,-0.45916973641858655,-0.9819536299373095,-0.048461803879875365,Yes,True
34.0,9.0,material-dynamics,9.0,material,1.0,Chao sees something that is non-rigid.,Can it ripple?,No,0,-0.4099920988082886,-1.0936508178710938,-0.3615302949284132,-1.1421126217509692,-0.048461803879875365,Yes,False
37.0,10.0,material-dynamics,10.0,material,1.0,Chao sees the feather.,Can it break?,Yes,0,-1.0857418775558472,-0.4256666898727417,-1.0372800736759717,-0.47412849375261706,-0.048461803879875365,No,False
38.0,10.0,material-dynamics,10.0,material,1.0,Chao sees the feather.,Can it ripple?,No,0,-1.3279640674591064,-0.3143681287765503,-1.279502263579231,-0.36282993265642566,-0.048461803879875365,No,True
40.0,10.0,material-dynamics,10.0,material,2.0,Chao sees the denim.,Can it ripple?,Yes,0,-1.1638977527618408,-0.37882113456726074,-1.1154359488819654,-0.4272829384471361,-0.048461803879875365,No,False
47.0,12.0,material-dynamics,12.0,material,2.0,Chao sees the water.,Can it break?,No,0,-1.187351107597351,-0.37101924419403076,-1.1388893037174757,-0.4194810480739061,-0.048461803879875365,No,True
48.0,12.0,material-dynamics,12.0,material,2.0,Chao sees the water.,Can it ripple?,Yes,0,-0.30648303031921387,-1.3436444997787476,-0.2580212264393385,-1.392106303658623,-0.048461803879875365,Yes,True
50.0,13.0,material-dynamics,13.0,material,1.0,Chao sees something that is fabric.,Can it disperse?,No,0,-0.5584033727645874,-0.8709628582000732,-0.509941568884712,-0.9194246620799487,-0.048461803879875365,Yes,False
52.0,13.0,material-dynamics,13.0,material,2.0,Chao sees something that is gas.,Can it disperse?,Yes,0,-0.14921821653842926,-1.999841570854187,-0.1007564126585539,-2.048303374734062,-0.048461803879875365,Yes,True
53.0,14.0,material-dynamics,14.0,material,1.0,Chao sees something that is rigid.,Can Chao squeeze it?,Yes,1,-0.7888977527618408,-0.6092860698699951,-0.7194928063366275,-0.6786910162952084,-0.06940494642521328,No,False
57.0,15.0,material-dynamics,15.0,material,1.0,Chao sees the cup.,Can Chao squeeze it?,Yes,1,-0.5584918260574341,-0.8553953170776367,-0.4890868796322208,-0.92480026350285,-0.06940494642521328,Yes,True
58.0,15.0,material-dynamics,15.0,material,1.0,Chao sees the cup.,Can Chao pour it?,No,1,-0.4803316593170166,-0.9803855419158936,-0.4109267128918033,-1.0497904883411069,-0.06940494642521328,Yes,False
59.0,15.0,material-dynamics,15.0,material,2.0,Chao sees the water.,Can Chao squeeze it?,No,1,-1.0155072212219238,-0.4530578851699829,-0.9461022747967105,-0.5224628315951962,-0.06940494642521328,No,True
61.0,16.0,material-dynamics,16.0,material,1.0,Chao sees something that is non-rigid.,Can Chao compresse it?,Yes,1,-1.468552827835083,-0.263580322265625,-1.3991478814098697,-0.3329852686908383,-0.06940494642521328,No,False
64.0,16.0,material-dynamics,16.0,material,2.0,Chao sees something that is granular.,Can Chao pour it?,Yes,1,-0.6795302629470825,-0.7186625003814697,-0.6101253165218692,-0.7880674468066831,-0.06940494642521328,Yes,True
65.0,17.0,material-dynamics,17.0,material,1.0,Chao sees the feather.,Can Chao compresse it?,Yes,1,-1.429485559463501,-0.2791914939880371,-1.3600806130382876,-0.3485964404132504,-0.06940494642521328,No,False
66.0,17.0,material-dynamics,17.0,material,1.0,Chao sees the feather.,Can Chao pour it?,No,1,-1.1404829025268555,-0.39249706268310547,-1.0710779561016421,-0.46190200910831875,-0.06940494642521328,No,True
68.0,17.0,material-dynamics,17.0,material,2.0,Chao sees the sesame.,Can Chao pour it?,Yes,1,-0.7576624155044556,-0.6444447040557861,-0.6882574690792422,-0.7138496504809995,-0.06940494642521328,Yes,True
77.0,20.0,material-dynamics,20.0,material,1.0,Chao sees something that is non-rigid.,Can Chao squeeze it?,Yes,1,-0.44127440452575684,-1.0389796495437622,-0.37186945810054356,-1.1083845959689755,-0.06940494642521328,Yes,True
81.0,21.0,material-dynamics,21.0,material,1.0,Chao sees the feather.,Can Chao squeeze it?,Yes,1,-0.7264419794082642,-0.6717915534973145,-0.6570370329830508,-0.7411964999225278,-0.06940494642521328,Yes,True
86.0,22.0,material-dynamics,22.0,material,1.0,Chao sees something that is granular.,Can Chao rip it?,No,1,-0.5701881647109985,-0.8436774015426636,-0.5007832182857852,-0.9130823479678769,-0.06940494642521328,Yes,False
88.0,22.0,material-dynamics,22.0,material,2.0,Chao sees something that is fabric.,Can Chao rip it?,Yes,1,-0.14147605001926422,-2.046774387359619,-0.07207110359405094,-2.1161793337848325,-0.06940494642521328,Yes,True
90.0,23.0,material-dynamics,23.0,material,1.0,Chao sees the sesame.,Can Chao rip it?,No,1,-0.601417064666748,-0.8045978546142578,-0.5320121182415347,-0.8740028010394711,-0.06940494642521328,Yes,False
92.0,23.0,material-dynamics,23.0,material,2.0,Chao sees the denim.,Can Chao rip it?,Yes,1,-0.30063414573669434,-1.3670921325683594,-0.23122919931148106,-1.4364970789935727,-0.06940494642521328,Yes,True
96.0,24.0,material-dynamics,24.0,material,2.0,Chao sees something that is fabric.,Can Chao compresse it?,Yes,1,-0.7888758182525635,-0.6092609167098999,-0.7194708718273501,-0.6786658631351132,-0.06940494642521328,No,False
100.0,25.0,material-dynamics,25.0,material,2.0,Chao sees the denim.,Can Chao compresse it?,Yes,1,-1.3045201301574707,-0.3202270269393921,-1.2351151837322574,-0.38963197336460537,-0.06940494642521328,No,False
102.0,26.0,material-dynamics,26.0,material,1.0,Chao sees something that is granular.,Can Chao wrinkle it?,No,1,-0.7889419794082642,-0.60931396484375,-0.7195370329830508,-0.6787189112689633,-0.06940494642521328,No,True
104.0,26.0,material-dynamics,26.0,material,2.0,Chao sees something that is fabric.,Can Chao wrinkle it?,Yes,1,-0.1668713092803955,-1.8905333280563354,-0.09746636285518223,-1.9599382744815488,-0.06940494642521328,Yes,True
106.0,27.0,material-dynamics,27.0,material,1.0,Chao sees the sesame.,Can Chao wrinkle it?,No,1,-0.8240939378738403,-0.58195960521698,-0.754688991448627,-0.6513645516421933,-0.06940494642521328,No,True
108.0,27.0,material-dynamics,27.0,material,2.0,Chao sees the denim.,Can Chao wrinkle it?,Yes,1,-0.42173731327056885,-1.0780333280563354,-0.35233236684535557,-1.1474382744815488,-0.06940494642521328,Yes,True
112.0,28.0,material-dynamics,28.0,material,2.0,Chao sees something that is fabric.,Can Chao drape it?,Yes,1,-0.10779619961977005,-2.3124098777770996,-0.038391253194556774,-2.381814824202313,-0.06940494642521328,Yes,True
114.0,29.0,material-dynamics,29.0,material,1.0,Chao sees the sesame.,Can Chao drape it?,No,1,-0.6209708452224731,-0.7772715091705322,-0.5515658987972598,-0.8466764555957456,-0.06940494642521328,Yes,False
116.0,29.0,material-dynamics,29.0,material,2.0,Chao sees the denim.,Can Chao drape it?,Yes,1,-0.21471692621707916,-1.6561568975448608,-0.1453119797918659,-1.7255618439700742,-0.06940494642521328,Yes,True
118.0,30.0,material-dynamics,30.0,material,1.0,Chao sees something that is granular.,Can Chao hang it?,No,1,-1.3592535257339478,-0.2987741231918335,-1.2898485793087344,-0.3681790696170468,-0.06940494642521328,No,True
120.0,30.0,material-dynamics,30.0,material,2.0,Chao sees something that is fabric.,Can Chao hang it?,Yes,1,-0.15026403963565826,-1.9920921325683594,-0.08085909321044499,-2.0614970789935727,-0.06940494642521328,Yes,True
124.0,31.0,material-dynamics,31.0,material,2.0,Chao sees the denim.,Can Chao hang it?,Yes,1,-0.43736863136291504,-1.0546033382415771,-0.36796368493770176,-1.1240082846667905,-0.06940494642521328,Yes,True
127.0,32.0,material-dynamics,32.0,material,2.0,Chao sees something that is gas.,Can Chao pour it?,No,1,-0.7615584135055542,-0.6366274356842041,-0.6921534670803409,-0.7060323821094174,-0.06940494642521328,Yes,False
128.0,32.0,material-dynamics,32.0,material,2.0,Chao sees something that is gas.,Can Chao compresse it?,Yes,2,-1.4138637781143188,-0.28115689754486084,-1.4217167941925044,-0.2733038814666753,0.00785301607818556,No,False
132.0,33.0,material-dynamics,33.0,material,2.0,Chao sees the oxygen.,Can Chao compresse it?,Yes,2,-1.343552827835083,-0.30458593368530273,-1.3514058439132686,-0.2967329176071172,0.00785301607818556,No,False
