property,prefix,Context,Question,Correct Answer,negative_sample_type,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,0,-0.2533511221408844,-10.312368392944336,-1.0162057385846441,-9.549513776500577,0.7628546164437597,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,0,-0.5267196297645569,-9.624841690063477,-1.2895742462083166,-8.861987073619717,0.7628546164437597,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,0,-7.812283515930176,-0.36126697063446045,-8.575138132373935,0.4015876458092993,0.7628546164437597,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,0,-5.343512058258057,-0.40618979930877686,-6.106366674701817,0.3566648171349829,0.7628546164437597,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,0,-8.312309265136719,-0.6444903612136841,-9.075163881580478,0.11836425523007565,0.7628546164437597,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,0,-2.186833143234253,-1.929458737373352,-2.949687759678013,-1.1666041209295923,0.7628546164437597,No,True
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,0,-0.5653026103973389,-3.3122220039367676,-1.3281572268410986,-2.5493673874930076,0.7628546164437597,Yes,True
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,0,-4.843381404876709,-0.7147799730300903,-5.606236021320469,0.048074643413669405,0.7628546164437597,No,True
can affect urine,hair,'',Can hair affect urine?,No,random,0,-0.7138773202896118,-4.34362268447876,-1.4767319367333716,-3.580768068035,0.7628546164437597,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,0,-6.218564987182617,-1.4139894247055054,-6.981419603626377,-0.6511348082617456,0.7628546164437597,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,0,-2.765284299850464,-0.7694269418716431,-3.528138916294224,-0.00657232542788333,0.7628546164437597,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,0,-9.87476921081543,-0.5819820165634155,-10.637623827259189,0.1808725998803442,0.7628546164437597,No,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,0,-0.38830989599227905,-12.062309265136719,-1.1511645124360388,-11.29945464869296,0.7628546164437597,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,0,-0.31407231092453003,-9.624820709228516,-1.0769269273682898,-8.861966092784757,0.7628546164437597,Yes,False
