Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,material-dynamics,1.0,material,1.0,Chao sees something that is fabric.,Can Chao fold it?,Yes,0,-0.49222332239151,-3.1539957523345947,-0.7658451758325101,-2.8803738988935947,0.2736218534410001,Yes,True
2.0,1.0,material-dynamics,1.0,material,1.0,Chao sees something that is fabric.,Can Chao pour it?,No,0,-0.9243862628936768,-1.3884055614471436,-1.1980081163346767,-1.1147837080061436,0.2736218534410001,No,True
3.0,1.0,material-dynamics,1.0,material,2.0,Chao sees something that is liquid.,Can Chao fold it?,No,0,-1.6162248849868774,-1.8028898239135742,-1.8898467384278774,-1.5292679704725742,0.2736218534410001,No,True
4.0,1.0,material-dynamics,1.0,material,2.0,Chao sees something that is liquid.,Can Chao pour it?,Yes,0,-2.530517578125,-5.404131889343262,-2.804139431566,-5.130510035902262,0.2736218534410001,Yes,True
5.0,2.0,material-dynamics,2.0,material,1.0,Chao sees the denim.,Can Chao fold it?,Yes,0,-0.5384504199028015,-1.444449543952942,-0.8120722733438016,-1.170827690511942,0.2736218534410001,Yes,True
6.0,2.0,material-dynamics,2.0,material,1.0,Chao sees the denim.,Can Chao pour it?,No,0,-1.4285264015197754,-0.9279985427856445,-1.7021482549607754,-0.6543766893446444,0.2736218534410001,No,True
7.0,2.0,material-dynamics,2.0,material,2.0,Chao sees the water.,Can Chao fold it?,No,0,-1.6458228826522827,-2.1218223571777344,-1.9194447360932827,-1.8482005037367344,0.2736218534410001,No,True
8.0,2.0,material-dynamics,2.0,material,2.0,Chao sees the water.,Can Chao pour it?,Yes,0,-1.1618602275848389,-1.5048961639404297,-1.4354820810258389,-1.2312743104994297,0.2736218534410001,No,False
10.0,3.0,material-dynamics,3.0,material,1.0,Chao sees something that is fabric.,Can Chao stir it?,No,0,-1.1761153936386108,-1.6437079906463623,-1.4497372470796108,-1.3700861372053623,0.2736218534410001,No,True
12.0,3.0,material-dynamics,3.0,material,2.0,Chao sees something that is liquid.,Can Chao stir it?,Yes,0,-1.8582229614257812,-3.763110399246216,-2.1318448148667812,-3.489488545805216,0.2736218534410001,Yes,True
16.0,4.0,material-dynamics,4.0,material,2.0,Chao sees the water.,Can Chao stir it?,Yes,0,-2.1687464714050293,-1.7321555614471436,-2.4423683248460293,-1.4585337080061436,0.2736218534410001,No,False
20.0,5.0,material-dynamics,5.0,material,2.0,Chao sees something that is gas.,Can Chao stir it?,Yes,0,-1.9030722379684448,-1.2155722379684448,-2.176694091409445,-0.9419503845274447,0.2736218534410001,No,False
24.0,6.0,material-dynamics,6.0,material,2.0,Chao sees the oxygen.,Can Chao stir it?,Yes,0,-1.9728193283081055,-2.2777605056762695,-2.2464411817491055,-2.0041386522352695,0.2736218534410001,No,False
25.0,7.0,material-dynamics,7.0,material,1.0,Chao sees something that is rigid.,Can it break?,Yes,0,-2.9195852279663086,-4.372673988342285,-3.1932070814073086,-4.099052134901285,0.2736218534410001,Yes,True
26.0,7.0,material-dynamics,7.0,material,1.0,Chao sees something that is rigid.,Can it ripple?,No,0,-2.8729472160339355,-2.88909912109375,-3.1465690694749355,-2.61547726765275,0.2736218534410001,No,True
27.0,7.0,material-dynamics,7.0,material,2.0,Chao sees something that is fabric.,Can it break?,No,0,-1.3300548791885376,-3.2588043212890625,-1.6036767326295376,-2.9851824678480625,0.2736218534410001,Yes,False
