Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
1.0,1.0,social-properties,1.0,antonym,1.0,Chao treats people kindly.,Is Chao friendly?,Yes,-0.021200431510806084,-6.093672752380371,-10.213422775268555,-9.025922775268555,10.192222343757749,2.9322500228881836,Yes,True
2.0,1.0,social-properties,1.0,antonym,1.0,Chao treats people kindly.,Is Chao hostile?,No,-8.499934196472168,-0.0009864569874480367,-10.213422775268555,-9.025922775268555,1.7134885787963867,9.024936318281107,No,True
3.0,1.0,social-properties,1.0,antonym,2.0,Chao treats people coldly.,Is Chao friendly?,No,-7.312283515930176,-0.001861811731941998,-10.213422775268555,-9.025922775268555,2.901139259338379,9.024060963536613,No,True
4.0,1.0,social-properties,1.0,antonym,2.0,Chao treats people coldly.,Is Chao hostile?,Yes,-0.021402958780527115,-4.781223297119141,-10.213422775268555,-9.025922775268555,10.192019816488028,4.244699478149414,Yes,True
5.0,2.0,social-properties,2.0,antonym,1.0,Chao greeted Yan.,Is Chao friendly?,Yes,-0.03828287124633789,-5.343735694885254,-10.213422775268555,-9.025922775268555,10.175139904022217,3.682187080383301,Yes,True
6.0,2.0,social-properties,2.0,antonym,1.0,Chao greeted Yan.,Is Chao hostile?,No,-10.937466621398926,-0.0003712177276611328,-10.213422775268555,-9.025922775268555,-0.7240438461303711,9.025551557540894,No,True
7.0,2.0,social-properties,2.0,antonym,2.0,Chao insulted Yan.,Is Chao friendly?,No,-6.031144618988037,-0.006625056732445955,-10.213422775268555,-9.025922775268555,4.182278156280518,9.019297718536109,No,True
8.0,2.0,social-properties,2.0,antonym,2.0,Chao insulted Yan.,Is Chao hostile?,Yes,-0.0068566822446882725,-6.718729496002197,-10.213422775268555,-9.025922775268555,10.206566093023866,2.3071932792663574,Yes,True
9.0,3.0,social-properties,3.0,antonym,1.0,Chao enjoys meeting new people.,Is Chao friendly?,Yes,-0.01004244014620781,-6.374941825866699,-10.213422775268555,-9.025922775268555,10.203380335122347,2.6509809494018555,Yes,True
10.0,3.0,social-properties,3.0,antonym,1.0,Chao enjoys meeting new people.,Is Chao hostile?,No,-8.187383651733398,-0.001183986896649003,-10.213422775268555,-9.025922775268555,2.0260391235351562,9.024738788371906,No,True
11.0,3.0,social-properties,3.0,antonym,2.0,Chao avoids meeting new people.,Is Chao friendly?,No,-5.718540191650391,-0.012032867409288883,-10.213422775268555,-9.025922775268555,4.494882583618164,9.013889907859266,No,True
12.0,3.0,social-properties,3.0,antonym,2.0,Chao avoids meeting new people.,Is Chao hostile?,Yes,-0.6755386590957642,-0.89445960521698,-10.213422775268555,-9.025922775268555,9.53788411617279,8.131463170051575,Yes,True
13.0,4.0,social-properties,4.0,other,1.0,Chao gave Yan a gift.,Is Chao friendly?,Yes,-0.017037512734532356,-7.437477111816406,-10.213422775268555,-9.025922775268555,10.196385262534022,1.5884456634521484,Yes,True
14.0,4.0,social-properties,4.0,other,1.0,Chao gave Yan a gift.,Is Chao hostile?,No,-8.687409400939941,-0.0013173819752410054,-10.213422775268555,-9.025922775268555,1.5260133743286133,9.024605393293314,No,True
15.0,4.0,social-properties,4.0,other,2.0,Chao gave Yan a glare.,Is Chao friendly?,No,-6.343672752380371,-0.005048036575317383,-10.213422775268555,-9.025922775268555,3.8697500228881836,9.020874738693237,No,True
16.0,4.0,social-properties,4.0,other,2.0,Chao gave Yan a glare.,Is Chao hostile?,Yes,-0.0052461628802120686,-7.062490463256836,-10.213422775268555,-9.025922775268555,10.208176612388343,1.9634323120117188,Yes,True
17.0,5.0,social-properties,5.0,antonym,1.0,Chao is reliable.,Is Chao trustworthy?,Yes,-0.052624884992837906,-4.49989128112793,-10.213422775268555,-9.025922775268555,10.160797890275717,4.526031494140625,Yes,True
18.0,5.0,social-properties,5.0,antonym,1.0,Chao is reliable.,Is Chao untrustworthy?,No,-10.687438011169434,-0.0007784366607666016,-10.213422775268555,-9.025922775268555,-0.4740152359008789,9.025144338607788,No,True
19.0,5.0,social-properties,5.0,antonym,2.0,Chao is unreliable.,Is Chao trustworthy?,No,-6.718480587005615,-0.0031188740395009518,-10.213422775268555,-9.025922775268555,3.4949421882629395,9.022803901229054,No,True
20.0,5.0,social-properties,5.0,antonym,2.0,Chao is unreliable.,Is Chao untrustworthy?,Yes,-0.017358308658003807,-6.06247091293335,-10.213422775268555,-9.025922775268555,10.19606446661055,2.963451862335205,Yes,True
21.0,6.0,social-properties,6.0,negation,1.0,Chao can be depended upon.,Is Chao trustworthy?,Yes,-0.01917511411011219,-4.905996799468994,-10.213422775268555,-9.025922775268555,10.194247661158442,4.1199259757995605,Yes,True
22.0,6.0,social-properties,6.0,negation,1.0,Chao can be depended upon.,Is Chao untrustworthy?,No,-8.24991512298584,-0.0008773804293014109,-10.213422775268555,-9.025922775268555,1.9635076522827148,9.025045394839253,No,True
23.0,6.0,social-properties,6.0,negation,2.0,Chao cannot be depended upon.,Is Chao trustworthy?,No,-6.4684038162231445,-0.00491965189576149,-10.213422775268555,-9.025922775268555,3.74501895904541,9.021003123372793,No,True
24.0,6.0,social-properties,6.0,negation,2.0,Chao cannot be depended upon.,Is Chao untrustworthy?,Yes,-0.012867460027337074,-5.468703269958496,-10.213422775268555,-9.025922775268555,10.200555315241218,3.5572195053100586,Yes,True
25.0,7.0,social-properties,7.0,antonym,1.0,"Yan told Chao a secret. Today, no one else knows the secret.",Is Chao trustworthy?,Yes,-0.050732772797346115,-3.124903917312622,-10.213422775268555,-9.025922775268555,10.162690002471209,5.901018857955933,Yes,True
26.0,7.0,social-properties,7.0,antonym,1.0,"Yan told Chao a secret. Today, no one else knows the secret.",Is Chao untrustworthy?,No,-3.2811145782470703,-0.04098308086395264,-10.213422775268555,-9.025922775268555,6.932308197021484,8.984939694404602,No,True
27.0,7.0,social-properties,7.0,antonym,2.0,"Yan told Chao a secret. Today, everyone knows the secret.",Is Chao trustworthy?,No,-5.874411582946777,-0.017517464235424995,-10.213422775268555,-9.025922775268555,4.339011192321777,9.00840531103313,No,True
28.0,7.0,social-properties,7.0,antonym,2.0,"Yan told Chao a secret. Today, everyone knows the secret.",Is Chao untrustworthy?,Yes,-0.057170651853084564,-3.7655489444732666,-10.213422775268555,-9.025922775268555,10.15625212341547,5.260373830795288,Yes,True
29.0,8.0,social-properties,8.0,antonym,1.0,Chao is good at completing important tasks.,Is Chao trustworthy?,Yes,-0.008734076283872128,-5.968540191650391,-10.213422775268555,-9.025922775268555,10.204688698984683,3.057382583618164,Yes,True
30.0,8.0,social-properties,8.0,antonym,1.0,Chao is good at completing important tasks.,Is Chao untrustworthy?,No,-10.187397956848145,-0.0007271767826750875,-10.213422775268555,-9.025922775268555,0.026024818420410156,9.02519559848588,No,True
31.0,8.0,social-properties,8.0,antonym,2.0,Chao is bad at completing important tasks.,Is Chao trustworthy?,No,-6.124664783477783,-0.005097274202853441,-10.213422775268555,-9.025922775268555,4.0887579917907715,9.020825501065701,No,True
32.0,8.0,social-properties,8.0,antonym,2.0,Chao is bad at completing important tasks.,Is Chao untrustworthy?,Yes,-0.03335392847657204,-4.218715667724609,-10.213422775268555,-9.025922775268555,10.180068846791983,4.807207107543945,Yes,True
33.0,9.0,social-properties,9.0,antonym,1.0,Chao usually keeps promises.,Is Chao trustworthy?,Yes,-0.01351205538958311,-5.09362268447876,-10.213422775268555,-9.025922775268555,10.199910719878972,3.932300090789795,Yes,True
34.0,9.0,social-properties,9.0,antonym,1.0,Chao usually keeps promises.,Is Chao untrustworthy?,No,-7.781162738800049,-0.0010848046513274312,-10.213422775268555,-9.025922775268555,2.432260036468506,9.024837970617227,No,True
35.0,9.0,social-properties,9.0,antonym,2.0,Chao usually breaks promises.,Is Chao trustworthy?,No,-6.655962944030762,-0.0035083312541246414,-10.213422775268555,-9.025922775268555,3.557459831237793,9.02241444401443,No,True
36.0,9.0,social-properties,9.0,antonym,2.0,Chao usually breaks promises.,Is Chao untrustworthy?,Yes,-0.01617853343486786,-5.531105995178223,-10.213422775268555,-9.025922775268555,10.197244241833687,3.494816780090332,Yes,True
37.0,10.0,social-properties,10.0,antonym,1.0,Chao is respectful towards differences in background and belief.,Is Chao tolerant?,Yes,-0.027476254850625992,-5.906086444854736,-10.213422775268555,-9.025922775268555,10.185946520417929,3.1198363304138184,Yes,True
38.0,10.0,social-properties,10.0,antonym,1.0,Chao is respectful towards differences in background and belief.,Is Chao bigoted?,No,-9.187309265136719,-0.0015567551599815488,-10.213422775268555,-9.025922775268555,1.026113510131836,9.024366020108573,No,True
39.0,10.0,social-properties,10.0,antonym,2.0,Chao is disrespectful towards differences in background and belief.,Is Chao tolerant?,No,-7.874446868896484,-0.004474883433431387,-10.213422775268555,-9.025922775268555,2.3389759063720703,9.021447891835123,No,True
40.0,10.0,social-properties,10.0,antonym,2.0,Chao is disrespectful towards differences in background and belief.,Is Chao bigoted?,Yes,-0.02234233170747757,-6.218700408935547,-10.213422775268555,-9.025922775268555,10.191080443561077,2.807222366333008,Yes,True
41.0,11.0,social-properties,11.0,negation,1.0,Chao is not prejudiced against differences in background and belief.,Is Chao tolerant?,Yes,-0.0657772645354271,-6.687184810638428,-10.213422775268555,-9.025922775268555,10.147645510733128,2.338737964630127,Yes,True
42.0,11.0,social-properties,11.0,negation,1.0,Chao is not prejudiced against differences in background and belief.,Is Chao bigoted?,No,-8.874704360961914,-0.0022596148774027824,-10.213422775268555,-9.025922775268555,1.3387184143066406,9.023663160391152,No,True
43.0,11.0,social-properties,11.0,negation,2.0,Chao is prejudiced against differences in background and belief.,Is Chao tolerant?,No,-7.843061923980713,-0.0037567727267742157,-10.213422775268555,-9.025922775268555,2.370360851287842,9.02216600254178,No,True
44.0,11.0,social-properties,11.0,negation,2.0,Chao is prejudiced against differences in background and belief.,Is Chao bigoted?,Yes,-0.02867341972887516,-6.374934196472168,-10.213422775268555,-9.025922775268555,10.18474935553968,2.6509885787963867,Yes,True
45.0,12.0,social-properties,12.0,antonym,1.0,Chao thinks having neighbors of a different race is pleasant.,Is Chao tolerant?,Yes,-0.05110277235507965,-5.74992036819458,-10.213422775268555,-9.025922775268555,10.162320002913475,3.2760024070739746,Yes,True
46.0,12.0,social-properties,12.0,antonym,1.0,Chao thinks having neighbors of a different race is pleasant.,Is Chao bigoted?,No,-8.062383651733398,-0.001318455091677606,-10.213422775268555,-9.025922775268555,2.1510391235351562,9.024604320176877,No,True
47.0,12.0,social-properties,12.0,antonym,2.0,Chao thinks having neighbors of a different race is unpleasant.,Is Chao tolerant?,No,-7.2184038162231445,-0.0024479664862155914,-10.213422775268555,-9.025922775268555,2.99501895904541,9.023474808782339,No,True
48.0,12.0,social-properties,12.0,antonym,2.0,Chao thinks having neighbors of a different race is unpleasant.,Is Chao bigoted?,Yes,-0.012253287248313427,-6.749964714050293,-10.213422775268555,-9.025922775268555,10.201169488020241,2.2759580612182617,Yes,True
49.0,13.0,social-properties,13.0,antonym,1.0,Chao thinks having neighbors of a different religion is pleasant.,Is Chao tolerant?,Yes,-0.053223639726638794,-5.937384128570557,-10.213422775268555,-9.025922775268555,10.160199135541916,3.088538646697998,Yes,True
