question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
Earth's seasons are caused by which of the following?,(A) The tilt of Earth's axis of rotation relative to the ecliptic as Earth revolves around the Sun,(B) The varying amount of sunspot activity,(C) Earth's orbit about the Sun as an ellipse rather than a circle,(D) The rotation of Earth during a 24-hour day,A,A,True,20.0,0,-2.8799047470092773,-9.502761840820312,-8.451966285705566,-7.773289680480957,5.935830490267836,0.947288273150722,1.0130089250703644,1.0498782247925806,-8.815735237277114,-10.450050113971034,-9.46497521077593,-8.823167905273538,A,A,True,True
The atmospheric concentration of which of the following gases is most likely to be directly affected by widespread deforestation?,(A) Carbon dioxide,(B) Ozone,(C) Nitrous oxide,(D) Argon,A,A,True,20.0,0,-4.185629367828369,-9.798995971679688,-7.033471584320068,-5.625034332275391,4.6301058694487445,0.651054142291347,2.4315036264558625,3.198133572998147,-8.815735237277114,-10.450050113971034,-9.46497521077593,-8.823167905273538,A,A,True,True
What was the name of Huey Lewis band?,(A) The News,(B) The Attractions,(C) The Silver Bullet Band,(D) Louie and Dewey,A,B,False,20.0,0,-11.966795921325684,-9.070905685424805,-10.130507469177246,-10.306095123291016,-3.15106068404857,1.3791444285462298,-0.6655322584013152,-1.482927218017478,-8.815735237277114,-10.450050113971034,-9.46497521077593,-8.823167905273538,B,B,False,False
Backgammon is a how many player game?,(A) Two,(B) Three,(C) Four,(D) Six,A,A,True,20.0,0,-8.402209281921387,-10.505729675292969,-11.417621612548828,-11.501311302185059,0.4135259553557269,-0.0556795613219343,-1.9526464017728973,-2.678143396911521,-8.815735237277114,-10.450050113971034,-9.46497521077593,-8.823167905273538,A,A,True,True
In what state is the 1999 movie Magnolia' set?,(A) California,(B) South Carolina,(C) Georgia,(D) Texas,A,B,False,20.0,0,-9.492234230041504,-8.564667701721191,-13.309803009033203,-13.193428993225098,-0.6764989927643903,1.885382412249843,-3.8448277982572723,-4.37026108795156,-8.815735237277114,-10.450050113971034,-9.46497521077593,-8.823167905273538,B,B,False,False
Who wrote 'A Tale of Two Cities'?,(A) Charles Dickens,(B) Nathaniel Hawthorne,(C) Washington Irving,(D) Mark Twain,A,A,True,20.0,0,-3.563270330429077,-10.566934585571289,-10.235854148864746,-8.921599388122559,5.2524649068480365,-0.11688447160025461,-0.7708789380888152,-0.09843148284902092,-8.815735237277114,-10.450050113971034,-9.46497521077593,-8.823167905273538,A,A,True,True
What exercise apparatus is used during a 'Spinning' class?,(A) stationary bicycle,(B) treadmill,(C) rowing machine,(D) barbells,A,A,True,20.0,0,-5.851241588592529,-10.051151275634766,-11.165095329284668,-7.318355083465576,2.9644936486845843,0.3988988383362688,-1.7001201185087371,1.5048128218079615,-8.815735237277114,-10.450050113971034,-9.46497521077593,-8.823167905273538,A,A,True,True
When FDR carried states in the presidential election of 1932 how many states did he not carry?,(A) six,(B) seven,(C) eight,(D) ten,A,A,True,20.0,0,-5.818013668060303,-6.517510414123535,-6.633115291595459,-6.877358913421631,2.997721569216811,3.9325396998474993,2.831859919180472,1.9458089918519068,-8.815735237277114,-10.450050113971034,-9.46497521077593,-8.823167905273538,A,B,True,False
To ward off bad luck what do many people do to wood?,(A) knock on it,(B) kiss it,(C) thank it,(D) scratch it,A,A,True,20.0,0,-7.952369213104248,-9.389033317565918,-8.965812683105469,-9.295249938964844,0.8633660241728656,1.0610167964051165,0.4991625276704621,-0.4720820336913061,-8.815735237277114,-10.450050113971034,-9.46497521077593,-8.823167905273538,A,B,True,False
What day of the week is sometimes called 'hump day'?,(A) Wednesday,(B) Thursday,(C) Friday,(D) Saturday,A,B,False,20.0,0,-9.411595344543457,-9.095234870910645,-11.685870170593262,-10.803140640258789,-0.5958601072663434,1.35481524306039,-2.220894959817331,-1.9799727349852514,-8.815735237277114,-10.450050113971034,-9.46497521077593,-8.823167905273538,B,B,False,False
What was the first American college to become coeducational?,(A) Oberlin College,(B) Dartmouth College,(C) Grinnell College,(D) Antioch College,A,A,True,20.0,0,-8.153840065002441,-13.074884414672852,-12.453261375427246,-9.505104064941406,0.6618951722746722,-2.624834300701817,-2.9882861646513152,-0.6819361596678686,-8.815735237277114,-10.450050113971034,-9.46497521077593,-8.823167905273538,A,A,True,True
Which of these is a slang term for 'police'?,(A) fuzz,(B) shrinks,(C) bean counters,(D) aardvarks,A,A,True,20.0,0,-3.469651222229004,-8.502164840698242,-8.027595520019531,-6.820164680480957,5.34608401504811,1.9478852732727923,1.4373796907563996,2.0030032247925806,-8.815735237277114,-10.450050113971034,-9.46497521077593,-8.823167905273538,A,A,True,True
How much more electrical energy will the United States need to generate if everyone drives electric cars?,(A) 2*10^19 J,(B) 2*10^21 J,(C) 2*10^23 J,(D) 2*10^25 J,A,A,True,20.0,0,-6.769911289215088,-7.044064998626709,-6.863113880157471,-7.508460521697998,2.0458239480620257,3.4059851153443255,2.60186133061846,1.3147073835755396,-8.815735237277114,-10.450050113971034,-9.46497521077593,-8.823167905273538,A,B,True,False
Who was the first First Lady to run for political office?,(A) Hillary Clinton,(B) Rosalynn Carter,(C) Bess Truman,(D) Eleanor Roosevelt,A,C,False,20.0,0,-12.529414176940918,-12.338265419006348,-7.034610271453857,-8.35590648651123,-3.7136789396638044,-1.8882153050353132,2.4303649393220734,0.4672614187623072,-8.815735237277114,-10.450050113971034,-9.46497521077593,-8.823167905273538,C,C,False,False
Girls of what religious community traditionally wear bonnets?,(A) Amish,(B) Sikh,(C) Roman Catholic,(D) Christian,A,A,True,20.0,0,-9.352227210998535,-11.94483470916748,-11.974383354187012,-10.982051849365234,-0.5364919737214215,-1.494784595196446,-2.509408143411081,-2.1588839440916967,-8.815735237277114,-10.450050113971034,-9.46497521077593,-8.823167905273538,A,A,True,True
What is your astrological sign if you were born on Halloween?,(A) Scorpio,(B) Capricorn,(C) Libra,(D) Cancer,A,D,False,20.0,0,-10.622367858886719,-15.516990661621094,-12.213530540466309,-10.438549041748047,-1.8066326216096051,-5.066940547650059,-2.7485553296903777,-1.6153811364745092,-8.815735237277114,-10.450050113971034,-9.46497521077593,-8.823167905273538,D,D,False,False
Which part of the electromagnetic spectrum has the shortest wavelength?,(A) Gamma rays,(B) X-rays,(C) Radio waves,(D) Microwaves,A,A,True,20.0,0,-4.6611175537109375,-10.413666725158691,-8.077201843261719,-9.268392562866211,4.154617683566176,0.03638338881234304,1.387773367514212,-0.44522465759267327,-8.815735237277114,-10.450050113971034,-9.46497521077593,-8.823167905273538,A,A,True,True
According to the proverb necessity is the mother of what?,(A) Invention,(B) Luck,(C) Problems,(D) Procrastination,A,C,False,20.0,0,-7.8062896728515625,-13.288540840148926,-7.27422571182251,-11.12463092803955,1.0094455644255511,-2.8384907261778913,2.190749498953421,-2.301463022766013,-8.815735237277114,-10.450050113971034,-9.46497521077593,-8.823167905273538,C,C,False,False
