Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,material-properties,,negation,1.0,Chao can see through the wheel.,Is the wheel transparent?,Yes,0,-4.4879961013793945,-4.88091516494751,-4.673505967110396,-4.6954052992165085,0.18550986573100103,Yes,True
2.0,1.0,material-properties,,negation,1.0,Chao can see through the wheel.,Is the wheel opaque?,No,0,-4.757370948791504,-5.6405229568481445,-4.942880814522505,-5.455013091117143,0.18550986573100103,Yes,False
3.0,1.0,material-properties,,negation,2.0,Chao cannot see through the wheel.,Is the wheel transparent?,No,0,-4.641378402709961,-4.50660514831543,-4.826888268440962,-4.321095282584428,0.18550986573100103,No,True
4.0,1.0,material-properties,,negation,2.0,Chao cannot see through the wheel.,Is the wheel opaque?,Yes,0,-4.564218044281006,-5.5317816734313965,-4.749727910012007,-5.346271807700395,0.18550986573100103,Yes,True
5.0,2.0,material-properties,,material,1.0,The wheel is made of polyethylene.,Is the wheel transparent?,Yes,0,-4.091585159301758,-4.301827907562256,-4.277095025032759,-4.116318041831255,0.18550986573100103,No,False
6.0,2.0,material-properties,,material,1.0,The wheel is made of polyethylene.,Is the wheel opaque?,No,0,-3.9333181381225586,-4.8652119636535645,-4.11882800385356,-4.679702097922563,0.18550986573100103,Yes,False
7.0,2.0,material-properties,,material,2.0,The wheel is made of bronze.,Is the wheel transparent?,No,0,-3.8665661811828613,-3.593778371810913,-4.052076046913863,-3.408268506079912,0.18550986573100103,No,True
8.0,2.0,material-properties,,material,2.0,The wheel is made of bronze.,Is the wheel opaque?,Yes,0,-3.6531405448913574,-4.4328227043151855,-3.8386504106223587,-4.247312838584184,0.18550986573100103,Yes,True
9.0,3.0,material-properties,,antonym,1.0,The surface of the wheel is completely flat.,Is the surface of the wheel smooth?,Yes,0,-4.487929344177246,-5.50467586517334,-4.673439209908247,-5.319165999442339,0.18550986573100103,Yes,True
10.0,3.0,material-properties,,antonym,1.0,The surface of the wheel is completely flat.,Is the surface of the wheel rough?,No,0,-4.357951641082764,-4.910444259643555,-4.543461506813765,-4.724934393912553,0.18550986573100103,Yes,False
11.0,3.0,material-properties,,antonym,2.0,The surface of the wheel is somewhat bumpy.,Is the surface of the wheel smooth?,No,0,-4.455915927886963,-4.556516647338867,-4.641425793617964,-4.371006781607866,0.18550986573100103,No,True
12.0,3.0,material-properties,,antonym,2.0,The surface of the wheel is somewhat bumpy.,Is the surface of the wheel rough?,Yes,0,-3.642317533493042,-5.032481670379639,-3.8278273992240432,-4.846971804648637,0.18550986573100103,Yes,True
13.0,4.0,material-properties,,material,1.0,The wheel is made of polyethylene.,Is the surface of the wheel smooth?,Yes,0,-4.428704738616943,-4.953490734100342,-4.614214604347945,-4.7679808683693405,0.18550986573100103,Yes,True
14.0,4.0,material-properties,,material,1.0,The wheel is made of polyethylene.,Is the surface of the wheel rough?,No,0,-4.270780563354492,-4.859378337860107,-4.456290429085493,-4.673868472129106,0.18550986573100103,Yes,False
15.0,4.0,material-properties,,material,2.0,The wheel is made of concrete.,Is the surface of the wheel smooth?,No,0,-4.250947952270508,-4.934282302856445,-4.436457818001509,-4.748772437125444,0.18550986573100103,Yes,False
16.0,4.0,material-properties,,material,2.0,The wheel is made of concrete.,Is the surface of the wheel rough?,Yes,0,-3.9399044513702393,-4.967555046081543,-4.1254143171012405,-4.782045180350542,0.18550986573100103,Yes,True
17.0,5.0,material-properties,,antonym,1.0,Chao squeezed the wheel. It changed its shape.,Is the wheel soft?,Yes,0,-3.028956174850464,-2.254878044128418,-3.214466040581465,-2.0693681783974167,0.18550986573100103,No,False
18.0,5.0,material-properties,,antonym,1.0,Chao squeezed the wheel. It changed its shape.,Is the wheel hard?,No,0,-2.825425863265991,-2.1911191940307617,-3.0109357289969925,-2.0056093282997605,0.18550986573100103,No,True
19.0,5.0,material-properties,,antonym,2.0,Chao squeezed the wheel. It kept its shape.,Is the wheel soft?,No,0,-3.1343472003936768,-1.9633253812789917,-3.319857066124678,-1.7778155155479907,0.18550986573100103,No,True
20.0,5.0,material-properties,,antonym,2.0,Chao squeezed the wheel. It kept its shape.,Is the wheel hard?,Yes,0,-2.7465527057647705,-2.6418557167053223,-2.9320625714957718,-2.456345850974321,0.18550986573100103,No,False
21.0,6.0,material-properties,,material,1.0,The wheel is made of flannel.,Is the wheel soft?,Yes,1,-2.211989402770996,-3.801117420196533,-2.452532287687063,-3.560574535280466,0.24054288491606712,Yes,True
22.0,6.0,material-properties,,material,1.0,The wheel is made of flannel.,Is the wheel hard?,No,1,-3.08740496635437,-1.999362587928772,-3.3279478512704372,-1.7588197030127048,0.24054288491606712,No,True
23.0,6.0,material-properties,,material,2.0,The wheel is made of bronze.,Is the wheel soft?,No,1,-3.5448522567749023,-2.713271379470825,-3.7853951416909695,-2.472728494554758,0.24054288491606712,No,True
24.0,6.0,material-properties,,material,2.0,The wheel is made of bronze.,Is the wheel hard?,Yes,1,-2.87142014503479,-3.252788782119751,-3.111963029950857,-3.012245897203684,0.24054288491606712,No,False
