Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
1,1,material-properties,,negation,1,Chao can see through the wheel.,Is the wheel transparent?,Yes,20.0,0,-1.53067946434021,-0.2790738642215729,-0.1780608594417572,0.12255546357482672,-1.3526186048984528,-0.4016293277963996,No,False,False,False
2,1,material-properties,,negation,1,Chao can see through the wheel.,Is the wheel opaque?,No,20.0,0,-1.42926025390625,-0.30647289752960205,-0.07664164900779724,0.09515643026679754,-1.3526186048984528,-0.4016293277963996,No,True,False,True
3,1,material-properties,,negation,2,Chao cannot see through the wheel.,Is the wheel transparent?,No,20.0,0,-1.5307140350341797,-0.27709153294563293,-0.17809543013572693,0.12453779485076666,-1.3526186048984528,-0.4016293277963996,No,True,False,True
4,1,material-properties,,negation,2,Chao cannot see through the wheel.,Is the wheel opaque?,Yes,20.0,0,-1.0854681730270386,-0.4568481743335724,0.2671504318714142,-0.055218846537172794,-1.3526186048984528,-0.4016293277963996,No,False,True,True
5,2,material-properties,,material,1,The wheel is made of polyethylene.,Is the wheel transparent?,Yes,20.0,0,-1.7338945865631104,-0.23808015882968903,-0.3812759816646576,0.16354916896671057,-1.3526186048984528,-0.4016293277963996,No,False,False,False
6,2,material-properties,,material,1,The wheel is made of polyethylene.,Is the wheel opaque?,No,20.0,0,-1.3511673212051392,-0.3553133010864258,0.0014512836933135986,0.04631602670997381,-1.3526186048984528,-0.4016293277963996,No,True,False,True
7,2,material-properties,,material,2,The wheel is made of bronze.,Is the wheel transparent?,No,20.0,0,-2.2651593685150146,-0.13750173151493073,-0.9125407636165619,0.26412759628146887,-1.3526186048984528,-0.4016293277963996,No,True,False,True
8,2,material-properties,,material,2,The wheel is made of bronze.,Is the wheel opaque?,Yes,20.0,0,-1.4370955228805542,-0.31431305408477783,-0.08447691798210144,0.08731627371162176,-1.3526186048984528,-0.4016293277963996,No,False,False,False
9,3,material-properties,,antonym,1,The surface of the wheel is completely flat.,Is the surface of the wheel smooth?,Yes,20.0,0,-1.257288932800293,-0.3826198875904083,0.09532967209815979,0.019009440205991268,-1.3526186048984528,-0.4016293277963996,No,False,True,True
10,3,material-properties,,antonym,1,The surface of the wheel is completely flat.,Is the surface of the wheel rough?,No,20.0,0,-1.5308057069778442,-0.2849455177783966,-0.17818710207939148,0.11668381001800299,-1.3526186048984528,-0.4016293277963996,No,True,False,True
