question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
Which of the following trisomy karyotypes has the mildest effect on human development?,"(A) 47,XXX","(B) 47,XXY","(C) 47,XX,+13","(D) 47,XY,+21",A,C,False,20.0,0,-1.8359214067459106,-1.960922360420227,-0.4628711938858032,-3.0937328338623047,1.0328528782527426,0.23198848379931114,3.514312756434083,1.6930282356838386,-2.8687742849986533,-2.192910844219538,-3.977183950319886,-4.786761069546143,C,C,False,False
Severe anaemia at birth is a feature of what?,(A) Alpha-thalassaemia,(B) Beta-thalassaemia,(C) Hereditary persistence of fetal haemoglobin,(D) Sickle cell disease,A,A,True,20.0,0,-0.5663684606552124,-1.4374645948410034,-1.812462329864502,-4.437448501586914,2.302405824343441,0.7554462493785348,2.164721620455384,0.34931256795922927,-2.8687742849986533,-2.192910844219538,-3.977183950319886,-4.786761069546143,A,A,True,True
The most common cystic fibrosis mutation consists of:,(A) a deletion.,(B) a duplication.,(C) a substitution.,(D) an insertion.,A,A,True,20.0,0,-0.07029092311859131,-3.312474250793457,-3.8124756813049316,-5.9374823570251465,2.798483361880062,-1.1195634065739188,0.1647082690149544,-1.1507212874790032,-2.8687742849986533,-2.192910844219538,-3.977183950319886,-4.786761069546143,A,A,True,True
Transcriptional activator proteins,(A) bind regions near a eukaryotic gene and allow an RNA polymerase to transcribe a gene,(B) bind to ribosomes to activate the production of specific proteins,(C) are produced during an infection of bacteria by a phage,(D) are essential to function of transfer RNAs during translation,A,A,True,20.0,0,-0.005152108613401651,-7.124904155731201,-9.374876976013184,-10.124859809875488,2.8636221763852516,-4.931993311511663,-5.397693025693298,-5.338098740329345,-2.8687742849986533,-2.192910844219538,-3.977183950319886,-4.786761069546143,A,A,True,True
X-chromosome inactivation,(A) results in genetically turning off one of the two X chromosomes in female mammals,(B) takes place in humans so that the same X chromosome is inactive in all of the cells of a female,(C) is the cause of the Y chromosome being genetically inactive,(D) occurs in fruit flies but not in mammals,A,A,True,20.0,0,-0.013375640846788883,-4.374945163726807,-9.999934196472168,-11.24992561340332,2.8553986441518644,-2.1820343195072684,-6.022750246152282,-6.463164543857177,-2.8687742849986533,-2.192910844219538,-3.977183950319886,-4.786761069546143,A,A,True,True
Homeobox sequences,(A) are present in the genome of many animal species,(B) are found in prokaryotes but not in eukaryotes,(C) were identified as the integration sites for bacterial viruses,(D) represent integration sites for transposable elements,A,A,True,20.0,1,-0.0014710427494719625,-7.124972343444824,-9.749959945678711,-10.499972343444824,2.5814297020435335,-4.918956428642074,-6.044420025575285,-5.833628437668085,-2.5829007447930055,-2.20601591480275,-3.705539920103426,-4.666343905776739,A,A,True,True
Twin studies in humans are useful because,(A) they allow genetic as opposed to environmental influences on variation in a trait to be estimated,(B) cloning of genes is facilitated by the presence of extra copies,(C) they allow improved expression of genes,(D) twins have a greater likelihood of being heterozygous,A,A,True,20.0,1,-0.006485105492174625,-5.3749098777771,-7.749925136566162,-7.74991512298584,2.576415639300831,-3.1688939629743498,-4.044385216462736,-3.0835712172091005,-2.5829007447930055,-2.20601591480275,-3.705539920103426,-4.666343905776739,A,A,True,True
Which component of transcribed RNA in eukaryotes is present in the initial transcript but is removed before translation occurs?,(A) Intron,(B) 3’ Poly A tail,(C) Ribosome binding site,(D) 5’ cap,A,A,True,20.0,1,-0.024385809898376465,-4.031219959259033,-6.906228065490723,-8.999983787536621,2.558514934894629,-1.8252040444562834,-3.200688145387297,-4.333639881759882,-2.5829007447930055,-2.20601591480275,-3.705539920103426,-4.666343905776739,A,A,True,True
The mutational mechanism in δβ-thalassaemia consists of:,(A) a deletion.,(B) a duplication.,(C) an insertion.,(D) a point mutation.,A,A,True,20.0,1,-0.7421602010726929,-2.2499518394470215,-1.3671296834945679,-1.8670921325683594,1.8407405437203126,-0.04393592464427165,2.338410236608858,2.79925177320838,-2.5829007447930055,-2.20601591480275,-3.705539920103426,-4.666343905776739,A,D,True,False
Zinc finger proteins and helix-turn-helix proteins are,(A) types of DNA-binding proteins,(B) involved in the control of translation,(C) components of ribosomes,(D) part of the hemoglobin in blood cells,A,A,True,20.0,1,-0.006065964698791504,-6.3749871253967285,-8.87497615814209,-10.124980926513672,2.576834780094214,-4.168971210593979,-5.169436238038664,-5.458637020736933,-2.5829007447930055,-2.20601591480275,-3.705539920103426,-4.666343905776739,A,A,True,True
Normal adult haemoglobin (Hb A) consists of:,(A) two α (alpha) and two β (beta) chains.,(B) two α and two γ (gamma) chains.,(C) two α and two δ (delta) chains.,(D) four γ chains.,A,A,True,20.0,2,-0.005819916725158691,-5.374993801116943,-8.749988555908203,-10.249993324279785,2.8173121831166403,-2.74977208567628,-4.86250000752819,-5.323889118432999,-2.823132099841799,-2.6252217154406634,-3.8874885483800123,-4.926104205846786,A,A,True,True
The maternal serum level of alpha-fetoprotein (AFP) is lower than average in which situation?,(A) Down syndrome,(B) Exomphalos,(C) Neural tube defects,(D) Twin pregnancies,A,A,True,20.0,2,-0.09421753883361816,-3.593731641769409,-3.218731641769409,-5.718731880187988,2.728914561008181,-0.9685099263287458,0.6687569066106032,-0.792627674341202,-2.823132099841799,-2.6252217154406634,-3.8874885483800123,-4.926104205846786,A,A,True,True
In a condition such as schizophrenia the recurrence risk will be greatest for which of the following relatives of an affected individual?,(A) Brother,(B) Nephew,(C) Grandchild,(D) Aunt,A,B,False,20.0,2,-1.6562278270721436,-1.031219720840454,-1.031221628189087,-2.906221628189087,1.1669042727696555,1.5940019946002093,2.8562669201909254,2.0198825776576994,-2.823132099841799,-2.6252217154406634,-3.8874885483800123,-4.926104205846786,B,C,False,False
______ explained genetic disorders such as alkaptonuria and albinism.,(A) Recessive inheritance has,(B) Dominant genes have,(C) X chromosomes,(D) Y chromosomes,A,B,False,20.0,2,-1.4374810457229614,-0.3124842643737793,-6.3124823570251465,-7.687484264373779,1.3856510541188376,2.312737451066884,-2.424993808645134,-2.761380058526993,-2.823132099841799,-2.6252217154406634,-3.8874885483800123,-4.926104205846786,B,B,False,False
"Nature is more important for ______ differences, while nurture has greater influence on ______ differences.",(A) structural and anatomical; psychological and social,(B) psychological and social; structural and anatomical,(C) structural and psychological; anatomical and social,(D) social and anatomical; psychological and structural,A,B,False,20.0,2,-1.4452909231185913,-0.32224977016448975,-4.562477111816406,-6.5624799728393555,1.3778411767232077,2.3029719452761737,-0.6749885634363939,-1.6363757669925691,-2.823132099841799,-2.6252217154406634,-3.8874885483800123,-4.926104205846786,B,B,False,False
