Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
1.0,1.0,physical-interactions,,variable_swap,1.0,The wheel and the nail are touching. Heat is flowing from the wheel to the nail.,Is the wheel heating the nail?,Yes,-4.524322032928467,-3.275850534439087,-7.5904717445373535,-6.7152605056762695,3.0661497116088867,3.4394099712371826,No,False
2.0,1.0,physical-interactions,,variable_swap,1.0,The wheel and the nail are touching. Heat is flowing from the wheel to the nail.,Is the wheel cooling the nail?,No,-4.866385459899902,-3.6338043212890625,-7.5904717445373535,-6.7152605056762695,2.724086284637451,3.081456184387207,No,True
3.0,1.0,physical-interactions,,variable_swap,2.0,The wheel and the nail are touching. Heat is flowing from the nail to the wheel.,Is the wheel heating the nail?,No,-4.712240695953369,-3.4777634143829346,-7.5904717445373535,-6.7152605056762695,2.8782310485839844,3.237497091293335,No,True
4.0,1.0,physical-interactions,,variable_swap,2.0,The wheel and the nail are touching. Heat is flowing from the nail to the wheel.,Is the wheel cooling the nail?,Yes,-4.897363185882568,-3.649322271347046,-7.5904717445373535,-6.7152605056762695,2.693108558654785,3.0659382343292236,No,False
6.0,1.0,physical-interactions,,variable_swap,1.0,The wheel and the nail are touching. Heat is flowing from the wheel to the nail.,Is the nail heating the wheel?,No,-5.084863185882568,-3.0728089809417725,-7.5904717445373535,-6.7152605056762695,2.505608558654785,3.642451524734497,No,True
8.0,1.0,physical-interactions,,variable_swap,2.0,The wheel and the nail are touching. Heat is flowing from the nail to the wheel.,Is the nail heating the wheel?,Yes,-4.805784702301025,-3.291722059249878,-7.5904717445373535,-6.7152605056762695,2.784687042236328,3.4235384464263916,No,False
9.0,1.0,physical-interactions,,variable_swap,1.0,The wheel and the nail are touching. Heat is flowing from the wheel to the nail.,Is the nail cooling the wheel?,Yes,-5.147363185882568,-3.399322271347046,-7.5904717445373535,-6.7152605056762695,2.443108558654785,3.3159382343292236,No,False
11.0,1.0,physical-interactions,,variable_swap,2.0,The wheel and the nail are touching. Heat is flowing from the nail to the wheel.,Is the nail cooling the wheel?,No,-5.113952159881592,-3.3697662353515625,-7.5904717445373535,-6.7152605056762695,2.4765195846557617,3.345494270324707,No,True
13.0,2.0,physical-interactions,,antonym,1.0,The wheel and the nail are touching. The wheel is much hotter than the nail.,Is the wheel heating the nail?,Yes,-4.9541401863098145,-3.7073535919189453,-7.5904717445373535,-6.7152605056762695,2.636331558227539,3.007906913757324,No,False
14.0,2.0,physical-interactions,,antonym,1.0,The wheel and the nail are touching. The wheel is much hotter than the nail.,Is the wheel cooling the nail?,No,-4.985836505889893,-3.725893497467041,-7.5904717445373535,-6.7152605056762695,2.604635238647461,2.9893670082092285,No,True
15.0,2.0,physical-interactions,,antonym,2.0,The wheel and the nail are touching. The wheel is much colder than the nail.,Is the wheel heating the nail?,No,-4.708040237426758,-3.7103993892669678,-7.5904717445373535,-6.7152605056762695,2.8824315071105957,3.0048611164093018,No,True
16.0,2.0,physical-interactions,,antonym,2.0,The wheel and the nail are touching. The wheel is much colder than the nail.,Is the wheel cooling the nail?,Yes,-5.051452159881592,-3.8038854598999023,-7.5904717445373535,-6.7152605056762695,2.5390195846557617,2.911375045776367,No,False
19.0,2.0,physical-interactions,,variable swap,2.0,The nail and the wheel are touching. The nail is much hotter than the wheel.,Is the wheel heating the nail?,No,-5.113952159881592,-3.6163854598999023,-7.5904717445373535,-6.7152605056762695,2.4765195846557617,3.098875045776367,No,True
20.0,2.0,physical-interactions,,variable swap,2.0,The nail and the wheel are touching. The nail is much hotter than the wheel.,Is the wheel cooling the nail?,Yes,-4.801452159881592,-3.8038854598999023,-7.5904717445373535,-6.7152605056762695,2.7890195846557617,2.911375045776367,No,False
21.0,2.0,physical-interactions,,variable swap,1.0,The nail and the wheel are touching. The nail is much colder than the wheel.,Is the wheel heating the nail?,Yes,-4.647363185882568,-3.6338043212890625,-7.5904717445373535,-6.7152605056762695,2.943108558654785,3.081456184387207,No,False
22.0,2.0,physical-interactions,,variable swap,1.0,The nail and the wheel are touching. The nail is much colder than the wheel.,Is the wheel cooling the nail?,No,-4.959863185882568,-3.6963043212890625,-7.5904717445373535,-6.7152605056762695,2.630608558654785,3.018956184387207,No,True
26.0,2.0,physical-interactions,,antonym,1.0,The wheel and the nail are touching. The wheel is much hotter than the nail.,Is the nail heating the wheel?,No,-5.209863185882568,-3.7098634243011475,-7.5904717445373535,-6.7152605056762695,2.380608558654785,3.005397081375122,No,True
28.0,2.0,physical-interactions,,antonym,2.0,The wheel and the nail are touching. The wheel is much colder than the nail.,Is the nail heating the wheel?,Yes,-4.928885459899902,-3.4307847023010254,-7.5904717445373535,-6.7152605056762695,2.661586284637451,3.284475803375244,No,False
32.0,2.0,physical-interactions,,variable swap,2.0,The nail and the wheel are touching. The nail is much hotter than the wheel.,Is the nail heating the wheel?,Yes,-5.208040237426758,-3.462240695953369,-7.5904717445373535,-6.7152605056762695,2.3824315071105957,3.2530198097229004,No,False
34.0,2.0,physical-interactions,,variable swap,1.0,The nail and the wheel are touching. The nail is much colder than the wheel.,Is the nail heating the wheel?,No,-5.051452159881592,-3.5557847023010254,-7.5904717445373535,-6.7152605056762695,2.5390195846557617,3.159475803375244,No,True
37.0,2.0,physical-interactions,,antonym,1.0,The wheel and the nail are touching. The wheel is much hotter than the nail.,Is the nail cooling the wheel?,Yes,-4.895540237426758,-3.6478993892669678,-7.5904717445373535,-6.7152605056762695,2.6949315071105957,3.0673611164093018,No,False
39.0,2.0,physical-interactions,,antonym,2.0,The wheel and the nail are touching. The wheel is much colder than the nail.,Is the nail cooling the wheel?,No,-5.363952159881592,-3.6182847023010254,-7.5904717445373535,-6.7152605056762695,2.2265195846557617,3.096975803375244,No,True
43.0,2.0,physical-interactions,,variable swap,2.0,The nail and the wheel are touching. The nail is much hotter than the wheel.,Is the nail cooling the wheel?,No,-4.866385459899902,-3.6182847023010254,-7.5904717445373535,-6.7152605056762695,2.724086284637451,3.096975803375244,No,True
