question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
Romulo is on a crowded bus and he sees a woman near the door. Feeling a little saucy Romulo proceeds to rub up against the woman and is immediately aroused. Romulo's inappropriate behavior would be characterized as:,(A) Frotteurism,(B) Exhibitionism,(C) Voyeurism,(D) Sadomasochism,A,A,True,20.0,0,-11.490243911743164,-17.070255279541016,-16.555063247680664,-14.836958885192871,-1.1838262421744208,-3.6927836281912665,-3.747193677084786,-2.5670501206602374,-10.306417669568743,-13.37747165134975,-12.807869570595878,-12.269908764532634,A,A,True,True
Which of the following approaches to psychotherapy focuses only the problem behaviour and how to modify it?,(A) Behaviour modification,(B) psychoanalytic,(C) sociological,(D) evolutionary,A,A,True,20.0,0,-8.437499046325684,-17.62497329711914,-18.62495994567871,-16.749980926513672,1.8689186232430597,-4.2475016457693915,-5.817090375082833,-4.480072161981038,-10.306417669568743,-13.37747165134975,-12.807869570595878,-12.269908764532634,A,A,True,True
Attachment to a care-giver begins:,(A) in the hours immediately following birth,(B) several weeks after birth,(C) several months after birth,(D) when the child learns to speak,A,A,True,20.0,0,-9.998674392700195,-12.998071670532227,-13.743284225463867,-12.435173988342285,0.30774327686854797,0.3793999808175226,-0.9354146548679889,-0.16526522380965147,-10.306417669568743,-13.37747165134975,-12.807869570595878,-12.269908764532634,A,B,True,False
A pimp can be best described as ,(A) ...a male companion-master of a prostitute,(B) ...a gigolo who works with a street walker,(C) ...an experienced male prostitute,(D) ...an escort to a female prostitute,A,A,True,20.0,0,-9.812477111816406,-18.12476921081543,-18.749195098876953,-16.999568939208984,0.49394055775233703,-4.7472975594656805,-5.941325528281075,-4.729660174676351,-10.306417669568743,-13.37747165134975,-12.807869570595878,-12.269908764532634,A,A,True,True
The two principles that deal with questions of values are:,(A) religion and ethics,(B) faith and science,(C) legal and ethics,(D) legal and religion,A,A,True,20.0,0,-9.561530113220215,-14.870379447937012,-12.245379447937012,-11.993284225463867,0.7448875563485284,-1.4929077965872626,0.5624901226588666,0.2766245390687665,-10.306417669568743,-13.37747165134975,-12.807869570595878,-12.269908764532634,A,A,True,True
Shaggy has a fantasy about digging up a recently buried woman and having sex with her. He told his friends this and they encouraged him to get therapy. As part of the treatment he masturbates to his fantasy and at the last moment before orgasm he switches to a fantasy about having sex with a living woman. This procedure is part of the process of:,(A) orgasmic reconditioning,(B) aversive conditioning,(C) covert sensitization,(D) desensitization therapy,A,A,True,20.0,0,-11.499796867370605,-18.124088287353516,-15.311254501342773,-15.749195098876953,-1.1933791978018622,-4.7466166360037665,-2.503384930746895,-3.4792863343443194,-10.306417669568743,-13.37747165134975,-12.807869570595878,-12.269908764532634,A,A,True,True
What are the experiences when a sexual addict has completed the sexual act?,(A) (s)he experiences feelings of hopelessness and despair,(B) (s)he uses the fantasy of the behaviour just completed to become aroused again,(C) (s)he feels relaxed and emotionally relieved,(D) (s)he immediately becomes sexually aroused again and feels good about the behaviour,A,A,True,20.0,0,-10.24976921081543,-12.499290466308594,-10.685173988342285,-12.123674392700195,0.05664845875331359,0.8781811850411554,2.122695582253593,0.14623437183243837,-10.306417669568743,-13.37747165134975,-12.807869570595878,-12.269908764532634,A,C,True,False
__________ is a shedding of the inner lining of the uterus.,(A) Menstruation,(B) Ovulation,(C) The luteal phase,(D) The follicular phase,A,A,True,20.0,1,-8.249333381652832,-16.121822357177734,-15.119071006774902,-13.622815132141113,2.430701919964381,-2.3050032627014883,-1.9061232634953083,-1.3529169829118821,-10.680035301617213,-13.816819094476246,-13.212947743279594,-12.269898149229231,A,A,True,True
The zona pellucida is...,(A) ...a protective layer surrounding the egg,(B) ...the fertilized egg,(C) ...an enzyme secreted by sperm to break down the protective coating on the egg.,(D) ...the area where sperm collect before attempting to fertilize the egg.,A,A,True,20.0,1,-8.687420845031738,-18.499374389648438,-19.49752426147461,-17.873497009277344,1.9926144565854749,-4.682555295172191,-6.284576518195015,-5.603598860048113,-10.680035301617213,-13.816819094476246,-13.212947743279594,-12.269898149229231,A,A,True,True
Which of the following is the most common method of birth control for married couples in the U.S..,(A) Sterilization,(B) The IUD,(C) The diaphragm,(D) The rhythm method,A,A,True,20.0,1,-9.062470436096191,-14.187331199645996,-16.12396812438965,-12.812143325805664,1.6175648655210217,-0.37051210516975,-2.9110203811100543,-0.5422451765764329,-10.680035301617213,-13.816819094476246,-13.212947743279594,-12.269898149229231,A,A,True,True
Which of the following is/are true of gonorrhea?,(A) can be treated with antibiotics,(B) has a high risk of infection with a single exposure,(C) is asymptomatic (without symptoms) in only a small percentage of those infected,(D) infections are limited to genital areas,A,A,True,20.0,1,-8.49991512298584,-17.87462043762207,-15.24882984161377,-14.561744689941406,2.1801201786313733,-4.057801343145824,-2.0358820983341754,-2.291846540712175,-10.680035301617213,-13.816819094476246,-13.212947743279594,-12.269898149229231,A,A,True,True
"In the scientific community, women's capacity for multiple orgasms was originally discovered by:",(A) Kinsey,(B) Freud,(C) Masters and Johnson,(D) Kaplan,A,C,False,20.0,1,-9.309117317199707,-13.242393493652344,-7.586377143859863,-13.12092113494873,1.3709179844175061,0.5744256008239024,5.626570599419731,-0.8510229857194993,-10.680035301617213,-13.816819094476246,-13.212947743279594,-12.269898149229231,C,C,False,False
"Heterosexual fantasies about sexual activity never involve someone _________, and gay and lesbian fantasies never involve persons of __________",(A) Both heterosexual and homosexual fantasies may involve persons of the same or other gender,(B) of the other gender; of the same gender,(C) of the same gender; of the same gender,(D) of the same gender; of the other gender,A,A,True,20.0,1,-9.30969524383545,-9.498188018798828,-14.119766235351562,-10.868284225463867,1.370340057781764,4.318631075677418,-0.9068184920719684,1.401613923765364,-10.680035301617213,-13.816819094476246,-13.212947743279594,-12.269898149229231,A,B,True,False
Erection in the male and vaginal lubrication in the female mark the __________ stage of sexual response.,(A) excitement,(B) resolution,(C) plateau,(D) orgasm,A,C,False,20.0,1,-9.18502426147461,-13.741385459899902,-8.355690956115723,-11.418190956115723,1.4950110401426038,0.07543363457634378,4.857256787163871,0.8517071931135085,-10.680035301617213,-13.816819094476246,-13.212947743279594,-12.269898149229231,C,C,False,False
"According to John Money, __________ refers to a person's private internal sense of maleness or femaleness.",(A) Gender identity,(B) Sexual nomenclature,(C) Gender schema,(D) Intrapsychic sexual orientation,A,A,True,20.0,2,-10.12219524383545,-16.23895263671875,-15.912774085998535,-10.556929588317871,0.4111793835957851,-2.7751868849708927,-2.9443211782546275,1.6452586594082064,-10.533374627431234,-13.463765751747857,-12.968452907743908,-12.202188247726077,A,D,True,False
Persons with liberal attitudes about premarital sex are likely to:,(A) have liberal attitudes about extramarital sex,(B) engage in accidental extramarital sexual activity,(C) engage in open swinging,(D) all of the above,A,A,True,20.0,2,-2.4374852180480957,-8.999972343444824,-7.812462329864502,-3.3281090259552,8.095889409383139,4.463793408303033,5.155990577879406,8.874079221770877,-10.533374627431234,-13.463765751747857,-12.968452907743908,-12.202188247726077,A,D,True,False
The feedback loop in men which regulates the production of sex hormones includes all but which of the following?,(A) oxytocin,(B) gonadotropin-releasing hormone,(C) follicle-stimulating hormone,(D) pituitary gland,A,A,True,20.0,2,-9.249934196472168,-15.687309265136719,-14.12451171875,-12.187254905700684,1.2834404309590663,-2.2235435133888615,-1.1560588110060923,0.01493334202539387,-10.533374627431234,-13.463765751747857,-12.968452907743908,-12.202188247726077,A,A,True,True
"You are a homosexual male: Last night, you were tempted by lusty, swarthy Jacques (the king of fraternity row) to join him at the local dairy bar for a tall cool glass of milk. You also briefly considered studying for this test, but Jacques won out. In Freudian terms, which of the following was dominant?",(A) the id,(B) the ego,(C) the superego,(D) the Oedipus complex,A,A,True,20.0,2,-7.6874518394470215,-16.998674392700195,-18.249290466308594,-15.374195098876953,2.845922787984213,-3.534908640952338,-5.280837558564686,-3.1720068511508757,-10.533374627431234,-13.463765751747857,-12.968452907743908,-12.202188247726077,A,A,True,True
Bruce is a homosexual man. His friend Chuck is a heterosexual man. If we could have observed Bruce and Chuck as children we might have expected which of the following?,(A) Bruce likely participated in more female-typical play than Chuck.,(B) Bruce likely participated in more male-typical play than Chuck.,(C) Bruce and Chuck likely participated in more male-typical play than female-typical play.,(D) Bruce's father was more likely to have homosexual tendencies than Chuck's father.,A,A,True,20.0,2,-11.12349796295166,-15.498967170715332,-14.311088562011719,-12.687041282653809,-0.5901233355204258,-2.0352014189674748,-1.342635654267811,-0.48485303492773113,-10.533374627431234,-13.463765751747857,-12.968452907743908,-12.202188247726077,A,D,True,False
Keith is really anxious about a big presentation he has to give at work tomorrow. As a result tonight he is having trouble getting an erection. Which of the following BEST explains why Keith might be having this problem?,(A) relaxation is necessary for vasocongestion,(B) anxiety inhibits the sympathetic system,(C) anxiety causes retrograde ejaculation which inhibits arousal,(D) anxiety decreases blood flow to the upper spinal cord inhibiting vasocongestion,A,D,False,20.0,2,-9.562331199645996,-14.99882984161377,-17.499195098876953,-8.374088287353516,0.9710434277852382,-1.5350640898659123,-4.530742191133045,3.828099960372562,-10.533374627431234,-13.463765751747857,-12.968452907743908,-12.202188247726077,D,D,False,False
"________ men, on the average, begin engaging in sexual intercourse approximately two years later than ________ men do.",(A) Mexican Americans and whites; African Americans,(B) Mexican Americans; African Americans and whites,(C) African Americans; whites and Latinos,(D) Whites; African Americans and Latinos,A,A,True,20.0,2,-16.356849670410156,-23.086957931518555,-19.02479362487793,-18.72024917602539,-5.823475042978922,-9.623192179770697,-6.056340717134022,-6.518060928299313,-10.533374627431234,-13.463765751747857,-12.968452907743908,-12.202188247726077,A,A,True,True
"By 28 days after conception, the embryo is about __________ centimetres long.",(A) 1,(B) 2,(C) 3,(D) 4,A,A,True,20.0,3,-5.718729496002197,-10.812383651733398,-10.499738693237305,-8.562409400939941,4.837488350414095,2.721137847219195,2.6581718808128727,3.823764629307247,-10.556217846416292,-13.533521498952593,-13.157910574050177,-12.386174030247188,A,A,True,True
Alexander the Great was probably,(A) bisexual,(B) asexual,(C) heterosexual,(D) pedosexual,A,A,True,20.0,3,-9.062309265136719,-13.561911582946777,-14.186643600463867,-12.187185287475586,1.4939085812795732,-0.028390083994183968,-1.0287330264136898,0.1989887427716024,-10.556217846416292,-13.533521498952593,-13.157910574050177,-12.386174030247188,A,A,True,True
The refractory period occurs in males during the ______ stage.,(A) resolution,(B) orgasm,(C) plateau,(D) excitement,A,A,True,20.0,3,-8.499796867370605,-9.624088287353516,-11.24719524383545,-8.810571670532227,2.0564209790456864,3.9094332115990778,1.9107153302147282,3.5756023597149618,-10.556217846416292,-13.533521498952593,-13.157910574050177,-12.386174030247188,A,B,True,False
Which of the following is/are likely to cause coital pain for BOTH men and women?,(A) infections,(B) foreskin too tight,(C) vaginismus,(D) both A and C,A,A,True,20.0,3,-10.560688018798828,-13.55758285522461,-11.181190490722656,-10.809514999389648,-0.004470172382536219,-0.024061356272016,1.9767200833275211,1.57665903085754,-10.556217846416292,-13.533521498952593,-13.157910574050177,-12.386174030247188,A,C,True,False
Which of the following is the MOST COMMON menstrual problem?,(A) painful menstruation,(B) absence of menstruation,(C) menstruation without ovulation,(D) ovulation without menstruation,A,A,True,20.0,3,-11.937185287475586,-12.499088287353516,-13.80986499786377,-13.498071670532227,-1.380967441059294,1.0344332115990778,-0.6519544238135921,-1.1118976402850382,-10.556217846416292,-13.533521498952593,-13.157910574050177,-12.386174030247188,A,B,True,False
"From 1988 to 1990 among heterosexuals in the US, the number of unmarried adults aged 20 to 45 who report having multiple partners has:",(A) declined for both men and women,"(B) declined for men, but not for women","(C) declined for women, but not for men","(D) declined for men, and remained the same for women",A,D,False,20.0,3,-5.937142848968506,-9.562383651733398,-8.31201171875,-5.781026363372803,4.619074997447786,3.971137847219195,4.845898855300177,6.605147666874386,-10.556217846416292,-13.533521498952593,-13.157910574050177,-12.386174030247188,D,D,False,False
"What seems to be the case when the folk saying ""opposites attract"" (i.e., dissimilar attitudes tend to cause liking) when it is considered in light of current research?",(A) It does not seem to be true.,(B) It seems to be true for heterosexuals but not for homosexuals.,(C) It seems to be true for homosexuals but not for heterosexuals.,(D) It seems to be true for women but not for men,A,A,True,20.0,3,-10.999738693237305,-18.624195098876953,-17.12396812438965,-14.499195098876953,-0.4435208468210128,-5.09067359992436,-3.966057550339471,-2.113021068629765,-10.556217846416292,-13.533521498952593,-13.157910574050177,-12.386174030247188,A,A,True,True
Which of the following methods of detecting breast cancer involves exposure to radiation?,(A) Needle aspiration,(B) Mammography,(C) Mastectomy,(D) Lumpectomy,B,B,True,20.0,0,-15.562095642089844,-14.621399879455566,-18.237489700317383,-18.74138641357422,-5.2556779725211005,-1.2439282281058173,-5.4296201297215045,-6.471477649041585,-10.306417669568743,-13.37747165134975,-12.807869570595878,-12.269908764532634,B,B,True,True
The egg can be fertilized until about _______ after ovulation.,(A) 6 hours,(B) 24 hours,(C) 72 hours,(D) 1 week,B,D,False,20.0,0,-14.420440673828125,-15.466354370117188,-14.296110153198242,-13.661060333251953,-4.114023004259382,-2.0888827187674384,-1.488240582602364,-1.3911515687193194,-10.306417669568743,-13.37747165134975,-12.807869570595878,-12.269908764532634,D,D,False,False
In all of her relationships Helen is typically uncomfortable feeling close to another person or having that person feel close to her. According to attachment theory Helen would best be described as:,(A) a secure lover,(B) an avoidant lover,(C) an anxious-ambivalent lover,(D) a passionate lover,B,A,False,20.0,0,-9.812283515930176,-12.561911582946777,-16.998674392700195,-16.87451171875,0.4941341536385675,0.8155600684029718,-4.190804822104317,-4.604602954217366,-10.306417669568743,-13.37747165134975,-12.807869570595878,-12.269908764532634,A,B,False,True
Mike and Carol have been married for 5 years. Recently Mike has found that although he wants to have sex with Carol he has trouble getting aroused. However he does not have trouble getting aroused when he sees his secretary at work. Which of the following describe(s) Mike's dysfunction?,(A) Mike suffers from a global dysfunction.,(B) Mike suffers from erectile dysfunction.,(C) Mike suffers from lubrication inhibition.,(D) Mike must be having an affair with his secretary.,B,B,True,20.0,0,-17.374195098876953,-17.24138641357422,-25.24138641357422,-25.620922088623047,-7.06777742930821,-3.8639147622244696,-12.43351684297834,-13.351013324090413,-10.306417669568743,-13.37747165134975,-12.807869570595878,-12.269908764532634,B,B,True,True
"At about _________ months after conception, the gender of the fetus is clear from the appearance of external genitals.",(A) 2,(B) 4,(C) 6,(D) 8,B,D,False,20.0,0,-10.748674392700195,-12.054405212402344,-13.159526824951172,-9.683158874511719,-0.44225672313145203,1.3230664389474054,-0.3516572543552936,2.586749890020915,-10.306417669568743,-13.37747165134975,-12.807869570595878,-12.269908764532634,D,D,False,False
