property,prefix,Context,Question,Correct Answer,negative_sample_type,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,20.0,0,-0.5344867706298828,-0.9098299145698547,1.083261849899732,-0.5212683635919044,-1.6177486205296148,-0.3885615509779503,Yes,True,True,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,20.0,3,-0.9171798825263977,-0.5425960421562195,0.7087282138654873,-0.15731316423597969,-1.625908096391885,-0.3852828779202398,No,False,True,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,20.0,2,-2.389857530593872,-0.13430272042751312,-0.761983440319697,0.2556024010925155,-1.627874090274175,-0.3899051215200286,No,True,False,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,20.0,1,-2.2647552490234375,-0.13625489175319672,-0.6343696919757695,0.24826828336476214,-1.630385557047668,-0.38452317511795886,No,True,False,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,20.0,4,-3.139857530593872,-0.0732949748635292,-1.5068396148050116,0.3092008465767971,-1.6330179157888605,-0.3824958214403263,No,True,False,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,20.0,3,-1.4990885257720947,-0.3704696595668793,0.12681957061979032,0.014813218353360524,-1.625908096391885,-0.3852828779202398,No,True,True,False
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,20.0,0,-1.6237543821334839,-0.2530466318130493,-0.00600576160386912,0.135514919164901,-1.6177486205296148,-0.3885615509779503,No,False,False,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,20.0,3,-1.5461310148239136,-0.29645106196403503,0.07977708156797148,0.08883181595620476,-1.625908096391885,-0.3852828779202398,No,True,False,True
can affect urine,hair,'',Can hair affect urine?,No,random,20.0,0,-1.4912248849868774,-0.368624210357666,0.12652373554273733,0.019937340620284294,-1.6177486205296148,-0.3885615509779503,No,True,True,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,20.0,0,-1.4525632858276367,-0.3258524537086487,0.16518533470197805,0.06270909726930163,-1.6177486205296148,-0.3885615509779503,No,True,True,False
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,20.0,1,-1.7493735551834106,-0.24766750633716583,-0.11898799813574268,0.13685566878079303,-1.630385557047668,-0.38452317511795886,No,True,False,True
can bark,an arrow,'',Can an arrow bark?,No,random,20.0,4,-2.4836761951446533,-0.11385758966207504,-0.8506582793557929,0.26863823177825125,-1.6330179157888605,-0.3824958214403263,No,True,False,True
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,20.0,0,-0.38205093145370483,-1.3824294805526733,1.23569768907591,-0.993867929574723,-1.6177486205296148,-0.3885615509779503,Yes,True,True,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,20.0,3,-0.9445970058441162,-0.6949294209480286,0.6813110905477688,-0.30964654302778877,-1.625908096391885,-0.3852828779202398,No,True,True,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,20.0,3,-0.35630741715431213,-1.3588305711746216,1.269600679237573,-0.9735476932543818,-1.625908096391885,-0.3852828779202398,Yes,True,True,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,20.0,0,-0.8780986666679382,-0.6283847093582153,0.7396499538616765,-0.23982315838026502,-1.6177486205296148,-0.3885615509779503,No,True,True,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,20.0,1,-1.8586310148239136,-0.23104818165302277,-0.2282454577762456,0.1534749934649361,-1.630385557047668,-0.38452317511795886,No,True,False,True
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,20.0,0,-1.389988660812378,-0.3882865309715271,0.22775995971723684,0.00027502000642321,-1.6177486205296148,-0.3885615509779503,No,True,True,False
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,20.0,3,-1.2961760759353638,-0.4195484519004822,0.3297320204565213,-0.03426557398024238,-1.625908096391885,-0.3852828779202398,No,True,True,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,20.0,3,-1.7649039030075073,-0.26133424043655396,-0.13899580661562227,0.12394863748368584,-1.625908096391885,-0.3852828779202398,No,True,False,True
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,20.0,2,-1.475869059562683,-0.3492388129234314,0.15200503071149196,0.0406663085965972,-1.627874090274175,-0.3899051215200286,No,True,True,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,20.0,2,-1.452447533607483,-0.3296913802623749,0.17542655666669216,0.06021374125765372,-1.627874090274175,-0.3899051215200286,No,True,True,False
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random,20.0,2,-1.9756147861480713,-0.223979189991951,-0.3477406958738962,0.1659259315280776,-1.627874090274175,-0.3899051215200286,No,True,False,True
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random,20.0,3,-2.171295642852783,-0.16861611604690552,-0.5453875464608982,0.21666676187333428,-1.625908096391885,-0.3852828779202398,No,True,False,True
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random,20.0,3,-1.6477961540222168,-0.2710960805416107,-0.021888057630331748,0.11418679737862908,-1.625908096391885,-0.3852828779202398,No,True,False,True
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random,20.0,4,-0.8624861836433411,-0.6128556728363037,0.7705317321455194,-0.23035985139597742,-1.6330179157888605,-0.3824958214403263,No,False,True,True
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random,20.0,1,-1.100911021232605,-0.4761912226676941,0.529474535815063,-0.09166804754973523,-1.630385557047668,-0.38452317511795886,No,False,True,True
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random,20.0,0,-1.561833143234253,-0.3101430833339691,0.05591547729536184,0.0784184676439812,-1.6177486205296148,-0.3885615509779503,No,True,False,True
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random,20.0,1,-1.061467170715332,-0.5658511519432068,0.5689183863323359,-0.18132797682524793,-1.630385557047668,-0.38452317511795886,No,False,True,True
can be baked,a bean,'',Can a bean be baked?,Yes,random,20.0,2,-1.1711760759353638,-0.4254283308982849,0.4566980143388113,-0.035523209378256315,-1.627874090274175,-0.3899051215200286,No,False,True,True
can be baked,broccoli,'',Can broccoli be baked?,No,random,20.0,2,-0.7413893342018127,-0.7417327165603638,0.8864847560723623,-0.3518275950403352,-1.627874090274175,-0.3899051215200286,Yes,False,True,False
can be bald,an owl,'',Can an owl be bald?,No,random,20.0,3,-1.5460830926895142,-0.2945244014263153,0.07982500370237089,0.09075847649392449,-1.625908096391885,-0.3852828779202398,No,True,False,True
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random,20.0,4,-1.202447533607483,-0.4527389705181122,0.43057038218137755,-0.0702431490777859,-1.6330179157888605,-0.3824958214403263,No,True,True,False
can be bass,a guitar,'',Can a guitar be bass?,Yes,random,20.0,1,-1.19455087184906,-0.4429524838924408,0.4358346851986079,-0.058429308774481936,-1.630385557047668,-0.38452317511795886,No,False,True,True
can be bent,a leg,'',Can a leg be bent?,Yes,random,20.0,3,-0.45219916105270386,-1.0776876211166382,1.1737089353391812,-0.6924047431963984,-1.625908096391885,-0.3852828779202398,Yes,True,True,True
can be bent,an owl,'',Can an owl be bent?,No,random,20.0,1,-2.389904022216797,-0.13435706496238708,-0.7595184651691289,0.2501661101555718,-1.630385557047668,-0.38452317511795886,No,True,False,True
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random,20.0,2,-1.1083260774612427,-0.4818613827228546,0.5195480128129324,-0.09195626120282602,-1.627874090274175,-0.3899051215200286,No,False,True,True
can be blonde,hair,'',Can hair be blonde?,Yes,random,20.0,4,-0.8464815616607666,-0.5970272421836853,0.7865363541280939,-0.214531420743359,-1.6330179157888605,-0.3824958214403263,No,False,True,True
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random,20.0,4,-2.296131134033203,-0.17535564303398132,-0.6631132182443427,0.20714017840634497,-1.6330179157888605,-0.3824958214403263,No,True,False,True
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random,20.0,3,-1.44455087184906,-0.3198784291744232,0.181357224542825,0.06540444874581658,-1.625908096391885,-0.3852828779202398,No,False,True,True
can be broken,a sweater,'',Can a sweater be broken?,No,random,20.0,0,-1.25705087184906,-0.3803982734680176,0.3606977486805547,0.008163277509932731,-1.6177486205296148,-0.3885615509779503,No,True,True,False
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random,20.0,1,-1.0848467350006104,-0.4642196595668793,0.5455388220470576,-0.07969648444892041,-1.630385557047668,-0.38452317511795886,No,False,True,True
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random,20.0,0,-0.9524039030075073,-0.5777140259742737,0.6653447175221074,-0.18915247499632337,-1.6177486205296148,-0.3885615509779503,No,False,True,True
can be claustrophobic,a squirrel,'',Can a squirrel be claustrophobic?,No,random,20.0,1,-1.6788378953933716,-0.3042032718658447,-0.048452338345703616,0.08031990325211413,-1.630385557047668,-0.38452317511795886,No,True,False,True
can be coated with flavor,a donut,'',Can a donut be coated with flavor?,Yes,random,20.0,3,-0.6710830330848694,-0.7965008616447449,0.9548250633070157,-0.4112179837245051,-1.625908096391885,-0.3852828779202398,Yes,True,True,True
can be cold,a plow,'',Can a plow be cold?,No,random,20.0,2,-1.8429200649261475,-0.22121988236904144,-0.2150459746519724,0.16868523915098715,-1.627874090274175,-0.3899051215200286,No,True,False,True
can be cooked,cheese,'',Can cheese be cooked?,Yes,random,20.0,4,-1.4523574113845825,-0.33159205317497253,0.18066050440427794,0.050903768265353755,-1.6330179157888605,-0.3824958214403263,No,False,True,True
can be covered,butter,'',Can butter be covered?,No,random,20.0,2,-1.4523574113845825,-0.32573530077934265,0.17551667888959255,0.06416982074068595,-1.627874090274175,-0.3899051215200286,No,True,True,False
can be covered in chocolate,a seagull,'',Can a seagull be covered in chocolate?,No,random,20.0,4,-1.4837183952331543,-0.3570484519004822,0.14929952055570617,0.02544736953984411,-1.6330179157888605,-0.3824958214403263,No,True,True,False
can be covered in lip gloss,a lip,'',Can a lip be covered in lip gloss?,Yes,random,20.0,1,-0.7961074709892273,-0.6714766621589661,0.8342780860584407,-0.2869534870410072,-1.630385557047668,-0.38452317511795886,No,False,True,True
can be covered in lip gloss,a harpsichord,'',Can a harpsichord be covered in lip gloss?,No,random,20.0,2,-1.7024039030075073,-0.3257865309715271,-0.07452981273333226,0.0641185905485015,-1.627874090274175,-0.3899051215200286,No,True,False,True
can be crumbly,a bagpipe,'',Can a bagpipe be crumbly?,No,random,20.0,3,-1.9602106809616089,-0.21250076591968536,-0.33430258456972384,0.17278211200055443,-1.625908096391885,-0.3852828779202398,No,True,False,True
can be crushed,garlic,'',Can garlic be crushed?,Yes,random,20.0,3,-0.862434983253479,-0.6128281354904175,0.763473113138406,-0.22754525757017768,-1.625908096391885,-0.3852828779202398,No,False,True,True
can be crushed,a bikini,'',Can a bikini be crushed?,No,random,20.0,1,-1.655517578125,-0.2789054811000824,-0.025132021077332034,0.10561769401787646,-1.630385557047668,-0.38452317511795886,No,True,False,True
can be curly,hair,'',Can hair be curly?,Yes,random,20.0,4,-0.7176506519317627,-0.7181795239448547,0.9153672638570978,-0.33568370250452845,-1.6330179157888605,-0.3824958214403263,Yes,True,True,True
can be cut into slices,mango,'',Can mango be cut into slices?,Yes,random,20.0,3,-0.8585830330848694,-0.6089236736297607,0.7673250633070157,-0.22364079570952095,-1.625908096391885,-0.3852828779202398,No,False,True,True
can be cut into slices,a spider,'',Can a spider be cut into slices?,No,random,20.0,1,-1.7336310148239136,-0.23690517246723175,-0.10324545777624561,0.1476180026507271,-1.630385557047668,-0.38452317511795886,No,True,False,True
can be dangerous,a centipede,'',Can a centipede be dangerous?,No,random,20.0,4,-0.8974128365516663,-0.6479378938674927,0.7356050792371942,-0.2654420724271664,-1.6330179157888605,-0.3824958214403263,No,True,True,False
can be decaffeinated,a trombone,'',Can a trombone be decaffeinated?,No,random,20.0,2,-1.7728350162506104,-0.27307194471359253,-0.14496092597643528,0.11683317680643607,-1.627874090274175,-0.3899051215200286,No,True,False,True
can be decorative,a corkscrew,'',Can a corkscrew be decorative?,No,random,20.0,1,-0.741283118724823,-0.7417032718658447,0.889102438322845,-0.35718009674788587,-1.630385557047668,-0.38452317511795886,Yes,False,True,False
can be deflated,a balloon,'',Can a balloon be deflated?,Yes,random,20.0,1,-0.7725878953933716,-0.6479681730270386,0.8577976616542964,-0.2634449979090797,-1.630385557047668,-0.38452317511795886,No,False,True,True
