Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
1.0,1.0,physical-dynamics,,negation,1.0,The speck on the wheel is rotating.,Is the wheel rolling?,Yes,-10.542149543762207,-10.777469635009766,-14.94671630859375,-11.690384864807129,4.404566764831543,0.9129152297973633,Yes,True
2.0,1.0,physical-dynamics,,negation,1.0,The speck on the wheel is rotating.,Is the wheel sliding?,No,-10.22711181640625,-9.5020170211792,-14.94671630859375,-11.690384864807129,4.7196044921875,2.1883678436279297,Yes,False
3.0,1.0,physical-dynamics,,negation,2.0,The speck on the wheel is not rotating.,Is the wheel rolling?,No,-10.142191886901855,-10.195690155029297,-14.94671630859375,-11.690384864807129,4.8045244216918945,1.494694709777832,Yes,False
4.0,1.0,physical-dynamics,,negation,2.0,The speck on the wheel is not rotating.,Is the wheel sliding?,Yes,-9.980047225952148,-9.834094047546387,-14.94671630859375,-11.690384864807129,4.966669082641602,1.8562908172607422,Yes,True
5.0,2.0,physical-dynamics,,other,1.0,"In a moment, the top of the wheel will touch the floor.",Is the wheel rolling?,Yes,-9.877477645874023,-10.863410949707031,-14.94671630859375,-11.690384864807129,5.069238662719727,0.8269739151000977,Yes,True
6.0,2.0,physical-dynamics,,other,1.0,"In a moment, the top of the wheel will touch the floor.",Is the wheel sliding?,No,-9.634556770324707,-9.056453704833984,-14.94671630859375,-11.690384864807129,5.312159538269043,2.6339311599731445,Yes,False
7.0,2.0,physical-dynamics,,other,2.0,"In a moment, the top of the wheel will remain at the top.",Is the wheel rolling?,No,-8.633848190307617,-9.515874862670898,-14.94671630859375,-11.690384864807129,6.312868118286133,2.1745100021362305,Yes,False
8.0,2.0,physical-dynamics,,other,2.0,"In a moment, the top of the wheel will remain at the top.",Is the wheel sliding?,Yes,-8.140423774719238,-7.360516548156738,-14.94671630859375,-11.690384864807129,6.806292533874512,4.329868316650391,Yes,True
9.0,3.0,physical-dynamics,,other,1.0,The wheel is moving forward on a surface. The surface is very flat.,Is the wheel rolling?,Yes,-8.013057708740234,-8.373882293701172,-14.94671630859375,-11.690384864807129,6.933658599853516,3.316502571105957,Yes,True
10.0,3.0,physical-dynamics,,other,1.0,The wheel is moving forward on a surface. The surface is very flat.,Is the wheel sliding?,No,-8.07314395904541,-7.547824382781982,-14.94671630859375,-11.690384864807129,6.87357234954834,4.1425604820251465,Yes,False
11.0,3.0,physical-dynamics,,other,2.0,The wheel is moving forward on a surface. The surface is very slippery.,Is the wheel rolling?,No,-7.478813171386719,-8.465058326721191,-14.94671630859375,-11.690384864807129,7.467903137207031,3.2253265380859375,Yes,False
12.0,3.0,physical-dynamics,,other,2.0,The wheel is moving forward on a surface. The surface is very slippery.,Is the wheel sliding?,Yes,-7.7340240478515625,-8.095739364624023,-14.94671630859375,-11.690384864807129,7.2126922607421875,3.5946455001831055,Yes,True
13.0,4.0,physical-dynamics,,antonym,1.0,The wheel is moving down.,Is the wheel falling?,Yes,-9.525982856750488,-9.286073684692383,-14.94671630859375,-11.690384864807129,5.420733451843262,2.404311180114746,Yes,True
14.0,4.0,physical-dynamics,,antonym,1.0,The wheel is moving down.,Is the wheel rising?,No,-9.334616661071777,-8.969419479370117,-14.94671630859375,-11.690384864807129,5.612099647521973,2.7209653854370117,Yes,False
15.0,4.0,physical-dynamics,,antonym,2.0,The wheel is moving up.,Is the wheel falling?,No,-9.627840042114258,-9.232771873474121,-14.94671630859375,-11.690384864807129,5.318876266479492,2.457612991333008,Yes,False
16.0,4.0,physical-dynamics,,antonym,2.0,The wheel is moving up.,Is the wheel rising?,Yes,-7.126584529876709,-9.499015808105469,-14.94671630859375,-11.690384864807129,7.820131778717041,2.19136905670166,Yes,True
17.0,5.0,physical-dynamics,,antonym,1.0,The wheel is getting closer to the ground.,Is the wheel falling?,Yes,-10.03471565246582,-9.155594825744629,-14.94671630859375,-11.690384864807129,4.91200065612793,2.5347900390625,Yes,True
18.0,5.0,physical-dynamics,,antonym,1.0,The wheel is getting closer to the ground.,Is the wheel rising?,No,-9.13354778289795,-8.180047988891602,-14.94671630859375,-11.690384864807129,5.813168525695801,3.5103368759155273,Yes,False
19.0,5.0,physical-dynamics,,antonym,2.0,The wheel is getting closer to the sky.,Is the wheel falling?,No,-8.16547679901123,-7.169631481170654,-14.94671630859375,-11.690384864807129,6.7812395095825195,4.520753383636475,Yes,False
20.0,5.0,physical-dynamics,,antonym,2.0,The wheel is getting closer to the sky.,Is the wheel rising?,Yes,-7.338170528411865,-8.056733131408691,-14.94671630859375,-11.690384864807129,7.608545780181885,3.6336517333984375,Yes,True
21.0,6.0,physical-dynamics,,antonym,1.0,The wheel is losing altitude.,Is the wheel sinking?,Yes,-6.323695659637451,-8.068063735961914,-14.94671630859375,-11.690384864807129,8.623020648956299,3.622321128845215,Yes,True
22.0,6.0,physical-dynamics,,antonym,1.0,The wheel is losing altitude.,Is the wheel floating?,No,-6.2068963050842285,-7.161318302154541,-14.94671630859375,-11.690384864807129,8.739820003509521,4.529066562652588,Yes,False
