question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"When someone uses grammar or punctuation in a way that makes a statement have more than one possible interpretation, that person may have committed which of the following fallacies?",(A) Amphiboly,(B) Hypostatization,(C) Question begging epithets,(D) Style over substance,A,A,True,20.0,0,-0.018812241032719612,-10.42574405670166,-8.998188018798828,-9.99849796295166,6.029829758383265,-3.04084296155445,-4.051326178799004,-4.831178411843548,-6.048641999415985,-7.38490109514721,-4.9468618399998245,-5.167319551108112,A,A,True,True
"The Dean was showing a visitor around the campus. The visitor asked, ""About how many students do you have here?"" After a moment of reflection the Dean replied, ""Oh, I'd guess about one in a hundred.""",(A) Equivocation,(B) Fallacy of Division,(C) Appeal to Authority,(D) Denying the Antecedent,A,A,True,20.0,0,-0.013783235102891922,-5.561873435974121,-7.874512195587158,-5.874738693237305,6.034858764313093,1.8230276591730892,-2.9276503555873337,-0.7074191421291927,-6.048641999415985,-7.38490109514721,-4.9468618399998245,-5.167319551108112,A,A,True,True
"E.F. Schumacher, famous economist, in an article in the Atlantic (April 1979): Fifteen months [after I had advised that rural India should have a technology intermediate between the hoe and the tractor,] an all-India conference on intermediate technology was arranged. (They still didn't like the term [intermediate], so they called it appropriate technology. That's all right: when I come to India and somebody says, ""Oh, Mr. Schumacher, I don't believe in appropriate technology"", I just look him straight in the face and say, ""Oh, that's splendid. Do you believe in inappropriate technology?"")",(A) Equivocation,(B) Inconsistency,(C) Appeal to Authority,(D) Prejudicial Language,A,A,True,20.0,0,-0.14544451236724854,-2.824233055114746,-3.7654738426208496,-3.5780389308929443,5.903197487048736,4.560668040032464,1.181387997378975,1.5892806202151677,-6.048641999415985,-7.38490109514721,-4.9468618399998245,-5.167319551108112,A,A,True,True
Arguing that someone should do something because other people are doing it is a description of which of the following fallacies?,(A) appeal to common practice,(B) snob appeal,(C) argument by consensus,(D) appeal to tradition,A,C,False,20.0,0,-1.140581727027893,-10.29195785522461,-0.3942810595035553,-6.843332767486572,4.9080602723880915,-2.907056760077399,4.552580780496269,-1.6760132163784602,-6.048641999415985,-7.38490109514721,-4.9468618399998245,-5.167319551108112,C,A,False,True
"John Stuart Mill: Each person's happiness is a good to that person, and the general happiness, therefore, a good to the aggregate of all persons.",(A) Fallacy of Composition,(B) Fallacy of Division,(C) Gambler's Fallacy,(D) Equivocation,A,A,True,20.0,0,-0.02762284129858017,-6.093017578125,-8.998754501342773,-7.59344482421875,6.021019158117404,1.2918835170222103,-4.051892661342949,-2.426125273110638,-6.048641999415985,-7.38490109514721,-4.9468618399998245,-5.167319551108112,A,A,True,True
Which of the following best describes the fallacy of poisoning the well?,"(A) a way of suppressing evidence that eliminates a source of evidence from consideration by claiming the source is flawed, when there is no true relationship between the alleged flaw and the reliability of the source","(B) arguing that a claim should be accepted based on evidence that is not presented, but asserted to be well known or obvious.","(C) arguing something should be done based only on evidence that it's been done that way in the past, or should be believed only because it's been believed for a long time.",(D) reasoning that a claim is true based only on the evidence that it has been made so often.,A,A,True,20.0,0,-0.026384958997368813,-10.421110153198242,-8.492853164672852,-8.373188018798828,6.022257040418616,-3.036209058051032,-3.545991324673027,-3.205868467690716,-6.048641999415985,-7.38490109514721,-4.9468618399998245,-5.167319551108112,A,A,True,True
"All things that are spoiled are inedible. Timothy is spoiled. So, Timothy is inedible.",(A) Equivocation,(B) Attacking the Person (ad hominem),(C) Fallacy of Division,(D) Questionable Cause,A,C,False,20.0,0,-6.186946868896484,-7.123400688171387,-0.01028658077120781,-6.498588562011719,-0.1383048694804998,0.26150040697582355,4.936575259228617,-1.3312690109036067,-6.048641999415985,-7.38490109514721,-4.9468618399998245,-5.167319551108112,C,C,False,False
"In a conditional syllogism, when the minor premise denies the antecedent",(A) no valid conclusion can be drawn,(B) the conclusion must affirm the consequent,(C) the conclusion must deny the consequent,(D) the conclusion must affirm the antecedent,A,A,True,20.0,0,-0.04161108657717705,-7.217293739318848,-3.2967536449432373,-7.218305587768555,6.0070309128388075,0.16760735582836261,1.6501081950565872,-2.0509860366604427,-6.048641999415985,-7.38490109514721,-4.9468618399998245,-5.167319551108112,A,A,True,True
Another name for the fallacy of complex question is,(A) Fallacy of interrogation,(B) Compound proposition,(C) Appeal to ignorance,(D) Extension,A,A,True,20.0,0,-0.01815074495971203,-9.730690956115723,-10.431571006774902,-10.05842113494873,6.0304912544562725,-2.3457898609685124,-5.484709166775078,-4.891101583840618,-6.048641999415985,-7.38490109514721,-4.9468618399998245,-5.167319551108112,A,A,True,True
Arguing that an idea should be accepted or rejected only because of the source of the idea commits which of the following fallacies?,(A) genetic fallacy,(B) appeal to popularity,(C) scare tactics,(D) appeal to emotions,A,A,True,20.0,1,-0.009912151843309402,-11.022053718566895,-9.62116813659668,-9.560315132141113,6.0764774521769676,-3.493774673384097,-4.69139673646229,-4.413157142189987,-6.086389604020277,-7.5282790451827974,-4.929771400134389,-5.147157989951126,A,A,True,True
