question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
The purposes for which the information is used is in the public's interest.,"(A) 1,2","(B) 1,3","(C) 2,3","(D) 1,2,3",A,D,False,20.0,0,-3.3905274868011475,-3.6404995918273926,-2.1401875019073486,-0.6404640674591064,0.1752361158529916,-0.7913640320301054,1.0211133380730946,0.5914115046461423,-3.565763602654139,-2.849135559797287,-3.161300839980443,-1.2318755721052488,D,C,False,False
"_____ is a key driving force shaping the current and future state of business ethics, in particular regarding _____, ______ and _____ related issues.","(A) Globalisation, Cultural, Legal, Accountability","(B) Nationalisation, Cultural, Environmental, Accountability","(C) Privatisation, Cultural, Legal, Accountability","(D) Globalisation, Technological, Financial, Accountability",A,D,False,20.0,0,-2.7811570167541504,-3.530996799468994,-3.530996799468994,-1.0389561653137207,0.7846065858999887,-0.681861239671707,-0.36969595948855094,0.19291940679152808,-3.565763602654139,-2.849135559797287,-3.161300839980443,-1.2318755721052488,D,A,False,True
"________ reasoning is considered by many to be prevalent within society and particularly within businesses, where it is often referred to in the form of a ___________.","(A) Consequentialist, Cost-benefit analysis","(B) Rationalised, Annual audit","(C) Consequentialist, Annual audit","(D) Rationalised, Cost-benefit analysis",A,D,False,20.0,0,-4.249959945678711,-2.7655489444732666,-3.01535964012146,-1.5077155828475952,-0.6841963430245719,0.08358661532402056,0.14594119985898324,-0.27584001074234643,-3.565763602654139,-2.849135559797287,-3.161300839980443,-1.2318755721052488,D,C,False,False
"Managers are entrusted to run the company in the best interest of ________. Specifically, they have a duty to act for the benefit of the company, as well as a duty of ________ and of _______.","(A) Shareholders, Care and Skill, Diligence","(B) Stakeholder, Care and Skill, Diligence","(C) Shareholders, Self-interest, Diligence","(D) Stakeholders, Care and skill, Self-interest",A,D,False,20.0,0,-2.8122966289520264,-1.8122965097427368,-4.062069416046143,-1.812164545059204,0.7534669737021127,1.0368390500545503,-0.9007685760656994,-0.5802889729539553,-3.565763602654139,-2.849135559797287,-3.161300839980443,-1.2318755721052488,D,B,False,False
"There are a number of means by which can influence _______. These include _________to decision maker, varying from very direct modes to indirect modes, _________, being either public or private and ________ of communication.","(A) Government, Avenue of approach, Breadth of transmission, Content","(B) Consumers, Avenue of approach, Height of transmission, Content","(C) Government, Breath of transmission, Avenue of approach, Content","(D) Employees, Breadth of transmission, Content, Avenue of approach",A,D,False,20.0,0,-2.01535964012146,-2.2650632858276367,-3.014904022216797,-1.76535964012146,1.550403962532679,0.5840722739696504,0.14639681776364633,-0.5334840680162112,-3.565763602654139,-2.849135559797287,-3.161300839980443,-1.2318755721052488,D,A,False,True
" Although the benefit and contribution of civil society in encouraging sustainability, lobbying on important issues and helping the needy are taken for granted in many places, in many other countries, such as _____ and ______ civil society is far less developed than in, for instance, _______.","(A) Russia, China, Britain","(B) Norway, China, Russia","(C) Britain, United States, Australia","(D) Canada, Russia, United States",A,D,False,20.0,1,-3.281203269958496,-2.7811508178710938,-3.0311508178710938,-2.2811899185180664,0.4172216832637785,0.15453741351763428,0.16224290728569013,-0.9876752957701682,-3.6984249532222746,-2.935688231388728,-3.193393725156784,-1.2935146227478982,D,A,False,True
"According to Evan and Freeman (1993), the Principle of ________ and the Principle of _______ can be used in a specific situation to determine who constitutes a _______.","(A) Corporate rights, Corporate effect, Stakeholder","(B) Corporate deniability, Corporate effect, Stakeholder","(C) Corporate rights, Corporate responsibility, Stakeholder","(D) Corporate rights, Corporate effect, Shareholder",A,D,False,20.0,1,-2.827918291091919,-1.82785964012146,-3.577404022216797,-1.5777842998504639,0.8705066621303557,1.107828591267268,-0.384010297060013,-0.2842696771025657,-3.6984249532222746,-2.935688231388728,-3.193393725156784,-1.2935146227478982,D,B,False,False
"What are, according to Wood (1991), the three outcomes of CSR?","(A) Social policies, Social programmes and Social impacts","(B) Social evaluations, Social programmes and Social impacts","(C) Social policies, Social evidencing and Social impacts","(D) Social policies, Social programmes and Social analysis",A,D,False,20.0,1,-3.2499547004699707,-3.499925136566162,-2.9997966289520264,-0.4940450191497803,0.4484702527523039,-0.5642369051774341,0.1935970962047575,0.7994696035981179,-3.6984249532222746,-2.935688231388728,-3.193393725156784,-1.2935146227478982,D,D,False,False
"Affirmative action involves ________ attempts to target ______ who are _________ within an organisation's workforce, for instance by trying to ______ the proportion of women, disabled or racial minorities in senior management positions.","(A) Proactive, Groups, Under-represented, Increase","(B) Passive, Groups, Under-represented, Retain","(C) Proactive, Individuals, Represented, Increase","(D) Passive, Individuals, Represented, Retain",A,D,False,20.0,1,-1.9531080722808838,-3.2031004428863525,-3.7030489444732666,-1.7030891180038452,1.7453168809413908,-0.2674122114976245,-0.5096552193164827,-0.409574495255947,-3.6984249532222746,-2.935688231388728,-3.193393725156784,-1.2935146227478982,D,A,False,True
What does Milton Friedman believe to be the sole responsibility of business?,(A) The only social responsibility of business is to its shareholders,(B) Managers should act in ways that balance the interest of society and shareholders,(C) The primary responsibility organizations have is to its employees,(D) The primary responsibility organizations have is to its stakeholders,A,D,False,20.0,1,-2.5780274868011475,-1.3358111381530762,-3.32785964012146,-1.0857752561569214,1.1203974664211271,1.5998770932356519,-0.13446591496467608,0.2077393665909768,-3.6984249532222746,-2.935688231388728,-3.193393725156784,-1.2935146227478982,D,B,False,False
