question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
 What can murtis be translated as?,(A) Offerings,(B) Prayers,(C) Apparitions,(D) Idols,D,-2.2025632858276367,-7.21720027923584,-9.18599796295166,-8.686588287353516,A,False
 Naturalists who concentrated on natural elements and processes are associated with which of the following?,(A) Daoism,(B) Yin-Yang School,(C) Mengzi,(D) Humanistic Buddhism,B,-5.03036642074585,-4.528850555419922,-9.55842113494873,-4.53071403503418,B,True
 When was the first Buddhist temple constructed in Japan?,(A) 325 CE,(B) 119 CE,(C) 451 CE,(D) 596 CE,D,-5.59286642074585,-7.088676929473877,-7.590669631958008,-4.09286642074585,D,True
 What is the name of the ten day New Year festival that celebrated Babylon's culture?,(A) Akitu,(B) Wag and Thoth,(C) Bast,(D) Nehebkau,A,-2.1244471073150635,-10.619766235351562,-11.62252426147461,-12.12092113494873,A,True
Which of the following terms denote the Japanese art of flower arranging?,(A) Zazen,(B) Tariki,(C) Kami,(D) Ikebana,D,-8.686588287353516,-9.18599796295166,-7.685997486114502,-2.1869471073150635,D,True
 Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following?,(A) Harmony and balance,(B) Devotion and piety,(C) Love and passion,(D) Goodwill and love,A,-7.0904717445373535,-2.5925426483154297,-11.30145263671875,-9.557266235351562,B,False
" Guru Nanak used what term to denote the ""divine word"" as part of divine revelation?",(A) Shabad,(B) Khalse,(C) Nam,(D) Guru,A,-5.02970027923584,-10.493284225463867,-12.993284225463867,-12.49592113494873,A,True
What is the mi'raj?,(A) Muhammad's miraculous ascent to heaven,(B) Muhammad's migration to Mecca,(C) Muhammad's first community in Mecca,(D) Muhammad's revelations of the Qur'an,A,-5.278850555419922,-10.055784225463867,-12.306929588317871,-10.557266235351562,A,True
"What is the name of the most famous dharmashastras, which probably dates from around the first century?",(A) Laws of Dharma,(B) Laws of Karma,(C) Laws of Vishnu,(D) Laws of Manu,D,-7.060024261474609,-8.06002426147461,-9.56002426147461,-4.560024261474609,D,True
"What does the term ""Qur'an"" literally mean?",(A) The Holy Book,(B) The Narrative,(C) The Recitation,(D) The Pillars,C,-6.091196060180664,-8.553885459899902,-6.589542388916016,-7.089542388916016,A,False
