Type,Digits,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
Arithmetic,1_digit_addition,'',Is 8 plus 3 equal to 17?,No,20.0,0,-3.9482080936431885,-3.833040237426758,0.28482439815998095,-0.06351464192072553,-4.233032491803169,-3.7695255955060323,No,True,True,False
Arithmetic,1_digit_addition,'',Is 1 plus 6 equal to 5?,No,20.0,3,-3.895540237426758,-3.5267715454101562,0.3235815688967705,0.23453512117266673,-4.219121806323528,-3.761306666582823,No,True,True,False
Arithmetic,1_digit_addition,'',Is 1 plus 8 equal to 4?,No,20.0,4,-4.110836505889893,-3.354222059249878,0.1055139988660816,0.41428720355033866,-4.216350504755974,-3.7685092628002166,No,True,False,True
Arithmetic,1_digit_addition,'',Is 7 plus 0 equal to 6?,No,20.0,0,-4.1068501472473145,-3.738952159881592,0.12618234455585497,0.03057343562444048,-4.233032491803169,-3.7695255955060323,No,True,True,False
Arithmetic,1_digit_addition,'',Is 2 plus 4 equal to 4?,No,20.0,1,-3.488952159881592,-3.620379686355591,0.7189011747638387,0.13467027346293126,-4.2078533346454305,-3.755049959818522,Yes,False,True,False
Arithmetic,1_digit_addition,'',Is 5 plus 1 equal to 9?,No,20.0,2,-3.9122695922851562,-3.4173262119293213,0.3185675541559858,0.3499825405577819,-4.230837146441142,-3.767308752487103,No,True,False,True
Arithmetic,1_digit_addition,'',Is 4 plus 0 equal to 6?,No,20.0,0,-3.7698535919189453,-3.400850534439087,0.4631788998842241,0.36867506106694536,-4.233032491803169,-3.7695255955060323,No,True,True,False
Arithmetic,1_digit_addition,'',Is 6 plus 6 equal to 70?,No,20.0,3,-4.392519474029541,-3.275503158569336,-0.17339766770601273,0.48580350801348704,-4.219121806323528,-3.761306666582823,No,True,False,True
Arithmetic,1_digit_addition,'',Is 3 plus 8 equal to 77?,No,20.0,0,-4.110836505889893,-2.729222059249878,0.12219598591327685,1.0403035362561543,-4.233032491803169,-3.7695255955060323,No,True,False,True
Arithmetic,1_digit_addition,'',Is 8 plus 1 equal to 8?,No,20.0,2,-3.61249041557312,-3.742393970489502,0.6183467308680219,0.02491478199760122,-4.230837146441142,-3.767308752487103,Yes,False,True,False
Arithmetic,1_digit_addition,'',Is 5 plus 7 equal to 76?,No,20.0,0,-4.2041401863098145,-2.947103261947632,0.028892305493354975,0.8224223335584004,-4.233032491803169,-3.7695255955060323,No,True,False,True
Arithmetic,1_digit_addition,'',Is 2 plus 3 equal to 3?,No,20.0,0,-3.6788854598999023,-3.4334216117858887,0.5541470319032671,0.3361039837201436,-4.233032491803169,-3.7695255955060323,No,True,True,False
Arithmetic,1_digit_addition,'',Is 9 plus 3 equal to 89?,No,20.0,0,-4.254949569702148,-3.26874041557312,-0.02191707789897901,0.5007851799329122,-4.233032491803169,-3.7695255955060323,No,True,False,True
