question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
Transcription-affecting DNA region that may be located thousands of basepairs away from the promoter.,(A) Enhancer,(B) Repressor,(C) Operator,(D) Promoter,A,A,True,20.0,0,-5.024898529052734,-9.215198516845703,-9.243226051330566,-9.226420402526855,2.4385543041504345,-0.35494995193603707,-1.3836532301054554,-1.4976222056608934,-7.463452833203169,-8.860248564909666,-7.859572821225111,-7.728798196865962,A,A,True,True
Two related species evolve in a way that makes them less similar.,(A) Divergent evolution,(B) Convergent evolution,(C) Parallel evolution,(D) Coevolution,A,A,True,20.0,0,-6.826016426086426,-12.749929428100586,-13.793096542358398,-11.077230453491211,0.6374364071167431,-3.88968086319092,-5.933523721133287,-3.348432256625249,-7.463452833203169,-8.860248564909666,-7.859572821225111,-7.728798196865962,A,A,True,True
The relatives of a group of pelicans from the same species that separated from each other because of an unsuccessful migration are reunited 150 years later and find that they are unable to produce offspring. This is an example of,(A) allopatric speciation.,(B) sympatric speciation.,(C) genetic drift.,(D) gene flow.,A,A,True,20.0,0,-4.501330852508545,-9.147196769714355,-8.997800827026367,-9.026403427124023,2.962121980694624,-0.2869482048046894,-1.1382280058012562,-1.2976052302580614,-7.463452833203169,-8.860248564909666,-7.859572821225111,-7.728798196865962,A,A,True,True
Which of the following statements is NOT correct about apoptosis?,"(A) Apoptosis, a special type of cell division, requires multiple cell signaling.",(B) The fact that apoptosis is widespread across several kingdoms is evidence that it evolved early in the evolution of eukaryotes.,(C) Apoptosis plays a crucial role in the development of fingers in embryonic development.,(D) Apoptosis prevents an aging and dying cell from damaging neighboring cells.,A,C,False,20.0,0,-11.804725646972656,-13.046217918395996,-3.194063901901245,-9.81455135345459,-4.341272813769487,-4.18596935348633,4.665508919323866,-2.085753156588628,-7.463452833203169,-8.860248564909666,-7.859572821225111,-7.728798196865962,C,C,False,False
Which of the following must exist in a population before natural selection can act upon that population?,(A) Genetic variation among individuals,(B) Variation among individuals caused by environmental factors,(C) Sexual reproduction,(D) B and C only,A,D,False,20.0,0,-5.80335807800293,-7.3934431076049805,-5.67917537689209,-0.1710692048072815,1.6600947552002392,1.4668054573046856,2.180397444333021,7.5577289920586805,-7.463452833203169,-8.860248564909666,-7.859572821225111,-7.728798196865962,D,D,False,False
Which of the following is the source of oxygen produced during photosynthesis?,(A) H2O,(B) H2O2,(C) CO2,(D) CO,A,C,False,20.0,0,-6.675241947174072,-12.510879516601562,-1.6487537622451782,-6.874563694000244,0.7882108860290966,-3.6506309516918964,6.210819058979933,0.8542345028657179,-7.463452833203169,-8.860248564909666,-7.859572821225111,-7.728798196865962,C,C,False,False
Hemoglobin is a molecule that binds to both O2 and CO2. There is an allosteric relationship between the concentrations of O2 and CO2. Hemoglobin's affinity for O2,(A) decreases as blood pH decreases,(B) increases as H+ concentration increases,(C) increases in exercising muscle tissue,(D) decreases as CO2 concentration decreases,A,A,True,20.0,0,-9.543429374694824,-11.79150104522705,-12.9288969039917,-9.631372451782227,-2.0799765414916553,-2.9312524803173847,-5.069324082766588,-1.9025742549162645,-7.463452833203169,-8.860248564909666,-7.859572821225111,-7.728798196865962,A,D,True,False
"Stomata allow gases, such as H2O and CO2, to exchange between the inside of a plant leaf and the surrounding environment. Which of the following occurs under normal daytime environmental conditions?",(A) H2O diffuses out of the leaf faster than CO2 enters.,(B) H2O diffuses out of the leaf slower than CO2 enters.,(C) CO2 diffuses out of the leaf faster than H2O enters.,(D) H2O exchanges with CO2 at equal rates.,A,B,False,20.0,0,-4.724736213684082,-2.6687629222869873,-4.93026065826416,-5.49849271774292,2.738716619519087,6.191485642622679,2.929312162960951,2.230305479123042,-7.463452833203169,-8.860248564909666,-7.859572821225111,-7.728798196865962,B,B,False,False
"In cells, which of the following can catalyze reactions involving hydrogen peroxide, provide cellular energy, and make proteins, in that order?","(A) Peroxisomes, mitochondria, and ribosomes","(B) Peroxisomes, mitochondria, and lysosomes","(C) Peroxisomes, mitochondria, and Golgi apparatus","(D) Lysosomes, chloroplasts, and ribosomes",A,A,True,20.0,0,-2.1219074726104736,-5.341196537017822,-4.019400119781494,-5.225096702575684,5.341545360592695,3.519052027891844,3.840172701443617,2.5037014942902784,-7.463452833203169,-8.860248564909666,-7.859572821225111,-7.728798196865962,A,A,True,True
What was the prevailing notion prior to the time of Lyell and Darwin?,"(A) Earth is a few thousand years old, and populations are unchanging.","(B) Earth is a few thousand years old, and populations gradually change.","(C) Earth is millions of years old, and populations rapidly change.","(D) Earth is millions of years old, and populations are unchanging.",A,C,False,20.0,0,-9.02511215209961,-9.804163932800293,-1.0741236209869385,-6.4200849533081055,-1.5616593188964405,-0.9439153678906269,6.7854492002381726,1.3087132435578566,-7.463452833203169,-8.860248564909666,-7.859572821225111,-7.728798196865962,C,C,False,False
