Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,yes_logprob,no_logprob,predicted_answer,is_correct
1,1,material-dynamics,1,material,1,Chao sees something that is fabric.,Can Chao fold it?,Yes,-4.209292888641357,-5.646792888641357,Yes,True
2,1,material-dynamics,1,material,1,Chao sees something that is fabric.,Can Chao pour it?,No,-3.6197662353515625,-3.2461681365966797,No,True
3,1,material-dynamics,1,material,2,Chao sees something that is liquid.,Can Chao fold it?,No,-3.882899522781372,-4.838350296020508,Yes,False
4,1,material-dynamics,1,material,2,Chao sees something that is liquid.,Can Chao pour it?,Yes,-4.762529373168945,-7.394853591918945,Yes,True
5,2,material-dynamics,2,material,1,Chao sees the denim.,Can Chao fold it?,Yes,-3.820399522781372,-4.492853164672852,Yes,True
6,2,material-dynamics,2,material,1,Chao sees the denim.,Can Chao pour it?,No,-3.384603261947632,-2.8853089809417725,No,True
7,2,material-dynamics,2,material,2,Chao sees the water.,Can Chao fold it?,No,-3.738952159881592,-3.740832567214966,Yes,False
8,2,material-dynamics,2,material,2,Chao sees the water.,Can Chao pour it?,Yes,-2.7563138008117676,-4.055353164672852,Yes,True
10,3,material-dynamics,3,material,1,Chao sees something that is fabric.,Can Chao stir it?,No,-2.665466070175171,-3.7902634143829346,Yes,False
12,3,material-dynamics,3,material,2,Chao sees something that is liquid.,Can Chao stir it?,Yes,-3.3165502548217773,-6.588676929473877,Yes,True
16,4,material-dynamics,4,material,2,Chao sees the water.,Can Chao stir it?,Yes,-2.989935874938965,-3.301452159881592,Yes,True
20,5,material-dynamics,5,material,2,Chao sees something that is gas.,Can Chao stir it?,Yes,-3.04999041557312,-3.552744150161743,Yes,True
24,6,material-dynamics,6,material,2,Chao sees the oxygen.,Can Chao stir it?,Yes,-3.073432207107544,-3.135932207107544,Yes,True
25,7,material-dynamics,7,material,1,Chao sees something that is rigid.,Can it break?,Yes,-3.386215925216675,-4.559322357177734,Yes,True
26,7,material-dynamics,7,material,1,Chao sees something that is rigid.,Can it ripple?,No,-2.904600143432617,-3.6549649238586426,Yes,False
27,7,material-dynamics,7,material,2,Chao sees something that is fabric.,Can it break?,No,-2.822103261947632,-4.4940714836120605,Yes,False
28,7,material-dynamics,7,material,2,Chao sees something that is fabric.,Can it ripple?,Yes,-2.7002761363983154,-4.153356075286865,Yes,True
31,8,material-dynamics,8,material,2,Chao sees something that is liquid.,Can it break?,No,-3.429893970489502,-4.993690013885498,Yes,False
32,8,material-dynamics,8,material,2,Chao sees something that is liquid.,Can it ripple?,Yes,-2.993690252304077,-5.43451452255249,Yes,True
33,9,material-dynamics,9,material,1,Chao sees something that is non-rigid.,Can it break?,Yes,-2.5739824771881104,-4.496399879455566,Yes,True
34,9,material-dynamics,9,material,1,Chao sees something that is non-rigid.,Can it ripple?,No,-2.7013959884643555,-4.092381954193115,Yes,False
37,10,material-dynamics,10,material,1,Chao sees the feather.,Can it break?,Yes,-3.740832567214966,-4.929893970489502,Yes,True
38,10,material-dynamics,10,material,1,Chao sees the feather.,Can it ripple?,No,-3.3538906574249268,-4.4029717445373535,Yes,False
40,10,material-dynamics,10,material,2,Chao sees the denim.,Can it ripple?,Yes,-3.886733055114746,-4.621617794036865,Yes,True
47,12,material-dynamics,12,material,2,Chao sees the water.,Can it break?,No,-3.809691905975342,-4.388653755187988,Yes,False
48,12,material-dynamics,12,material,2,Chao sees the water.,Can it ripple?,Yes,-3.024322271347046,-5.088676929473877,Yes,True
50,13,material-dynamics,13,material,1,Chao sees something that is fabric.,Can it disperse?,No,-3.053332567214966,-3.615244150161743,Yes,False
52,13,material-dynamics,13,material,2,Chao sees something that is gas.,Can it disperse?,Yes,-2.944643497467041,-4.2440714836120605,Yes,True
53,14,material-dynamics,14,material,1,Chao sees something that is rigid.,Can Chao squeeze it?,Yes,-4.640705108642578,-4.149322032928467,No,False
57,15,material-dynamics,15,material,1,Chao sees the cup.,Can Chao squeeze it?,Yes,-3.4642715454101562,-4.214542388916016,Yes,True
58,15,material-dynamics,15,material,1,Chao sees the cup.,Can Chao pour it?,No,-2.6646158695220947,-4.150503158569336,Yes,False
59,15,material-dynamics,15,material,2,Chao sees the water.,Can Chao squeeze it?,No,-3.1038906574249268,-3.2926011085510254,Yes,False
61,16,material-dynamics,16,material,1,Chao sees something that is non-rigid.,Can Chao compresse it?,Yes,-2.7432847023010254,-3.8697662353515625,Yes,True
64,16,material-dynamics,16,material,2,Chao sees something that is granular.,Can Chao pour it?,Yes,-3.2619683742523193,-3.887948513031006,Yes,True
65,17,material-dynamics,17,material,1,Chao sees the feather.,Can Chao compresse it?,Yes,-3.2603089809417725,-4.527296543121338,Yes,True
66,17,material-dynamics,17,material,1,Chao sees the feather.,Can Chao pour it?,No,-3.22688627243042,-3.8538906574249268,Yes,False
68,17,material-dynamics,17,material,2,Chao sees the sesame.,Can Chao pour it?,Yes,-3.3948535919189453,-3.6484034061431885,Yes,True
77,20,material-dynamics,20,material,1,Chao sees something that is non-rigid.,Can Chao squeeze it?,Yes,-3.3663854598999023,-3.3690714836120605,Yes,True
81,21,material-dynamics,21,material,1,Chao sees the feather.,Can Chao squeeze it?,Yes,-3.776176929473877,-4.6529717445373535,Yes,True
86,22,material-dynamics,22,material,1,Chao sees something that is granular.,Can Chao rip it?,No,-2.4027605056762695,-3.0283563137054443,Yes,False
88,22,material-dynamics,22,material,2,Chao sees something that is fabric.,Can Chao rip it?,Yes,-2.247195243835449,-3.8104472160339355,Yes,True
90,23,material-dynamics,23,material,1,Chao sees the sesame.,Can Chao rip it?,No,-3.3376338481903076,-3.588350534439087,Yes,False
92,23,material-dynamics,23,material,2,Chao sees the denim.,Can Chao rip it?,Yes,-2.3392715454101562,-4.151176929473877,Yes,True
96,24,material-dynamics,24,material,2,Chao sees something that is fabric.,Can Chao compresse it?,Yes,-2.713179588317871,-4.589796543121338,Yes,True
100,25,material-dynamics,25,material,2,Chao sees the denim.,Can Chao compresse it?,Yes,-2.9788906574249268,-4.338003158569336,Yes,True
102,26,material-dynamics,26,material,1,Chao sees something that is granular.,Can Chao wrinkle it?,No,-2.1678595542907715,-3.293102502822876,Yes,False
104,26,material-dynamics,26,material,2,Chao sees something that is fabric.,Can Chao wrinkle it?,Yes,-2.9620347023010254,-4.275850296020508,Yes,True
106,27,material-dynamics,27,material,1,Chao sees the sesame.,Can Chao wrinkle it?,No,-3.7902634143829346,-4.304405212402344,Yes,False
108,27,material-dynamics,27,material,2,Chao sees the denim.,Can Chao wrinkle it?,Yes,-2.949233055114746,-4.30787992477417,Yes,True
112,28,material-dynamics,28,material,2,Chao sees something that is fabric.,Can Chao drape it?,Yes,-3.089796781539917,-4.965035915374756,Yes,True
114,29,material-dynamics,29,material,1,Chao sees the sesame.,Can Chao drape it?,No,-5.48668909072876,-4.61324405670166,No,True
116,29,material-dynamics,29,material,2,Chao sees the denim.,Can Chao drape it?,Yes,-4.182582378387451,-4.80866813659668,Yes,True
118,30,material-dynamics,30,material,1,Chao sees something that is granular.,Can Chao hang it?,No,-3.074897289276123,-2.824897289276123,No,True
120,30,material-dynamics,30,material,2,Chao sees something that is fabric.,Can Chao hang it?,Yes,-3.400503158569336,-4.398403167724609,Yes,True
124,31,material-dynamics,31,material,2,Chao sees the denim.,Can Chao hang it?,Yes,-3.650850534439087,-4.525850296020508,Yes,True
127,32,material-dynamics,32,material,2,Chao sees something that is gas.,Can Chao pour it?,No,-4.239618301391602,-4.055784702301025,No,True
128,32,material-dynamics,32,material,2,Chao sees something that is gas.,Can Chao compresse it?,Yes,-3.0152158737182617,-4.709863185882568,Yes,True
132,33,material-dynamics,33,material,2,Chao sees the oxygen.,Can Chao compresse it?,Yes,-2.8671534061431885,-4.0565714836120605,Yes,True
135,34,material-dynamics,34,material,2,Chao sees something that is liquid.,Can Chao rip it?,No,-3.150503158569336,-3.5267715454101562,Yes,False
139,35,material-dynamics,35,material,2,Chao sees the water.,Can Chao rip it?,No,-2.925743818283081,-2.8646180629730225,No,True
141,36,material-dynamics,36,material,1,Chao sees something that is fabric.,Can Chao squeeze it?,Yes,-3.893345832824707,-4.960399627685547,Yes,True
145,37,material-dynamics,37,material,1,Chao sees the denim.,Can Chao squeeze it?,Yes,-4.088003158569336,-4.213983535766602,Yes,True
159,40,material-dynamics,40,material,2,Chao sees something that is liquid.,Can Chao wrinkle it?,No,-3.755080461502075,-5.120659351348877,Yes,False
167,42,material-dynamics,42,material,2,Chao sees something that is liquid.,Can Chao drape it?,No,-4.30074405670166,-6.241905212402344,Yes,False
171,43,material-dynamics,43,material,2,Chao sees the water.,Can Chao drape it?,No,-4.082353591918945,-3.831623077392578,No,True
175,44,material-dynamics,44,material,2,Chao sees something that is liquid.,Can Chao hang it?,No,-4.365243911743164,-5.116385459899902,Yes,False
179,45,material-dynamics,45,material,2,Chao sees the water.,Can Chao hang it?,No,-3.3748373985290527,-3.122753858566284,No,True
190,48,material-dynamics,48,material,1,Chao sees something that is rigid.,Can Chao stir it?,No,-4.022363185882568,-3.979222059249878,No,True
194,49,material-dynamics,49,material,1,Chao sees the cup.,Can Chao stir it?,No,-2.8219127655029297,-3.634967088699341,Yes,False
197,50,material-dynamics,50,material,1,Chao sees something that is rigid.,Can Chao tap it?,Yes,-3.399740695953369,-4.715035915374756,Yes,True
199,50,material-dynamics,50,material,2,Chao sees something that is gas.,Can Chao tap it?,No,-2.5090134143829346,-3.2614824771881104,Yes,False
201,51,material-dynamics,51,material,1,Chao sees the cup.,Can Chao tap it?,Yes,-2.4185450077056885,-4.590856075286865,Yes,True
214,54,material-dynamics,54,material,1,Chao sees something that is non-rigid.,Can Chao stir it?,No,-2.8378214836120605,-3.213676929473877,Yes,False
216,54,material-dynamics,54,material,2,Chao sees something that is granular.,Can Chao stir it?,Yes,-2.073715925216675,-3.635932207107544,Yes,True
218,55,material-dynamics,55,material,1,Chao sees the feather.,Can Chao stir it?,No,-3.426452159881592,-4.05074405670166,Yes,False
220,55,material-dynamics,55,material,2,Chao sees the sesame.,Can Chao stir it?,Yes,-3.769123077392578,-3.767519235610962,No,False
237,60,material-dynamics,60,material,1,Chao sees something that is non-rigid.,Can Chao tap it?,Yes,-2.7428531646728516,-3.8075826168060303,Yes,True
241,61,material-dynamics,61,material,1,Chao sees the feather.,Can Chao tap it?,Yes,-2.5731301307678223,-4.8404717445373535,Yes,True
343,86,material-dynamics,86,material,2,Chao sees something that is gas.,Can Chao rip it?,No,-3.0251338481903076,-2.713676929473877,No,True
347,87,material-dynamics,87,material,2,Chao sees the oxygen.,Can Chao rip it?,No,-2.807879686355591,-2.9961681365966797,Yes,False
359,90,material-dynamics,90,material,2,Chao sees something that is gas.,Can Chao wrinkle it?,No,-2.946716070175171,-2.948432207107544,Yes,False
363,91,material-dynamics,91,material,2,Chao sees the oxygen.,Can Chao wrinkle it?,No,-3.137397289276123,-3.574897289276123,Yes,False
365,92,material-dynamics,92,material,1,Chao sees something that is fabric.,Can Chao pile it?,Yes,-2.3095145225524902,-3.7479472160339355,Yes,True
367,92,material-dynamics,92,material,2,Chao sees something that is gas.,Can Chao pile it?,No,-3.086143970489502,-3.0267715454101562,No,True
369,93,material-dynamics,93,material,1,Chao sees the denim.,Can Chao pile it?,Yes,-3.0750925540924072,-4.2154717445373535,Yes,True
371,93,material-dynamics,93,material,2,Chao sees the oxygen.,Can Chao pile it?,No,-2.886733055114746,-3.3250925540924072,Yes,False
379,95,material-dynamics,95,material,2,Chao sees the oxygen.,Can Chao drape it?,No,-3.901176929473877,-3.025850534439087,No,True
390,98,material-dynamics,98,material,1,Chao sees something that is rigid.,Can it flap?,No,-2.8856301307678223,-3.8239824771881104,Yes,False
392,98,material-dynamics,98,material,2,Chao sees something that is fabric.,Can it flap?,Yes,-2.272082567214966,-4.708685874938965,Yes,True
400,100,material-dynamics,100,material,2,Chao sees the denim.,Can it flap?,Yes,-3.163393497467041,-4.396792888641357,Yes,True
401,101,material-dynamics,101,material,1,Chao sees something that is granular.,Can it disperse?,Yes,-3.0074033737182617,-3.6324033737182617,Yes,True
405,102,material-dynamics,102,material,1,Chao sees something that is granular.,Can it trickle?,Yes,-2.823715925216675,-3.447103261947632,Yes,True
407,102,material-dynamics,102,material,2,Chao sees something that is fabric.,Can it trickle?,No,-3.005716323852539,-3.1904196739196777,Yes,False
411,103,material-dynamics,103,material,2,Chao sees something that is liquid.,Can it flap?,No,-2.339129686355591,-3.152296781539917,Yes,False
412,103,material-dynamics,103,material,2,Chao sees something that is liquid.,Can it disperse?,Yes,-3.224466323852539,-4.588003158569336,Yes,True
416,104,material-dynamics,104,material,2,Chao sees something that is liquid.,Can it drip?,Yes,-2.743072271347046,-5.497195243835449,Yes,True
420,105,material-dynamics,105,material,2,Chao sees something that is liquid.,Can it trickle?,Yes,-3.7228002548217773,-6.402296543121338,Yes,True
422,106,material-dynamics,106,material,1,Chao sees something that is fabric.,Can it splashe?,No,-2.505716323852539,-3.6891796588897705,Yes,False
424,106,material-dynamics,106,material,2,Chao sees something that is liquid.,Can it splashe?,Yes,-1.9593702554702759,-5.519853591918945,Yes,True
427,107,material-dynamics,107,material,2,Chao sees something that is gas.,Can it flap?,No,-2.5866031646728516,-2.4616031646728516,No,True
430,108,material-dynamics,108,material,1,Chao sees something that is rigid.,Can it splashe?,No,-3.288393497467041,-3.851405382156372,Yes,False
434,109,material-dynamics,109,material,1,Chao sees something that is non-rigid.,Can it splashe?,No,-2.7290589809417725,-3.9163906574249268,Yes,False
438,110,material-dynamics,110,material,1,Chao sees the feather.,Can it splashe?,No,-2.6807847023010254,-3.5557847023010254,Yes,False
440,110,material-dynamics,110,material,2,Chao sees the water.,Can it splashe?,Yes,-1.812819480895996,-3.4280142784118652,Yes,True
441,111,material-dynamics,111,material,1,Chao sees something that is fabric.,Can it rip?,Yes,-2.228717088699341,-4.714542388916016,Yes,True
443,111,material-dynamics,111,material,2,Chao sees something that is liquid.,Can it rip?,No,-3.0085885524749756,-3.1364824771881104,Yes,False
445,112,material-dynamics,112,material,1,Chao sees something that is fabric.,Can it droop?,Yes,-2.7731552124023438,-4.334292888641357,Yes,True
447,112,material-dynamics,112,material,2,Chao sees something that is liquid.,Can it droop?,No,-2.9734976291656494,-5.2447662353515625,Yes,False
449,113,material-dynamics,113,material,1,Chao sees something that is fabric.,Can it wrinkle?,Yes,-2.5710885524749756,-4.495082378387451,Yes,True
451,113,material-dynamics,113,material,2,Chao sees something that is liquid.,Can it wrinkle?,No,-3.6815714836120605,-4.435024261474609,Yes,False
