question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
Which of the following countries has sent landers to Venus?,(A) The U.S.S.R.,(B) The U.S.,(C) France,(D) A and B,A,D,False,20.0,0,-2.8901875019073486,-3.515514373779297,-3.8905789852142334,-0.1396024227142334,-0.213282334876971,-0.4008165230301932,-1.142270746815484,2.0168290224650667,-2.6769051670303776,-3.1146978507491037,-2.7483082383987494,-2.1564314451793,D,D,False,False
How do scientists know that the majority of meteorites come from the asteroid belt?,(A) The spectra of some meteorites are similar to the spectra of asteroids in the asteroid belt.,(B) The asteroid belt is the only possible source of meteorites therefore they must originate there.,(C) Collisions are common in the asteroid belt and we can track the fragments from their source asteroid to the Earth where they become meteorites.,(D) High levels of Iridum have been detected in both asteroids and meteorites therefore meteorites come from the asteroid belt.,A,A,True,20.0,0,-0.4823274612426758,-4.968358039855957,-1.2343274354934692,-3.73413348197937,2.194577705787702,-1.8536601891068534,1.5139808029052801,-1.57770203680007,-2.6769051670303776,-3.1146978507491037,-2.7483082383987494,-2.1564314451793,A,A,True,True
Which of the following most likely explains why Venus does not have a strong magnetic field?,(A) Its rotation is too slow.,(B) It has too thick an atmosphere.,(C) It is too large.,(D) It does not have a metallic core.,A,D,False,20.0,0,-2.7654426097869873,-3.015565872192383,-4.031144618988037,-0.14836084842681885,-0.08853744275660969,0.09913197855672085,-1.2828363805892877,2.0080705967524812,-2.6769051670303776,-3.1146978507491037,-2.7483082383987494,-2.1564314451793,D,D,False,False
Which of the following methods has led to the most discoveries of massive planets orbiting near their parent stars?,(A) detecting the gravitational effect of an orbiting planet by looking for the Doppler shifts in the star's spectrum,(B) detecting the shift of the star's position against the sky due to the planet's gravitational pull,(C) detecting a planet ejected from a binary star system,(D) detecting the starlight reflected off the planet,A,A,True,20.0,0,-0.09755028039216995,-3.5936057567596436,-5.3434247970581055,-3.4686625003814697,2.5793548866382077,-0.4789079060105399,-2.595116558659356,-1.3122310552021696,-2.6769051670303776,-3.1146978507491037,-2.7483082383987494,-2.1564314451793,A,A,True,True
"What is true for a type-Ia (""type one-a"") supernova?",(A) This type occurs in binary systems.,(B) This type occurs in young galaxies.,(C) This type produces gamma-ray bursts.,(D) This type produces high amounts of X-rays.,A,A,True,20.0,0,-0.3982752561569214,-3.1405489444732666,-3.140533447265625,-1.5233739614486694,2.2786299108734562,-0.025851093724162943,-0.3922252088668756,0.6330574837306306,-2.6769051670303776,-3.1146978507491037,-2.7483082383987494,-2.1564314451793,A,A,True,True
Our current best observations show that Pluto has,(A) one medium sized satellite and two small satellites.,(B) no satellites.,(C) one large satellite and three small satellites.,(D) one large satellite.,A,B,False,20.0,0,-1.842970371246338,-0.7146704196929932,-1.8435759544372559,-1.7184630632400513,0.8339347957840397,2.4000274310561105,0.9047322839614935,0.4379683819392488,-2.6769051670303776,-3.1146978507491037,-2.7483082383987494,-2.1564314451793,B,B,False,False
Mars has an atmosphere that is almost entirely carbon dioxide.Why isn't there a strong greenhouse effect keeping the planet warm?,(A) the atmosphere on Mars is too thin to trap a significant amount of heat,(B) There actually is a strong greenhouse effect and Mars would be 35oC colder than it is now without it.,(C) Mars does not have enough internal heat to drive the greenhouse effect,(D) the greenhouse effect requires an ozone layer which Mars does not have,A,A,True,20.0,1,-0.42147669196128845,-3.6709775924682617,-3.0466012954711914,-1.4215646982192993,2.4115778577720954,-0.7717604913438358,-0.3955039560937115,0.5669583121909656,-2.833054549733384,-2.899217101124426,-2.65109733937748,-1.988523010410265,A,A,True,True
Kirkwood gaps are observed in the main asteroid belt including at the position(s) where:,(A) asteroids would orbit with a period half that of Jupiter,(B) asteroids would orbit with a period twice that of Jupiter,(C) asteroids would orbit with a period twice that of Mars,(D) A and B,A,D,False,20.0,1,-2.3591747283935547,-2.7343099117279053,-3.9842803478240967,-0.22744512557983398,0.4738798213398292,0.1649071893965206,-1.3331830084466167,1.761077884830431,-2.833054549733384,-2.899217101124426,-2.65109733937748,-1.988523010410265,D,D,False,False
Earth has been gradually warming over the past few decades. Based on a great deal of evidence scientists conclude that this warming is caused by ________.,(A) human activities that are increasing the concentration of greenhouse gases in Earth's atmosphere,(B) the fact that our politicians spout a lot of hot air,(C) the human release of chemicals called CFCs into the stratosphere,(D) the increase in forest fires during recent years,A,A,True,20.0,1,-0.01993298903107643,-6.654881954193115,-6.655642509460449,-6.656012058258057,2.8131215607023075,-3.7556648530686894,-4.004545170082969,-4.667489047847791,-2.833054549733384,-2.899217101124426,-2.65109733937748,-1.988523010410265,A,A,True,True
What defines the habitable zone around a star?,(A) the region around a star where liquid water can potentially exist on planetary surfaces,(B) the region around a star where humans can survive,(C) the region around a star where the ultraviolet radiation does not destroy organisms on a planetary surface,(D) the region around a star where life exists,A,A,True,20.0,1,-0.01944470778107643,-6.529964923858643,-5.530996799468994,-6.530679702758789,2.8136098419523075,-3.6307478227342167,-2.879899460091514,-4.542156692348524,-2.833054549733384,-2.899217101124426,-2.65109733937748,-1.988523010410265,A,A,True,True
