question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"The term ""sociology"" was coined in the early 1800s by which of the following?",(A) Auguste Comte,(B) Robert K. Merton,(C) Karl Marx,(D) Emile Durkheim,A,A,True,20.0,0,-1.547027587890625,-4.51592493057251,-4.372416973114014,-3.2105398178100586,0.9551387263668909,-1.5442380623684988,-1.4198558707204132,0.059907394978734985,-2.502166314257516,-2.971686868204011,-2.9525611023936005,-3.2704472127887936,A,A,True,True
Goldthorpe identified the 'service class' as:,"(A) those in non-manual occupations, exercising authority on behalf of the state",(B) people working in consultancy firms who were recruited by big businesses,(C) the young men and women employed in domestic service in the nineteenth century,(D) those who had worked in the armed services,A,A,True,20.0,0,-1.607085943222046,-2.9424521923065186,-3.40325665473938,-3.1173274517059326,0.89508037103547,0.0292346758974924,-0.4506955523457794,0.15311976108286096,-2.502166314257516,-2.971686868204011,-2.9525611023936005,-3.2704472127887936,A,A,True,True
Durkheim defined social facts as:,"(A) ways of acting, thinking, and feeling that are collective and social in origin",(B) the way scientists construct knowledge in a social context,(C) data collected about social phenomena that are proven to be correct,"(D) ideas and theories that have no basis in the external, physical world",A,A,True,20.0,0,-1.0780959129333496,-3.826272487640381,-4.2391743659973145,-3.6980388164520264,1.4240704013241663,-0.8545856194363699,-1.286613263603714,-0.4275916036632328,-2.502166314257516,-2.971686868204011,-2.9525611023936005,-3.2704472127887936,A,A,True,True
Giselle graduated from college with high honors in management. She was recruited immediately following college by a large corporation and accepted a position in junior management. She quickly advanced to middle management. Ten years later Giselle was still in a middle-management position and had witnessed junior male colleagues promoted over her. Which of the following is a phenomenon that is most likely to explain Giselle's lack of promotion?,(A) Glass ceiling,(B) Gender constancy,(C) Underemployment,(D) Glass elevator,A,A,True,20.0,0,-1.6313202381134033,-4.011415481567383,-3.9563825130462646,-3.7289466857910156,0.8708460761441126,-1.0397286133633719,-1.0038214106526642,-0.45849947300222205,-2.502166314257516,-2.971686868204011,-2.9525611023936005,-3.2704472127887936,A,A,True,True
The terms 'crisis of the 1970s' is used to refer to:,(A) declining profits and rising unemployment,(B) the eradication of the welfare state,(C) rising divorce rates and the decline of the traditional family,(D) an unfortunate twist in fashion sensibility,A,A,True,20.0,0,-1.4144023656845093,-3.2174618244171143,-3.5211102962493896,-3.1346704959869385,1.0877639485730066,-0.2457749562131033,-0.5685491938557892,0.1357767168018551,-2.502166314257516,-2.971686868204011,-2.9525611023936005,-3.2704472127887936,A,A,True,True
Which of the following sociological perspectives views society as a system of interdependent and coordinated parts?,(A) Functionalism,(B) Conflict theory,(C) Symbolic interactionism,(D) Role theory,A,A,True,20.0,0,-1.1369272470474243,-4.872241020202637,-4.767784118652344,-4.432889938354492,1.3652390672100916,-1.9005541519986258,-1.8152230162587433,-1.1624427255656986,-2.502166314257516,-2.971686868204011,-2.9525611023936005,-3.2704472127887936,A,A,True,True
The trend of decarceration involves:,(A) community alternatives to imprisonment and institutional care,(B) the increased use of imprisonment as the main form of punishment,(C) transferring the management of prisons to private companies,(D) decentralized organization due to the mobility of capital,A,A,True,20.0,0,-1.1335076093673706,-3.6556386947631836,-3.95485782623291,-3.604588270187378,1.3686587048901453,-0.6839518265591726,-1.0022967238393097,-0.33414105739858435,-2.502166314257516,-2.971686868204011,-2.9525611023936005,-3.2704472127887936,A,A,True,True
"Leroy visits his parents, who live in a primarily African American working-class neighborhood. During his visit, he notices that the community is changing. Several developments have been built to accommodate single-family homes, and upscale shopping centers have been added. While Leroy appreciates these changes, he is worried that his parents will not be able to afford to continue living in their neighborhood because property values are rising. Which of the following best explains what is happening to Leroy's old neighborhood?",(A) Gentrification,(B) Urbanization,(C) White flight,(D) The demographic transition,A,A,True,20.0,0,-1.7840960025787354,-3.8582513332366943,-3.6982522010803223,-3.6848409175872803,0.7180703116787805,-0.8865644650326834,-0.7456910986867218,-0.4143937047984867,-2.502166314257516,-2.971686868204011,-2.9525611023936005,-3.2704472127887936,A,A,True,True
Booth's (1901) study revealed that the percentage of people in London who were living in poverty was:,(A) 30.70%,(B) 27.50%,(C) 18.60%,(D) 33.20%,A,A,True,20.0,0,-2.2061386108398438,-2.783094882965088,-3.219386577606201,-2.836578845977783,0.29602770341767215,0.18859198523892307,-0.2668254752126007,0.4338683668110104,-2.502166314257516,-2.971686868204011,-2.9525611023936005,-3.2704472127887936,A,D,True,False
The 'new man' of the 1980s was alleged to be:,"(A) sensitive, caring, and emotional","(B) laddish, aggressive, and violent",(C) a strong and dependable breadwinner,(D) openly bisexual and proud of it,A,B,False,20.0,0,-2.575587749481201,-2.1915037631988525,-2.442564010620117,-3.024977445602417,-0.07342143522368527,0.7801831050051584,0.5099970917734833,0.2454697671863766,-2.502166314257516,-2.971686868204011,-2.9525611023936005,-3.2704472127887936,B,B,False,False
