Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
1,1,social-properties,1,antonym,1,Chao treats people kindly.,Is Chao friendly?,Yes,20.0,0,-1.322695255279541,-10.239376068115234,4.611784241001668,-5.680800719475695,-5.934479496281209,-4.55857534863954,Yes,True,True,True
2,1,social-properties,1,antonym,1,Chao treats people kindly.,Is Chao hostile?,No,20.0,0,-12.755533218383789,-0.6595548987388611,-6.82105372210258,3.8990204499006786,-5.934479496281209,-4.55857534863954,No,True,False,True
3,1,social-properties,1,antonym,2,Chao treats people coldly.,Is Chao friendly?,No,20.0,0,-12.280487060546875,-5.088449478149414,-6.346007564265666,-0.5298741295098743,-5.934479496281209,-4.55857534863954,No,True,False,True
4,1,social-properties,1,antonym,2,Chao treats people coldly.,Is Chao hostile?,Yes,20.0,0,-0.4259130358695984,-6.897665023803711,5.50856646041161,-2.339089675164171,-5.934479496281209,-4.55857534863954,Yes,True,True,True
5,2,social-properties,2,antonym,1,Chao greeted Yan.,Is Chao friendly?,Yes,20.0,0,-3.5788497924804688,-6.244503974914551,2.35562970380074,-1.685928626275011,-5.934479496281209,-4.55857534863954,Yes,True,True,True
6,2,social-properties,2,antonym,1,Chao greeted Yan.,Is Chao hostile?,No,20.0,0,-9.938998222351074,-0.10950899124145508,-4.004518726069866,4.449066357398085,-5.934479496281209,-4.55857534863954,No,True,False,True
7,2,social-properties,2,antonym,2,Chao insulted Yan.,Is Chao friendly?,No,20.0,0,-7.228041172027588,-0.09248130768537521,-1.2935616757463793,4.4660940409541645,-5.934479496281209,-4.55857534863954,No,True,False,True
8,2,social-properties,2,antonym,2,Chao insulted Yan.,Is Chao hostile?,Yes,20.0,0,-0.6358193159103394,-2.796720504760742,5.298660180370869,1.7618548438787975,-5.934479496281209,-4.55857534863954,Yes,True,True,True
9,3,social-properties,3,antonym,1,Chao enjoys meeting new people.,Is Chao friendly?,Yes,20.0,0,-0.2536734342575073,-9.459561347961426,5.680806062023701,-4.900985999321886,-5.934479496281209,-4.55857534863954,Yes,True,True,True
10,3,social-properties,3,antonym,1,Chao enjoys meeting new people.,Is Chao hostile?,No,20.0,0,-12.599884033203125,-0.041819896548986435,-6.665404536921916,4.516755452090553,-5.934479496281209,-4.55857534863954,No,True,False,True
11,3,social-properties,3,antonym,2,Chao avoids meeting new people.,Is Chao friendly?,No,20.0,0,-9.054888725280762,-0.10555237531661987,-3.120409228999553,4.45302297332292,-5.934479496281209,-4.55857534863954,No,True,False,True
12,3,social-properties,3,antonym,2,Chao avoids meeting new people.,Is Chao hostile?,Yes,20.0,0,-1.2687513828277588,-2.3459746837615967,4.66572811345345,2.212600664877943,-5.934479496281209,-4.55857534863954,Yes,True,True,True
13,4,social-properties,4,other,1,Chao gave Yan a gift.,Is Chao friendly?,Yes,20.0,0,-1.514711856842041,-7.4413371086120605,4.419767639439168,-2.882761759972521,-5.934479496281209,-4.55857534863954,Yes,True,True,True
14,4,social-properties,4,other,1,Chao gave Yan a gift.,Is Chao hostile?,No,20.0,0,-10.924068450927734,-0.20280474424362183,-4.989588954646526,4.355770604395918,-5.934479496281209,-4.55857534863954,No,True,False,True
15,4,social-properties,4,other,2,Chao gave Yan a glare.,Is Chao friendly?,No,20.0,0,-11.263260841369629,-1.0515462160110474,-5.32878134508842,3.5070291326284924,-5.934479496281209,-4.55857534863954,No,True,False,True
16,4,social-properties,4,other,2,Chao gave Yan a glare.,Is Chao hostile?,Yes,20.0,0,-0.2910746932029724,-7.16425895690918,5.643404803078236,-2.60568360826964,-5.934479496281209,-4.55857534863954,Yes,True,True,True
17,5,social-properties,5,antonym,1,Chao is reliable.,Is Chao trustworthy?,Yes,20.0,0,-1.6128172874450684,-6.5687665939331055,4.32166220883614,-2.0101912452935657,-5.934479496281209,-4.55857534863954,Yes,True,True,True
18,5,social-properties,5,antonym,1,Chao is reliable.,Is Chao untrustworthy?,No,20.0,0,-13.772971153259277,-3.05564284324646,-7.838491656978069,1.5029325053930798,-5.934479496281209,-4.55857534863954,No,True,False,True
19,5,social-properties,5,antonym,2,Chao is unreliable.,Is Chao trustworthy?,No,20.0,0,-12.249114036560059,-5.168785095214844,-6.31463454027885,-0.610209746575304,-5.934479496281209,-4.55857534863954,No,True,False,True
20,5,social-properties,5,antonym,2,Chao is unreliable.,Is Chao untrustworthy?,Yes,20.0,0,-3.3432788848876953,-11.301336288452148,2.5912006113935133,-6.742760939812609,-5.934479496281209,-4.55857534863954,Yes,True,True,True
21,6,social-properties,6,negation,1,Chao can be depended upon.,Is Chao trustworthy?,Yes,20.0,0,-2.403434991836548,-8.293659210205078,3.531044504444661,-3.7350838615655384,-5.934479496281209,-4.55857534863954,Yes,True,True,True
22,6,social-properties,6,negation,1,Chao can be depended upon.,Is Chao untrustworthy?,No,20.0,0,-9.820250511169434,-1.6105953454971313,-3.885771014888225,2.9479800031424084,-5.934479496281209,-4.55857534863954,No,True,False,True
23,6,social-properties,6,negation,2,Chao cannot be depended upon.,Is Chao trustworthy?,No,20.0,0,-9.021666526794434,-3.1561005115509033,-3.087187030513225,1.4024748370886364,-5.934479496281209,-4.55857534863954,No,True,False,True
24,6,social-properties,6,negation,2,Chao cannot be depended upon.,Is Chao untrustworthy?,Yes,20.0,0,-3.4850220680236816,-7.183732509613037,2.449457428257527,-2.6251571609734974,-5.934479496281209,-4.55857534863954,Yes,True,True,True
25,7,social-properties,7,antonym,1,"Yan told Chao a secret. Today, no one else knows the secret.",Is Chao trustworthy?,Yes,20.0,0,-5.7643327713012695,-8.070599555969238,0.1701467249799391,-3.5120242073296986,-5.934479496281209,-4.55857534863954,Yes,True,True,True
26,7,social-properties,7,antonym,1,"Yan told Chao a secret. Today, no one else knows the secret.",Is Chao untrustworthy?,No,20.0,0,-5.626104354858398,-3.265364170074463,0.3083751414228102,1.2932111785650768,-5.934479496281209,-4.55857534863954,No,True,False,True
27,7,social-properties,7,antonym,2,"Yan told Chao a secret. Today, everyone knows the secret.",Is Chao trustworthy?,No,20.0,0,-2.313387632369995,-3.1037261486053467,3.6210918639112135,1.454849200034193,-5.934479496281209,-4.55857534863954,Yes,False,True,False
28,7,social-properties,7,antonym,2,"Yan told Chao a secret. Today, everyone knows the secret.",Is Chao untrustworthy?,Yes,20.0,0,-3.6686275005340576,-10.445455551147461,2.265851995747151,-5.886880202507921,-5.934479496281209,-4.55857534863954,Yes,True,True,True
29,8,social-properties,8,antonym,1,Chao is good at completing important tasks.,Is Chao trustworthy?,Yes,20.0,0,-1.915952444076538,-6.468719959259033,4.0185270522046705,-1.9101446106194935,-5.934479496281209,-4.55857534863954,Yes,True,True,True
30,8,social-properties,8,antonym,1,Chao is good at completing important tasks.,Is Chao untrustworthy?,No,20.0,0,-7.658670425415039,-1.0394078493118286,-1.7241909291338304,3.519167499327711,-5.934479496281209,-4.55857534863954,No,True,False,True
31,8,social-properties,8,antonym,2,Chao is bad at completing important tasks.,Is Chao trustworthy?,No,20.0,0,-8.625138282775879,-0.5086236596107483,-2.6906587864946703,4.049951689028791,-5.934479496281209,-4.55857534863954,No,True,False,True
32,8,social-properties,8,antonym,2,Chao is bad at completing important tasks.,Is Chao untrustworthy?,Yes,20.0,0,-1.937578797340393,-4.372993469238281,3.9969006989408156,0.18558187940125848,-5.934479496281209,-4.55857534863954,Yes,True,True,True
33,9,social-properties,9,antonym,1,Chao usually keeps promises.,Is Chao trustworthy?,Yes,20.0,1,-2.0614492893218994,-6.838726043701172,3.862675579136302,-2.1541526377008395,-5.924124868458201,-4.684573406000332,Yes,True,True,True
