question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
Which statement best explains the purpose of Hart's distinction between 'being obliged' and 'having an obligation'?,(A) It demonstrates the difference between the internal and the external aspect of a rule.,(B) It refutes the natural lawyer' view of the role of morality in law.,(C) It explains the nature of power-conferring rules.,(D) It illuminates the concept of a rule.,D,-1.4584810733795166,-1.2084810733795166,-1.4568907022476196,-1.7084810733795166,B,False
Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way?,(A) It is misinterpreted as a prediction.,(B) His concept of status is misrepresented.,(C) It is taken literally.,(D) His idea is considered inapplicable to Western legal systems.,A,-1.199109673500061,-1.4479721784591675,-1.4479721784591675,-1.6999964714050293,A,True
Which of the following factors contributed significantly to the revival of natural law in the 20th century?,(A) Depression of the 1930,(B) The rise of Fascism,(C) The international recognition of human rights after World War II,(D) The Bolshevik Revolution,C,-1.449109673500061,-1.199109673500061,-1.4479721784591675,-1.6999964714050293,B,False
Which of the following criticisms of Llewellyn's distinction between the grand and formal styles of legal reasoning is the most compelling?,(A) There is no distinction between the two forms of legal reasoning.,"(B) Judges are appointed to interpret the law, not to make it.",(C) It is misleading to pigeon-hole judges in this way.,(D) Judicial reasoning is always formal.,C,-1.5293214321136475,-1.2793214321136475,-1.528774380683899,-1.5293214321136475,B,False
Which proposition below is the most consistent with what Rawls claims the POP would opt for in respect of 'social primary goods'?,(A) The POP will choose wealth over a compassionate society.,(B) The POP will choose equality over power.,(C) The POP will be unselfish.,(D) The POP will choose to protect the disabled.,A,-1.2871187925338745,-1.2865674495697021,-1.5358598232269287,-1.7865674495697021,B,False
The ________ School believes that promoting market efficiency should be the central goal of legal decision-making.,(A) Law and Economics,(B) Critical Legal Studies,(C) Historical,(D) Natural Law,A,-1.0358598232269287,-1.2858598232269287,-1.5358598232269287,-2.278169870376587,A,True
Which statement below is the least likely to follow logically from Austin's argument that a sanction consists of the smallest chance of incurring the smallest evil?,(A) All commands include some sanction.,(B) The concept of a command contains the likelihood that a sanction will follow failure to obey the command.,(C) Without a sanction the mere expression of a wish is not a command.,(D) A command confers power to change one's legal status.,D,-1.51409912109375,-1.2641459703445435,-1.5131876468658447,-1.5137262344360352,B,False
How does Weber solve the 'England problem'?,(A) By denying its existence.,(B) By explaining the difference between the common law and civil law.,(C) By distinguishing certain features of the English legal system that facilitated the development of capitalism.,(D) By recognizing the importance of legitimate domination.,C,-1.6615674495697021,-1.159952163696289,-1.159952163696289,-1.9108598232269287,B,False
Cicero's conception of natural law is 'based on the idea that 'true law is right reason in agreement with Nature.' Reason is a key element because:,(A) It is a sin for humans not to apply reason.,(B) The principles of natural law are discoverable by reason.,(C) Natural law does not apply without good reason.,(D) The law of nature is the basis of all positive law.,B,-1.4108598232269287,-1.1615674495697021,-1.4108598232269287,-1.9108598232269287,B,True
"Catharine MacKinnon argues that since men dominate women, the question is ultimately one of power. Which proposition below is the most inconsistent with this argument?",(A) Women can achieve equality through political pressure.,(B) Equality is impossible because men define women as different.,(C) The idea of 'woman' needs to be redefined.,(D) The world is phallocentric and oppressive.,A,-1.3327845335006714,-1.3327845335006714,-1.5818907022476196,-1.5827845335006714,A,True
Who was an exponent of “natural law with a variable content”?,(A) John Rawls,(B) Stammler,(C) Jerome Hall,(D) John Finns,B,-1.5584216117858887,-1.0605714321136475,-1.5593222379684448,-1.5605714321136475,B,True
The ________ School of jurisprudence asserts that the law is a means of achieving and advancing certain sociological goals.,(A) Historical,(B) Analytical,(C) Command,(D) Sociological,D,-1.2155722379684448,-1.2155722379684448,-1.4646716117858887,-2.2146716117858887,A,False
"According to Malinowski, the Trobriand Islanders organized their society around what concept?",(A) Conflict.,(B) Love.,(C) War.,(D) Reciprocity.,D,-1.3262262344360352,-1.3262262344360352,-1.3256876468658447,-1.82659912109375,C,False
In Justice for Hedgehogs Dworkin endorses 'Hume's principle'. What does he understand by this idea?,(A) That there is no distinction between law and morality.,(B) That there is a distinction between right and wrong.,(C) That facts about the world or human nature cannot normally ordain what ought to be,(D) That human rights are fundamentally unsound.,C,-1.3821436166763306,-1.1340134143829346,-1.6321436166763306,-1.8854721784591675,B,False
Lyotard's dictum 'I define postmodern as incredulity toward meta-narratives' means:,(A) Individual stories are suspect.,(B) The law is static.,(C) Universal values are meaningless.,(D) Literature reproduces repression.,C,-1.5834810733795166,-1.0840238332748413,-1.5827845335006714,-1.5843995809555054,B,False
Habermas distinguishes between 'law as medium' and 'law as institution'. Which statement below most accurately describes this distinction?,"(A) Law as medium' describes law as a body of formal, general rules that control the state and the economy; 'law as institution' inhabits the 'lifeworld' and expresses its shared values and norms in institutional form.",(B) Law as medium' consists of the manner in which law is presented by the media; 'law as institution' describes the courts.,(C) Law as medium' concerns the manner in which the law expresses its rules in simplified terms; 'law as institution' refers to the formal declaration of laws by legislative bodies.,(D) Law as medium' is defined as the intermediate stage of legal development; 'law as institution' is the advanced stage.,A,-1.4108598232269287,-1.1608598232269287,-1.409952163696289,-1.9108598232269287,B,False
To claim that one has a prima facie duty to obey the law is to assert that:,"(A) One is under a duty to obey the law without exception, regardless of its content.",(B) There is no duty to obey a law to which one hasn't agreed.,(C) The duty applies only to those who are directly affected by the law in question.,(D) The obligation arises independently of the precise legal provisions involved - unless there are grounds to justify a specific exception.,D,-1.3093222379684448,-1.3084216117858887,-1.5572662353515625,-1.5593222379684448,B,False
Dworkin contends that to every legal question there is only one right answer. Which proposition below is most inconsistent with this claim?,(A) In hard cases judges generally decide cases on the basis of rights.,(B) The rights of the parties feature in the determination of most cases before the courts.,(C) Judges exercise strong discretion.,(D) Judges seek the best 'fit' with constitutional and institutional history.,C,-1.324897289276123,-1.3239824771881104,-1.5739824771881104,-1.574897289276123,B,False
"Robert makes the following statement while negotiating the sale of his car, 'This is the sharpest car on the market.' His statement may support a claim for:",(A) misrepresentation,(B) fraud,(C) fraud and misrepresentation,(D) none of the above,D,-1.0531967878341675,-1.3027738332748413,-1.5522310733795166,-2.060997724533081,A,False
According to Austin the science of jurisprudence is concerned with,(A) Morality,(B) Positive law,(C) Divine law,(D) Natural law,B,-1.4108598232269287,-1.4108598232269287,-1.409952163696289,-1.4115674495697021,C,False
Which of the following statements best captures the nature of Fuller's 'inner morality of law'?,(A) A positivist view of law.,(B) A morality of aspiration.,(C) An Aquinian concept of natural law.,(D) A rejection of the 'harm principle'.,B,-1.3327845335006714,-1.3327845335006714,-1.3327845335006714,-1.8327845335006714,A,False
Hart argues that secondary rules are 'power-conferring' but this seems unconvincing in the case of the rule of recognition because:,(A) It both confers power and imposes duties on judges to decide cases.,(B) It is not a social rule.,(C) It applies only in the case of unitary constitutions.,(D) It fails to specify the source of authority.,A,-1.2240674495697021,-1.4733598232269287,-1.4733598232269287,-1.7240674495697021,A,True
Adherence to precedent is called the doctrine of ________.,(A) nolo contendere,(B) stare decisis,(C) substantial performance,(D) commercial impracticability,B,-1.3740885257720947,-0.8742901086807251,-1.6240885257720947,-2.3742902278900146,B,True
Which proposition below may be characterized as the most powerful refutation by Hart of Lord Devlin's argument?,(A) Society has no right to preserve its moral and social cohesion through the criminal law.,(B) Homosexual acts cause public outrage.,(C) The courts are the best place to resolve moral questions such as those concerning homosexuality and prostitution.,(D) The law is anachronistic.,A,-1.5683687925338745,-1.3178174495697021,-1.3178174495697021,-1.8178174495697021,B,False
What relationships to the type of law that exists in society does Durkheim identify between (1) mechanical and (2) organic solidarity?,(A) Mechanical solidarity produces conflict in society. Organic solidarity leads to greater social harmony.,(B) Mechanical solidarity leads to repressive law. Organic solidarity leads to restitutive law.,(C) Mechanical solidarity fosters efficiency. Organic solidarity leads to inefficiency.,(D) Mechanical solidarity generates a more democratic legal system; organic solidarity a more authoritarian legal system.,B,-1.5053174495697021,-1.2553174495697021,-1.5046098232269287,-1.997524380683899,B,True
Which of the following quotations best describes the central thesis of difference feminism?,(A) There are fundamental differences between individual women.',(B) Men and women have different conceptions of the feminist project.',"(C) Women look to context, whereas men appeal to neutral, abstract notions of justice.'",(D) Men are unable to comprehend their differences from women.',C,-1.3652738332748413,-1.3647310733795166,-1.3640345335006714,-1.8647310733795166,C,True
Which statement below is the least likely to follow logically from Dworkin's notion of law as integrity?,(A) It is likely to generate more individual rights and greater liberty.,(B) It renders a community more genuine.,(C) It opens the door to authoritarianism.,(D) It improves the moral justification for the exercise of political power.,C,-1.6459810733795166,-1.3952845335006714,-1.3952845335006714,-1.3959810733795166,B,False
Which statement best describes one of Dworkin's central arguments in Justice for Hedgehogs?,(A) Morality plays no role in the concept of law.,(B) Moral arguments operate only in hard cases.,(C) The law dictates what moral values should affect our ethical behaviour.,(D) Moral values are both independent and objective.,D,-1.5678174495697021,-1.3178174495697021,-1.3178174495697021,-1.5678174495697021,B,False
Which statement best describes the nature and function of Kelsen's Grundnorm?,(A) The ultimate source of a legal system's morality.,(B) The rule that distinguishes norms from habits of obedience.,(C) The constitution of a state.,(D) A presupposition that facilitates our understanding of the legal system.,D,-1.3796098232269287,-1.3796098232269287,-1.3796098232269287,-1.6303174495697021,A,False
Critical Legal Studies (CLS) is often compared to (or with) American realism. Which of the following statements is inaccurate?,(A) Both are concerned with the 'law in action.',(B) Both are anti-formalist and sceptical,(C) Both adopt a liberal ideology.,(D) Both attempt to demystify the law.,C,-1.341274380683899,-1.341274380683899,-1.5896716117858887,-1.591274380683899,A,False
Which of the following best describes Dworkin's distinction between principles and policies?,"(A) Principles are legislative, policies are precedents.","(B) Principles describe rights, policies describe duties.","(C) Principles are democratic, policies are autocratic.","(D) Principles describe rights, policies describe goals.",D,-1.4043214321136475,-1.1543214321136475,-1.403774380683899,-1.9043806791305542,B,False
Statutes are often called ________ law.,(A) quasi,(B) qualified,(C) collaborated,(D) codified,D,-1.3193939924240112,-1.3193939924240112,-1.3195970058441162,-1.8195970058441162,A,False
Which is the least accurate description of legal positivism?,(A) It regards morals and law as inseparable.,(B) It perceives law as commands.,(C) It regards a legal order as a closed logical system.,(D) It espouses the view that there is no necessary connection between morality and law.,A,-1.6303174495697021,-1.3803174495697021,-1.3796098232269287,-1.3803174495697021,C,False
Which proposition below is the most powerful refutation of Bentham's felicific calculus?,(A) Happiness is less important than economic prosperity.,(B) It is impossible to calculate all the consequences of one's acts.,(C) Pain and pleasure are inevitable features of life.,(D) Utilitarianism fails to take account of differences in social background.,B,-1.6859976053237915,-1.1855714321136475,-1.4355714321136475,-1.6855714321136475,B,True
