Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
1.0,1.0,physical-interactions,,variable_swap,1.0,The wheel and the nail are touching. Heat is flowing from the wheel to the nail.,Is the wheel heating the nail?,Yes,-4.277042388916016,-1.5293214321136475,-8.37219524383545,-6.092100143432617,4.095152854919434,4.56277871131897,No,False
2.0,1.0,physical-interactions,,variable_swap,1.0,The wheel and the nail are touching. Heat is flowing from the wheel to the nail.,Is the wheel cooling the nail?,No,-4.152296543121338,-1.653774380683899,-8.37219524383545,-6.092100143432617,4.219898700714111,4.438325762748718,No,True
3.0,1.0,physical-interactions,,variable_swap,2.0,The wheel and the nail are touching. Heat is flowing from the nail to the wheel.,Is the wheel heating the nail?,No,-4.246822357177734,-1.747524380683899,-8.37219524383545,-6.092100143432617,4.125372886657715,4.344575762748718,No,True
4.0,1.0,physical-interactions,,variable_swap,2.0,The wheel and the nail are touching. Heat is flowing from the nail to the wheel.,Is the wheel cooling the nail?,Yes,-4.246822357177734,-1.7558687925338745,-8.37219524383545,-6.092100143432617,4.125372886657715,4.336231350898743,No,False
6.0,1.0,physical-interactions,,variable_swap,1.0,The wheel and the nail are touching. Heat is flowing from the wheel to the nail.,Is the nail heating the wheel?,No,-4.558421611785889,-1.5683687925338745,-8.37219524383545,-6.092100143432617,3.8137736320495605,4.523731350898743,No,True
8.0,1.0,physical-interactions,,variable_swap,2.0,The wheel and the nail are touching. Heat is flowing from the nail to the wheel.,Is the nail heating the wheel?,Yes,-4.121822357177734,-1.622524380683899,-8.37219524383545,-6.092100143432617,4.250372886657715,4.469575762748718,No,False
9.0,1.0,physical-interactions,,variable_swap,1.0,The wheel and the nail are touching. Heat is flowing from the wheel to the nail.,Is the nail cooling the wheel?,Yes,-4.527296543121338,-1.5293214321136475,-8.37219524383545,-6.092100143432617,3.8448987007141113,4.56277871131897,No,False
11.0,1.0,physical-interactions,,variable_swap,2.0,The wheel and the nail are touching. Heat is flowing from the nail to the wheel.,Is the nail cooling the wheel?,No,-4.215035915374756,-1.716274380683899,-8.37219524383545,-6.092100143432617,4.157159328460693,4.375825762748718,No,True
13.0,2.0,physical-interactions,,antonym,1.0,The wheel and the nail are touching. The wheel is much hotter than the nail.,Is the wheel heating the nail?,Yes,-4.179893970489502,-2.1838998794555664,-8.37219524383545,-6.092100143432617,4.192301273345947,3.908200263977051,Yes,True
14.0,2.0,physical-interactions,,antonym,1.0,The wheel and the nail are touching. The wheel is much hotter than the nail.,Is the wheel cooling the nail?,No,-4.054893970489502,-2.418330669403076,-8.37219524383545,-6.092100143432617,4.317301273345947,3.673769474029541,Yes,False
15.0,2.0,physical-interactions,,antonym,2.0,The wheel and the nail are touching. The wheel is much colder than the nail.,Is the wheel heating the nail?,No,-4.148877143859863,-2.4021716117858887,-8.37219524383545,-6.092100143432617,4.223318099975586,3.6899285316467285,Yes,False
16.0,2.0,physical-interactions,,antonym,2.0,The wheel and the nail are touching. The wheel is much colder than the nail.,Is the wheel cooling the nail?,Yes,-3.8228089809417725,-2.074897289276123,-8.37219524383545,-6.092100143432617,4.549386262893677,4.017202854156494,Yes,True
