question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
What percentage of older adults report feeling very or often lonely?,(A) 10%,(B) 25%,(C) 50%,(D) 75%,A,B,False,20.0,0,-1.4841617345809937,-0.9333167672157288,-1.968444585800171,-1.585669994354248,0.9475265907046073,1.823500589778026,0.7982664813494518,0.5122643356573664,-2.431688325285601,-2.756817356993755,-2.7667110671496227,-2.0979343300116144,B,B,False,False
The study of older adults and aging is referred to as,(A) Gerontology,(B) Geropsychiatry,(C) Geriatrics,(D) Gero-education,A,A,True,20.0,0,-0.17941157519817352,-4.905805587768555,-2.358830690383911,-3.2960829734802246,2.2522767500874274,-2.1489882307748,0.40788037676571154,-1.1981486434686102,-2.431688325285601,-2.756817356993755,-2.7667110671496227,-2.0979343300116144,A,A,True,True
The retirement phase that occurs least frequently is the ____ phase,(A) Disenchantment,(B) Honeymoon,(C) Retirement routine,(D) Preretirement,A,A,True,20.0,0,-0.6009876132011414,-3.8115296363830566,-1.413369059562683,-1.780470371246338,1.8307007120844596,-1.0547122793893018,1.3533420075869396,0.31746395876527655,-2.431688325285601,-2.756817356993755,-2.7667110671496227,-2.0979343300116144,A,A,True,True
One reason that older adults show high levels of optimism is that,(A) Many pessimists die at a younger age,(B) They do not really know what is going on,(C) This may be a warning sign for dementia,(D) Our measures have low validity,A,A,True,20.0,0,-0.06866694986820221,-4.624619960784912,-5.155881404876709,-3.4994804859161377,2.3630213754173988,-1.8678026037911573,-2.3891703377270863,-1.4015461559045232,-2.431688325285601,-2.756817356993755,-2.7667110671496227,-2.0979343300116144,A,A,True,True
Older adults are most likely to be involved in a traffic accident when they are,(A) On foot,(B) Driving in a new location,(C) A passenger in a younger person's car,(D) Alone,A,B,False,20.0,0,-2.2809040546417236,-0.534710168838501,-2.249664545059204,-1.6871429681777954,0.15078427064387734,2.222107188155254,0.5170465220904186,0.41079136183381904,-2.431688325285601,-2.756817356993755,-2.7667110671496227,-2.0979343300116144,B,B,False,False
"The term ""work-family conflict"" for middle-aged adults can occur when they must",(A) Care for an ailing parent while continuing to work,(B) Work a high stress job while their children are at home,(C) Pay for nursing home care by sacrificing their own care,(D) Serving as an executor of their parent's estate while still working full time,A,A,True,20.0,0,-0.3532072901725769,-2.858830690383911,-2.5620694160461426,-2.1087183952331543,2.078481035113024,-0.10201333339015628,0.2046416511034801,-0.010784065221539851,-2.431688325285601,-2.756817356993755,-2.7667110671496227,-2.0979343300116144,A,A,True,True
"When your sister Patricia was feeling depressed, you comforted her and reminisced about happier times. You provided which type of social support?",(A) Emotional,(B) Instrumental,(C) Informational,(D) Friendly,A,A,True,20.0,1,-0.036231886595487595,-5.030881404876709,-5.999738693237305,-4.249595642089844,2.4025440959182256,-2.3525605322793126,-3.2728632608583816,-2.2569735314076143,-2.438775982513713,-2.6783208725973964,-2.726875432378923,-1.9926221106822293,A,A,True,True
The advanced directive where one specifies the types of medical intervention that are and are not desired is called a,(A) Living will,(B) DNH,(C) DNR,(D) Durable power of attorney,A,A,True,20.0,1,-0.08077136427164078,-4.46821403503418,-3.671363592147827,-3.6709775924682617,2.3580046182420724,-1.7898931624367833,-0.9444881597689041,-1.6783554817860324,-2.438775982513713,-2.6783208725973964,-2.726875432378923,-1.9926221106822293,A,A,True,True
"An example of a gain, rather than a loss, that occurs as we grow older is our gain in",(A) Perspective,(B) Quickness,(C) Size of our social networks,(D) Certainty,A,A,True,20.0,1,-0.06721331179141998,-5.343512058258057,-4.343512058258057,-3.5153050422668457,2.371562670722293,-2.6651911856606603,-1.6166366258791336,-1.5226829315846164,-2.438775982513713,-2.6783208725973964,-2.726875432378923,-1.9926221106822293,A,A,True,True
Free radicals are produced by,(A) Normal metabolism,(B) Excess consumption of Vitamins A and C,(C) Lack of sunlight,(D) A weakened immune system,A,A,True,20.0,1,-0.05773855000734329,-4.780980587005615,-4.968496799468994,-3.468381643295288,2.38103743250637,-2.102659714408219,-2.241621367090071,-1.4757595326130588,-2.438775982513713,-2.6783208725973964,-2.726875432378923,-1.9926221106822293,A,A,True,True
