question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"Consider a computer system in which processes can request and release one or more resources. Once a process has been granted a resource, the process has exclusive use of that resource until it is released. If a process requests a resource that is already in use, the process enters a queue for that resource, waiting until the resource is available. Which of the following will NOT deal effectively with the problem of deadlock?",(A) Giving priorities to processes and ordering the wait queues by priority,"(B) Having a process request all its required resources when it first begins, and restarting if it cannot obtain them all",(C) Numbering the resources and requiring that processes request resources in order of increasing number,(D) Having processes time out and restart after a random interval of waiting,A,D,False,20.0,0,-2.8333680629730225,-2.831993818283081,-2.5786800384521484,-2.458994150161743,0.09617962439854955,0.30655379427803897,0.5571835769547357,0.6194545163048639,-2.929547687371572,-3.13854761256112,-3.135863615406884,-3.078448666466607,D,D,False,False
"Which of the following is not a sentence that is generated by the grammar A -> BC, B -> x|Bx, C -> B|D, D -> y|Ey, E -> z?",(A) xyz,(B) xy,(C) xxzy,(D) xxxxy,A,D,False,20.0,0,-4.061088562011719,-3.6706488132476807,-3.669853925704956,-3.295792579650879,-1.1315408746401467,-0.5321012006865606,-0.5339903102980719,-0.21734391318427182,-2.929547687371572,-3.13854761256112,-3.135863615406884,-3.078448666466607,D,D,False,False
The access matrix approach to protection has the difficulty that,"(A) the matrix, if stored directly, is large and can be clumsy to manage",(B) it is not capable of expressing complex protection requirements,(C) deciding whether a process has access to a resource is undecidable,(D) there is no way to express who has rights to change the access matrix itself,A,A,True,20.0,0,-2.323715925216675,-2.634967088699341,-3.0713043212890625,-2.3856301307678223,0.6058317621548972,0.5035805238617792,0.06455929411782169,0.6928185356987848,-2.929547687371572,-3.13854761256112,-3.135863615406884,-3.078448666466607,A,D,True,False
"A 3-way, set-associative cache is",(A) one in which each main memory word can be stored at any of 3 cache locations,(B) effective only if 3 or fewer processes are running alternately on the processor,(C) possible only with write-back,(D) faster to access than a direct-mapped cache,A,A,True,20.0,1,-1.886733055114746,-2.636733055114746,-2.8853089809417725,-2.635932207107544,1.0787962079048157,0.46428189012739374,0.22078347868389558,0.36170550849702643,-2.9655292630195618,-3.10101494524214,-3.106092459625668,-2.9976377156045704,A,A,True,True
"Which of the following conditions can be expressed by a Boolean formula in the Boolean variables p_1, p_2, p_3, p_4 and the connectives ∧,∨ (without ¬)?I. At least three of p_1, p_2, p_3, p_4 are true.II. Exactly three of p_1, p_2, p_3, p_4 are true.III. An even number of p_1, p_2, p_3, p_4 are true.",(A) I only,(B) II only,(C) III only,(D) I and III,A,D,False,20.0,1,-3.071716070175171,-3.3208658695220947,-3.2554032802581787,-2.947467088699341,-0.10618680715560913,-0.2198509242799549,-0.14931082063251067,0.050170626905229554,-2.9655292630195618,-3.10101494524214,-3.106092459625668,-2.9976377156045704,D,D,False,False
Which of the following is (are) true about virtual memory systems that use pages?I. The virtual address space can be larger than the amount of physical memory.II. Programs must be resident in main memory throughout their execution.III. Pages correspond to semantic characteristics of the program.,(A) I only,(B) II only,(C) I and II,(D) I and III,A,C,False,20.0,1,-3.194375514984131,-3.1949033737182617,-2.752105712890625,-3.319375514984131,-0.2288462519645691,-0.09388842847612189,0.35398674673504305,-0.3217377993795605,-2.9655292630195618,-3.10101494524214,-3.106092459625668,-2.9976377156045704,C,C,False,False
"Array A contains 256 elements of 4 bytes each. Its first element is stored at physical address 4,096.Array B contains 512 elements of 4 bytes each. Its first element is stored at physical address 8,192.Assume that only arrays A and B can be cached in an initially empty, physically addressed, physically tagged, direct-mapped, 2K-byte cache with an 8-byte block size. The following loop is then executed.for (i = 0; i < 256; i++)        A[i] = A[i] + B[2*i];During the execution of the loop, how many bytes will be written to memory if the cache has a write-back policy?",(A) 0,(B) 256,(C) 1024,(D) 2000,A,A,True,20.0,2,-2.994107723236084,-3.1162774562835693,-3.1053926944732666,-3.171968936920166,-0.029518551296658035,0.037899043824937806,0.06528104013866853,-0.08650120099385594,-2.964589171939426,-3.154176500108507,-3.170673734611935,-3.08546773592631,A,C,True,False
"You want to cluster 7 points into 3 clusters using the k-Means Clustering algorithm. Suppose after the first iteration, clusters C1, C2 and C3 contain the following two-dimensional points: C1 contains the 2 points: {(0,6), (6,0)} C2 contains the 3 points: {(2,2), (4,4), (6,6)} C3 contains the 2 points: {(5,5), (7,7)} What are the cluster centers computed for these 3 clusters?","(A) C1: (3,3), C2: (4,4), C3: (6,6)","(B) C1: (3,3), C2: (6,6), C3: (12,12)","(C) C1: (6,6), C2: (12,12), C3: (12,12)","(D) C1: (0,0), C2: (48,48), C3: (35,35)",A,C,False,20.0,2,-3.4017715454101562,-3.4645423889160156,-2.1521716117858887,-2.652296781539917,-0.4371823734707303,-0.3103658888075085,1.0185021228260465,0.4331709543863931,-2.964589171939426,-3.154176500108507,-3.170673734611935,-3.08546773592631,C,C,False,False
"Local caching of files is common in distributed file systems, but it has the disadvantage that",(A) Temporary inconsistencies among views of a file by different machines can result,(B) The file system is likely to be corrupted when a computer crashes,(C) A much higher amount of network traffic results,(D) Caching makes file migration impossible,A,D,False,20.0,2,-2.322467088699341,-2.384216070175171,-2.9438138008117676,-2.195399522781372,0.6421220832400851,0.7699604299333362,0.22685993380016756,0.890068213144938,-2.964589171939426,-3.154176500108507,-3.170673734611935,-3.08546773592631,D,D,False,False
Which of the following statements about Ethernets is typically FALSE?,(A) Ethernets use circuit switching to send messages.,(B) Ethernets use buses with multiple masters.,(C) Ethernet protocols use a collision-detection method to ensure that messages are transmitted properly.,(D) Networks connected by Ethernets are limited in length to a few hundred meters.,A,C,False,20.0,3,-3.402535915374756,-3.0902605056762695,-2.6510162353515625,-2.7779715061187744,-0.4083913498454623,0.030872669484880433,0.4916211101743908,0.255068302154541,-2.9941445655292935,-3.12113317516115,-3.1426373455259533,-3.0330398082733154,C,C,False,False
