task,QID,AnsRefIDs,Context,Question,Correct Answer,yes_logprob,no_logprob,predicted_answer,is_correct
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the hallway?,Yes,-8.124619483947754,-21.37489128112793,Yes,True
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the bathroom?,No,-10.624664306640625,-1.8358608484268188,No,True
qa1,6,[1],John travelled to the kitchen.,Is John in the kitchen?,Yes,-3.0467610359191895,-11.999948501586914,Yes,True
qa1,6,[1],John travelled to the kitchen.,Is John in the hallway?,No,-10.312397956848145,-0.13960778713226318,No,True
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the kitchen?,Yes,-6.0624518394470215,-20.49998664855957,Yes,True
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the garden?,No,-17.74976921081543,-2.4998602867126465,No,True
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bathroom?,Yes,-5.4682769775390625,-15.687185287475586,Yes,True
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bedroom?,No,-12.936400413513184,-5.624411582946777,No,True
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the office?,Yes,-3.593575954437256,-14.3749418258667,Yes,True
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the hallway?,No,-5.562425136566162,-4.718729496002197,No,True
qa1,15,[11],John moved to the bathroom.,Is John in the bathroom?,Yes,-4.031189918518066,-14.249968528747559,Yes,True
qa1,15,[11],John moved to the bathroom.,Is John in the office?,No,-10.187368392944336,-1.2889846563339233,No,True
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the bathroom?,Yes,-5.374783515930176,-15.812445640563965,Yes,True
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the kitchen?,No,-15.436833381652832,-2.7184250354766846,No,True
qa1,12,[10],Mary went to the bathroom.,Is Mary in the bathroom?,Yes,-3.499831438064575,-12.99989128112793,Yes,True
qa1,12,[10],Mary went to the bathroom.,Is Mary in the kitchen?,No,-14.874088287353516,-4.312041759490967,No,True
qa1,3,[1],John moved to the bathroom.,Is John in the bathroom?,Yes,-4.031189918518066,-14.249968528747559,Yes,True
qa1,3,[1],John moved to the bathroom.,Is John in the garden?,No,-13.812331199645996,-1.9139742851257324,No,True
qa1,3,[2],Mary moved to the bedroom.,Is Mary in the bedroom?,Yes,-6.656238079071045,-21.499996185302734,Yes,True
