question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
 What type of Buddhist organization is the Bodu Bala Sena?,(A) Activist and militant organization in Sri Lanka,(B) Ecumenical organization in India,(C) Modern organization in the United States,(D) Peacekeeping organization in Japan,A,D,False,20.0,0,-2.763110399246216,-2.762397289276123,-2.763110399246216,-2.263110399246216,0.08391861404691436,-0.0879525740941367,-0.059762639658791805,0.31321741569609873,-2.84702901329313,-2.6744447151819863,-2.703347759587424,-2.5763278149423146,D,D,False,False
 The socio-political alliance between the kshatriyas and the shramanas was rooted in their shared opposition to which of the following?,(A) Brahminic orthodoxy,(B) Legalistic asceticism,(C) Bhakti devotionals,(D) Unorthodox practices,A,D,False,20.0,0,-3.277296781539917,-2.777296781539917,-2.776176929473877,-2.2788503170013428,-0.4302677682467868,-0.10285206635793065,-0.07282916988645294,0.2974774979409718,-2.84702901329313,-2.6744447151819863,-2.703347759587424,-2.5763278149423146,D,D,False,False
Which mystic believed that evil was a distortion that reveals divine love more clearly?,(A) Julian of Norwich,(B) Catherine of Siena,(C) Teresa of Avila,(D) John of the Cross,A,C,False,20.0,0,-2.3093223571777344,-2.3093223571777344,-2.3072662353515625,-2.3093223571777344,0.5377066561153958,0.36512235800425197,0.3960815242358615,0.2670054577645802,-2.84702901329313,-2.6744447151819863,-2.703347759587424,-2.5763278149423146,C,A,False,True
"According to Hindu tradition, which age are we in currently?",(A) Kali yuga,(B) Maha yuga,(C) Krita yuga,(D) Satya yuga,A,C,False,20.0,0,-2.9178595542907715,-2.6687464714050293,-2.6678595542907715,-2.6678595542907715,-0.0708305409976413,0.005698243776957046,0.03548820529665253,-0.09153173934845693,-2.84702901329313,-2.6744447151819863,-2.703347759587424,-2.5763278149423146,C,C,False,False
When was the current Dalai Lama born?,(A) 1935,(B) 2000,(C) 1965,(D) 1975,A,A,True,20.0,0,-2.5144362449645996,-2.5144362449645996,-2.76409912109375,-2.76409912109375,0.3325927683285306,0.16000847021738673,-0.060751361506325985,-0.18777130615143545,-2.84702901329313,-2.6744447151819863,-2.703347759587424,-2.5763278149423146,A,A,True,True
Which deity is the Roman counterpart to the Greek god Zeus?,(A) Jupiter,(B) Juno,(C) Dionysius,(D) Neptune,A,C,False,20.0,0,-2.857476234436035,-2.607476234436035,-2.6069376468658447,-2.8562464714050293,-0.010447221142904972,0.06696848074595119,0.09641011272157929,-0.27991865646271474,-2.84702901329313,-2.6744447151819863,-2.703347759587424,-2.5763278149423146,C,C,False,False
" What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?",(A) Khalsa,(B) Rahit,(C) Panj Kakke,(D) Shabad,A,B,False,20.0,0,-2.9812464714050293,-2.4819376468658447,-2.9803595542907715,-2.7303595542907715,-0.1342174581118991,0.19250706831614162,-0.27701179470334747,-0.15403173934845693,-2.84702901329313,-2.6744447151819863,-2.703347759587424,-2.5763278149423146,B,B,False,False
 Which of the following does NOT describe the Ka'ba?,(A) It was visited by Moses.,(B) It is a haram.,(C) It was built by Abraham.,(D) It is a square building.,A,D,False,20.0,1,-3.2475242614746094,-2.9975242614746094,-2.7468223571777344,-2.4975242614746094,-0.4102506921404885,-0.33877711069016225,-0.038390088649022935,0.09284201406297221,-2.837273569334121,-2.658747150784447,-2.7084322685287114,-2.5903662755375816,D,D,False,False
 What was the most important female-centered festival in cities throughout Greece?,(A) Thesmophoria,(B) Oracle Days,(C) Isthmian Games,(D) Feast of Athrodite,A,A,True,20.0,1,-2.4343223571777344,-2.6850242614746094,-2.6834216117858887,-2.6843223571777344,0.4029512121563865,-0.026277110690162253,0.025010656742822768,-0.09395608164015279,-2.837273569334121,-2.658747150784447,-2.7084322685287114,-2.5903662755375816,A,A,True,True
" In addition to Jainism, which other tradition began as a world-renouncing movement?",(A) Buddhism,(B) Hinduism,(C) Judaism,(D) Islam,A,B,False,20.0,1,-2.9819376468658447,-2.4812464714050293,-2.7312464714050293,-2.4819376468658447,-0.14466407753172383,0.17750067937941783,-0.022814202876317857,0.10842862867173686,-2.837273569334121,-2.658747150784447,-2.7084322685287114,-2.5903662755375816,B,B,False,False
