question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
Which of the following purposes does the 'internal point of view' play in Hart's concept of law?,(A) It distinguishes social rules from mere group habits.,(B) It defines the judicial function.,(C) It illustrates the authority of the legislature.,(D) It stresses the relationship between law and justice.,A,D,False,20.0,0,-6.839468479156494,-10.471406936645508,-12.574528694152832,-4.023585796356201,2.48658158344527,1.5801299015680943,0.08772323926289793,6.0799494063481685,-9.326050062601764,-12.051536838213602,-12.66225193341573,-10.10353520270437,D,D,False,False
Why does the 'capability' approach to justice reject Rawls' theory?,(A) Because it fails to address the actual capabilities people have to benefit from his theory of justice.,(B) Because it ignores the duties of individuals.,(C) Because it applies only to democratic societies.,(D) Because it overlooks the importance of the courts.,A,A,True,20.0,0,-0.3564607799053192,-13.122716903686523,-13.423393249511719,-9.55394458770752,8.969589282696445,-1.0711800654729213,-0.7611413160959888,0.5495906149968501,-9.326050062601764,-12.051536838213602,-12.66225193341573,-10.10353520270437,A,A,True,True
Kelsen’s theory of law is called pure theory because Kelsen :,(A) Purely discussed jurisprudence only,(B) Defined law in according with morality and purity,"(C) Separated law from religion, ethics, sociology and history",(D) Discussed law purely in terms of justice,A,C,False,20.0,0,-13.063612937927246,-15.817728042602539,-9.33822250366211,-13.850983619689941,-3.737562875325482,-3.766191204388937,3.3240294297536206,-3.7474484169855717,-9.326050062601764,-12.051536838213602,-12.66225193341573,-10.10353520270437,C,C,False,False
Which one of the following schools supports the view that a custom becomes law when it receives the stamp of judicial recognition by courts,(A) Analytical School,(B) Natural Law School,(C) Historical School,(D) Sociological School,A,A,True,20.0,0,-11.853055000305176,-16.348663330078125,-11.966666221618652,-14.237967491149902,-2.5270049377034116,-4.297126491864523,0.6955857117970776,-4.134432288445533,-9.326050062601764,-12.051536838213602,-12.66225193341573,-10.10353520270437,A,C,True,False
Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way?,(A) It is misinterpreted as a prediction.,(B) His concept of status is misrepresented.,(C) It is taken literally.,(D) His idea is considered inapplicable to Western legal systems.,A,C,False,20.0,0,-9.678524017333984,-13.603044509887695,-7.538303852081299,-11.307065963745117,-0.3524739547322202,-1.5515076716740932,5.123948081334431,-1.2035307610407475,-9.326050062601764,-12.051536838213602,-12.66225193341573,-10.10353520270437,C,C,False,False
"The philosophers of the ________ School of jurisprudence believe that the law is a set of rules developed, communicated, and enforced by the ruling party rather than a reflection of the society's morality, history, logic, or sociology.",(A) Command,(B) Law and Economics,(C) Natural Law,(D) Critical Legal Studies,A,D,False,20.0,1,-11.392282485961914,-13.359746932983398,-12.636152267456055,-6.113239765167236,-2.083343437810738,-1.2551524639129639,-0.35106577078501466,3.7691727082555495,-9.308939048151176,-12.104594469070435,-12.28508649667104,-9.882412473422786,D,D,False,False
Normative legal theory is most accurately summarized by which of the following statements?,(A) Its principal concern is with moral or political values.,(B) It is represented by the positivist view of law as developed by HLA Hart.,(C) It expresses the idea that law consists only of norms.,(D) It is preoccupied with the analysis of the application of legislation to moral issues.,A,A,True,20.0,1,-4.820379257202148,-12.608696937561035,-10.154715538024902,-9.749699592590332,4.488559790949028,-0.5041024684906006,2.1303709586461377,0.1327128808324538,-9.308939048151176,-12.104594469070435,-12.28508649667104,-9.882412473422786,A,A,True,True
Which statement best describes Tom Regan's 'sentimental anthropomorphicism' in support of animals rights?,(A) Animals have inherent worth which entitles them to the absolute right to live their lives with respect and autonomy.,(B) The social contract includes animals and their welfare.,(C) The suffering of a few animals may in principle be justified by the pleasure of or benefit to the many.,(D) Cruelty to animals is a reflection of the barbarity of a society.,A,A,True,20.0,1,-0.039974845945835114,-8.89943790435791,-8.801335334777832,-7.088009834289551,9.268964202205341,3.2051565647125244,3.483751161893208,2.794402639133235,-9.308939048151176,-12.104594469070435,-12.28508649667104,-9.882412473422786,A,A,True,True
Dworkin argues that it is only a conception of equality of resources that can secure the ideal of equality of welfare. How does he suggest this aspect of equality to be measured?,(A) When no-one would prefer another's bundle of resources to his or her own.,(B) By reference to the ownership of private property.,(C) By the amount of income tax paid by individuals.,(D) When the community determines that equality has been achieved.,A,A,True,20.0,1,-4.733809471130371,-12.351577758789062,-12.762460708618164,-7.704013824462891,4.575129577020805,-0.24698328971862793,-0.47737421194712404,2.178398648959895,-9.308939048151176,-12.104594469070435,-12.28508649667104,-9.882412473422786,A,A,True,True
"The expression to signify any assumption which conceals of affects to conceal the fact that a rule of law has undergone alteration, its letter being unchanged, its operation being modified is :",(A) Legal fiction,(B) Equity,(C) Custom,(D) Legislation,A,A,True,20.0,1,-6.024616718292236,-12.678913116455078,-13.021530151367188,-10.115281105041504,3.2843223298589397,-0.5743186473846436,-0.7364436546961475,-0.23286863161871807,-9.308939048151176,-12.104594469070435,-12.28508649667104,-9.882412473422786,A,A,True,True
