question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"A study is conducted to assess the relationship between race and end-stage renal disease pathologists independently study specimens from 1,000 kidney biopsies. The first group of pathologists is aware of the race of the patient from whom the biopsy came, while the second group is blinded as to the patient’s race. The first group reports ‘hypertensive nephropathy’ much more frequently for black patients than the second group. Which of the following types of bias is most likely present in this study?",(A) Confounding,(B) Nonresponse bias,(C) Recall bias,(D) Referral bias,A,D,False,20.0,0,-1.7421821355819702,-9.990243911743164,-3.999978542327881,-0.24606454372406006,3.1636801700127153,-3.797300788894063,1.4833841374323429,4.951931555434082,-4.9058623055946855,-6.192943122849101,-5.483362679760224,-5.197996099158142,D,D,False,False
What is the essential pathology of astroviruses?,(A) Very restricted replication in the gut,(B) Can cause infection of the central nervous system,(C) Sequence diversity allows widespread replication,(D) Can cause infection in the upper respiratory tract,A,A,True,20.0,0,-0.01049167662858963,-8.678885459899902,-7.5604472160339355,-7.999195575714111,4.895370628966096,-2.485942337050801,-2.077084536273712,-2.8011994765559693,-4.9058623055946855,-6.192943122849101,-5.483362679760224,-5.197996099158142,A,A,True,True
The highest risk of HIV infection among drug users in the U.S. is in:,(A) The east coast,"(B) The central United States (Kansas, Missouri etc.)",(C) Southern California,"(D) The Pacific Northwest (Washington, Oregon, Idaho)",A,D,False,20.0,0,-2.9990885257720947,-4.312012195587158,-1.937425136566162,-0.2470303773880005,1.9067737798225908,1.880930927261943,3.5459375431940616,4.9509657217701415,-4.9058623055946855,-6.192943122849101,-5.483362679760224,-5.197996099158142,D,D,False,False
How are herpes infections controlled?,(A) Chemotherapy,(B) Vaccines,(C) Hygiene and social distancing,(D) No method,A,C,False,20.0,0,-6.843305587768555,-4.781137466430664,-0.03312576189637184,-4.031053066253662,-1.9374432821738692,1.4118056564184371,5.450236917863852,1.1669430329044799,-4.9058623055946855,-6.192943122849101,-5.483362679760224,-5.197996099158142,C,C,False,False
Disease can most often be prevented by which of the following:,(A) Vaccines,(B) Antivirals,(C) Hygiene,(D) mosquito nets,A,C,False,20.0,0,-3.4156627655029297,-9.978147506713867,-0.0416872501373291,-7.654964923858643,1.4901995400917558,-3.785204383864766,5.441675429622895,-2.4569688247005006,-4.9058623055946855,-6.192943122849101,-5.483362679760224,-5.197996099158142,C,C,False,False
"In a medical class of 147 students, the distribution of scores on a biochemistry final examination has a mean equal to 67, a median equal to 76, a mode equal to 80, a standard deviation equal to 5.5, and a variance equal to 30.25. Three students were unable to take the test on the scheduled date and were given a different form of the exam 1 week later. Which parameter is most likely to be the least biased estimator of central tendency for this distribution of biochemistry test scores?",(A) Mean,(B) Median,(C) Mode,(D) Standard deviation,A,B,False,20.0,0,-5.28036642074585,-0.21361520886421204,-5.780996799468994,-7.4057464599609375,-0.3745041151511641,5.979327913984889,-0.2976341197087704,-2.2077503608027955,-4.9058623055946855,-6.192943122849101,-5.483362679760224,-5.197996099158142,B,B,False,False
How are arenaviruses spread?,(A) Sexual contact,(B) Blood,(C) Aerosols of urine from infected small mammals,(D) Mosquito bites,A,C,False,20.0,0,-9.31002426147461,-9.680353164672852,-0.013709685765206814,-7.874480724334717,-4.404161955879924,-3.4874100418237504,5.469652993995017,-2.676484625176575,-4.9058623055946855,-6.192943122849101,-5.483362679760224,-5.197996099158142,C,C,False,False
In the absence of treatment the risk of HIV transmission from an infected mother to her fetus/infant was highest in which of the following areas?,(A) Africa,(B) North America,(C) Europe,(D) Japan,A,A,True,20.0,0,-0.014589146710932255,-10.778854370117188,-9.310446739196777,-8.74719524383545,4.891273158883753,-4.585911247268086,-3.8270840594365536,-3.5491991446773072,-4.9058623055946855,-6.192943122849101,-5.483362679760224,-5.197996099158142,A,A,True,True
Why are members of the astrovirus family only recently recognised as significant enteric viruses for humans?,(A) The genome has been identified by the new method of deep sequencing,(B) A new vector has been discovered,(C) They infect a wide range of domestic animals and so contaminate meat,(D) Knowledge of their replication as positive sense ssRNA viruses is now complete,A,A,True,20.0,1,-0.00984157994389534,-10.28274917602539,-8.122673988342285,-7.749373435974121,5.0282548860899015,-3.610574627954823,-3.018569340386118,-2.815361069562641,-5.038096466033797,-6.672174548070568,-5.104104647956167,-4.93401236641148,A,A,True,True
Which is a major characteristic of the bunyavirus family?,"(A) Amplify by persistent infection of midgets, mosquitoes, sand flies, ticks",(B) Predominantly mosquito borne,(C) Genetic recombination or reassortment,(D) Spread to humans via bites of mice and rats,A,A,True,20.0,1,-0.09645559638738632,-5.5934247970581055,-2.7183055877685547,-4.21861457824707,4.9416408696464105,1.0787497510124622,2.3857990601876127,0.7153977881644096,-5.038096466033797,-6.672174548070568,-5.104104647956167,-4.93401236641148,A,A,True,True
