question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"Jerry read a 200-page book in 10 hours. At that rate, how long will it take him to read a 320-page book?",(A) 16 hours,(B) 18 hours,(C) 24 hours,(D) 32 hours,A,C,False,20.0,0,-3.1474392414093018,-3.762688398361206,-3.1382813453674316,-3.3604817390441895,0.17225353968770873,0.016626088765629543,0.30738976231792536,0.10039202999650376,-3.3196927810970105,-3.7793144871268356,-3.445671107685357,-3.460873769040693,C,C,False,False
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,(A) 8,(B) 9,(C) 49,(D) 63,A,A,True,20.0,0,-3.309690237045288,-3.646885871887207,-3.783892869949341,-3.471884250640869,0.010002544051722406,0.13242861523962857,-0.3382217622639838,-0.011010481600175925,-3.3196927810970105,-3.7793144871268356,-3.445671107685357,-3.460873769040693,A,B,True,False
Find the value of 6 • 24 ÷ (8 − 5).,(A) 48,(B) 13,(C) −13,(D) 54,A,D,False,20.0,0,-3.4409468173980713,-3.588212728500366,-3.513700485229492,-3.2988333702087402,-0.1212540363010608,0.1911017586264694,-0.06802937754413518,0.16204039883195298,-3.3196927810970105,-3.7793144871268356,-3.445671107685357,-3.460873769040693,D,B,False,False
Change 34 L 18 cL to liters.,(A) 34.18 L,(B) 35.8 L,(C) 34.018 L,(D) 214 L,A,C,False,20.0,0,-3.4760138988494873,-4.527032852172852,-3.0789260864257812,-4.198004245758057,-0.1563211177524768,-0.747718365046016,0.36674502125957575,-0.7371304767173634,-3.3196927810970105,-3.7793144871268356,-3.445671107685357,-3.460873769040693,C,C,False,False
"The Mills Library has 1,007,199 books. The Springvale Library has 907,082 books. Which of the following is the best estimate of how many more books the Mills Library has than the Springvale Library?","(A) 100,000 books","(B) 80,000 books","(C) 10,000 books","(D) 8,000 books",A,A,True,20.0,0,-3.0692172050476074,-3.92441987991333,-3.895690441131592,-3.9267983436584473,0.25047557604940307,-0.14510539278649448,-0.4500193334462348,-0.46592457461775405,-3.3196927810970105,-3.7793144871268356,-3.445671107685357,-3.460873769040693,A,A,True,True
Max and Jonathon were picking strawberries. Max picked 187 strawberries. Jonathon picked 223 strawberries. Together they ate 26 of the strawberries. Which expression shows a way to find the total number of strawberries Max and Jonathon have left?,(A) 190 + 220 – 30 + 4,(B) 185 + 225 – 25 + 1,(C) 200 + 200 – 30 – 4,(D) 200 + 200 – 25 – 1,A,D,False,20.0,0,-3.6485118865966797,-3.804103136062622,-3.484144926071167,-3.4442803859710693,-0.3288191054996692,-0.024788648935786473,-0.03847381838580999,0.01659338306962388,-3.3196927810970105,-3.7793144871268356,-3.445671107685357,-3.460873769040693,D,D,False,False
Which number has an absolute value greater than 5?,(A) -6,(B) -5,(C) 0,(D) 5,A,A,True,20.0,0,-2.0845766067504883,-4.299584865570068,-4.150820255279541,-3.8883981704711914,1.2351161743465222,-0.5202703784432328,-0.705149147594184,-0.4275244014304982,-3.3196927810970105,-3.7793144871268356,-3.445671107685357,-3.460873769040693,A,A,True,True
"Mr. Jones rolls a six-sided cube numbered 1, 2, 3, 4, 5, 6. What is the probability he rolls a three?",(A) 6-Jan,(B) 5-Jan,(C) 3-Jan,(D) 2-Jan,A,C,False,20.0,0,-3.3919625282287598,-3.57110857963562,-3.12235951423645,-3.3972909450531006,-0.07226974713174927,0.20820590749121548,0.3233115934489068,0.06358282398759263,-3.3196927810970105,-3.7793144871268356,-3.445671107685357,-3.460873769040693,C,C,False,False
Find the number that makes the statement true: 0.32 g = _ cg.,(A) 32,(B) 3.2,"(C) 3,200",(D) 320,A,D,False,20.0,0,-3.2722039222717285,-3.326401948928833,-3.231570243835449,-3.227297067642212,0.04748885882528198,0.4529125381980026,0.21410086384990779,0.2335767013984813,-3.3196927810970105,-3.7793144871268356,-3.445671107685357,-3.460873769040693,D,B,False,False
"If a freight train travels at a speed of 20 miles per hour for 6 hours, how far will it travel?",(A) 120 miles,(B) 80 miles,(C) 26 miles,(D) 12 miles,A,A,True,20.0,0,-2.0768883228302,-4.9481425285339355,-4.290818214416504,-4.102585792541504,1.2428044582668103,-1.1688280414071,-0.8451471067311469,-0.6417120235008107,-3.3196927810970105,-3.7793144871268356,-3.445671107685357,-3.460873769040693,A,A,True,True
