question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",(A) 0,(B) 4,(C) 2,(D) 6,B,-7.40612268447876,-0.5897940397262573,-5.593700408935547,-0.964842677116394,B,True
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",(A) 8,(B) 2,(C) 24,(D) 120,C,-4.562438011169434,-0.2441164255142212,-3.999962329864502,-2.874992609024048,B,False
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,(A) 0,(B) 1,"(C) 0,1","(D) 0,4",D,-7.312164783477783,-5.874088764190674,-6.749446868896484,-0.012078285217285156,D,True
"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",B,-6.155184268951416,-4.655184268951416,-1.031172752380371,-0.7812337875366211,D,False
"Find the product of the given polynomials in the given polynomial ring. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x].",(A) 2x^2 + 5,(B) 6x^2 + 4x + 6,(C) 0,(D) x^2 + 1,B,-6.4059247970581055,-3.921583652496338,-0.10253345966339111,-3.109358549118042,C,False
"Statement 1 | If a group has an element of order 15 it must have at least 8 elements of order 15. Statement 2 | If a group has more than 8 elements of order 15, it must have at least 16 elements of order 15.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",A,-5.686529636383057,-4.061400890350342,-0.3007587194442749,-2.1718058586120605,C,False
Statement 1 | Every homomorphic image of a group G is isomorphic to a factor group of G. Statement 2 | The homomorphic images of a group G are the same (up to isomorphism) as the factor groups of G.,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",A,-5.936643600463867,-4.936529636383057,-0.6327606439590454,-1.6327934265136719,C,False
Statement 1 | A ring homomorphism is one to one if and only if the kernel is {0}. Statement 2 | Q is an ideal in R.,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",D,-5.0307464599609375,-4.1557769775390625,-0.773403525352478,-1.1484298706054688,C,False
Find the degree for the given field extension Q(sqrt(2) + sqrt(3)) over Q.,(A) 0,(B) 4,(C) 2,(D) 6,B,-7.5623087882995605,-0.13570642471313477,-5.624929904937744,-3.015620708465576,B,True
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^3 + 2x + 2 in Z_7,(A) 1,(B) 2,"(C) 2,3",(D) 6,C,-8.249664306640625,-4.312012195587158,-0.04857754707336426,-5.124972343444824,C,True
"Statement 1 | If H is a subgroup of G and a belongs to G then |aH| = |Ha|. Statement 2 | If H is a subgroup of G and a and b belong to G, then aH and Hb are identical or disjoint.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",C,-5.686946868896484,-4.499512195587158,-0.7616755962371826,-1.1406147480010986,C,True
"If A = {1, 2, 3} then relation S = {(1, 1), (2, 2)} is",(A) symmetric only,(B) anti-symmetric only,(C) both symmetric and anti-symmetric,(D) an equivalence relation,C,-0.21874189376831055,-2.843526601791382,-3.5937087535858154,-2.5937061309814453,A,False
"Find the order of the factor group (Z_11 x Z_15)/(<1, 1>)",(A) 1,(B) 2,(C) 5,(D) 11,A,-3.546869993209839,-2.7968461513519287,-0.929686427116394,-0.6796796321868896,D,False
The polynomial x^3 + 2x^2 + 2x + 1 can be factored into linear factors in Z_7[x]. Find this factorization.,(A) (x − 2)(x + 2)(x − 1),(B) (x + 1)(x + 4)(x − 2),(C) (x + 1)(x − 4)(x − 2),(D) (x - 1)(x − 4)(x − 2),C,-9.12219524383545,-7.123900890350342,-8.436467170715332,-0.009629607200622559,D,False
Find the maximum possible order for an element of S_n for n = 10.,(A) 6,(B) 12,(C) 30,(D) 105,C,-6.999664783477783,-3.8124098777770996,-0.7578110694885254,-0.7578045129776001,D,False
Statement 1 | R is a splitting field of some polynomial over Q. Statement 2 | There is a field with 60 elements.,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",B,-6.342615604400635,-4.5307769775390625,-0.2909739017486572,-1.7890372276306152,C,False
"The inverse of -i in the multiplicative group, {1, -1, i , -i} is",(A) 1,(B) -1,(C) i,(D) -i,C,-1.9921753406524658,-1.8671451807022095,-1.9921634197235107,-0.6171810626983643,D,False
"Compute the product in the given ring. (2,3)(3,5) in Z_5 x Z_9","(A) (1,1)","(B) (3,1)","(C) (1,6)","(D) (3,6)",C,-3.906219720840454,-1.96866774559021,-1.4687373638153076,-0.847648024559021,D,False
The set of all real numbers under the usual multiplication operation is not a group since,(A) multiplication is not a binary operation,(B) multiplication is not associative,(C) identity element does not exist,(D) zero has no inverse,D,-9.873674392700195,-0.15719985961914062,-7.156026363372803,-2.03116774559021,B,False
Statement 1| Every group of order p^2 where p is prime is Abelian. Statement 2 | For a fixed prime p a Sylow p-subgroup of a group G is a normal subgroup of G if and only if it is the only Sylow p-subgroup of G.,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",A,-5.280470371246338,-4.092749118804932,-0.9023187160491943,-0.9023171663284302,D,False
"Statement 1 | For finite groups G and H, |G + H| = |G||H|. (G + H is the internal direct product.) Statement 2 | If r divides m and s divides n then Z_m + Z_n has a subgroup isomorphic to Z_r + Z_s.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",A,-4.96821403503418,-3.6553096771240234,-1.5858814716339111,-0.5859204530715942,D,False
"Find the sum of the given polynomials in the given polynomial ring. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x].",(A) 2x^2 + 5,(B) 6x^2 + 4x + 6,(C) 0,(D) x^2 + 1,A,-7.0932769775390625,-4.780832767486572,-0.035148024559020996,-4.718708515167236,C,False
