question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
Romulo is on a crowded bus and he sees a woman near the door. Feeling a little saucy Romulo proceeds to rub up against the woman and is immediately aroused. Romulo's inappropriate behavior would be characterized as:,(A) Frotteurism,(B) Exhibitionism,(C) Voyeurism,(D) Sadomasochism,A,A,True,20.0,0,-2.6374082565307617,-5.18924617767334,-5.845249652862549,-5.478729724884033,0.8968013681116558,-0.5084190028054376,-1.2999551338808875,-1.3750923318522315,-3.5342096246424175,-4.680827174867902,-4.545294518981661,-4.103637393031802,A,A,True,True
Which of the following approaches to psychotherapy focuses only the problem behaviour and how to modify it?,(A) Behaviour modification,(B) psychoanalytic,(C) sociological,(D) evolutionary,A,A,True,20.0,0,-1.839429259300232,-4.8392229080200195,-5.90952730178833,-6.2788543701171875,1.6947803653421856,-0.1583957331521173,-1.3642327828066687,-2.1752169770853858,-3.5342096246424175,-4.680827174867902,-4.545294518981661,-4.103637393031802,A,A,True,True
Attachment to a care-giver begins:,(A) in the hours immediately following birth,(B) several weeks after birth,(C) several months after birth,(D) when the child learns to speak,A,A,True,20.0,0,-2.630113124847412,-5.570255279541016,-5.742401123046875,-5.482325077056885,0.9040964997950054,-0.8894281046731134,-1.1971066040652136,-1.378687684025083,-3.5342096246424175,-4.680827174867902,-4.545294518981661,-4.103637393031802,A,A,True,True
A pimp can be best described as ,(A) ...a male companion-master of a prostitute,(B) ...a gigolo who works with a street walker,(C) ...an experienced male prostitute,(D) ...an escort to a female prostitute,A,A,True,20.0,0,-1.690509557723999,-6.058526039123535,-7.096296787261963,-6.558981418609619,1.8437000669184185,-1.377698864255633,-2.5510022682803015,-2.4553440255778174,-3.5342096246424175,-4.680827174867902,-4.545294518981661,-4.103637393031802,A,A,True,True
The two principles that deal with questions of values are:,(A) religion and ethics,(B) faith and science,(C) legal and ethics,(D) legal and religion,A,A,True,20.0,0,-2.7798726558685303,-5.396771430969238,-5.718360900878906,-4.484930038452148,0.7543369687738872,-0.715944256101336,-1.1730663818972449,-0.3812926454203467,-3.5342096246424175,-4.680827174867902,-4.545294518981661,-4.103637393031802,A,A,True,True
Shaggy has a fantasy about digging up a recently buried woman and having sex with her. He told his friends this and they encouraged him to get therapy. As part of the treatment he masturbates to his fantasy and at the last moment before orgasm he switches to a fantasy about having sex with a living woman. This procedure is part of the process of:,(A) orgasmic reconditioning,(B) aversive conditioning,(C) covert sensitization,(D) desensitization therapy,A,A,True,20.0,0,-3.442446231842041,-5.156841278076172,-4.039961814880371,-3.7028727531433105,0.09176339280037649,-0.47601410320826965,0.5053327041012903,0.4007646398884912,-3.5342096246424175,-4.680827174867902,-4.545294518981661,-4.103637393031802,A,C,True,False
What are the experiences when a sexual addict has completed the sexual act?,(A) (s)he experiences feelings of hopelessness and despair,(B) (s)he uses the fantasy of the behaviour just completed to become aroused again,(C) (s)he feels relaxed and emotionally relieved,(D) (s)he immediately becomes sexually aroused again and feels good about the behaviour,A,A,True,20.0,0,-2.8204925060272217,-3.1924524307250977,-3.5040502548217773,-3.9449033737182617,0.7137171186151958,1.4883747441428046,1.041244264159884,0.15873401931354003,-3.5342096246424175,-4.680827174867902,-4.545294518981661,-4.103637393031802,A,B,True,False
__________ is a shedding of the inner lining of the uterus.,(A) Menstruation,(B) Ovulation,(C) The luteal phase,(D) The follicular phase,A,A,True,20.0,1,-3.0459609031677246,-6.367563724517822,-6.053885459899902,-4.609930038452148,0.4242286582787833,-1.7574424246946974,-1.394300351540248,-0.5233914029030569,-3.470189561446508,-4.610121299823125,-4.6595851083596544,-4.086538635549092,A,A,True,True
The zona pellucida is...,(A) ...a protective layer surrounding the egg,(B) ...the fertilized egg,(C) ...an enzyme secreted by sperm to break down the protective coating on the egg.,(D) ...the area where sperm collect before attempting to fertilize the egg.,A,A,True,20.0,1,-1.720608115196228,-4.952360153198242,-4.333685874938965,-4.519853591918945,1.74958144625028,-0.3422388533751173,0.3258992334206896,-0.43331495636985373,-3.470189561446508,-4.610121299823125,-4.6595851083596544,-4.086538635549092,A,A,True,True
Which of the following is the most common method of birth control for married couples in the U.S..,(A) Sterilization,(B) The IUD,(C) The diaphragm,(D) The rhythm method,A,A,True,20.0,1,-2.5552358627319336,-5.96798849105835,-5.221132755279541,-4.107662677764893,0.9149536987145743,-1.3578671912352247,-0.5615476469198866,-0.021124042215800998,-3.470189561446508,-4.610121299823125,-4.6595851083596544,-4.086538635549092,A,A,True,True
Which of the following is/are true of gonorrhea?,(A) can be treated with antibiotics,(B) has a high risk of infection with a single exposure,(C) is asymptomatic (without symptoms) in only a small percentage of those infected,(D) infections are limited to genital areas,A,A,True,20.0,1,-1.8757867813110352,-4.6482744216918945,-6.363216876983643,-5.859930038452148,1.5944027801354728,-0.038153121868769624,-1.7036317686239881,-1.7733914029030569,-3.470189561446508,-4.610121299823125,-4.6595851083596544,-4.086538635549092,A,A,True,True
"In the scientific community, women's capacity for multiple orgasms was originally discovered by:",(A) Kinsey,(B) Freud,(C) Masters and Johnson,(D) Kaplan,A,C,False,20.0,1,-4.679850101470947,-5.7280120849609375,-2.591195821762085,-6.134363174438477,-1.2096605400244393,-1.1178907851378126,2.0683892865975695,-2.047824538889385,-3.470189561446508,-4.610121299823125,-4.6595851083596544,-4.086538635549092,C,C,False,False
"Heterosexual fantasies about sexual activity never involve someone _________, and gay and lesbian fantasies never involve persons of __________",(A) Both heterosexual and homosexual fantasies may involve persons of the same or other gender,(B) of the other gender; of the same gender,(C) of the same gender; of the same gender,(D) of the same gender; of the other gender,A,B,False,20.0,1,-3.8217623233795166,-2.7386035919189453,-4.429405212402344,-4.739618301391602,-0.3515727619330087,1.8715177079041796,0.2301798959573107,-0.65307966584251,-3.470189561446508,-4.610121299823125,-4.6595851083596544,-4.086538635549092,B,B,False,False
Erection in the male and vaginal lubrication in the female mark the __________ stage of sexual response.,(A) excitement,(B) resolution,(C) plateau,(D) orgasm,A,C,False,20.0,1,-3.0607080459594727,-6.286285877227783,-2.8535380363464355,-3.9798262119293213,0.40948151548703526,-1.6761645774046583,1.806047072013219,0.10671242361977029,-3.470189561446508,-4.610121299823125,-4.6595851083596544,-4.086538635549092,C,C,False,False
"According to John Money, __________ refers to a person's private internal sense of maleness or femaleness.",(A) Gender identity,(B) Sexual nomenclature,(C) Gender schema,(D) Intrapsychic sexual orientation,A,A,True,20.0,2,-3.015211582183838,-7.310572147369385,-6.5913543701171875,-5.174990653991699,0.4796446419897533,-2.724058500358036,-2.0457292951288677,-1.168225995131901,-3.494856224173591,-4.586513647011349,-4.54562507498832,-4.006764658859798,A,A,True,True
Persons with liberal attitudes about premarital sex are likely to:,(A) have liberal attitudes about extramarital sex,(B) engage in accidental extramarital sexual activity,(C) engage in open swinging,(D) all of the above,A,D,False,20.0,2,-3.214775800704956,-6.1193528175354,-5.820117950439453,-2.6656477451324463,0.28008042346863515,-1.5328391705240518,-1.2744928754511333,1.341116913727352,-3.494856224173591,-4.586513647011349,-4.54562507498832,-4.006764658859798,D,D,False,False
The feedback loop in men which regulates the production of sex hormones includes all but which of the following?,(A) oxytocin,(B) gonadotropin-releasing hormone,(C) follicle-stimulating hormone,(D) pituitary gland,A,A,True,20.0,2,-3.071746587753296,-4.9883341789245605,-4.646671772003174,-3.4340546131134033,0.4231096364202953,-0.401820531913212,-0.10104669701485403,0.572710045746395,-3.494856224173591,-4.586513647011349,-4.54562507498832,-4.006764658859798,A,D,True,False
"You are a homosexual male: Last night, you were tempted by lusty, swarthy Jacques (the king of fraternity row) to join him at the local dairy bar for a tall cool glass of milk. You also briefly considered studying for this test, but Jacques won out. In Freudian terms, which of the following was dominant?",(A) the id,(B) the ego,(C) the superego,(D) the Oedipus complex,A,A,True,20.0,2,-2.226025342941284,-4.005924224853516,-5.234930038452148,-5.032749652862549,1.268830881232307,0.5805894221578329,-0.6893049634638286,-1.0259849940027506,-3.494856224173591,-4.586513647011349,-4.54562507498832,-4.006764658859798,A,A,True,True
Bruce is a homosexual man. His friend Chuck is a heterosexual man. If we could have observed Bruce and Chuck as children we might have expected which of the following?,(A) Bruce likely participated in more female-typical play than Chuck.,(B) Bruce likely participated in more male-typical play than Chuck.,(C) Bruce and Chuck likely participated in more male-typical play than female-typical play.,(D) Bruce's father was more likely to have homosexual tendencies than Chuck's father.,A,A,True,20.0,2,-3.553652048110962,-4.726418972015381,-5.408362865447998,-6.0267229080200195,-0.058795823937370706,-0.1399053250040323,-0.8627377904596782,-2.0199582491602213,-3.494856224173591,-4.586513647011349,-4.54562507498832,-4.006764658859798,A,A,True,True
Keith is really anxious about a big presentation he has to give at work tomorrow. As a result tonight he is having trouble getting an erection. Which of the following BEST explains why Keith might be having this problem?,(A) relaxation is necessary for vasocongestion,(B) anxiety inhibits the sympathetic system,(C) anxiety causes retrograde ejaculation which inhibits arousal,(D) anxiety decreases blood flow to the upper spinal cord inhibiting vasocongestion,A,A,True,20.0,2,-3.16255784034729,-3.759246587753296,-5.571863174438477,-3.8240625858306885,0.33229838382630117,0.8272670592580527,-1.0262380994501568,0.1827020730291098,-3.494856224173591,-4.586513647011349,-4.54562507498832,-4.006764658859798,A,B,True,False
"________ men, on the average, begin engaging in sexual intercourse approximately two years later than ________ men do.",(A) Mexican Americans and whites; African Americans,(B) Mexican Americans; African Americans and whites,(C) African Americans; whites and Latinos,(D) Whites; African Americans and Latinos,A,A,True,20.0,2,-2.6875998973846436,-3.6444668769836426,-4.5579729080200195,-3.8121109008789062,0.8072563267889477,0.942046770027706,-0.012347833031699729,0.19465375798089202,-3.494856224173591,-4.586513647011349,-4.54562507498832,-4.006764658859798,A,B,True,False
"By 28 days after conception, the embryo is about __________ centimetres long.",(A) 1,(B) 2,(C) 3,(D) 4,A,A,True,20.0,3,-2.0349349975585938,-3.2898385524749756,-4.0279717445373535,-3.7199902534484863,1.4380248359271457,1.3994824389616651,0.5925429122788568,0.5326630458945321,-3.4729598334857394,-4.689320991436641,-4.62051465681621,-4.252653299343018,A,A,True,True
Alexander the Great was probably,(A) bisexual,(B) asexual,(C) heterosexual,(D) pedosexual,A,C,False,20.0,3,-3.8546085357666016,-5.211313724517822,-3.3920865058898926,-4.152296543121338,-0.3816487022808621,-0.5219927330811815,1.2284281509263177,0.1003567562216805,-3.4729598334857394,-4.689320991436641,-4.62051465681621,-4.252653299343018,C,C,False,False
The refractory period occurs in males during the ______ stage.,(A) resolution,(B) orgasm,(C) plateau,(D) excitement,A,A,True,20.0,3,-2.577711582183838,-4.084171772003174,-3.5746893882751465,-3.0103089809417725,0.8952482513019016,0.6051492194334669,1.0458252685410638,1.242344318401246,-3.4729598334857394,-4.689320991436641,-4.62051465681621,-4.252653299343018,A,D,True,False
Which of the following is/are likely to cause coital pain for BOTH men and women?,(A) infections,(B) foreskin too tight,(C) vaginismus,(D) both A and C,A,D,False,20.0,3,-2.511286735534668,-5.366337299346924,-4.644853591918945,-2.262948513031006,0.9616730979510715,-0.6770163079102831,-0.024338935102734993,1.9897047863120125,-3.4729598334857394,-4.689320991436641,-4.62051465681621,-4.252653299343018,D,D,False,False
Which of the following is the MOST COMMON menstrual problem?,(A) painful menstruation,(B) absence of menstruation,(C) menstruation without ovulation,(D) ovulation without menstruation,A,A,True,20.0,3,-2.3592967987060547,-3.959172010421753,-3.7910380363464355,-3.3497695922851562,1.1136630347796848,0.7301489810148878,0.8294766204697748,0.9028837070578621,-3.4729598334857394,-4.689320991436641,-4.62051465681621,-4.252653299343018,A,A,True,True
"From 1988 to 1990 among heterosexuals in the US, the number of unmarried adults aged 20 to 45 who report having multiple partners has:",(A) declined for both men and women,"(B) declined for men, but not for women","(C) declined for women, but not for men","(D) declined for men, and remained the same for women",A,A,True,20.0,3,-2.9468631744384766,-3.6990625858306885,-4.412174224853516,-3.8921968936920166,0.5260966590472629,0.9902584056059522,0.2083404319626947,0.3604564056510018,-3.4729598334857394,-4.689320991436641,-4.62051465681621,-4.252653299343018,A,B,True,False
