task,QID,AnsRefIDs,Context,Question,Correct Answer,yes_logprob,no_logprob,predicted_answer,is_correct
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the hallway?,Yes,-2.483358144760132,-1.7965646982192993,No,False
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the bathroom?,No,-3.920396089553833,-1.8666387796401978,No,True
qa1,6,[1],John travelled to the kitchen.,Is John in the kitchen?,Yes,-2.0462582111358643,-1.413917064666748,No,False
qa1,6,[1],John travelled to the kitchen.,Is John in the hallway?,No,-3.4525632858276367,-0.5193972587585449,No,True
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the kitchen?,Yes,-2.5146992206573486,-1.3357157707214355,No,False
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the garden?,No,-4.154793739318848,-1.7727547883987427,No,True
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bathroom?,Yes,-2.9517781734466553,-1.8275973796844482,No,False
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bedroom?,No,-4.311744213104248,-0.6833335757255554,No,True
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the office?,Yes,-3.4163906574249268,-2.4816136360168457,No,False
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the hallway?,No,-3.9979472160339355,-1.0070970058441162,No,True
qa1,15,[11],John moved to the bathroom.,Is John in the bathroom?,Yes,-2.2646396160125732,-1.7029049396514893,No,False
qa1,15,[11],John moved to the bathroom.,Is John in the office?,No,-4.249411582946777,-1.319974422454834,No,True
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the bathroom?,Yes,-1.9748997688293457,-1.8510857820510864,No,False
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the kitchen?,No,-4.185797691345215,-1.561467170715332,No,True
qa1,12,[10],Mary went to the bathroom.,Is Mary in the bathroom?,Yes,-3.310900926589966,-1.61676025390625,No,False
qa1,12,[10],Mary went to the bathroom.,Is Mary in the kitchen?,No,-4.966631889343262,-0.7103714346885681,No,True
qa1,3,[1],John moved to the bathroom.,Is John in the bathroom?,Yes,-2.2646396160125732,-1.7029049396514893,No,False
qa1,3,[1],John moved to the bathroom.,Is John in the garden?,No,-4.686467170715332,-0.6169439554214478,No,True
qa1,3,[2],Mary moved to the bedroom.,Is Mary in the bedroom?,Yes,-1.7484976053237915,-1.374721884727478,No,False
qa1,3,[2],Mary moved to the bedroom.,Is Mary in the hallway?,No,-3.8269362449645996,-0.9529640674591064,No,True
qa1,9,[7],Mary moved to the hallway.,Is Mary in the hallway?,Yes,-1.9209197759628296,-1.9841333627700806,Yes,True
qa1,9,[7],Mary moved to the hallway.,Is Mary in the bedroom?,No,-4.154131889343262,-1.2025632858276367,No,True
qa1,3,[2],Sandra travelled to the bathroom.,Is Sandra in the bathroom?,Yes,-2.780470371246338,-1.6013072729110718,No,False
qa1,3,[2],Sandra travelled to the bathroom.,Is Sandra in the hallway?,No,-3.9837183952331543,-0.7381430864334106,No,True
qa1,15,[13],Mary went back to the bathroom.,Is Mary in the bathroom?,Yes,-1.8334810733795166,-1.0852106809616089,No,False
qa1,15,[13],Mary went back to the bathroom.,Is Mary in the bedroom?,No,-3.9336681365966797,-0.8188900351524353,No,True
qa1,9,[5],Daniel journeyed to the office.,Is Daniel in the office?,Yes,-3.123967170715332,-3.4365885257720947,Yes,True
