question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"When a cannonball is fired from a cannon, both the cannonball and the cannon experience equal",(A) amounts of force,(B) accelerations,(C) Both,(D) Neither,A,C,False,20.0,0,-7.59286642074585,-5.655309677124023,-0.8473682999610901,-8.561643600463867,-2.6466964003112583,-2.4402437965489097,1.5110514205363064,-3.5128743280139236,-4.946170020434591,-3.2150658805751138,-2.3584197204973965,-5.048769272449944,C,C,False,False
When you drop a ball from rest it accelerates downward at 9.8 m/s^2. If you instead throw it downward assuming no air resistance its acceleration immediately after leaving your hand is,(A) 9.8 m/s2,(B) more than 9.8 m/s2,(C) less than 9.8 m/s2,(D) Cannot say unless the speed of throw is given.,A,C,False,20.0,0,-5.904964923858643,-2.1072237491607666,-1.225911021232605,-6.279600143432617,-0.9587949034240513,1.1078421314143472,1.1325086992647915,-1.2308308709826736,-4.946170020434591,-3.2150658805751138,-2.3584197204973965,-5.048769272449944,C,C,False,False
A 10-N force at an angle 45° above the horizontal has a horizontal component of about,(A) 7 N,(B) 5 N,(C) 10 N,(D) 12 N,A,C,False,20.0,0,-4.217749118804932,-2.466031312942505,-0.8431426882743835,-5.029600143432617,0.7284209016296597,0.7490345676326089,1.515277032223013,0.01916912901732637,-4.946170020434591,-3.2150658805751138,-2.3584197204973965,-5.048769272449944,C,C,False,False
Carbon-14 is primarily produced by cosmic radiation in the,(A) atmosphere,(B) food we eat,(C) Earth’s interior,(D) fallout of nuclear bomb tests,A,A,True,20.0,0,-1.8273574113845825,-2.7635397911071777,-4.03071403503418,-2.13909912109375,3.118812609050009,0.45152608946793604,-1.6722943145367832,2.9096701513561936,-4.946170020434591,-3.2150658805751138,-2.3584197204973965,-5.048769272449944,A,A,True,True
When you look at the red petals of a rose the color light you're seeing is,(A) red.,(B) green.,(C) white minus red.,(D) a mixture of green and yellow.,A,A,True,20.0,0,-1.4644091129302979,-3.520540237426758,-4.592293739318848,-6.713003158569336,3.4817609075042935,-0.30547435685164404,-2.233874018821451,-1.6642338861193924,-4.946170020434591,-3.2150658805751138,-2.3584197204973965,-5.048769272449944,A,A,True,True
As more lamps are connected in parallel in a circuit the current in the power source,(A) increases.,(B) decreases.,(C) remains much the same.,(D) Need more information.,A,C,False,20.0,0,-6.18287992477417,-4.114618301391602,-0.5559688806533813,-7.308421611785889,-1.2367099043395786,-0.8995524208164878,1.802450839844015,-2.259652339335945,-4.946170020434591,-3.2150658805751138,-2.3584197204973965,-5.048769272449944,C,C,False,False
A step-up transformer in an electrical circuit can step up,(A) voltage,(B) energy,(C) Both of these,(D) Neither of these,A,C,False,20.0,0,-6.436173915863037,-4.936088562011719,-1.0699294805526733,-7.436173915863037,-1.4900038954284458,-1.721022681436605,1.2884902399447231,-2.3874046434130936,-4.946170020434591,-3.2150658805751138,-2.3584197204973965,-5.048769272449944,C,C,False,False
Thermal conduction involves mainly,(A) electrons,(B) protons,(C) neutrons,(D) ions,A,A,True,20.0,0,-1.569334626197815,-3.9985885620117188,-3.7651875019073486,-3.8891913890838623,3.3768353942367764,-0.783522681436605,-1.4067677814099522,1.1595778833660813,-4.946170020434591,-3.2150658805751138,-2.3584197204973965,-5.048769272449944,A,A,True,True
If the Sun collapsed to become a black hole Planet Earth would,(A) continue in its present orbit.,(B) likely be sucked into the black hole.,(C) be pulled apart by tidal forces.,(D) Both C and D.,A,D,False,20.0,0,-6.249332904815674,-2.482896089553833,-4.374480724334717,-1.1785264015197754,-1.3031628843810825,0.7321697910212808,-2.0160610038373203,3.870242870930168,-4.946170020434591,-3.2150658805751138,-2.3584197204973965,-5.048769272449944,D,D,False,False
"When you brush your hair and scrape electrons from your hair, the charge of your hair becomes",(A) positive,(B) negative,(C) Both of these,(D) Neither of these,A,C,False,20.0,0,-5.529493808746338,-3.0135397911071777,-1.7650632858276367,-5.467381954193115,-0.5833237883117466,0.20152608946793604,0.5933564346697597,-0.4186126817431717,-4.946170020434591,-3.2150658805751138,-2.3584197204973965,-5.048769272449944,C,C,False,False
The highest ocean tides occur when Earth and the Moon are,(A) lined up with the Sun,(B) at right angles to the Sun,(C) at any angle to the Sun,(D) lined up during spring,A,C,False,20.0,0,-4.2492899894714355,-3.1703007221221924,-0.5502347350120544,-4.936088562011719,0.6968800309631558,0.044765158452921394,1.808184985485342,0.11268071043822481,-4.946170020434591,-3.2150658805751138,-2.3584197204973965,-5.048769272449944,C,C,False,False
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",(A) move at a constant speed in a straight line,(B) accelerate at a constant rate in a straight line,(C) come to rest,(D) increase its amount of inertia,A,A,True,20.0,0,-0.9990885853767395,-2.5600242614746094,-4.999332904815674,-7.810688018798828,3.947081435057852,0.6550416191005044,-2.6409131843182774,-2.7619187463488846,-4.946170020434591,-3.2150658805751138,-2.3584197204973965,-5.048769272449944,A,A,True,True
A motor and a generator are,(A) similar devices,(B) very different devices,(C) forms of transformers,(D) energy sources,A,A,True,20.0,1,-1.826396107673645,-2.3847880363464355,-5.655470371246338,-6.841631889343262,3.044699403974745,0.8300787841694222,-3.248296252141396,-1.781491537474924,-4.87109551164839,-3.2148668205158577,-2.407174119104942,-5.060140351868338,A,A,True,True
In a mixture of hydrogen oxygen and nitrogen gases at a given temperature the molecules having the greatest average speed are those of,(A) hydrogen.,(B) oxygen.,(C) nitrogen.,(D) But all have the same speed on average.,A,C,False,20.0,1,-3.794280767440796,-2.4136533737182617,-1.4746187925338745,-2.353353261947632,1.076814744207594,0.801213446797596,0.9325553265710673,2.706787089920706,-4.87109551164839,-3.2148668205158577,-2.407174119104942,-5.060140351868338,C,D,False,False
"In a mixture of hydrogen, oxygen, and nitrogen gases at a given temperature, the fastest molecules on average are those of",(A) hydrogen,(B) oxygen,(C) nitrogen,(D) All have same average speed,A,D,False,20.0,1,-4.623900890350342,-3.123297929763794,-2.749664545059204,-1.053100824356079,0.24719462129804803,0.09156889075206376,-0.34249042595426227,4.007039527512259,-4.87109551164839,-3.2148668205158577,-2.407174119104942,-5.060140351868338,D,D,False,False
The mutual induction of electric and magnetic fields can produce,(A) light,(B) energy,(C) Both of these,(D) Neither of these,A,C,False,20.0,1,-8.749290466308594,-5.718179702758789,-0.5311144590377808,-8.562095642089844,-3.878194954660204,-2.5033128822429314,1.876059660067161,-3.501955290221506,-4.87109551164839,-3.2148668205158577,-2.407174119104942,-5.060140351868338,C,C,False,False
"As a blinking light source approaching you gains speed, you see the frequency of flashes",(A) increase.,(B) decrease.,(C) remain unchanged.,(D) None of these.,A,B,False,20.0,1,-3.1542601585388184,-1.9026498794555664,-2.905561923980713,-6.02970027923584,1.7168353531095715,1.3122169410602913,-0.49838780487577106,-0.9695599273675022,-4.87109551164839,-3.2148668205158577,-2.407174119104942,-5.060140351868338,B,A,False,True
The neutrons in an atom are normally found,(A) inside the nucleus,(B) outside the nucleus,(C) Either of these,(D) Neither of these,A,A,True,20.0,1,-1.3500484228134155,-3.732476234436035,-2.546295642852783,-6.153696060180664,3.5210470888349743,-0.5176094139201775,-0.13912152374784137,-1.0935557083123264,-4.87109551164839,-3.2148668205158577,-2.407174119104942,-5.060140351868338,A,A,True,True
