question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
Statement 1| Linear regression estimator has the smallest variance among all unbiased estimators. Statement 2| The coefficients α assigned to the classifiers assembled by AdaBoost are always non-negative.,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",D,-2.8088998794555664,-3.4341177940368652,-3.431929588317871,-2.9975242614746094,A,False
Statement 1| RoBERTa pretrains on a corpus that is approximate 10x larger than the corpus BERT pretrained on. Statement 2| ResNeXts in 2018 usually used tanh activation functions.,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",C,-2.950610399246216,-3.325610399246216,-3.3875925540924072,-3.3260397911071777,A,False
"Statement 1| Support vector machines, like logistic regression models, give a probability distribution over the possible labels given an input example. Statement 2| We would expect the support vectors to remain the same in general as we move from a linear kernel to higher order polynomial kernels.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",B,-2.7621893882751465,-3.574233055114746,-3.3853089809417725,-3.263110399246216,A,False
"A machine learning problem involves four attributes plus a class. The attributes have 3, 2, 2, and 2 possible values each. The class has 3 possible values. How many maximum possible different examples are there?",(A) 12,(B) 24,(C) 48,(D) 72,D,-2.826859712600708,-3.32659912109375,-3.2011661529541016,-3.576859712600708,A,False
"As of 2020, which architecture is best for classifying high-resolution images?",(A) convolutional networks,(B) graph networks,(C) fully connected networks,(D) RBF networks,A,-2.764904022216797,-3.0771992206573486,-3.1391913890838623,-2.889807939529419,A,True
Statement 1| The log-likelihood of the data will always increase through successive iterations of the expectation maximation algorithm. Statement 2| One disadvantage of Q-learning is that it can only be used when the learner has prior knowledge of how its actions affect its environment.,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",B,-2.731435775756836,-3.3551011085510254,-3.3535380363464355,-3.231435775756836,A,False
Let us say that we have computed the gradient of our cost function and stored it in a vector g. What is the cost of one gradient descent update given the gradient?,(A) O(D),(B) O(N),(C) O(ND),(D) O(ND^2),A,-3.295199155807495,-3.420569658279419,-3.732699155807495,-2.921031951904297,D,False
"Statement 1| For a continuous random variable x and its probability distribution function p(x), it holds that 0 ≤ p(x) ≤ 1 for all x. Statement 2| Decision tree is learned by minimizing information gain.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",B,-2.9795336723327637,-3.6652634143829346,-3.78938627243042,-3.2941136360168457,A,False
Consider the Bayesian network given below. How many independent parameters are needed for this Bayesian Network H -> U <- P <- W?,(A) 2,(B) 4,(C) 8,(D) 16,C,-3.138784646987915,-3.3882625102996826,-4.059117794036865,-3.7013959884643555,A,False
"As the number of training examples goes to infinity, your model trained on that data will have:",(A) Lower variance,(B) Higher variance,(C) Same variance,(D) None of the above,A,-2.858292579650879,-2.8581488132476807,-3.1078007221221924,-3.233292579650879,B,False
Statement 1| The set of all rectangles in the 2D plane (which includes non axisaligned rectangles) can shatter a set of 5 points. Statement 2| The VC-dimension of k-Nearest Neighbour classifier when k = 1 is infinite.,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",A,-2.7941136360168457,-3.793102502822876,-3.6676011085510254,-3.544280767440796,A,True
_ refers to a model that can neither model the training data nor generalize to new data.,(A) good fitting,(B) overfitting,(C) underfitting,(D) all of the above,C,-2.8740885257720947,-1.9914830923080444,-3.1238298416137695,-2.7492902278900146,B,False
Statement 1| The F1 score can be especially useful for datasets with class high imbalance. Statement 2| The area under the ROC curve is one of the main metrics used to assess anomaly detectors.,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",A,-2.7945852279663086,-3.6066136360168457,-3.4810450077056885,-3.482476234436035,A,True
"Statement 1| The back-propagation algorithm learns a globally optimal neural network with hidden layers. Statement 2| The VC dimension of a line should be at most 2, since I can find at least one case of 3 points that cannot be shattered by any line.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",B,-2.732353925704956,-3.356780767440796,-3.2935450077056885,-3.170091152191162,A,False
High entropy means that the partitions in classification are,(A) pure,(B) not pure,(C) useful,(D) useless,B,-2.8101742267608643,-3.059695243835449,-3.4341177940368652,-3.2480714321136475,A,False
"Statement 1| Layer Normalization is used in the original ResNet paper, not Batch Normalization. Statement 2| DCGANs use self-attention to stabilize training.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",B,-2.5766913890838623,-3.2011661529541016,-3.3257625102996826,-3.26409912109375,A,False
"In building a linear regression model for a particular data set, you observe the coefficient of one of the features having a relatively high negative value. This suggests that",(A) This feature has a strong effect on the model (should be retained),(B) This feature does not have a strong effect on the model (should be ignored),(C) It is not possible to comment on the importance of this feature without additional information,(D) Nothing can be determined.,C,-2.8535380363464355,-3.2910380363464355,-3.72688627243042,-3.1660380363464355,A,False
"For a neural network, which one of these structural assumptions is the one that most affects the trade-off between underfitting (i.e. a high bias model) and overfitting (i.e. a high variance model):",(A) The number of hidden nodes,(B) The learning rate,(C) The initial choice of weights,(D) The use of a constant-term unit input,A,-2.8261661529541016,-2.7009055614471436,-3.0744683742523193,-2.7632625102996826,B,False
"For polynomial regression, which one of these structural assumptions is the one that most affects the trade-off between underfitting and overfitting:",(A) The polynomial degree,(B) Whether we learn the weights by matrix inversion or gradient descent,(C) The assumed variance of the Gaussian noise,(D) The use of a constant-term unit input,A,-2.6850242614746094,-2.6848649978637695,-3.3084216117858887,-2.4350242614746094,D,False
"Statement 1| As of 2020, some models attain greater than 98% accuracy on CIFAR-10. Statement 2| The original ResNets were not optimized with the Adam optimizer.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",A,-2.920199155807495,-3.4197237491607666,-3.4820852279663086,-3.295199155807495,A,True
The K-means algorithm:,(A) Requires the dimension of the feature space to be no bigger than the number of samples,(B) Has the smallest value of the objective function when K = 1,(C) Minimizes the within class variance for a given number of clusters,(D) Converges to the global optimum if and only if the initial means are chosen as some of the samples themselves,C,-2.482476234436035,-2.3570852279663086,-2.981780767440796,-2.482699155807495,B,False
Statement 1| VGGNets have convolutional kernels of smaller width and height than AlexNet's first-layer kernels. Statement 2| Data-dependent weight initialization procedures were introduced before Batch Normalization.,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",A,-2.8572237491607666,-3.2316136360168457,-3.480602502822876,-3.232353925704956,A,True
"What is the rank of the following matrix? A = [[1, 1, 1], [1, 1, 1], [1, 1, 1]]",(A) 0,(B) 1,(C) 2,(D) 3,B,-2.5459775924682617,-2.8584775924682617,-3.107896089553833,-3.79591965675354,A,False
"Statement 1| Density estimation (using say, the kernel density estimator) can be used to perform classification. Statement 2| The correspondence between logistic regression and Gaussian Naive Bayes (with identity class covariances) means that there is a one-to-one correspondence between the parameters of the two classifiers.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",C,-2.528695821762085,-3.3402605056762695,-3.4014835357666016,-2.7792601585388184,A,False
Suppose we would like to perform clustering on spatial data such as the geometrical locations of houses. We wish to produce clusters of many different sizes and shapes. Which of the following methods is the most appropriate?,(A) Decision Trees,(B) Density-based clustering,(C) Model-based clustering,(D) K-means clustering,B,-2.8886661529541016,-3.0127761363983154,-2.3869683742523193,-2.2634055614471436,D,False
"Statement 1| In AdaBoost weights of the misclassified examples go up by the same multiplicative factor. Statement 2| In AdaBoost, weighted training error e_t of the tth weak classifier on training data with weights D_t tends to increase as a function of t.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",A,-2.9478089809417725,-3.448715925216675,-3.321716070175171,-3.2002761363983154,A,True
MLE estimates are often undesirable because,(A) they are biased,(B) they have high variance,(C) they are not consistent estimators,(D) None of the above,B,-2.4047937393188477,-2.2789957523345947,-2.778695821762085,-2.2798819541931152,B,True
"Computational complexity of Gradient descent is,",(A) linear in D,(B) linear in N,(C) polynomial in D,(D) dependent on the number of iterations,C,-2.7770423889160156,-2.716031312942505,-2.9652605056762695,-2.966195821762085,B,False
Averaging the output of multiple decision trees helps _.,(A) Increase bias,(B) Decrease bias,(C) Increase variance,(D) Decrease variance,D,-2.498674154281616,-2.123674154281616,-3.0605714321136475,-3.435997724533081,B,False
The model obtained by applying linear regression on the identified subset of features may differ from the model obtained at the end of the process of identifying the subset during,(A) Best-subset selection,(B) Forward stepwise selection,(C) Forward stage wise selection,(D) All of the above,C,-3.069375514984131,-3.1324033737182617,-3.3161849975585938,-3.0083658695220947,D,False
Neural networks:,(A) Optimize a convex objective function,(B) Can only be trained with stochastic gradient descent,(C) Can use a mix of different activation functions,(D) None of the above,C,-2.3269362449645996,-2.576500654220581,-3.0761661529541016,-2.701500654220581,A,False
"Say the incidence of a disease D is about 5 cases per 100 people (i.e., P(D) = 0.05). Let Boolean random variable D mean a patient “has disease D” and let Boolean random variable TP stand for ""tests positive."" Tests for disease D are known to be very accurate in the sense that the probability of testing positive when you have the disease is 0.99, and the probability of testing negative when you do not have the disease is 0.97. What is P(TP), the prior probability of testing positive.",(A) 0.0368,(B) 0.473,(C) 0.078,(D) None of the above,C,-2.6211681365966797,-2.995379686355591,-3.620379686355591,-3.0601742267608643,A,False
"Statement 1| After mapped into feature space Q through a radial basis kernel function, 1-NN using unweighted Euclidean distance may be able to achieve better classification performance than in original space (though we can’t guarantee this). Statement 2| The VC dimension of a Perceptron is smaller than the VC dimension of a simple linear SVM.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",B,-2.716195821762085,-3.528169870376587,-3.464796781539917,-3.3414957523345947,A,False
The disadvantage of Grid search is,(A) It can not be applied to non-differentiable functions.,(B) It can not be applied to non-continuous functions.,(C) It is hard to implement.,(D) It runs reasonably slow for multiple linear regression.,D,-3.0103089809417725,-2.4472880363464355,-2.6960885524749756,-2.5726406574249268,B,False
Predicting the amount of rainfall in a region based on various cues is a ______ problem.,(A) Supervised learning,(B) Unsupervised learning,(C) Clustering,(D) None of the above,A,-2.3894362449645996,-2.389000654220581,-2.8884055614471436,-2.88909912109375,B,False
Which of the following sentence is FALSE regarding regression?,(A) It relates inputs to outputs.,(B) It is used for prediction.,(C) It may be used for interpretation.,(D) It discovers causal relationships,D,-3.9639835357666016,-3.4001338481903076,-3.3973634243011475,-2.901176929473877,D,True
Which one of the following is the main reason for pruning a Decision Tree?,(A) To save computing time during testing,(B) To save space for storing the Decision Tree,(C) To make the training set error smaller,(D) To avoid overfitting the training set,D,-2.965669870376587,-2.840035915374756,-3.0889835357666016,-2.9652605056762695,B,False
Statement 1| The kernel density estimator is equivalent to performing kernel regression with the value Yi = 1/n at each point Xi in the original data set. Statement 2| The depth of a learned decision tree can be larger than the number of training examples used to create the tree.,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",B,-2.450448513031006,-3.0744683742523193,-3.1981301307678223,-2.9511661529541016,A,False
Suppose your model is overfitting. Which of the following is NOT a valid way to try and reduce the overfitting?,(A) Increase the amount of training data.,(B) Improve the optimisation algorithm being used for error minimisation.,(C) Decrease the model complexity.,(D) Reduce the noise in the training data.,B,-3.6070852279663086,-2.9816136360168457,-2.7935450077056885,-2.2947237491607666,D,False
Statement 1| The softmax function is commonly used in mutliclass logistic regression. Statement 2| The temperature of a nonuniform softmax distribution affects its entropy.,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",A,-2.4970145225524902,-3.2459216117858887,-3.3700826168060303,-3.2475242614746094,A,True
Which of the following is/are true regarding an SVM?,"(A) For two dimensional data points, the separating hyperplane learnt by a linear SVM will be a straight line.","(B) In theory, a Gaussian kernel SVM cannot model any complex separating hyperplane.","(C) For every kernel function used in a SVM, one can obtain an equivalent closed form basis expansion.",(D) Overfitting in an SVM is not a function of number of support vectors.,A,-2.7000925540924072,-3.572467088699341,-3.696716070175171,-3.636215925216675,A,True
"Which of the following is the joint probability of H, U, P, and W described by the given Bayesian Network H -> U <- P <- W? [note: as the product of the conditional probabilities]","(A) P(H, U, P, W) = P(H) * P(W) * P(P) * P(U)","(B) P(H, U, P, W) = P(H) * P(W) * P(P | W) * P(W | H, P)","(C) P(H, U, P, W) = P(H) * P(W) * P(P | W) * P(U | H, P)",(D) None of the above,C,-3.3428666591644287,-3.092615842819214,-3.7173819541931152,-3.3428666591644287,B,False
"Statement 1| Since the VC dimension for an SVM with a Radial Base Kernel is infinite, such an SVM must be worse than an SVM with polynomial kernel which has a finite VC dimension. Statement 2| A two layer neural network with linear activation functions is essentially a weighted combination of linear separators, trained on a given dataset; the boosting algorithm built on linear separators also finds a combination of linear separators, therefore these two algorithms will give the same result.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",B,-2.8723649978637695,-3.5588998794555664,-3.744429588317871,-3.497195243835449,A,False
Statement 1| The ID3 algorithm is guaranteed to find the optimal decision tree. Statement 2| Consider a continuous probability distribution with density f() that is nonzero everywhere. The probability of a value x is equal to f(x).,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",B,-2.8091177940368652,-3.3709216117858887,-3.1825826168060303,-3.3100242614746094,A,False
"Given a Neural Net with N input nodes, no hidden layers, one output node, with Entropy Loss and Sigmoid Activation Functions, which of the following algorithms (with the proper hyper-parameters and initialization) can be used to find the global optimum?",(A) Stochastic Gradient Descent,(B) Mini-Batch Gradient Descent,(C) Batch Gradient Descent,(D) All of the above,D,-2.8271396160125732,-2.4521396160125732,-3.201859712600708,-2.8272552490234375,B,False
"Adding more basis functions in a linear model, pick the most probably option:",(A) Decreases model bias,(B) Decreases estimation bias,(C) Decreases variance,(D) Doesn’t affect bias and variance,A,-2.8105714321136475,-2.8105714321136475,-3.5595145225524902,-3.310797929763794,A,True
