Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,quantitative-properties,,antonym,1.0,There are fewer keychains than staplers.,Are there more staplers than keychains?,Yes,0,-0.28788313269615173,-1.4136418104171753,0.17621364913604864,-1.8777385922493757,-0.4640967818322004,Yes,True
2.0,1.0,quantitative-properties,,antonym,1.0,There are fewer keychains than staplers.,Are there fewer staplers than keychains?,No,0,-2.2473649978637695,-0.11817608773708344,-1.7832682160315692,-0.5822728695692838,-0.4640967818322004,No,True
3.0,1.0,quantitative-properties,,antonym,2.0,There are more keychains than staplers.,Are there more staplers than keychains?,No,0,-3.7154715061187744,-0.028461141511797905,-3.251374724286574,-0.4925579233439983,-0.4640967818322004,No,True
4.0,1.0,quantitative-properties,,antonym,2.0,There are more keychains than staplers.,Are there fewer staplers than keychains?,Yes,0,-0.5803488492965698,-0.8314310908317566,-0.11625206746436945,-1.295527872663957,-0.4640967818322004,Yes,True
5.0,2.0,quantitative-properties,,antonym,1.0,There are many staplers relative to keychains.,Are there more staplers than keychains?,Yes,0,-0.017731674015522003,-4.468480587005615,0.4463651078166784,-4.932577368837816,-0.4640967818322004,Yes,True
6.0,2.0,quantitative-properties,,antonym,1.0,There are many staplers relative to keychains.,Are there fewer staplers than keychains?,No,0,-1.7097395658493042,-0.20664365589618683,-1.2456427840171038,-0.6707404377283872,-0.4640967818322004,No,True
7.0,2.0,quantitative-properties,,antonym,2.0,There are few staplers relative to keychains.,Are there more staplers than keychains?,No,0,-0.9053937196731567,-0.5309968590736389,-0.44129693784095636,-0.9950936409058393,-0.4640967818322004,Yes,False
8.0,2.0,quantitative-properties,,antonym,2.0,There are few staplers relative to keychains.,Are there fewer staplers than keychains?,Yes,0,-0.11107055097818375,-2.359161853790283,0.35302623085401663,-2.8232586356224836,-0.4640967818322004,Yes,True
12.0,2.0,quantitative-properties,,variable swap,2.0,There are many keychains relative to staplers.,Are there fewer staplers than keychains?,Yes,0,-1.0610885620117188,-0.43502846360206604,-0.5969917801795184,-0.8991252454342664,-0.4640967818322004,Yes,True
13.0,2.0,quantitative-properties,,variable swap,1.0,There are few keychains relative to staplers.,Are there more staplers than keychains?,Yes,0,-0.1338452696800232,-2.1403424739837646,0.3302515121521772,-2.604439255815965,-0.4640967818322004,Yes,True
14.0,2.0,quantitative-properties,,variable swap,1.0,There are few keychains relative to staplers.,Are there fewer staplers than keychains?,No,0,-0.7017782330513,-0.7026593685150146,-0.23768145121909967,-1.166756150347215,-0.4640967818322004,Yes,False
17.0,3.0,quantitative-properties,,antonym,1.0,Staplers are added to the truck that initially contained the same number of staplers and keychains.,Are there more staplers than keychains?,Yes,0,-0.5887486934661865,-0.8394767642021179,-0.12465191163398615,-1.3035735460343183,-0.4640967818322004,Yes,True
19.0,3.0,quantitative-properties,,antonym,2.0,Staplers are removed from the truck that initially contained the same number of staplers and keychains.,Are there more staplers than keychains?,No,0,-1.1703959703445435,-0.4232475161552429,-0.7062991885123431,-0.8873442979874433,-0.4640967818322004,Yes,False
20.0,3.0,quantitative-properties,,antonym,2.0,Staplers are removed from the truck that initially contained the same number of staplers and keychains.,Are there fewer staplers than keychains?,Yes,0,-0.6080282330513,-0.8589236736297607,-0.14393145121909967,-1.3230204554619611,-0.4640967818322004,Yes,True
21.0,4.0,quantitative-properties,,antonym,1.0,Yan has two fewer staplers compared to Chao.,Does Chao have more staplers than Yan?,Yes,0,-0.2380254715681076,-1.6167327165603638,0.22607131026409277,-2.080829498392564,-0.4640967818322004,Yes,True
22.0,4.0,quantitative-properties,,antonym,1.0,Yan has two fewer staplers compared to Chao.,Does Chao have fewer staplers than Yan?,No,0,-1.1467485427856445,-0.39590150117874146,-0.6826517609534442,-0.8599982830109418,-0.4640967818322004,Yes,False
