question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
What kind of rights do coastal States enjoy over their continental shelf?,(A) The coastal State enjoy ipso facto and ab initio sovereign rights over its continental shelf for the purpose of exploring it and exploiting its natural resources,(B) The coastal State may exercise sovereign rights over its continental shelf only upon its declaration,(C) The coastal State exercise sovereign rights over its continental shelf for the purpose of exploiting its fishing resources,(D) The coastal State may exercise only limited rights over its continental shelf and only upon the consent of its neighbouring States,A,A,True,20.0,0,-2.417182207107544,-3.4160380363464355,-3.4156627655029297,-3.1648385524749756,0.28454327334960317,-0.4384170422951379,-0.2764004121224084,-0.21444797019163753,-2.701725480457147,-2.9776209940512977,-3.1392623533805213,-2.950390582283338,A,A,True,True
Who has the authority to conclude a treaty on the part of States?,"(A) Treaties are concluded by the competent representatives of States. Heads of States, heads of governments, ministers of foreign affairs and heads of diplomatic missions are presumed to have such authority",(B) Treaties may only negotiated and concluded by the heads of State and ministers of foreign affairs,(C) Treaties are negotiated and signed only by the persons that bear the necessary 'full powers' and no person is presumed to hold such authority,(D) Treaties are concluded only by members of the diplomatic missions of States,A,A,True,20.0,0,-2.2753214836120605,-3.023643970489502,-3.272082567214966,-3.0226354598999023,0.42640399684508656,-0.0460229764382043,-0.13282021383444453,-0.07224487761656428,-2.701725480457147,-2.9776209940512977,-3.1392623533805213,-2.950390582283338,A,A,True,True
What is the constitutive theory of recognition?,(A) Recognition is determinative of statehood,(B) Recognition requires constitutional approval by third nations,(C) Recognition requires that the constitution of the recognised State includes sufficient human rights guarantees,(D) Countries wishing to be recognised must possess a valid constitution,A,A,True,20.0,0,-2.5135397911071777,-2.8875925540924072,-2.886733055114746,-2.6371893882751465,0.18818568934996938,0.09002843995889043,0.2525292982657752,0.3132011940081916,-2.701725480457147,-2.9776209940512977,-3.1392623533805213,-2.950390582283338,A,D,True,False
What is jus cogens?,"(A) They are peremptory norms of international law, from which no derogations are allowed and which can never be altered even with the consent of the States",(B) They are rules of international law that are laid down in multilateral treaties with a wide participation,(C) They are the decisions of the UN Security Council,(D) They are the rules of international law on which the ICJ founds its decisions,A,A,True,20.0,0,-1.8489067554473877,-2.9812464714050293,-3.6053595542907715,-3.043330669403076,0.8528187250097594,-0.003625477353731643,-0.4660972009102502,-0.09294008711973811,-2.701725480457147,-2.9776209940512977,-3.1392623533805213,-2.950390582283338,A,A,True,True
When coastal States do enforce their criminal jurisdiction over foreign vessels in their ports?,(A) Port States generally do not enforce their criminal jurisdiction over crimes that do not infringe their customs laws or disrupt peace and public order.,(B) Port States enforce their jurisdiction in all cases of delinquent vessels,"(C) Port States enforce their jurisdiction only in respect of very serious crimes, such as drug trafficking",(D) Port States are not entitled to enforce their jurisdiction over any foreign vessel,A,B,False,20.0,1,-2.6351406574249268,-2.3844127655029297,-3.3833658695220947,-2.946716070175171,0.037908608714739334,0.6273610045512519,-0.26310555885235454,-0.02343168358008052,-2.673049266139666,-3.0117737700541816,-3.12026031066974,-2.9232843865950904,B,B,False,False
Which of the following articles are not qualified rights?,(A) Article 3,(B) Article 8,(C) Article 9,(D) Article 11,A,C,False,20.0,1,-3.451859712600708,-3.7010397911071777,-3.450610399246216,-3.576859712600708,-0.7788104464610419,-0.6892660210529962,-0.33035008857647563,-0.6535753260056176,-2.673049266139666,-3.0117737700541816,-3.12026031066974,-2.9232843865950904,C,C,False,False
Which of the following statements is true?,(A) The Human Rights Act 1998 incorporates the European Convention on Human Rights into UK law,(B) The Human Rights Act 1998 allows a court to invalidate primary legislation,(C) The Human Rights Act 1998 allows any person with a reasonable case to bring a case before a court,(D) The Human Rights Act 1998 incorporates the EU charter of fundamental rights into UK law,A,A,True,20.0,1,-2.5132625102996826,-3.0744683742523193,-3.448715925216675,-3.1371893882751465,0.15978675583998347,-0.06269460419813777,-0.3284556145469346,-0.2139050016800561,-2.673049266139666,-3.0117737700541816,-3.12026031066974,-2.9232843865950904,A,A,True,True
What is the meaning of justiciability?,(A) Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders,(B) Justiciability refers to the just nature or cause of a particular right,(C) Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice,(D) Justiciability refers to the obligation of a State to enforce a particular Right,A,A,True,20.0,1,-2.528531312942505,-3.152296781539917,-2.9645423889160156,-2.840035915374756,0.1445179531971612,-0.14052301148573543,0.15571792175372456,0.08324847122033452,-2.673049266139666,-3.0117737700541816,-3.12026031066974,-2.9232843865950904,A,C,True,False
Which one of the statements below is false?,(A) The war crimes trials at Nuremberg and Tokyo took place immediately after the First World War,(B) The war crimes trials introduced a 'crime against humanity' as an offence,(C) The war crimes trials held individuals legally responsible for acts such as war crimes and crimes against humanity,"(D) The war crimes trials found that ""superior orders"" could not be used as a defence for war crimes or crimes against humanity",A,D,False,20.0,2,-3.6038906574249268,-3.413393497467041,-3.2250638008117676,-2.540466070175171,-0.960341932872931,-0.38562843203544617,-0.1018875862161317,0.3948393911123276,-2.6435487245519957,-3.027765065431595,-3.123176214595636,-2.9353054612874985,D,D,False,False
"Is the ICJ hostile to the idea that an armed attack may arise through a series of lower intensity, yet cumulative, instances of armed force?",(A) The ICJ was not hostile to the accumulation theory,"(B) The concept of an armed attack refers to a single attack, not multiple smaller instances of armed force",(C) In the Nicaragua case the ICJ dismissed the accumulation theory,(D) The ICJ has never addressed this issue,A,A,True,20.0,2,-2.4350242614746094,-2.8718223571777344,-3.0591177940368652,-2.8093223571777344,0.20852446307738637,0.15594270825386047,0.06405842055877065,0.1259831041097641,-2.6435487245519957,-3.027765065431595,-3.123176214595636,-2.9353054612874985,A,A,True,True
