Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,material-dynamics,1.0,material,1.0,Chao sees something that is fabric.,Can Chao fold it?,Yes,0,-1.148169994354248,-0.3962765038013458,-0.47152956428292847,-1.0729169338726654,-0.6766404300713196,Yes,True
2.0,1.0,material-dynamics,1.0,material,1.0,Chao sees something that is fabric.,Can Chao pour it?,No,0,-0.9801397919654846,-0.47825995087623596,-0.30349936189416504,-1.1549003809475555,-0.6766404300713196,Yes,False
3.0,1.0,material-dynamics,1.0,material,2.0,Chao sees something that is liquid.,Can Chao fold it?,No,0,-2.1245694160461426,-0.13059666752815247,-1.447928985974823,-0.807237097599472,-0.6766404300713196,No,True
4.0,1.0,material-dynamics,1.0,material,2.0,Chao sees something that is liquid.,Can Chao pour it?,Yes,0,-1.1402842998504639,-0.39231231808662415,-0.4636438697791443,-1.0689527481579437,-0.6766404300713196,Yes,True
5.0,2.0,material-dynamics,2.0,material,1.0,Chao sees the denim.,Can Chao fold it?,Yes,0,-1.1478713750839233,-0.39418917894363403,-0.47123094501260376,-1.0708296090149536,-0.6766404300713196,Yes,True
6.0,2.0,material-dynamics,2.0,material,1.0,Chao sees the denim.,Can Chao pour it?,No,0,-0.8315920829772949,-0.5815920829772949,-0.15495165290597535,-1.2582325130486145,-0.6766404300713196,Yes,False
7.0,2.0,material-dynamics,2.0,material,2.0,Chao sees the water.,Can Chao fold it?,No,0,-1.7102106809616089,-0.20746079087257385,-1.0335702508902893,-0.8841012209438934,-0.6766404300713196,No,True
8.0,2.0,material-dynamics,2.0,material,2.0,Chao sees the water.,Can Chao pour it?,Yes,0,-1.1400632858276367,-0.392032653093338,-0.46342285575631714,-1.0686730831646576,-0.6766404300713196,Yes,True
10.0,3.0,material-dynamics,3.0,material,1.0,Chao sees something that is fabric.,Can Chao stir it?,No,0,-1.7025632858276367,-0.20668917894363403,-1.0259228557563171,-0.8833296090149536,-0.6766404300713196,No,True
12.0,3.0,material-dynamics,3.0,material,2.0,Chao sees something that is liquid.,Can Chao stir it?,Yes,0,-1.5075491666793823,-0.2556547224521637,-0.8309087366080627,-0.9322951525234833,-0.6766404300713196,Yes,True
16.0,4.0,material-dynamics,4.0,material,2.0,Chao sees the water.,Can Chao stir it?,Yes,0,-1.5073784589767456,-0.25747448205947876,-0.830738028905426,-0.9341149121307983,-0.6766404300713196,Yes,True
20.0,5.0,material-dynamics,5.0,material,2.0,Chao sees something that is gas.,Can Chao stir it?,Yes,0,-1.9136418104171753,-0.16380730271339417,-1.2370013803458557,-0.8404477327847137,-0.6766404300713196,No,False
24.0,6.0,material-dynamics,6.0,material,2.0,Chao sees the oxygen.,Can Chao stir it?,Yes,0,-1.7103713750839233,-0.20758172869682312,-1.0337309450126038,-0.8842221587681427,-0.6766404300713196,No,False
25.0,7.0,material-dynamics,7.0,material,1.0,Chao sees something that is rigid.,Can it break?,Yes,0,-1.0152842998504639,-0.5192648768424988,-0.3386438697791443,-1.1959053069138184,-0.6766404300713196,Yes,True
26.0,7.0,material-dynamics,7.0,material,1.0,Chao sees something that is rigid.,Can it ripple?,No,0,-2.14035964012146,-0.1355365663766861,-1.4637192100501404,-0.8121769964480057,-0.6766404300713196,No,True
