question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
Learned helplessness is an example of the power of,(A) expectation,(B) positive reinforcement,(C) negative reinforcement,(D) classical conditioning,A,C,False,20.0,0,-2.5904715061187744,-2.591195821762085,-2.0905723571777344,-2.0905723571777344,-0.06766457206163645,-0.17156113531344985,0.2513292229328399,0.2054980993270874,-2.522806934057138,-2.419634686448635,-2.3419015801105743,-2.2960704565048218,C,C,False,False
A psychologist focusing on whether development occurs in stages is most interested in which of the following controversies?,(A) nature versus nurture,(B) continuity versus discontinuity,(C) stability versus change,(D) subjectivity versus objectivity,A,C,False,20.0,0,-2.357476234436035,-2.357896089553833,-2.3569376468658447,-2.607896089553833,0.1653306996211028,0.0617385968948021,-0.015036066755270472,-0.31182563304901123,-2.522806934057138,-2.419634686448635,-2.3419015801105743,-2.2960704565048218,C,A,False,True
Which of the following models of personality is the least deterministic?,(A) humanistic,(B) biological,(C) evolutionary,(D) behaviorist,A,C,False,20.0,0,-2.9355714321136475,-2.4355714321136475,-2.4350242614746094,-2.4355714321136475,-0.4127644980565095,-0.015936745665012353,-0.09312268136403512,-0.13950097560882568,-2.522806934057138,-2.419634686448635,-2.3419015801105743,-2.2960704565048218,C,B,False,False
Each of the following is a step taken by a therapist who is employing systematic desensitization EXCEPT,(A) helping the client experience the desired state of relaxation through hypnosis,(B) teaching the client to relax through techniques such as deep breathing,(C) constructing a hierarchy of feared images,(D) instructing the client to picture each fearful image while maintaining a relaxed state,A,D,False,20.0,0,-2.714796781539917,-2.2155723571777344,-2.2120347023010254,-1.9646716117858887,-0.19198984748277903,0.20406232927090073,0.12986687780954886,0.3313988447189331,-2.522806934057138,-2.419634686448635,-2.3419015801105743,-2.2960704565048218,D,D,False,False
"According to Erikson, a young adult's developmental crisis centers around",(A) intimacy vs. isolation,(B) identity vs. role confusion,(C) autonomy vs. shame and guilt,(D) industry vs. inferiority,A,B,False,20.0,0,-2.5739824771881104,-2.0741095542907715,-2.5715134143829346,-2.324897289276123,-0.05117554313097239,0.3455251321578636,-0.22961183427236032,-0.02882683277130127,-2.522806934057138,-2.419634686448635,-2.3419015801105743,-2.2960704565048218,B,B,False,False
"After Tamika complained to her mother about how little she has, Tamika and her mother went to a soup kitchen to volunteer to serve dinner to the homeless. After serving 120 dinners, Tamika told her mother how happy she is that they can afford to buy delicious foods she loves. Tamika's increased perception that she is happy is best explained by applying which of the following theories?",(A) relative deprivation,(B) adaptation-level,(C) Yerkes-Dodson arousal,(D) diathesis-stress,A,D,False,20.0,0,-2.5437464714050293,-2.2937464714050293,-2.2900543212890625,-1.793647289276123,-0.020939537347891335,0.1258882150436058,0.051847258821511755,0.5024231672286987,-2.522806934057138,-2.419634686448635,-2.3419015801105743,-2.2960704565048218,D,D,False,False
"In the Harlow study of emotional attachment, infant monkeys were placed in a cage and given both a ""wire"" mother and a ""cloth"" mother. Researchers then moved a bottle of milk from one mother to the other while introducing various stimuli to see if the monkeys would form an attachment to either of the ""mothers."" In this experiment, the independent variable is","(A) with which ""mother"" the bottle of milk is placed","(B) the ""wire"" mother versus the ""cloth"" mother",(C) the preference of the infants for the source of milk,"(D) the preference of the infants for the ""wire"" mother",A,D,False,20.0,0,-2.6694376468658447,-2.6694376468658447,-2.6678595542907715,-2.4194376468658447,-0.14663071280870676,-0.24980296041720962,-0.32595797418019723,-0.12336719036102295,-2.522806934057138,-2.419634686448635,-2.3419015801105743,-2.2960704565048218,D,D,False,False
Which part of the brain was thought to play the most important role in the Cannon-Bard theory of emotion?,(A) thalamus,(B) hippocampus,(C) medulla,(D) association areas,A,A,True,20.0,0,-2.450610399246216,-2.450610399246216,-2.699897289276123,-2.4511661529541016,0.07219653481092214,-0.030975712797580712,-0.3579957091655488,-0.15509569644927979,-2.522806934057138,-2.419634686448635,-2.3419015801105743,-2.2960704565048218,A,A,True,True
"During the manic phase of a bipolar disorder, individuals are most likely to experience",(A) high self-esteem,(B) delusions of persecution,(C) uncontrollable grief and despair,(D) visual hallucinations,A,D,False,20.0,0,-2.2468223571777344,-2.2468223571777344,-2.2447662353515625,-1.997524380683899,0.2759845768794036,0.17281232927090073,0.09713534475901175,0.29854607582092285,-2.522806934057138,-2.419634686448635,-2.3419015801105743,-2.2960704565048218,D,D,False,False
Nearsightedness results from,(A) too much curvature of the cornea and lens,(B) too little curvature of the cornea and lens,(C) too much curvature of the iris and lens,(D) too little curvature of the iris and lens,A,A,True,20.0,0,-2.0905723571777344,-2.3413503170013428,-2.5885162353515625,-2.3396716117858887,0.4322345768794036,0.07828436944729233,-0.24661465524098825,-0.043601155281066895,-2.522806934057138,-2.419634686448635,-2.3419015801105743,-2.2960704565048218,A,A,True,True
