question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
 What can murtis be translated as?,(A) Offerings,(B) Prayers,(C) Apparitions,(D) Idols,D,-2.433159112930298,-2.931929588317871,-3.4940714836120605,-3.369429588317871,A,False
 Naturalists who concentrated on natural elements and processes are associated with which of the following?,(A) Daoism,(B) Yin-Yang School,(C) Mengzi,(D) Humanistic Buddhism,B,-2.478353261947632,-2.5396158695220947,-3.4781627655029297,-2.6025543212890625,A,False
 When was the first Buddhist temple constructed in Japan?,(A) 325 CE,(B) 119 CE,(C) 451 CE,(D) 596 CE,D,-2.887397289276123,-2.7603089809417725,-2.948432207107544,-2.3833658695220947,D,True
 What is the name of the ten day New Year festival that celebrated Babylon's culture?,(A) Akitu,(B) Wag and Thoth,(C) Bast,(D) Nehebkau,A,-1.781569480895996,-3.9781627655029297,-4.399740695953369,-4.773877143859863,A,True
Which of the following terms denote the Japanese art of flower arranging?,(A) Zazen,(B) Tariki,(C) Kami,(D) Ikebana,D,-4.18451452255249,-3.4178595542907715,-3.0437464714050293,-2.043330669403076,D,True
 Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following?,(A) Harmony and balance,(B) Devotion and piety,(C) Love and passion,(D) Goodwill and love,A,-2.3333680629730225,-2.0833680629730225,-3.7092928886413574,-3.396185874938965,B,False
" Guru Nanak used what term to denote the ""divine word"" as part of divine revelation?",(A) Shabad,(B) Khalse,(C) Nam,(D) Guru,A,-1.3443597555160522,-3.476405382156372,-3.7913906574249268,-4.4001336097717285,A,True
What is the mi'raj?,(A) Muhammad's miraculous ascent to heaven,(B) Muhammad's migration to Mecca,(C) Muhammad's first community in Mecca,(D) Muhammad's revelations of the Qur'an,A,-1.480101227760315,-2.6685450077056885,-3.293102502822876,-3.043102502822876,A,True
"What is the name of the most famous dharmashastras, which probably dates from around the first century?",(A) Laws of Dharma,(B) Laws of Karma,(C) Laws of Vishnu,(D) Laws of Manu,D,-2.9626338481903076,-2.900503158569336,-3.0904715061187744,-2.339409112930298,D,True
"What does the term ""Qur'an"" literally mean?",(A) The Holy Book,(B) The Narrative,(C) The Recitation,(D) The Pillars,C,-3.0441136360168457,-3.2937464714050293,-1.9188426733016968,-3.668935775756836,C,True
 Mani referred to God by which of the following names?,(A) Mother of Light,(B) Father of Goodness,(C) Ineffable Lover,(D) Eternal Spirit,B,-2.82063627243042,-3.3824033737182617,-2.69563627243042,-3.006598949432373,C,False
" Which tradition is known to promote ""gradual enlightenment""?",(A) Bushido,(B) Shinto,(C) Nichiren,(D) Soto Zen,D,-2.7928595542907715,-2.9160380363464355,-2.5413906574249268,-2.4785380363464355,D,True
What is the communal meal offered at the place of worship called in Sikhism?,(A) Sangat,(B) Langar,(C) Gurdwara,(D) Panth,B,-3.8697662353515625,-1.1116602420806885,-4.308159351348877,-4.6197662353515625,B,True
To which tradition do the anti-Han rebel group known as the Celestial Masters belong?,(A) Buddhism,(B) Daoism,(C) Confucianism,(D) Shamanism,B,-2.5428595542907715,-2.1027634143829346,-2.7902634143829346,-2.041722059249878,D,False
"What does the word ""Islam"" mean in Arabic?",(A) Worship,(B) Submission,(C) Obedience,(D) Faith,B,-4.556190013885498,-1.607085108757019,-3.9819376468658447,-4.496822357177734,B,True
What does the term anatman mean?,(A) Suffering,(B) Soul,(C) Impermanence,(D) No-self,D,-3.841993808746338,-3.403695821762085,-1.5834810733795166,-2.278531312942505,C,False
 What genre of Sikh literature is denoted by the term janam-sakhis?,(A) Spiritual narratives,(B) Redemption narratives,(C) Birth narratives,(D) Theological narratives,C,-4.492853164672852,-3.5398385524749756,-1.414838433265686,-4.680784702301025,C,True
Pure Land Buddhism belongs to which school?,(A) Vajrayana,(B) Theravada,(C) Mahayana,(D) Mahavira,C,-3.527296781539917,-3.713003158569336,-1.2846875190734863,-3.9639835357666016,C,True
 Which Jaina group only allows women to lead a life of semi-renunciation?,(A) Svetambara,(B) Jina,(C) Agama,(D) Digambara,D,-2.4775543212890625,-2.601649522781372,-2.9775543212890625,-2.2886533737182617,D,True
What is the most important prayer in Judaism?,(A) The Shema,(B) The Sefirot,(C) Deuteronomy,(D) The Decalogue,A,-1.3644044399261475,-3.669853925704956,-3.9820852279663086,-4.872815132141113,A,True
