property,prefix,Context,Question,Correct Answer,negative_sample_type,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,0,-0.8390081524848938,-2.4775543212890625,-1.0155461199847715,-2.301016353789185,0.1765379674998777,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,0,-0.9928531050682068,-4.274740695953369,-1.1693910725680845,-4.098202728453492,0.1765379674998777,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,0,-4.208040237426758,-1.296655535697937,-4.384578204926635,-1.1201175681980593,0.1765379674998777,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,0,-5.146185874938965,-1.258588433265686,-5.322723842438842,-1.0820504657658083,0.1765379674998777,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,0,-4.088676929473877,-1.2539507150650024,-4.265214896973754,-1.0774127475651247,0.1765379674998777,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,0,-2.2906625270843506,-2.9631078243255615,-2.4672004945842283,-2.786569856825684,0.1765379674998777,Yes,False
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,0,-3.809164524078369,-1.248539686203003,-3.985702491578247,-1.0720017187031252,0.1765379674998777,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,0,-1.3679922819137573,-2.110413074493408,-1.544530249413635,-1.9338751069935305,0.1765379674998777,Yes,False
can affect urine,hair,'',Can hair affect urine?,No,random,0,-3.2486226558685303,-3.9167943000793457,-3.425160623368408,-3.740256332579468,0.1765379674998777,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,0,-2.4301271438598633,-3.291722059249878,-2.606665111359741,-3.11518409175,0.1765379674998777,Yes,False
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,0,-2.205845832824707,-2.051790237426758,-2.3823838003245847,-1.87525226992688,0.1765379674998777,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,0,-3.101649522781372,-1.9557442665100098,-3.27818749028125,-1.779206299010132,0.1765379674998777,No,True
