question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
The infraorbital nerve,(A) is a terminal branch of the maxillary division of the trigeminal nerve.,(B) is a terminal branch of the maxillary branch of the facial nerve.,(C) carries parasympathetic secretomotor neurons to the lacrimal gland.,(D) innervates the inferior part of the orbicularis oculi muscle.,A,D,False,20.0,0,-3.941904306411743,-3.935253858566284,-3.4422476291656494,-2.9422476291656494,-0.8584430515766144,-1.0775803443458347,-0.22814565400282527,-0.1487653437587948,-3.083461254835129,-2.8576735142204495,-3.214101975162824,-2.7934822854068546,D,D,False,False
Macrostomia results from failure of fusion of,(A) maxillary and mandibular processes.,(B) left and right mandibular processes.,(C) maxillary and frontonasal processes.,(D) mandibular and hyoid arches.,A,D,False,20.0,0,-3.238952159881592,-3.238952159881592,-3.238952159881592,-2.7318501472473145,-0.155490905046463,-0.38127864566114233,-0.024850184718767654,0.06163213815954016,-3.083461254835129,-2.8576735142204495,-3.214101975162824,-2.7934822854068546,D,D,False,False
A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral,(A) paralysis of the facial muscles.,(B) paralysis of the facial muscles and loss of taste.,"(C) paralysis of the facial muscles, loss of taste and lacrimation.","(D) paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.",A,A,True,20.0,0,-2.0912911891937256,-2.610413074493408,-3.610413074493408,-2.5912911891937256,0.9921700656414032,0.24726043972704126,-0.39631109933058406,0.20219109621312903,-3.083461254835129,-2.8576735142204495,-3.214101975162824,-2.7934822854068546,A,A,True,True
The dorsal roots of all spinal nerves contain,(A) sensory neuronal processes.,(B) sensory and autonomic neuronal processes.,(C) motor neuronal processes.,(D) motor and autonomic neuronal processes.,A,D,False,20.0,0,-3.626499652862549,-3.126499652862549,-3.626499652862549,-2.626499652862549,-0.54303839802742,-0.26882613864209937,-0.4123976776997247,0.1669826325443058,-3.083461254835129,-2.8576735142204495,-3.214101975162824,-2.7934822854068546,D,D,False,False
A patient suffers a CVA in the area of the left internal capsule conveying motor neurons to the right leg. The patient's leg will exhibit,(A) spastic paralysis.,(B) flaccid paralysis.,(C) tremor.,(D) hyporeflexia.,A,A,True,20.0,0,-2.3889126777648926,-3.3889126777648926,-3.407749652862549,-2.8889126777648926,0.6945485770702362,-0.5312391635444431,-0.19364767769972469,-0.09543039235803796,-3.083461254835129,-2.8576735142204495,-3.214101975162824,-2.7934822854068546,A,A,True,True
Which of the following is a substance that aids the transmission of nerve impulses to the muscles?,(A) Acetylcholine,(B) Cholecystokinin,(C) Deoxyribose,(D) Oxytocin,A,A,True,20.0,0,-2.579163074493408,-2.829163074493408,-3.5857677459716797,-2.579163074493408,0.5042981803417206,0.02851043972704126,-0.37166577080885554,0.2143192109134464,-3.083461254835129,-2.8576735142204495,-3.214101975162824,-2.7934822854068546,A,A,True,True
"Which of the following is a structural, fibrous protein found in the dermis?",(A) Collagen,(B) Heparin,(C) Lipocyte,(D) Melanin,A,A,True,20.0,1,-1.9582715034484863,-2.965941905975342,-3.965941905975342,-2.965941905975342,1.1044565737247467,-0.052551665239863876,-0.7464218288660049,-0.181459051039484,-3.062728077173233,-2.913390240735478,-3.219520077109337,-2.784482854935858,A,A,True,True
Which of the following best describes the structure that collects urine in the body?,(A) Bladder,(B) Kidney,(C) Ureter,(D) Urethra,A,B,False,20.0,1,-3.3881001472473145,-2.3881001472473145,-2.8881001472473145,-2.8881001472473145,-0.3253720700740814,0.5252900934881635,0.3314199298620224,-0.10361729231145667,-3.062728077173233,-2.913390240735478,-3.219520077109337,-2.784482854935858,B,B,False,False
During swallowing the,(A) auditory tube opens.,(B) cricopharyngeus muscle contracts.,(C) rima glottis opens.,(D) gag reflex is suspended.,A,B,False,20.0,1,-3.5488290786743164,-3.060253858566284,-3.560253858566284,-3.060253858566284,-0.4861010015010834,-0.14686361783080626,-0.3407337814569473,-0.2757710036304264,-3.062728077173233,-2.913390240735478,-3.219520077109337,-2.784482854935858,B,B,False,False
Food is prevented from entering the larynx during the pharyngeal phase of swallowing by,(A) constriction of the laryngeal entrance.,(B) upward movement of the epiglottis.,(C) downward movement of the larynx.,(D) increase in respiratory rate.,A,A,True,20.0,1,-2.970249652862549,-2.970249652862549,-3.470249652862549,-3.4514126777648926,0.0924784243106842,-0.05685941212707091,-0.250729575753212,-0.6669298228290348,-3.062728077173233,-2.913390240735478,-3.219520077109337,-2.784482854935858,A,A,True,True
Which of the following anatomical regions of abdomen lies just distal to the sternum?,(A) Epigastric,(B) Hypochondriac,(C) Hypogastric,(D) Lumbar,A,B,False,20.0,1,-3.184691905975342,-2.672913074493408,-2.672913074493408,-2.672913074493408,-0.12196382880210876,0.24047716624206972,0.5466070026159286,0.11156978044244958,-3.062728077173233,-2.913390240735478,-3.219520077109337,-2.784482854935858,B,C,False,False
The crown of a very carious tooth suddenly fractures while the patient is standing eating at a take-away food outlet and a fragment is inhaled. It is more likely to enter the,(A) right lung because the right main bronchus is wider and more vertical than the left.,(B) left lung because the left main bronchus is wider and more vertical than the right.,(C) right lung or left lung because the two main bronchi are of equal size and at the same angulation.,(D) right or left lung because there are no factors predisposing to the fragment going in one particular direction.,A,A,True,20.0,1,-2.467773199081421,-2.967773199081421,-3.467773199081421,-3.4379119873046875,0.5949548780918121,-0.05438295834594298,-0.24825312197208405,-0.6534291323688297,-3.062728077173233,-2.913390240735478,-3.219520077109337,-2.784482854935858,A,A,True,True
Parasympathetic preganglionic nerves leave the central nervous system with the,(A) third cranial nerves.,(B) fourth cranial nerves.,(C) fifth cranial nerves.,(D) sixth cranial nerves.,A,D,False,20.0,2,-3.2631001472473145,-3.251499652862549,-3.251499652862549,-3.2326626777648926,-0.15671049555142735,-0.37773403690920926,-0.02326424751016809,-0.43597089747587825,-3.106389651695887,-2.8737656159533396,-3.2282354053523807,-2.7966917802890143,D,C,False,False
Which one of the following statements about the growth of the mandible is correct?,(A) The mental symphysis closes at about 1 year postnatally,(B) The condylar growth cartilage ceases activity at puberty,(C) The ossification centre appears about 8 weeks I.U.L medial to Meckel's cartilage,(D) The functional matrix acting on the angle of the mandible is the lateral pterygoid muscle,A,D,False,20.0,2,-2.735413074493408,-2.735413074493408,-2.747191905975342,-2.7162911891937256,0.3709765772024789,0.13835254145993137,0.48104349937703894,0.08040059109528874,-3.106389651695887,-2.8737656159533396,-3.2282354053523807,-2.7966917802890143,D,C,False,False
A pulse may be felt on a patient's face where the,(A) facial artery crosses the mandible.,(B) facial artery crosses the maxilla.,(C) superficial temporal artery crosses the maxilla.,(D) superficial temporal artery crosses the orbital rim.,A,A,True,20.0,2,-2.938999652862549,-2.938999652862549,-3.438999652862549,-2.938999652862549,0.16738999883333827,-0.06523403690920926,-0.2107642475101681,-0.1423078725735345,-3.106389651695887,-2.8737656159533396,-3.2282354053523807,-2.7966917802890143,A,A,True,True
"A patient has a fracture in which the radius is bent but not displaced, and the skin is intact. This type of fracture is known as which of the following?","(A) Closed, greenstick","(B) Complex, comminuted","(C) Compound, transverse","(D) Open, spiral",A,A,True,20.0,2,-2.0131001472473145,-2.5131001472473145,-3.501499652862549,-2.501499652862549,1.0932895044485726,0.3606654687060251,-0.2732642475101681,0.2951921274264655,-3.106389651695887,-2.8737656159533396,-3.2282354053523807,-2.7966917802890143,A,A,True,True
The mucosa of the hard palate is,(A) keratinised and has submucosa and minor salivary glands posterolaterally.,(B) non-keratinised and has submucosa and minor salivary glands posteromedially.,(C) keratinised and lacks submucosa and minor salivary glands.,(D) non-keratinised and lacks submucosa and minor salivary glands.,A,A,True,20.0,2,-3.149458646774292,-3.149458646774292,-3.664254665374756,-3.157749652862549,-0.04306899507840489,-0.2756930308209524,-0.4360192600223751,-0.3610578725735345,-3.106389651695887,-2.8737656159533396,-3.2282354053523807,-2.7966917802890143,A,A,True,True
Saliva contains an enzyme that acts upon which of the following nutrients?,(A) Starches,(B) Proteins,(C) Fats,(D) Minerals,A,B,False,20.0,2,-2.938999652862549,-2.438999652862549,-2.438999652862549,-2.438999652862549,0.16738999883333827,0.43476596309079074,0.7892357524898319,0.3576921274264655,-3.106389651695887,-2.8737656159533396,-3.2282354053523807,-2.7966917802890143,B,C,False,False
