question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
The study of older adults and aging is referred to as,(A) Gerontology,(B) Geropsychiatry,(C) Geriatrics,(D) Gero-education,A,-1.5182442665100098,-3.090669870376587,-3.277296781539917,-3.9639835357666016,A,True
Which of the following factors is associated with a decreased risk of Alzheimer's?,(A) Being African or Hispanic American,(B) Eating fish,(C) A lower level of education,(D) Being married,B,-2.1838998794555664,-2.2463998794555664,-2.8713998794555664,-2.933159112930298,A,False
The docility hypothesis is that,(A) Those with low capabilities are more vulnerable to environmental demands,(B) Those who experience high environmental demands become more docile,(C) Those who experience high environmental demands become less docile,(D) Those with less capability are less vulnerable to environmental demands,A,-2.699233055114746,-2.6969127655029297,-1.8215134143829346,-3.07063627243042,C,False
Normal memory seems to be improved by,(A) Aerobic exercise,(B) Taking acetylcholine,(C) Taking gingko,(D) Increasing social contacts,A,-2.1991095542907715,-2.5732836723327637,-2.5739824771881104,-3.0106301307678223,A,True
The perspective that development is embedded in history means that,(A) Change can always occur regardless of age,(B) Sociocultural conditions must always be considered,"(C) Development in any particular areas (e.g., social) is tied to development in other areas (e.g., cognitive)",(D) Some characteristics change with age while others do not,B,-4.464542388916016,-3.0895423889160156,-1.3932442665100098,-2.963003158569336,C,False
"The answer ""both play an important role"" is clearly applicable to the question of",(A) Nature vs. nurture,(B) Mechanistic vs organismic,(C) Continuity vs. discontinuity,(D) All of these questions,D,-3.0752761363983154,-2.5106301307678223,-2.7007625102996826,-2.0114824771881104,D,True
Which of the following does NOT usually occur to the lens of the eye as one grows older?,(A) It becomes thicker,(B) It yellows,(C) It becomes clouded,(D) It fills with fluid,D,-2.590669870376587,-2.588179588317871,-2.400679588317871,-2.963350534439087,C,False
The houses of the future may allow you to operate virtually everything in the house from a central terminal; such a house is already in production and is referred to as,(A) Technohouse,(B) Compuhouse,(C) Futurehouse,(D) Smarthouse,D,-3.4322662353515625,-2.993072271347046,-1.7432847023010254,-3.2432847023010254,C,False
The reaction time difference between younger and older adults is reduced when older adults,(A) Practice regular aerobic exercise,(B) Lift weights on a regular schedule,(C) Consume large quantities of vitamins,(D) Practice Tai chi,A,-1.8159375190734863,-2.572103261947632,-2.8853089809417725,-2.571716070175171,A,True
A major difference between programmed and unprogrammed theories of senescence is that programmed theories,(A) Attribute senescence only to environmental factors,(B) Are far too difficulty to test,(C) Claim that senescence follows a predetermined plan,(D) Rely too heavily on computer models,C,-3.3402605056762695,-3.088676929473877,-1.2679102420806885,-2.5870347023010254,C,True
One reason that older adults show high levels of optimism is that,(A) Many pessimists die at a younger age,(B) They do not really know what is going on,(C) This may be a warning sign for dementia,(D) Our measures have low validity,A,-2.2480714321136475,-2.4973649978637695,-2.7470145225524902,-2.3713998794555664,A,True
Bu is often late for appointments but says it's because she had more important things on her mind. This is an example of which coping strategy?,(A) Immunization,(B) Accommodation,(C) Avoidance,(D) Assimilation,A,-2.6533563137054443,-1.4550548791885376,-2.1503214836120605,-3.150503158569336,B,False
Which of the following is most strongly associated with loss of bone density?,(A) Genetic factors,(B) Lifestyle factors like not exercising,(C) Hormonal factors such as loss of estrogen,(D) Cohort factors,B,-3.543935775756836,-3.043330669403076,-1.606045126914978,-2.918102502822876,C,False
That super sweet iced tea that your grandmother gives you might be that way because she,(A) Has lost a lot of sweet taste buds and cannot taste sweetness as well anymore,(B) Is a member of that cohort that really enjoys sweets,(C) Is trying to get you to be a little sweeter than you have been in the past,(D) Has experienced damage in her parietal lobe where sweet sensations are directed,A,-2.2468223571777344,-2.6209216117858887,-2.620659112930298,-2.6202335357666016,A,True
A shortage of these two vitamins can produce symptoms that mimic dementia:,(A) A and C,(B) B6 and B12,(C) B6 and D,(D) B12 and E,B,-1.7316135168075562,-1.356045126914978,-2.855602502822876,-3.4176011085510254,B,True
Which of the following is one of McAdam's levels of personality?,(A) Control,(B) Identity,(C) Generativity,(D) Assimilation,B,-2.6989824771881104,-2.7614824771881104,-2.2590134143829346,-2.6344127655029297,C,False
"In this chapter's Senior View, Dr. Donham told us that mental stimulation, exercise, diet, and what other factor is important for long life?",(A) Moderate amounts of alcohol,(B) Social support,(C) Good genes,(D) Avoiding stress,C,-2.9513959884643555,-1.5825814008712769,-3.574897289276123,-3.6996893882751465,B,False
Surveys of older adults who are living together show that they tend to view cohabitation as,(A) A first step toward eventual marriage,(B) An alternative to marriage,(C) A way to save on expenses,(D) Their swan song,B,-2.120659112930298,-2.431190252304077,-2.4932847023010254,-2.993690252304077,A,False
Older adults may be more attached to a place than younger adults because,(A) That place holds many memories,(B) It's much harder to move when you're older,(C) Young adults pay less attention to place then do older adults,(D) That place represents transcendence,A,-1.6294037103652954,-2.8093223571777344,-3.0586681365966797,-3.3711681365966797,A,True
The Hayflick number for human cells is,(A) Unknown,(B) Between 45 and 55,(C) Less than 30,(D) More than 60,B,-2.7923262119293213,-1.9143863916397095,-2.8527634143829346,-3.226405382156372,B,True
High levels of self-care behaviors have been associated with high levels of,(A) Neuroticism,(B) Extraversion,(C) Agreeableness,(D) Secondary control,C,-2.8726742267608643,-2.6220145225524902,-2.6836681365966797,-1.9950826168060303,D,False
Research has offered some longitudinal as well as cross sectional support for the theory put forth by,(A) Peck,(B) Foos,(C) Levenson,(D) Erikson,D,-2.9645423889160156,-3.0267715454101562,-2.837240695953369,-3.275850534439087,C,False
"Which of the following is more likely to be a cohort, rather than an age, difference?",(A) A higher proportion of older women have completed menopause,(B) A smaller proportion of older women report dreams about sex,(C) A higher proportion of older men are bald,(D) A higher proportion of older men and women are victims of cancer,B,-2.0600242614746094,-2.620659112930298,-2.370659112930298,-2.931190252304077,A,False
Fear of aging has been associated with high levels of,(A) Introversion,(B) Neuroticism,(C) Rigidity,(D) Mid-life crisis,B,-2.9973649978637695,-2.4961681365966797,-2.5586681365966797,-2.6825826168060303,B,True
In which dementia are cognitive symptoms less likely?,(A) Parkinson's,(B) Pick's,(C) Huntington's,(D) NeuroAIDS,A,-2.918330669403076,-2.730602502822876,-2.4803595542907715,-2.9795336723327637,C,False
"In this chapter's Senior View, Dr. Shealy advises you to",(A) Stay in school,(B) Eat the right foods,(C) Get plenty of exercise,(D) Find a high paying job,A,-2.7636661529541016,-3.4489824771881104,-2.636733055114746,-3.324233055114746,C,False
"When your sister Patricia was feeling depressed, you comforted her and reminisced about happier times. You provided which type of social support?",(A) Emotional,(B) Instrumental,(C) Informational,(D) Friendly,A,-1.636351227760315,-2.3863511085510254,-2.697972059249878,-3.198432207107544,A,True
Hearing loss occurs more frequently for,(A) Men than women,(B) Women than men,(C) People who already have some loss of vision,(D) People who are obese,A,-2.6838998794555664,-1.6825826168060303,-2.4334216117858887,-2.932879686355591,B,False
Continued stress is damaging to health and longevity because it leads to,(A) Over exercising which causes physical damage,(B) Suppression of the immune system,"(C) Less eating and, in many cases, severe eating disorders",(D) Risky behaviors such as speeding and not using a seat belt,B,-2.761215925216675,-2.3215134143829346,-2.8840134143829346,-3.006598949432373,B,True
One difference that seems to be mostly cohort rather than age is the difference in ____ for different age groups,(A) Coping strategies,(B) Work productivity,(C) Rates of dementia,(D) Personality traits,D,-2.8404715061187744,-2.5279715061187744,-2.089129686355591,-2.902296781539917,C,False
"According to Tat Kleckley of this chapter's Senior View, the most important part of the healing process for those who are bereaved is to",(A) Stay away from other people for a while,(B) Get out and be active,(C) Talk about your loss,(D) Make new friends who don't know about your loss,C,-2.9194376468658447,-2.8548262119293213,-1.784952163696289,-3.2303595542907715,C,True
Social support is most likely to have a positive influence on health and well being when it is,(A) Very emotional,(B) Perceived as support,(C) Unexpected,(D) External rather than internal,B,-3.168330669403076,-2.6646158695220947,-1.9146159887313843,-2.8525543212890625,C,False
Free radicals are produced by,(A) Normal metabolism,(B) Excess consumption of Vitamins A and C,(C) Lack of sunlight,(D) A weakened immune system,A,-2.009603261947632,-2.570399522781372,-2.757899522781372,-2.8813138008117676,A,True
Prejudice or bias against older adults is referred to as,(A) Ageism,(B) Oldism,(C) Age bigotry,(D) Senilism,A,-1.4409375190734863,-3.7473649978637695,-4.307582378387451,-4.74537992477417,A,True
"The program that takes over care for those with 6 or fewer months to live, attempts to keep them at home, provides pain relief, and ends all life-prolonging technologies is called",(A) Euthanasia,(B) Cryonics,(C) Medicare,(D) Hospice,D,-3.586822271347046,-3.025503158569336,-2.7741031646728516,-1.9624401330947876,D,True
Loss of smell for adults 80 and older is,(A) Very infrequent (less than 15%),(B) Very frequent (more than 75%),(C) Infrequent (less than 40%),(D) Frequent (close to 50%),B,-2.214409112930298,-2.150679588317871,-2.4628214836120605,-2.024940252304077,D,False
Activation of a class of genes called sirtuins may help to,(A) Prevent some diseases,(B) Ward off dementias,(C) Increase memory and intelligence,(D) Produce emotional stability,A,-2.1836681365966797,-2.619429588317871,-2.6200826168060303,-2.8676271438598633,A,True
Elder abuse most frequently comes from the older adult's,(A) Spouse,(B) Children,(C) Grandchildren,(D) Neighbors,B,-2.1211681365966797,-2.1838998794555664,-2.870379686355591,-3.1211681365966797,A,False
Projective tests generally ___ than objective tests of personality.,(A) Have higher reliability,(B) Are more visual,(C) Are more valid,(D) Provide more information,B,-2.2945852279663086,-2.481435775756836,-1.9807183742523193,-2.668102502822876,C,False
