Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
1,1,social-interactions,1,antonym,1,Chao is making Yan's job easier.,Is Chao helping Yan?,Yes,20.0,0,-3.340669870376587,-6.7779717445373535,0.8986067647735281,-2.064993428687255,-4.239276635150115,-4.712978315850099,Yes,True,True,True
2,1,social-interactions,1,antonym,1,Chao is making Yan's job easier.,Is Chao hindering Yan?,No,20.0,0,-4.30787992477417,-4.090035915374756,-0.06860328962405493,0.6229424004753428,-4.239276635150115,-4.712978315850099,No,True,False,True
3,1,social-interactions,1,antonym,2,Chao is making Yan's job harder.,Is Chao helping Yan?,No,20.0,0,-3.9940714836120605,-3.9160380363464355,0.24520515153805444,0.7969402795036631,-4.239276635150115,-4.712978315850099,No,True,False,True
4,1,social-interactions,1,antonym,2,Chao is making Yan's job harder.,Is Chao hindering Yan?,Yes,20.0,0,-4.4029717445373535,-5.7779717445373535,-0.16369510938723852,-1.0649934286872549,-4.239276635150115,-4.712978315850099,Yes,True,True,True
5,2,social-interactions,2,antonym,1,Chao is assisting Yan.,Is Chao helping Yan?,Yes,20.0,0,-4.059117794036865,-6.371399879455566,0.18015884111324976,-1.6584215636054678,-4.239276635150115,-4.712978315850099,Yes,True,True,True
6,2,social-interactions,2,antonym,1,Chao is assisting Yan.,Is Chao hindering Yan?,No,20.0,0,-4.683899879455566,-5.028169631958008,-0.4446232443054514,-0.3151913161079092,-4.239276635150115,-4.712978315850099,Yes,False,False,True
7,2,social-interactions,2,antonym,2,Chao is obstructing Yan.,Is Chao helping Yan?,No,20.0,0,-4.433421611785889,-3.214796781539917,-0.19414497663577368,1.4981815343101816,-4.239276635150115,-4.712978315850099,No,True,False,True
8,2,social-interactions,2,antonym,2,Chao is obstructing Yan.,Is Chao hindering Yan?,Yes,20.0,0,-3.683159112930298,-3.668330669403076,0.5561175222198171,1.0446476464470225,-4.239276635150115,-4.712978315850099,No,False,False,False
9,3,social-interactions,3,antonym,1,Chao is removing obstacles in the path of Yan.,Is Chao helping Yan?,Yes,20.0,0,-3.870379686355591,-5.838983535766602,0.36889694879452417,-1.126005219916503,-4.239276635150115,-4.712978315850099,Yes,True,True,True
10,3,social-interactions,3,antonym,1,Chao is removing obstacles in the path of Yan.,Is Chao hindering Yan?,No,20.0,0,-4.716880798339844,-5.529260158538818,-0.47760416318972876,-0.8162818426887197,-4.239276635150115,-4.712978315850099,Yes,False,True,False
11,3,social-interactions,3,antonym,2,Chao is introducing obstacles in the path of Yan.,Is Chao helping Yan?,No,20.0,0,-3.757899522781372,-3.7906627655029297,0.4813771123687429,0.9223155503471689,-4.239276635150115,-4.712978315850099,Yes,False,False,True
12,3,social-interactions,3,antonym,2,Chao is introducing obstacles in the path of Yan.,Is Chao hindering Yan?,Yes,20.0,0,-4.277296543121338,-5.809117794036865,-0.0380199079712229,-1.0961394781867666,-4.239276635150115,-4.712978315850099,Yes,True,True,True
13,4,social-interactions,4,antonym,1,Chao and Yan are working with each other.,Is Chao cooperating with Yan?,Yes,20.0,0,-4.526771545410156,-6.18287992477417,-0.28749491026004126,-1.4699016089240713,-4.239276635150115,-4.712978315850099,Yes,True,True,True
14,4,social-interactions,4,antonym,1,Chao and Yan are working with each other.,Is Chao competing with Yan?,No,20.0,0,-4.87116813659668,-5.402042388916016,-0.6318915014465647,-0.689064073065917,-4.239276635150115,-4.712978315850099,Yes,False,True,False
15,4,social-interactions,4,antonym,2,Chao and Yan are working against each other.,Is Chao cooperating with Yan?,No,20.0,0,-5.088003158569336,-4.401483535766602,-0.848726523419221,0.31149478008349707,-4.239276635150115,-4.712978315850099,No,True,False,True
16,4,social-interactions,4,antonym,2,Chao and Yan are working against each other.,Is Chao competing with Yan?,Yes,20.0,0,-4.217293739318848,-6.248673915863037,0.021982895831267335,-1.5356956000129385,-4.239276635150115,-4.712978315850099,Yes,True,True,True
17,5,social-interactions,5,antonym,1,Chao and Yan are helping each other.,Is Chao cooperating with Yan?,Yes,20.0,0,-4.309322357177734,-5.996399879455566,-0.07004572202761938,-1.2834215636054678,-4.239276635150115,-4.712978315850099,Yes,True,True,True
18,5,social-interactions,5,antonym,1,Chao and Yan are helping each other.,Is Chao competing with Yan?,No,20.0,0,-4.589271545410156,-4.80866813659668,-0.34999491026004126,-0.09568982074658106,-4.239276635150115,-4.712978315850099,Yes,False,False,True
19,5,social-interactions,5,antonym,2,Chao and Yan are hindering each other.,Is Chao cooperating with Yan?,No,20.0,0,-5.40470027923584,-4.966993808746338,-1.1654236440857249,-0.25401549289623926,-4.239276635150115,-4.712978315850099,No,True,False,True
20,5,social-interactions,5,antonym,2,Chao and Yan are hindering each other.,Is Chao competing with Yan?,Yes,20.0,0,-4.279131889343262,-4.653995513916016,-0.03985525419314673,0.05898280193408301,-4.239276635150115,-4.712978315850099,Yes,True,False,False
