Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,spatial-relations,,antonym,1.0,The nail is to the right of the wheel.,Is the wheel to the left of the nail?,Yes,0,-0.7262547612190247,-0.7030072212219238,-0.6637890357845302,-0.7654729466564183,-0.06246572543449441,Yes,True
2.0,1.0,spatial-relations,,antonym,1.0,The nail is to the right of the wheel.,Is the wheel to the right of the nail?,No,0,-2.093526601791382,-0.15129494667053223,-2.0310608763568876,-0.21376067210502664,-0.06246572543449441,No,True
3.0,1.0,spatial-relations,,antonym,2.0,The nail is to the left of the wheel.,Is the wheel to the left of the nail?,No,0,-1.9294439554214478,-0.17863190174102783,-1.8669782299869533,-0.24109762717552224,-0.06246572543449441,No,True
4.0,1.0,spatial-relations,,antonym,2.0,The nail is to the left of the wheel.,Is the wheel to the right of the nail?,Yes,0,-0.8707596659660339,-0.5740939378738403,-0.8082939405315395,-0.6365596633083348,-0.06246572543449441,No,False
5.0,2.0,spatial-relations,,antonym,1.0,The nail is next to the right side of the wheel.,Is the wheel to the left of the nail?,Yes,0,-0.7496199011802673,-0.6834359169006348,-0.6871541757457729,-0.7459016423351292,-0.06246572543449441,Yes,True
6.0,2.0,spatial-relations,,antonym,1.0,The nail is next to the right side of the wheel.,Is the wheel to the right of the nail?,No,0,-1.0466480255126953,-0.45694470405578613,-0.9841823000782008,-0.5194104294902806,-0.06246572543449441,No,True
7.0,2.0,spatial-relations,,antonym,2.0,The nail is next to the left side of the wheel.,Is the wheel to the left of the nail?,No,0,-0.9880231022834778,-0.4959918260574341,-0.9255573768489833,-0.5584575514919285,-0.06246572543449441,No,True
8.0,2.0,spatial-relations,,antonym,2.0,The nail is next to the left side of the wheel.,Is the wheel to the right of the nail?,Yes,0,-0.862949788570404,-0.5779916048049927,-0.8004840631359096,-0.6404573302394871,-0.06246572543449441,No,False
10.0,2.0,spatial-relations,,antonym,1.0,The nail is next to the right side of the wheel.,Is the nail to the left of the wheel?,No,0,-1.4058057069778442,-0.30839112401008606,-1.3433399815433498,-0.37085684944458047,-0.06246572543449441,No,True
12.0,2.0,spatial-relations,,antonym,2.0,The nail is next to the left side of the wheel.,Is the nail to the left of the wheel?,Yes,0,-0.31806161999702454,-1.46082603931427,-0.2555958945625301,-1.5232917647487645,-0.06246572543449441,Yes,True
13.0,2.0,spatial-relations,,antonym,1.0,The nail is next to the right side of the wheel.,Is the nail to the right of the wheel?,Yes,0,-0.2770579159259796,-1.6014561653137207,-0.2145921904914852,-1.6639218907482152,-0.06246572543449441,Yes,True
15.0,2.0,spatial-relations,,antonym,2.0,The nail is next to the left side of the wheel.,Is the nail to the right of the wheel?,No,0,-1.5308326482772827,-0.2654426395893097,-1.4683669228427882,-0.3279083650238041,-0.06246572543449441,No,True
17.0,3.0,spatial-relations,,antonym,1.0,The wheel is in front of Chao. Chao turns right.,Is the wheel to the left of Chao?,Yes,0,-0.46031588315963745,-1.1090447902679443,-0.39785015772514304,-1.1715105157024388,-0.06246572543449441,Yes,True
18.0,3.0,spatial-relations,,antonym,1.0,The wheel is in front of Chao. Chao turns right.,Is the wheel to the right of Chao?,No,0,-0.5541035532951355,-0.9528242945671082,-0.4916378278606411,-1.0152900200016026,-0.06246572543449441,Yes,False
19.0,3.0,spatial-relations,,antonym,2.0,The wheel is in front of Chao. Chao turns left.,Is the wheel to the left of Chao?,No,0,-0.4250795841217041,-1.2027390003204346,-0.3626138586872097,-1.265204725754929,-0.06246572543449441,Yes,False
20.0,3.0,spatial-relations,,antonym,2.0,The wheel is in front of Chao. Chao turns left.,Is the wheel to the right of Chao?,Yes,0,-0.5580074191093445,-0.9215647578239441,-0.49554169367485007,-0.9840304832584386,-0.06246572543449441,Yes,True
