Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
1,1,physical-relations,,antonym,1,The truck is in front of the bed.,Is the truck blocking the bed?,Yes,20.0,0,-4.131534099578857,-3.271332025527954,0.399581516782443,0.8290365512172384,-4.5311156163613004,-4.1003685767451925,No,False,False,False
2,1,physical-relations,,antonym,1,The truck is in front of the bed.,Is the bed blocking the truck?,No,20.0,0,-3.8697264194488525,-1.5285903215408325,0.6613891969124479,2.57177825520436,-4.5311156163613004,-4.1003685767451925,No,True,False,True
3,1,physical-relations,,antonym,2,The truck is behind the bed.,Is the truck blocking the bed?,No,20.0,0,-3.6643567085266113,-2.7615225315093994,0.8667589078346891,1.338846045235793,-4.5311156163613004,-4.1003685767451925,No,True,False,True
4,1,physical-relations,,antonym,2,The truck is behind the bed.,Is the bed blocking the truck?,Yes,20.0,0,-3.2752559185028076,-1.9574134349822998,1.2558596978584928,2.1429551417628927,-4.5311156163613004,-4.1003685767451925,No,False,False,False
7,1,physical-relations,,variable swap,2,The bed is in front of the truck.,Is the truck blocking the bed?,No,20.0,0,-3.462604284286499,-2.8007431030273438,1.0685113320748014,1.2996254737178488,-4.5311156163613004,-4.1003685767451925,No,True,False,True
8,1,physical-relations,,variable swap,2,The bed is in front of the truck.,Is the bed blocking the truck?,Yes,20.0,0,-4.0189056396484375,-3.3605704307556152,0.512209976712863,0.7397981459895773,-4.5311156163613004,-4.1003685767451925,No,False,False,False
9,1,physical-relations,,variable swap,1,The bed is behind the truck.,Is the truck blocking the bed?,Yes,20.0,0,-3.8388431072235107,-3.0561628341674805,0.6922725091377897,1.044205742577712,-4.5311156163613004,-4.1003685767451925,No,False,False,False
10,1,physical-relations,,variable swap,1,The bed is behind the truck.,Is the bed blocking the truck?,No,20.0,0,-4.408907890319824,-3.021901845932007,0.12220772604147623,1.0784667308131857,-4.5311156163613004,-4.1003685767451925,No,True,False,True
13,2,physical-relations,,variable swap,1,Chao needs to move the truck to reach the bed.,Is the truck blocking the bed?,Yes,20.0,0,-4.891189098358154,-5.751579761505127,-0.36007348199685385,-1.6512111847599344,-4.5311156163613004,-4.1003685767451925,Yes,True,True,True
14,2,physical-relations,,variable swap,1,Chao needs to move the truck to reach the bed.,Is the bed blocking the truck?,No,20.0,0,-4.869338035583496,-5.959390163421631,-0.33822241922219565,-1.8590215866764384,-4.5311156163613004,-4.1003685767451925,Yes,False,True,False
15,2,physical-relations,,variable swap,2,Chao needs to move the bed to reach the truck.,Is the truck blocking the bed?,No,20.0,0,-6.235237121582031,-7.353447914123535,-1.7041215052207308,-3.2530793373783427,-4.5311156163613004,-4.1003685767451925,Yes,False,True,False
16,2,physical-relations,,variable swap,2,Chao needs to move the bed to reach the truck.,Is the bed blocking the truck?,Yes,20.0,0,-6.298182487487793,-8.478164672851562,-1.7670668711264925,-4.37779609610637,-4.5311156163613004,-4.1003685767451925,Yes,True,True,True
17,3,physical-relations,,antonym,1,The truck occupies more space than the bed.,Is the truck bigger than the bed?,Yes,20.0,0,-3.2584052085876465,-6.731467247009277,1.272710407773654,-2.631098670264085,-4.5311156163613004,-4.1003685767451925,Yes,True,True,True
18,3,physical-relations,,antonym,1,The truck occupies more space than the bed.,Is the truck smaller than the bed?,No,20.0,0,-6.18886137008667,-2.5894834995269775,-1.6577457537253695,1.510885077218215,-4.5311156163613004,-4.1003685767451925,No,True,False,True
19,3,physical-relations,,antonym,2,The truck occupies less space than the bed.,Is the truck bigger than the bed?,No,20.0,0,-4.4167304039001465,-3.0101819038391113,0.11438521246115396,1.0901866729060812,-4.5311156163613004,-4.1003685767451925,No,True,False,True
20,3,physical-relations,,antonym,2,The truck occupies less space than the bed.,Is the truck smaller than the bed?,Yes,20.0,0,-3.5804922580718994,-6.748268127441406,0.950623358289401,-2.6478995506962137,-4.5311156163613004,-4.1003685767451925,Yes,True,True,True
23,3,physical-relations,,variable swap,2,The bed occupies more space than the truck.,Is the truck bigger than the bed?,No,20.0,0,-3.5438716411590576,-4.347205638885498,0.9872439752022428,-0.24683706214030554,-4.5311156163613004,-4.1003685767451925,Yes,False,True,False
24,3,physical-relations,,variable swap,2,The bed occupies more space than the truck.,Is the truck smaller than the bed?,Yes,20.0,0,-4.75006628036499,-3.28739070892334,-0.2189506640036898,0.8129778678218527,-4.5311156163613004,-4.1003685767451925,No,False,False,False
25,3,physical-relations,,variable swap,1,The bed occupies less space than the truck.,Is the truck bigger than the bed?,Yes,20.0,0,-3.368557929992676,-6.601104736328125,1.1625576863686247,-2.5007361595829325,-4.5311156163613004,-4.1003685767451925,Yes,True,True,True
26,3,physical-relations,,variable swap,1,The bed occupies less space than the truck.,Is the truck smaller than the bed?,No,20.0,0,-4.0499067306518555,-4.1889519691467285,0.481208885709445,-0.08858339240153601,-4.5311156163613004,-4.1003685767451925,Yes,False,True,False
30,3,physical-relations,,antonym,1,The truck occupies more space than the bed.,Is the bed bigger than the truck?,No,20.0,0,-5.851302146911621,-2.801387071609497,-1.3201865305503206,1.2989815051356954,-4.5311156163613004,-4.1003685767451925,No,True,False,True
32,3,physical-relations,,antonym,2,The truck occupies less space than the bed.,Is the bed bigger than the truck?,Yes,20.0,0,-4.271368980407715,-7.36138916015625,0.2597466359535856,-3.2610205834110575,-4.5311156163613004,-4.1003685767451925,Yes,True,True,True
36,3,physical-relations,,variable swap,2,The bed occupies more space than the truck.,Is the bed bigger than the truck?,Yes,20.0,0,-3.36682391166687,-3.645155668258667,1.1642917046944303,0.4552129084865255,-4.5311156163613004,-4.1003685767451925,Yes,True,True,True
38,3,physical-relations,,variable swap,1,The bed occupies less space than the truck.,Is the bed bigger than the truck?,No,20.0,0,-5.805088520050049,-2.4102859497070312,-1.2739729036887484,1.6900826270381613,-4.5311156163613004,-4.1003685767451925,No,True,False,True
41,3,physical-relations,,antonym,1,The truck occupies more space than the bed.,Is the bed smaller than the truck?,Yes,20.0,0,-5.182399749755859,-6.724349498748779,-0.6512841333945589,-2.623980922003587,-4.5311156163613004,-4.1003685767451925,Yes,True,True,True
43,3,physical-relations,,antonym,2,The truck occupies less space than the bed.,Is the bed smaller than the truck?,No,20.0,0,-4.910220146179199,-5.238163948059082,-0.37910452981789877,-1.1377953713138895,-4.5311156163613004,-4.1003685767451925,Yes,False,True,False
47,3,physical-relations,,variable swap,2,The bed occupies more space than the truck.,Is the bed smaller than the truck?,No,20.0,0,-4.877852916717529,-2.5297086238861084,-0.34673730035622885,1.570659952859084,-4.5311156163613004,-4.1003685767451925,No,True,False,True
49,3,physical-relations,,variable swap,1,The bed occupies less space than the truck.,Is the bed smaller than the truck?,Yes,20.0,0,-3.834343194961548,-6.2665276527404785,0.6967724213997526,-2.166159075995286,-4.5311156163613004,-4.1003685767451925,Yes,True,True,True
53,4,physical-relations,,antonym,1,The truck can completely hide the bed from view.,Is the truck bigger than the bed?,Yes,20.0,0,-4.128012180328369,-8.638121604919434,0.4031034360329313,-4.537753028174241,-4.5311156163613004,-4.1003685767451925,Yes,True,True,True
54,4,physical-relations,,antonym,1,The truck can completely hide the bed from view.,Is the truck smaller than the bed?,No,20.0,0,-4.143070697784424,-6.09437894821167,0.3880449185768766,-1.9940103714664774,-4.5311156163613004,-4.1003685767451925,Yes,False,True,False
55,4,physical-relations,,antonym,2,The truck can only partially hide the bed from view.,Is the truck bigger than the bed?,No,20.0,0,-3.9695510864257812,-8.151419639587402,0.5615645299355192,-4.05105106284221,-4.5311156163613004,-4.1003685767451925,Yes,False,True,False
56,4,physical-relations,,antonym,2,The truck can only partially hide the bed from view.,Is the truck smaller than the bed?,Yes,20.0,0,-3.620584487915039,-4.5486016273498535,0.9105311284462614,-0.448233050604661,-4.5311156163613004,-4.1003685767451925,Yes,True,True,True
59,4,physical-relations,,variable swap,2,The bed can completely hide the truck from view.,Is the truck bigger than the bed?,No,20.0,0,-3.375138998031616,-5.310383319854736,1.1559766183296842,-1.2100147431095438,-4.5311156163613004,-4.1003685767451925,Yes,False,True,False
60,4,physical-relations,,variable swap,2,The bed can completely hide the truck from view.,Is the truck smaller than the bed?,Yes,20.0,0,-3.379621982574463,-4.582128047943115,1.1514936337868376,-0.48175947119792273,-4.5311156163613004,-4.1003685767451925,Yes,True,True,True
61,4,physical-relations,,variable swap,1,The bed can only partially hide the truck from view.,Is the truck bigger than the bed?,Yes,20.0,0,-3.30435848236084,-4.056509971618652,1.2267571340004606,0.04385860512654016,-4.5311156163613004,-4.1003685767451925,Yes,True,True,True
62,4,physical-relations,,variable swap,1,The bed can only partially hide the truck from view.,Is the truck smaller than the bed?,No,20.0,0,-3.2020492553710938,-3.5123209953308105,1.3290663609902067,0.588047581414382,-4.5311156163613004,-4.1003685767451925,Yes,False,True,False
66,4,physical-relations,,antonym,1,The truck can completely hide the bed from view.,Is the bed bigger than the truck?,No,20.0,0,-4.124660968780518,-3.791592836380005,0.40645464758078287,0.3087757403651876,-4.5311156163613004,-4.1003685767451925,No,True,True,False
68,4,physical-relations,,antonym,2,The truck can only partially hide the bed from view.,Is the bed bigger than the truck?,Yes,20.0,0,-4.31018590927124,-3.7878153324127197,0.2209297070900602,0.3125532443324728,-4.5311156163613004,-4.1003685767451925,No,False,False,False
72,4,physical-relations,,variable swap,2,The bed can completely hide the truck from view.,Is the bed bigger than the truck?,Yes,20.0,0,-4.153918266296387,-5.065647125244141,0.37719735006491373,-0.9652785484989481,-4.5311156163613004,-4.1003685767451925,Yes,True,True,True
74,4,physical-relations,,variable swap,1,The bed can only partially hide the truck from view.,Is the bed bigger than the truck?,No,20.0,0,-4.36708402633667,-4.458797931671143,0.16403159002463052,-0.35842935492595007,-4.5311156163613004,-4.1003685767451925,Yes,False,True,False
77,4,physical-relations,,antonym,1,The truck can completely hide the bed from view.,Is the bed smaller than the truck?,Yes,20.0,1,-4.150757789611816,-6.102149486541748,0.20153063535690308,-2.0263503483823824,-4.3522884249687195,-4.075799138159366,Yes,True,True,True
79,4,physical-relations,,antonym,2,The truck can only partially hide the bed from view.,Is the bed smaller than the truck?,No,20.0,1,-3.078679323196411,-5.252154350280762,1.2736091017723083,-1.176355212121396,-4.3522884249687195,-4.075799138159366,Yes,False,True,False
83,4,physical-relations,,variable swap,2,The bed can completely hide the truck from view.,Is the bed smaller than the truck?,No,20.0,1,-3.6296396255493164,-4.4779052734375,0.7226487994194031,-0.4021061352781343,-4.3522884249687195,-4.075799138159366,Yes,False,True,False
85,4,physical-relations,,variable swap,1,The bed can only partially hide the truck from view.,Is the bed smaller than the truck?,Yes,20.0,1,-3.6305110454559326,-3.7954328060150146,0.7217773795127869,0.280366332144351,-4.3522884249687195,-4.075799138159366,Yes,True,True,True
89,5,physical-relations,,other,1,The bed is inside the truck.,Does the truck contain the bed?,Yes,20.0,1,-4.200016021728516,-4.697141170501709,0.15227240324020386,-0.6213420323423433,-4.3522884249687195,-4.075799138159366,Yes,True,True,True
90,5,physical-relations,,other,1,The bed is inside the truck.,Does the truck support the bed?,No,20.0,1,-2.483969211578369,-3.9439759254455566,1.8683192133903503,0.13182321271380903,-4.3522884249687195,-4.075799138159366,Yes,False,True,False
91,5,physical-relations,,other,2,The bed is on top of the truck.,Does the truck contain the bed?,No,20.0,1,-4.717947483062744,-3.219510793685913,-0.36565905809402466,0.8562883444734526,-4.3522884249687195,-4.075799138159366,No,True,False,True
92,5,physical-relations,,other,2,The bed is on top of the truck.,Does the truck support the bed?,Yes,20.0,1,-2.7967522144317627,-4.869211196899414,1.5555362105369568,-0.7934120587400484,-4.3522884249687195,-4.075799138159366,Yes,True,True,True
93,8,physical-relations,,antonym,1,The truck is touching the bed from below.,Does the truck contain the bed?,Yes,20.0,1,-6.473961353302002,-4.96600866317749,-2.1216729283332825,-0.8902095250181246,-4.3522884249687195,-4.075799138159366,No,False,False,False
94,8,physical-relations,,antonym,1,The truck is touching the bed from below.,Does the truck cover the bed?,No,20.0,1,-3.8109967708587646,-4.450159549713135,0.5412916541099548,-0.3743604115537691,-4.3522884249687195,-4.075799138159366,Yes,False,True,False
95,8,physical-relations,,antonym,2,The truck is touching the bed from above.,Does the truck contain the bed?,No,20.0,1,-6.307156562805176,-5.307984828948975,-1.9548681378364563,-1.232185690789609,-4.3522884249687195,-4.075799138159366,No,True,False,True
96,8,physical-relations,,antonym,2,The truck is touching the bed from above.,Does the truck cover the bed?,Yes,20.0,1,-3.8092668056488037,-4.553439617156982,0.5430216193199158,-0.47764047899761675,-4.3522884249687195,-4.075799138159366,Yes,True,True,True
97,9,physical-relations,,antonym,1,"If Chao moves the truck, the airplane will move too.",Does the truck contain the airplane?,Yes,20.0,1,-5.910066604614258,-4.191230297088623,-1.5577781796455383,-0.11543115892925737,-4.3522884249687195,-4.075799138159366,No,False,False,False
98,9,physical-relations,,antonym,1,"If Chao moves the truck, the airplane will move too.",Does the truck is outide the airplane?,No,20.0,1,-4.381229400634766,-3.0171003341674805,-0.028940975666046143,1.0586988039918852,-4.3522884249687195,-4.075799138159366,No,True,False,True
99,9,physical-relations,,antonym,2,"If Chao moves the truck, the airplane will remain in its place.",Does the truck contain the airplane?,No,20.0,1,-6.682626247406006,-6.487882614135742,-2.3303378224372864,-2.4120834759763765,-4.3522884249687195,-4.075799138159366,No,True,True,False
100,9,physical-relations,,antonym,2,"If Chao moves the truck, the airplane will remain in its place.",Does the truck is outide the airplane?,Yes,20.0,1,-4.826871395111084,-5.1789937019348145,-0.4745829701423645,-1.1031945637754488,-4.3522884249687195,-4.075799138159366,Yes,True,True,True
102,9,physical-relations,,antonym,1,"If Chao moves the truck, the airplane will move too.",Does the airplane contain the truck?,No,20.0,1,-5.048695087432861,-3.9602458477020264,-0.6964066624641418,0.11555329045733931,-4.3522884249687195,-4.075799138159366,No,True,False,True
104,9,physical-relations,,antonym,2,"If Chao moves the truck, the airplane will remain in its place.",Does the airplane contain the truck?,Yes,20.0,1,-5.946783542633057,-6.313457012176514,-1.5944951176643372,-2.237657874017148,-4.3522884249687195,-4.075799138159366,Yes,True,True,True
106,10,physical-relations,,antonym,1,"If Chao moves the truck, the airplane will move too.",Does the truck is inide the airplane?,No,20.0,1,-4.417938232421875,-3.104753017425537,-0.06564980745315552,0.9710461207338286,-4.3522884249687195,-4.075799138159366,No,True,False,True
108,10,physical-relations,,antonym,2,"If Chao moves the truck, the airplane will remain in its place.",Does the truck is inide the airplane?,Yes,20.0,1,-5.533377647399902,-6.876597881317139,-1.1810892224311829,-2.800798743157773,-4.3522884249687195,-4.075799138159366,Yes,True,True,True
111,10,physical-relations,,variable swap,2,"If Chao moves the airplane, the truck will move too.",Does the truck contain the airplane?,No,20.0,1,-5.6070451736450195,-3.85068678855896,-1.2547567486763,0.22511234960040571,-4.3522884249687195,-4.075799138159366,No,True,False,True
112,10,physical-relations,,variable swap,2,"If Chao moves the airplane, the truck will move too.",Does the truck is inide the airplane?,Yes,20.0,1,-4.343448162078857,-3.6048457622528076,0.00884026288986206,0.47095337590655806,-4.3522884249687195,-4.075799138159366,No,False,False,False
