question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
Which of the following statements expresses a relationship between aging and sexual functioning,(A) Aging is related to an increase in vaginal lubrication,(B) Aging is associated with an increase in the frequency and number of orgasmic contractions in both sexes,(C) There is no significant relationship between aging and sexual responses in either sex,(D) Aging is related to some loss of erectile rigidity in the male,D,-1.4682140350341797,-0.9711480736732483,-1.4678665399551392,-1.9678665399551392,B,False
"According to Piaget, children are ___________.",(A) “Blank slates”,(B) Less intelligent than adults,(C) “Little scientists”,(D) Shaped by culture,C,-4.623497486114502,-3.1240885257720947,-0.12057238072156906,-3.1240885257720947,C,True
"If a test has a standard error of measurement of 15 points, itis correct to conclude that",(A) about 68% of the observed scores for the test population lie within 15 points of the mean score,(B) about 68% of the individuals with a given cure score will have observed scores within 15 points of the true score,"(C) about 15% of the scores are in error (i.e., they are not measuring the trait reliably)",(D) differences of up to 30 points represent the same true score,B,-0.9750483632087708,-1.4750484228134155,-1.4750484228134155,-1.9756721258163452,A,False
Any substance that can have a negative impact on fetal development is ___________.,(A) An Apgar,(B) A teratogen,(C) Only a problem in the first 6 weeks,(D) A controlled substance,B,-4.624088764190674,-0.11127069592475891,-3.1084775924682617,-3.1090447902679443,B,True
"If you were hired by a large company to develop a new training program, your first step would probably be to conduct a:",(A) needs analysis.,(B) job evaluation.,(C) summative evaluation.,(D) formative evaluation.,A,-1.4053665399551392,-1.4047476053237915,-0.909241259098053,-2.4053666591644287,C,False
Practitioners of Gestalt psychotherapy consider a client’s desire to talk about his/her past as:,(A) a useful strategy for helping the client understand the present.,(B) a way for the client to avoid coming to terms with the present.,"(C) ""the """"second layer"""" of therapy.""","(D) ""a way for achieving """"closure"""" near the end of therapy.""",B,-1.46817946434021,-0.9678385853767395,-1.4672476053237915,-1.9672000408172607,B,True
"In regard to memory, aging is most closely associated with a decline in",(A) the efficiency of controlled memory processes,"(B) metamemory skills, or knowledge about memory",(C) recognition memory,(D) the amount of factual memory knowledge available,A,-0.8070972561836243,-1.3109976053237915,-1.8109976053237915,-2.3100242614746094,A,True
"A 66-year-old client who is depressed, has rhythmic hand movements, and has a flattened affect is probably suffering from",(A) Parkinson's disease,(B) Vascular Dementia,(C) a right frontal lobe tumor,(D) Alzheimer's disease,A,-1.3041387796401978,-1.8037830591201782,-1.3041387796401978,-1.3041387796401978,A,True
"One Friday afternoon, just before leaving on a weekend tip, a psychologist receives a call from a therapy client who claims to have taken an overdose of pills in a suicide attempt. The psychologist: tells the client to call a physician immediately and to come in at 9:00 A.M. on Monday for a session. The psychologist makes no other attempt to intervene, and the client dies later that evening without making any other calls for assistance. In this situation, the psychologist's behavior was clearly","(A) unethical, because the client's needs were not addressed more directly","(B) unethical, because the psychologist should have delayed the trip and given the client an appointment for that afternoon","(C) unethical, because the psychologist should have called a physician directly","(D) ethical, because it was not possible to determine whether or not the client was being manipulative",A,-0.5424264669418335,-2.0459775924682617,-2.0459775924682617,-2.0459775924682617,A,True
A family therapist using the structural approach of Salvador Minuchin would most likely:,(A) clarify boundaries between family members in order to reduce enmeshment.,(B) work initially with the most differentiated family member.,"(C) ""use a multiple-therapist team to prevent any one therapist from becoming """"triangulated"""" into the family system.""","(D) ""issue specific """"directives"""" designed to counteract dysfunctional processes.""",A,-1.562164545059204,-1.561946988105774,-1.061946988105774,-1.561946988105774,C,False
"A researcher interested in examining the potential impact of parent alcoholism on child and family development recruits 12-year-olds (n = 100), 13-year-olds (n = 100), and 14-year-olds (n = 100)—half of whom have an alcoholic parent and half of whom do not—into a multiple-year longitudinal study assessing various outcomes. This study is best characterized as:",(A) A true experiment,(B) A cross-sequential cohort design,(C) A natural experiment,(D) A cross-sectional cohort design,B,-1.4603713750839233,-0.9642755389213562,-1.460004448890686,-1.9603713750839233,B,True
Focal damage to the portion of the left frontal lobe known as Broca's area is likely to impair,(A) recall of words,(B) verbal comprehension,(C) verbal learning,(D) production of speech,D,-1.0543546676635742,-1.5537830591201782,-1.5537830591201782,-1.5541387796401978,A,False
"According to Gerald Patterson and his colleagues (1992), which of the following is a key contributor to aggressive behavior in children?",(A) the child’s intelligence.,(B) the child’s “basic personality.”,(C) the strength of the parent-child attachment.,(D) the parents’ childrearing behaviors,D,-1.7021992206573486,-1.2021992206573486,-1.20159912109375,-1.70159912109375,C,False
A person who received a Level 4 rating on the Rancho Los Amigos Scale of Cognitive Functioning:,(A) is nonresponsive to visual or auditory stimuli and seems to be in a state of deep sleep.,"(B) is confused and incoherent, may exhibit bizarre behavior, and is unable to care for him/herself.","(C) is alert and oriented and can remember and integrate remote and recent events but may have some impairment in judgment, planning, and abstract reasoning.","(D) is functioning at an intellectual level that is superior for his/her age, education, and demographic background.",B,-2.95159912109375,-1.9443939924240112,-0.44769880175590515,-1.9437984228134155,C,False
A psychologist who already has an established therapeutic relationship with a child is asked to act as an expert witness in a divorce proceeding involving custody of the child. The psychologist's best course of action would be to:,(A) decline the request to testify.,(B) agree to testify only if she obtains consent from both parents.,(C) agree to testify only if she can evaluate all of the involved parties.,(D) agree to testify only if her familiarity with the child won''t bias her testimony.,A,-1.1865885257720947,-1.1865885257720947,-1.6859976053237915,-1.6859976053237915,A,True
"Motivation is a complex process involving weighing alternatives, costs, and benefits. From your knowledge about GOAL-SETTING THEORY, which one out of the following statements is incorrect?",(A) goals serve 2 purposes: they are a basis for motivation and they direct behaviors,(B) goal attainment is maximized when goals are specific and highly difficult,(C) goal attainment is maximized when frequent feedback is given,(D) worker participation in goal-setting is also good,B,-1.0853713750839233,-1.585004448890686,-1.585004448890686,-1.585004448890686,A,False
"The STATISTICS are a method of measuring variables and organizing and analyzing data statistical method can be descriptive or inferential and have a scale of measurement. From your knowledge about statistics measurement, what is the RATIO DATA?",(A) Ratio Data is scaled and at equal distances but no absolute zero,"(B) Ratio Data orders the amount of variable, but no info about how much",(C) Ratio Data is an interval data with an absolute zero,(D) Ratio Data divides variables into unordered categories,C,-1.3031967878341675,-1.8031967878341675,-0.8031968474388123,-2.310997724533081,C,True
"Aronson and Mills examined the effects severity of initiation into a group on subsequent attitudes toward the group. Results of their study indicated that, compared to women who underwent a mild initiation, women who underwent a severe initiation as a precondition of group membership:",(A) rated the group as less interesting and enjoyable.,(B) rated the group as more interesting and enjoyable.,(C) were more likely to drop out of the group.,(D) were more likely to dislike fellow group members.,B,-1.311946988105774,-1.311946988105774,-1.3115885257720947,-1.8115885257720947,C,False
"A graduate student’s dissertation chair, Dr. X, turns out to be of little help, and the student ends up obtaining advice and assistance from an associate professor, Dr. Z. Dr. X does review the dissertation when it is completed and she is listed as the dissertation chair. Several months later, the student decides to write an article for a professional journal that is based his dissertation research. In terms of publication credit:",(A) Dr. Z should be listed as first author if her contribution was substantial.,(B) Dr. Z should be listed as second author if her contribution warrants it.,(C) Dr. X should be listed as second author since she was the student’s official dissertation chair.,(D) Dr. Y and Dr. Z should be listed as co-authors.,B,-1.19475519657135,-1.1943939924240112,-1.6943939924240112,-1.6943939924240112,B,True
The TRANSTHEORETICAL MODEL OF CHANGE was originally developed to treat addictive behaviors and 5 stages people pass through in the process of change. Which stage is correctly defined?,(A) PRECONTEMPLATION: intend to take action in next 6 months,(B) PREPARATION: consider change in next 6 months,(C) ACTION: time and effort into modifying behavior,(D) MAINTENANCE: behavior change lasted at least 8 months,C,-1.3041387796401978,-1.3037830591201782,-1.3037830591201782,-1.8037830591201782,B,False
"When a psychologist doesn’t feel he or she is competent to accept a case, the most justifiable option is to:",(A) Try his or her best,(B) Refer out,(C) Read a chapter on the issue,(D) Charge the client less,B,-4.655309677124023,-0.1469128429889679,-2.6396992206573486,-3.1396992206573486,B,True
