question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"When someone uses grammar or punctuation in a way that makes a statement have more than one possible interpretation, that person may have committed which of the following fallacies?",(A) Amphiboly,(B) Hypostatization,(C) Question begging epithets,(D) Style over substance,A,A,True,20.0,0,-7.870659351348877,-8.959553718566895,-10.42574405670166,-11.796465873718262,-0.25944395639278284,-2.8244671446305736,-4.375073701143265,-4.708071593885069,-7.611215394956094,-6.135086573936321,-6.050670355558395,-7.088394279833193,A,A,True,True
"The Dean was showing a visitor around the campus. The visitor asked, ""About how many students do you have here?"" After a moment of reflection the Dean replied, ""Oh, I'd guess about one in a hundred.""",(A) Equivocation,(B) Fallacy of Division,(C) Appeal to Authority,(D) Denying the Antecedent,A,B,False,20.0,0,-8.061530113220215,-5.8916401863098145,-6.841631889343262,-6.153169631958008,-0.45031471826412073,0.2434463876265065,-0.7909615337848663,0.9352246478751853,-7.611215394956094,-6.135086573936321,-6.050670355558395,-7.088394279833193,B,D,False,False
"E.F. Schumacher, famous economist, in an article in the Atlantic (April 1979): Fifteen months [after I had advised that rural India should have a technology intermediate between the hoe and the tractor,] an all-India conference on intermediate technology was arranged. (They still didn't like the term [intermediate], so they called it appropriate technology. That's all right: when I come to India and somebody says, ""Oh, Mr. Schumacher, I don't believe in appropriate technology"", I just look him straight in the face and say, ""Oh, that's splendid. Do you believe in inappropriate technology?"")",(A) Equivocation,(B) Inconsistency,(C) Appeal to Authority,(D) Prejudicial Language,A,B,False,20.0,0,-6.809117794036865,-5.799990653991699,-6.743690013885498,-6.2943501472473145,0.8020976009192289,0.33509591994462173,-0.6930196583271027,0.7940441325858787,-7.611215394956094,-6.135086573936321,-6.050670355558395,-7.088394279833193,B,A,False,True
Arguing that someone should do something because other people are doing it is a description of which of the following fallacies?,(A) appeal to common practice,(B) snob appeal,(C) argument by consensus,(D) appeal to tradition,A,C,False,20.0,0,-6.34286642074585,-6.836822032928467,-5.841031551361084,-8.55866813659668,1.2683489742102445,-0.7017354589921458,0.2096388041973114,-1.4702738567634865,-7.611215394956094,-6.135086573936321,-6.050670355558395,-7.088394279833193,C,A,False,True
"John Stuart Mill: Each person's happiness is a good to that person, and the general happiness, therefore, a good to the aggregate of all persons.",(A) Fallacy of Composition,(B) Fallacy of Division,(C) Gambler's Fallacy,(D) Equivocation,A,B,False,20.0,0,-9.374290466308594,-7.24616813659668,-10.436400413513184,-9.686254501342773,-1.7630750713524996,-1.1110815626603587,-4.385730057954788,-2.5978602215095803,-7.611215394956094,-6.135086573936321,-6.050670355558395,-7.088394279833193,B,B,False,False
Which of the following best describes the fallacy of poisoning the well?,"(A) a way of suppressing evidence that eliminates a source of evidence from consideration by claiming the source is flawed, when there is no true relationship between the alleged flaw and the reliability of the source","(B) arguing that a claim should be accepted based on evidence that is not presented, but asserted to be well known or obvious.","(C) arguing something should be done based only on evidence that it's been done that way in the past, or should be believed only because it's been believed for a long time.",(D) reasoning that a claim is true based only on the evidence that it has been made so often.,A,A,True,20.0,0,-4.67574405670166,-7.132617950439453,-7.916958332061768,-9.034526824951172,2.935471338254434,-0.9975313765031322,-1.8662879765033722,-1.9461325451179787,-7.611215394956094,-6.135086573936321,-6.050670355558395,-7.088394279833193,A,A,True,True
"All things that are spoiled are inedible. Timothy is spoiled. So, Timothy is inedible.",(A) Equivocation,(B) Attacking the Person (ad hominem),(C) Fallacy of Division,(D) Questionable Cause,A,D,False,20.0,0,-6.311695575714111,-5.246399879455566,-5.3738298416137695,-4.123071193695068,1.2995198192419828,0.8886866944807545,0.6768405139446259,2.965323086138125,-7.611215394956094,-6.135086573936321,-6.050670355558395,-7.088394279833193,D,D,False,False
"In a conditional syllogism, when the minor premise denies the antecedent",(A) no valid conclusion can be drawn,(B) the conclusion must affirm the consequent,(C) the conclusion must deny the consequent,(D) the conclusion must affirm the antecedent,A,C,False,20.0,0,-8.311946868896484,-3.5757625102996826,-3.3271396160125732,-7.1863298416137695,-0.7007314739403903,2.5593240636366383,2.723530739545822,-0.09793556178057639,-7.611215394956094,-6.135086573936321,-6.050670355558395,-7.088394279833193,C,C,False,False
Another name for the fallacy of complex question is,(A) Fallacy of interrogation,(B) Compound proposition,(C) Appeal to ignorance,(D) Extension,A,A,True,20.0,0,-5.2126336097717285,-6.783632755279541,-7.2666401863098145,-6.696211814880371,2.3985817851843656,-0.6485461813432201,-1.215969830751419,0.39218246495282205,-7.611215394956094,-6.135086573936321,-6.050670355558395,-7.088394279833193,A,A,True,True
Arguing that an idea should be accepted or rejected only because of the source of the idea commits which of the following fallacies?,(A) genetic fallacy,(B) appeal to popularity,(C) scare tactics,(D) appeal to emotions,A,A,True,20.0,1,-8.117393493652344,-11.013912200927734,-12.915647506713867,-13.422430038452148,-0.6791568950370506,-4.979941231233102,-6.92388081992114,-6.54074560712885,-7.438236598615293,-6.033970969694632,-5.991766686792727,-6.881684431323299,A,A,True,True
