question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
An important source of information on the credit rating of retail businesses is,(A) the Retail Merchants Association,(B) the local chamber of commerce,"(C) Dun & Bradstreet, Inc.",(D) the United States Retail Credit Association,C,-5.73421573638916,-6.392773151397705,-3.728072166442871,-4.642773151397705,C,True
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?",(A) Conferencing,(B) Discipline-based inquiry,(C) Self-Regulated Strategy Development,(D) Introduction-Body-Conclusion strategy,B,-5.113952159881592,-4.979458332061768,-2.989935874938965,-3.5012402534484863,C,False
Paper will burn at approximately what temperature in Fahrenheit?,(A) 986 degrees,(B) 2125 degrees,(C) 3985 degrees,(D) 451 degrees,D,-5.615243911743164,-7.030860900878906,-6.1350626945495605,-3.2147645950317383,D,True
The Apple iMac computer is available in all of the following colors except which?,(A) Tangerine,(B) Strawberry,(C) Kiwi,(D) Grape,C,-4.236424446105957,-7.146214485168457,-6.943856716156006,-4.946746349334717,A,False
What were the first names of the early American explorers Lewisand Clark?,(A) Morgan and Mason,(B) Meriwether and William,(C) Cabot and Joseph,(D) Meredith and George,B,-6.071863174438477,-6.741337299346924,-6.87307071685791,-7.632755279541016,A,False
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?",(A) Direct instruction,(B) Literature circle,(C) Guided reading,(D) Read-aloud,C,-5.6416401863098145,-6.258711814880371,-2.6420865058898926,-4.850273609161377,C,True
What is varicella?,(A) a fancy pasta,(B) a type of opera,(C) the chicken pox virus,(D) ancient Roman poetry,C,-5.036199569702148,-8.488216400146484,-4.0494160652160645,-7.3619160652160645,C,True
Which of the following materials has a resistance that is LEAST affected by temperature changes?,(A) Copper,(B) Carbon,(C) Germanium,(D) Silicon,A,-4.147899627685547,-4.9181904792785645,-5.26133394241333,-5.894123077392578,A,True
A second-year college student is usually called a what?,(A) sophomore,(B) senior,(C) freshman,(D) junior,A,-3.485413074493408,-7.257617950439453,-7.521671772003174,-7.7341227531433105,A,True
In the film 'The Talented Mr Ripley' who plays Mr Ripley?,(A) Jude Law,(B) Matt Damon,(C) Dustin Hoffman,(D) Ben Affleck,B,-4.769853591918945,-7.369357585906982,-6.84702730178833,-7.3670244216918945,A,False
A hard-edge painting is most likely to be characterized by,"(A) an even, solid paint application",(B) blurry color mixed on the painting's surface,(C) scratchy brush marks clearly separated,(D) translucent multiple layers of paint,A,-3.2050790786743164,-4.324908256530762,-3.8101043701171875,-4.2732744216918945,A,True
Who was president of the United States when Bill Clinton was born?,(A) Herbert Hoover,(B) Harry S Truman,(C) Franklin Roosevelt,(D) Dwight Eisenhower,B,-5.040647506713867,-5.211958408355713,-5.4017229080200195,-6.606158256530762,A,False
Which of the following lists includes minerals only?,"(A) Granite, gabbro, diorite, quartz, feldspar","(B) Gold, quartz, topaz, diamond, corundum","(C) Gneiss, schist, phyllite, chlorite, mica","(D) Coal, chert, limestone, dolomite, halite",B,-4.3726043701171875,-6.092376708984375,-6.309164524078369,-6.2133941650390625,A,False
Which of the following is a likely outcome of the development and use of genetically modified plants?,(A) Reduced cost of plant seeds,(B) New plant varieties being patented,(C) Increased genetic diversity within a planted field,(D) Less oversight and fewer regulations than for unmodified crops,B,-4.107940196990967,-3.9811582565307617,-6.6744160652160645,-7.302046775817871,B,True
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",(A) Plot sequence,(B) Point of view,(C) Character development,(D) Setting,A,-3.587240695953369,-5.301452159881592,-4.833685874938965,-5.54918909072876,A,True
"Which movie popularized the phrase ""You talkin' to me?""",(A) Ghost Busters,(B) Taxi Driver,(C) Joker,(D) Groundhog Day,B,-5.083040237426758,-4.068248748779297,-8.218360900878906,-8.22024917602539,B,True
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"(A) A grayish, milky fluid",(B) Excessive fluid use,(C) Excessive thinning of the fluid,(D) A noisy relief valve,A,-2.444775342941284,-5.897054195404053,-4.9869160652160645,-6.532749652862549,A,True
What animal represents the year 2000 on the Chinese calendar?,(A) dragon,(B) rabbit,(C) tiger,(D) monkey,A,-4.3690714836120605,-4.4806904792785645,-6.484930038452148,-5.952210903167725,A,True
Which of the following is part of a farm combine?,(A) Beater,(B) Conditioner,(C) Seed plate,(D) Furrow opener,A,-3.9849300384521484,-4.604608535766602,-4.489546775817871,-4.8755693435668945,A,True
According to legend in what country are you most likely to meet a leprechaun?,(A) Ireland,(B) Poland,(C) Greenland,(D) Scotland,A,-4.951412677764893,-9.747200965881348,-9.08729362487793,-8.56782054901123,A,True
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,(A) Formation of ice from water,(B) Formation of a cloud from water vapor,(C) Runoff along the land surface,(D) Evaporation from the ocean surface,D,-4.019853591918945,-3.890718936920166,-6.405860900878906,-5.9806904792785645,B,False
What French city is home to a famous international film festival each spring?,(A) Cannes,(B) Marseille,(C) Dijon,(D) Lyon,A,-4.273403167724609,-8.016790390014648,-5.592376708984375,-7.945117950439453,A,True
What do you call three consecutive strikes in bowling?,(A) yahtzee,(B) mulligan,(C) turkey,(D) ace,C,-5.680063724517822,-7.142773151397705,-4.228729724884033,-7.303021430969238,C,True
Which of the boys on the TV show 'My Three Sons' is adopted?,(A) Mike,(B) Ernie,(C) Chip,(D) Robbie,B,-4.470862865447998,-7.221296787261963,-5.49807071685791,-7.122200965881348,A,False
Which of these horror films spawned the most sequels?,(A) Scream',(B) Jaws',(C) Halloween',(D) Friday the 13th',D,-5.693248748779297,-6.117563724517822,-4.788867950439453,-6.346132755279541,C,False
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,(A) Miss Jackie,(B) Elizabeth Sanford,(C) Geraldine Jones,(D) Gladys Knight,C,-6.233965873718262,-5.662773609161377,-6.754126071929932,-8.90774917602539,B,False
What kind of animal is a peregrine?,(A) moose,(B) cat,(C) bird,(D) fish,C,-5.389710903167725,-9.882617950439453,-6.079290390014648,-7.864546775817871,A,False
What part of the human body does a gastroenterologist examine?,(A) Brain,(B) Skeleton,(C) Stomach,(D) Nose,C,-5.695117950439453,-6.580273151397705,-4.16842794418335,-5.791229724884033,C,True
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,(A) Blue,(B) Green,(C) Red,(D) Black,D,-4.179405212402344,-5.873622894287109,-5.9181904792785645,-5.768345832824707,A,False
Meat should be kept frozen at what temperature in degrees Fahrenheit?,(A) 0 degrees or below,(B) between 10 and 20 degrees,(C) between 20 and 30 degrees,(D) just below 32 degrees,A,-4.104458332061768,-6.2341227531433105,-6.481158256530762,-7.037174224853516,A,True
What kind of animal is cartoon character Tennessee Tuxedo?,(A) cat,(B) skunk,(C) walrus,(D) penguin,D,-4.518345832824707,-9.649458885192871,-8.769500732421875,-8.399458885192871,A,False
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,(A) Calvin Coolidge,(B) Harry Truman,(C) Herbert Hoover,(D) Richard Nixon,C,-4.790647506713867,-4.707000732421875,-6.033632755279541,-5.313032150268555,B,False
What is the heaviest confirmed noble gas?,(A) Xenon,(B) Argon,(C) Radon,(D) Krypton,C,-5.549990653991699,-7.649458408355713,-4.916958332061768,-6.975273609161377,C,True
