Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
1.0,1.0,social-relations,1.0,negation,1.0,Chao knows Yan.,Are Chao and Yan friends?,Yes,-4.213350296020508,-4.714542388916016,-7.68366813659668,-6.55787992477417,3.470317840576172,1.8433375358581543,Yes,True
2.0,1.0,social-relations,1.0,negation,1.0,Chao knows Yan.,Are Chao and Yan strangers?,No,-5.399740695953369,-5.151176929473877,-7.68366813659668,-6.55787992477417,2.2839274406433105,1.406702995300293,Yes,False
3.0,1.0,social-relations,1.0,negation,2.0,Chao doesn't know Yan.,Are Chao and Yan friends?,No,-4.2154717445373535,-4.4654717445373535,-7.68366813659668,-6.55787992477417,3.468196392059326,2.0924081802368164,Yes,False
4.0,1.0,social-relations,1.0,negation,2.0,Chao doesn't know Yan.,Are Chao and Yan strangers?,Yes,-4.214796543121338,-3.9812464714050293,-7.68366813659668,-6.55787992477417,3.468871593475342,2.5766334533691406,Yes,True
5.0,2.0,social-relations,2.0,antonym,1.0,Chao is warm toward Yan.,Are Chao and Yan friends?,Yes,-4.743284702301025,-5.2447662353515625,-7.68366813659668,-6.55787992477417,2.9403834342956543,1.3131136894226074,Yes,True
6.0,2.0,social-relations,2.0,antonym,1.0,Chao is warm toward Yan.,Are Chao and Yan strangers?,No,-5.303885459899902,-4.805784702301025,-7.68366813659668,-6.55787992477417,2.3797826766967773,1.7520952224731445,Yes,False
8.0,2.0,social-relations,2.0,antonym,2.0,Chao is indifferent toward Yan.,Are Chao and Yan strangers?,Yes,-5.899740695953369,-5.397899627685547,-7.68366813659668,-6.55787992477417,1.7839274406433105,1.159980297088623,Yes,True
9.0,3.0,social-relations,3.0,other,1.0,Chao likes Yan.,Are Chao and Yan friends?,Yes,-3.7468223571777344,-4.496822357177734,-7.68366813659668,-6.55787992477417,3.9368457794189453,2.0610575675964355,Yes,True
10.0,3.0,social-relations,3.0,other,1.0,Chao likes Yan.,Are Chao and Yan strangers?,No,-4.558421611785889,-4.308421611785889,-7.68366813659668,-6.55787992477417,3.125246524810791,2.2494583129882812,Yes,False
13.0,4.0,social-relations,4.0,antonym,1.0,Chao enjoys spending time with Yan.,Are Chao and Yan friends?,Yes,-4.052743911743164,-4.804893970489502,-7.68366813659668,-6.55787992477417,3.6309242248535156,1.752985954284668,Yes,True
14.0,4.0,social-relations,4.0,antonym,1.0,Chao enjoys spending time with Yan.,Are Chao and Yan strangers?,No,-4.524740695953369,-4.024740695953369,-7.68366813659668,-6.55787992477417,3.1589274406433105,2.533139228820801,Yes,False
16.0,4.0,social-relations,4.0,antonym,2.0,Chao is indifferent about spending time with Yan.,Are Chao and Yan strangers?,Yes,-5.743284702301025,-4.7447662353515625,-7.68366813659668,-6.55787992477417,1.9403834342956543,1.8131136894226074,Yes,True
17.0,5.0,social-relations,5.0,antonym,1.0,Chao likes Yan.,Is Chao Yan's friend?,Yes,-5.085399627685547,-5.337240695953369,-7.68366813659668,-6.55787992477417,2.598268508911133,1.2206392288208008,Yes,True
18.0,5.0,social-relations,5.0,antonym,1.0,Chao likes Yan.,Is Chao Yan's enemy?,No,-6.428885459899902,-6.176452159881592,-7.68366813659668,-6.55787992477417,1.2547826766967773,0.3814277648925781,Yes,False
19.0,5.0,social-relations,5.0,antonym,2.0,Chao hates Yan.,Is Chao Yan's friend?,No,-6.176452159881592,-5.428885459899902,-7.68366813659668,-6.55787992477417,1.507215976715088,1.1289944648742676,Yes,False
20.0,5.0,social-relations,5.0,antonym,2.0,Chao hates Yan.,Is Chao Yan's enemy?,Yes,-5.488952159881592,-5.987490653991699,-7.68366813659668,-6.55787992477417,2.194715976715088,0.5703892707824707,Yes,True
21.0,6.0,social-relations,6.0,antonym,1.0,Chao enjoys spending time with Yan.,Is Chao Yan's friend?,Yes,-5.080845832824707,-5.208685874938965,-7.68366813659668,-6.55787992477417,2.6028223037719727,1.349194049835205,Yes,True
22.0,6.0,social-relations,6.0,antonym,1.0,Chao enjoys spending time with Yan.,Is Chao Yan's enemy?,No,-6.555784702301025,-5.555784702301025,-7.68366813659668,-6.55787992477417,1.1278834342956543,1.0020952224731445,Yes,False
23.0,6.0,social-relations,6.0,antonym,2.0,Chao dislikes spending time with Yan.,Is Chao Yan's friend?,No,-6.205019474029541,-5.708040237426758,-7.68366813659668,-6.55787992477417,1.4786486625671387,0.8498396873474121,Yes,False
24.0,6.0,social-relations,6.0,antonym,2.0,Chao dislikes spending time with Yan.,Is Chao Yan's enemy?,Yes,-6.305784702301025,-5.803885459899902,-7.68366813659668,-6.55787992477417,1.3778834342956543,0.7539944648742676,Yes,True
25.0,7.0,social-relations,7.0,antonym,1.0,Chao wants to work together with Yan.,Is Chao Yan's friend?,Yes,-5.586822032928467,-5.088350296020508,-7.68366813659668,-6.55787992477417,2.096846103668213,1.469529628753662,Yes,True
26.0,7.0,social-relations,7.0,antonym,1.0,Chao wants to work together with Yan.,Is Chao Yan's enemy?,No,-6.8697662353515625,-6.118284702301025,-7.68366813659668,-6.55787992477417,0.8139019012451172,0.43959522247314453,Yes,False
27.0,7.0,social-relations,7.0,antonym,2.0,Chao wants to work against Yan.,Is Chao Yan's friend?,No,-6.241385459899902,-5.743284702301025,-7.68366813659668,-6.55787992477417,1.4422826766967773,0.8145952224731445,Yes,False
28.0,7.0,social-relations,7.0,antonym,2.0,Chao wants to work against Yan.,Is Chao Yan's enemy?,Yes,-6.741385459899902,-6.488952159881592,-7.68366813659668,-6.55787992477417,0.9422826766967773,0.06892776489257812,Yes,True
